taxid	truth_taxid	count
1350	565652	17891
22	318167	16124
543	1400139	15429
1309	1074120	14362
286	220664	13187
53246	1938595	12821
497	335284	12075
22	319224	12074
547	640513	11758
2	1210443	11472
29438	875329	11240
1279	273036	10726
632	187410	10223
1350	565659	10022
1239	565659	9626
1236	1235458	9331
330922	335284	8894
550	1104326	8596
24	319224	8393
1236	208964	8248
629	187410	7509
1301	1074120	7386
1392	260799	7179
91061	526973	6785
380021	220664	6736
1280	273036	6585
287	208964	6529
562	585396	6528
1938595	1938595	6283
1386	526973	6265
1224	1104326	5953
543	585396	5373
40324	1235458	5128
316	1210443	5059
1396	526973	4405
0	1210443	4169
56812	318167	4167
286	875329	3888
40323	1235458	3787
1392	198094	3622
286	208964	3577
0	318167	3516
91347	1400139	3361
543	640513	3313
0	220664	3298
0	335284	3201
0	1235458	3088
0	875329	3035
0	319224	2916
37734	565652	2883
0	273036	2713
136849	875329	2679
543	511145	2673
0	187410	2650
562	511145	2593
2	640513	2565
0	208964	2491
0	526973	2415
2	1104326	2340
0	1938595	2286
2	526973	2268
91347	640513	2213
0	1400139	2174
135622	1938595	2135
1386	260799	2102
86661	260799	2070
0	1074120	2057
0	565652	2021
0	640513	1957
543	1104326	1952
0	1104326	1876
91061	260799	1865
1385	273036	1860
2	565659	1839
1649845	187410	1767
0	260799	1649
86661	526973	1634
72274	1210443	1592
318	875329	1585
91347	1104326	1550
0	565659	1510
1224	640513	1507
32033	1235458	1495
2	273036	1442
2	1400139	1412
72274	208964	1364
2	565652	1333
1352	565659	1295
547	1104326	1213
2	1235458	1166
86661	198094	1095
286	1210443	1046
1386	198094	1031
91347	187410	1027
2	260799	966
2	511145	956
91061	198094	930
1	585396	878
561	585396	858
0	198094	822
0	585396	785
548	1400139	763
1236	319224	675
1783272	273036	621
251698	875329	616
1224	208964	588
1224	511145	585
1236	1400139	498
2	198094	490
379731	1210443	462
354276	1104326	457
0	511145	451
1236	640513	441
1236	318167	413
2	208964	407
1236	511145	384
1236	1938595	355
2	585396	355
1224	1400139	350
1224	585396	330
1236	1210443	323
135622	319224	311
1903411	187410	309
1236	1104326	303
220664	220664	265
136843	220664	263
72274	875329	259
135621	208964	251
526973	526973	241
91061	565659	234
633	187410	233
91061	273036	228
135622	318167	226
91347	585396	210
2	1074120	210
875330	875329	207
187410	187410	205
1236	220664	202
1236	187410	188
1396	260799	179
573	1400139	171
468	335284	169
1259825	565652	169
624	511145	160
91061	565652	159
1313	526973	159
1104326	1104326	157
318167	318167	151
273036	273036	147
46170	273036	147
136846	1210443	146
570	1400139	146
1236	585396	143
1124983	220664	141
319224	319224	139
1581118	208964	138
550	640513	137
135621	220664	136
1224	1235458	134
1224	220664	132
1224	1938595	130
186826	565652	130
1236	335284	130
1239	565652	128
72274	220664	128
1224	335284	126
1235458	1235458	124
131567	640513	122
335284	335284	113
91347	511145	112
1402564	208964	112
317	875329	111
1045856	640513	108
1404260	1074120	108
186826	1074120	107
1097676	1938595	104
1407059	208964	103
875329	875329	103
47877	875329	100
1117313	1938595	99
624	585396	99
1224	319224	97
1	273036	90
2	335284	88
1396	198094	86
2	187410	86
1	260799	86
186826	565659	86
1190567	1235458	84
81852	565652	84
1385	260799	83
1045856	1104326	83
1	511145	82
131567	1104326	81
1224	318167	80
1224	1210443	80
640513	640513	79
131567	1400139	78
1385	526973	76
354276	640513	73
1313	260799	73
1315978	208964	72
2	220664	71
1239	1074120	71
1313	1210443	71
2	319224	70
1134802	565659	70
1437447	1074120	70
1392	526973	70
319	875329	67
1441931	208964	66
53707	875329	65
1428	526973	65
2	1938595	64
1155071	1074120	61
1118157	1235458	60
208964	208964	60
585396	585396	60
571800	335284	59
885040	640513	58
103796	875329	57
2	318167	57
394751	1938595	54
135621	1210443	53
1339266	208964	53
1300	1074120	50
1	198094	50
62322	319224	48
1306165	208964	48
1111760	1074120	47
1118156	1235458	47
550	208964	47
629261	875329	46
264452	875329	46
1236	875329	46
186817	526973	45
2058300	1938595	45
349746	187410	45
561	511145	45
1354262	640513	45
269801	526973	44
294	220664	44
264451	875329	44
935296	1400139	43
888435	1938595	43
1211807	1210443	43
83333	511145	43
251724	875329	43
869682	585396	42
1629711	1210443	41
222523	526973	41
1385	198094	41
86176	875329	41
1432555	585396	41
522373	1235458	41
235272	875329	41
391601	1235458	40
