taxid	truth_taxid	count
1309	1074120	19884
287	208964	19239
318167	318167	19217
380021	220664	16028
316	1210443	14959
1350	565652	14315
548	1400139	13947
1280	273036	11777
640513	640513	11693
22	319224	11580
497	335284	11551
632	187410	10719
1352	565659	10250
562	585396	10086
330922	335284	9539
40323	1235458	9170
1104326	1104326	9098
1386	526973	8778
1392	260799	8743
53246	1938595	8651
0	875329	8462
1344042	565659	7883
543	640513	7181
1649845	187410	6810
319224	319224	6790
40324	1235458	6506
0	1938595	6099
0	1235458	6043
1396	526973	5968
543	1104326	5874
0	1210443	5619
565655	565652	5539
1117313	1938595	5515
136849	875329	5257
562	511145	4809
0	208964	4457
1392	198094	4404
286	220664	4313
543	1400139	4264
0	187410	4215
0	526973	4193
0	220664	4088
273036	273036	3960
550	1104326	3807
0	273036	3754
0	318167	3729
1350	565659	3530
0	335284	3352
86661	526973	3328
0	319224	3299
1279	273036	3150
286	875329	2985
0	1400139	2896
0	565652	2885
0	1074120	2732
1386	260799	2690
0	565659	2429
0	640513	2408
0	1104326	2387
570	1400139	2312
24	319224	2282
86661	260799	2281
0	260799	2260
103796	875329	2234
1	273036	2065
543	585396	1766
1	585396	1728
264730	875329	1663
543	511145	1570
0	585396	1545
629	187410	1441
1386	198094	1361
547	1104326	1331
22	318167	1214
86661	198094	1157
354276	1104326	1134
0	198094	1117
0	511145	1054
547	640513	1034
136846	1210443	1026
91347	640513	944
286	1210443	925
91347	1400139	909
354276	640513	896
1353	565652	859
1301	1074120	840
251701	875329	819
379731	1210443	801
1163399	1235458	747
210007	1074120	736
91347	187410	695
32033	1235458	657
561	511145	634
585396	585396	620
286	208964	612
91347	1104326	598
94122	1938595	578
251698	875329	574
28109	1938595	513
2060307	565652	475
2057791	565652	449
247523	1938595	444
868597	1235458	437
1720343	1938595	423
405535	526973	396
2005046	1235458	374
361100	526973	353
1314869	1938595	335
561	585396	325
283699	1938595	321
1	318167	302
1236	319224	293
321	875329	287
1827305	1235458	283
186826	565659	256
1	260799	255
996285	1210443	254
