taxid	truth_taxid	count
318167	318167	25000
640513	640513	24984
330922	335284	24968
548	1400139	24957
380021	220664	24948
287	208964	24836
632	187410	24786
1104326	1104326	24707
1309	1074120	24616
1344042	565659	21314
316	1210443	18794
319224	319224	18049
565655	565652	16673
1392	260799	15840
562	585396	14611
1280	273036	14234
40324	1235458	12540
1396	526973	11962
526973	526973	11782
273036	273036	10740
0	1938595	10280
0	875329	10243
1117313	1938595	9283
562	511145	8356
1392	198094	7918
24	319224	6665
136849	875329	5619
264730	875329	5508
0	1235458	4790
1350	565652	3927
1352	565659	2968
0	1210443	2168
53246	1938595	1974
40323	1235458	1818
379731	1210443	1746
585396	585396	1734
2060307	565652	1644
251698	875329	1197
996285	1210443	1132
2060306	565652	1100
103796	875329	1007
0	565652	992
1386	526973	958
391008	1235458	907
995085	1235458	904
868597	1235458	903
1720343	1938595	777
86661	260799	735
0	565659	700
247523	1938595	695
1163399	1235458	656
2057791	565652	628
283699	1938595	617
2005046	1235458	611
1196835	1210443	492
86661	198094	408
1314868	1938595	351
522373	1235458	330
550	1104326	285
86661	526973	284
22	319224	281
28109	1938595	270
53707	875329	232
321	875329	232
1827305	1235458	231
29438	875329	231
1190567	1235458	224
187410	187410	212
511691	1074120	190
1314869	1938595	174
2072413	1235458	170
208964	208964	162
543	585396	151
1155071	1074120	144
286	875329	144
644801	1210443	140
2072414	1235458	137
205918	875329	136
216778	1235458	126
1123016	1210443	115
693985	875329	97
2072412	1235458	95
286	1210443	92
32033	1235458	89
1312369	1938595	86
2054919	875329	85
543	511145	85
1761891	1938595	81
1315283	1938595	79
136846	1210443	79
2072406	1235458	67
1904944	1235458	61
1123519	1210443	53
288	1938595	53
2072405	1235458	50
2072407	1235458	49
1198676	1074120	47
317	875329	46
1332075	875329	42
1117319	1938595	40
47885	1210443	38
1386	260799	36
128780	1235458	36
570	1400139	33
497	335284	32
561	511145	30
220664	220664	30
1357279	875329	30
190893	1938595	29
1945512	1210443	29
561	585396	27
338	1235458	26
1236	1938595	26
1386	198094	26
2072409	1235458	26
323	875329	26
43263	1210443	25
264451	875329	24
234831	1938595	23
1082851	1210443	22
198094	198094	21
286	220664	21
1338689	1210443	20
318167	1938595	19
1279	273036	19
219572	1210443	17
93973	1938595	16
680	1938595	16
260799	260799	16
161398	1938595	16
223283	875329	15
267375	1938595	15
1896164	1235458	14
287	875329	14
69	1235458	13
1967665	1938595	13
1324932	875329	13
343	1235458	12
417368	565652	12
670	1938595	12
192087	875329	11
2072408	1235458	11
395598	875329	11
43657	1938595	11
1795874	1235458	10
1351	565659	9
1379159	1235458	9
2	1235458	9
1352	565652	9
1816218	1938595	9
200450	875329	9
2	526973	8
1224	1210443	8
1219067	1938595	8
1261556	1235458	8
2018067	875329	8
354276	640513	7
1224	1235458	7
1236	1210443	7
262324	1235458	7
1236	1235458	7
1219375	1235458	6
199201	875329	6
543	1400139	6
135614	1235458	6
543	640513	6
1346287	1235458	6
587753	1210443	6
1458985	1938595	6
691	1938595	6
33069	875329	5
129138	875329	5
1492737	1938595	5
1458425	1235458	4
1028307	1400139	4
1855380	1210443	4
1441467	1235458	4
103796	1210443	4
696485	1938595	4
543	1104326	4
2005703	565652	4
354	1235458	4
135621	1210443	4
354276	1104326	3
399804	319224	3
2	273036	3
150396	1210443	3
91061	565652	3
317013	1235458	3
0	1074120	3
1116375	1938595	3
1350	565659	3
1351	565652	3
54913	565652	2
1639	565659	2
666685	1210443	2
1855331	875329	2
241244	565659	2
685039	273036	2
547	640513	2
314722	1235458	2
56458	1235458	2
696406	585396	2
629	187410	2
339	1235458	1
435897	1235458	1
1392476	273036	1
381754	208964	1
83334	585396	1
526986	526973	1
1050617	511145	1
1236	319224	1
395019	1235458	1
414771	565659	1
222523	526973	1
1301	565652	1
1078034	585396	1
767434	1235458	1
1	640513	1
526985	526973	1
743721	1235458	1
325776	1235458	1
1365647	1235458	1
547	1104326	1
1420599	220664	1
2	1938595	1
186826	565652	1
46679	875329	1
347	1235458	1
526971	526973	1
350058	1235458	1
296	875329	1
1415629	208964	1
43659	1938595	1
572480	1938595	1
925818	1235458	1
53345	565659	1
526992	526973	1
2029986	319224	1
1446707	585396	1
519472	565652	1
288681	526973	1
46170	273036	1
