taxid	truth_taxid	count
318167	318167	25000
640513	640513	24987
330922	335284	24975
548	1400139	24970
380021	220664	24948
1104326	1104326	24819
287	208964	24676
632	187410	24666
1309	1074120	24359
1344042	565659	21419
316	1210443	18162
319224	319224	18057
565655	565652	16673
1392	260799	15815
1396	526973	15247
562	585396	14598
1280	273036	14212
40324	1235458	11062
273036	273036	10774
0	1938595	10460
0	875329	10299
1117313	1938595	9385
562	511145	8359
1392	198094	7919
24	319224	6665
136849	875329	5583
264730	875329	5523
0	1235458	5124
1350	565652	3927
1163399	1235458	2874
1352	565659	2856
0	526973	2361
1386	526973	2266
0	1210443	2214
379731	1210443	2053
40323	1235458	1963
53246	1938595	1924
585396	585396	1746
2060307	565652	1644
86661	526973	1607
996285	1210443	1406
251698	875329	1225
2060306	565652	1100
103796	875329	1087
391008	1235458	995
0	565652	992
868597	1235458	977
1720343	1938595	778
361100	526973	766
86661	260799	728
247523	1938595	706
0	565659	702
2005046	1235458	685
2057791	565652	628
283699	1938595	619
522373	1235458	572
1196835	1210443	516
2053832	526973	415
86661	198094	407
1428	526973	358
405535	526973	336
187410	187410	332
208964	208964	322
1827305	1235458	301
28109	1938595	286
22	319224	273
222523	526973	266
511691	1074120	265
637380	526973	248
53707	875329	234
29438	875329	234
321	875329	230
1314869	1938595	225
1892404	526973	210
1217984	526973	191
1155071	1074120	188
1198676	1074120	184
288681	526973	181
550	1104326	173
543	585396	151
644801	1210443	145
205918	875329	136
526977	526973	126
1312369	1938595	116
1123016	1210443	112
286	875329	99
693985	875329	97
1405	526973	94
286	1210443	93
32033	1235458	91
1761891	1938595	86
136846	1210443	84
543	511145	83
1315283	1938595	79
930170	526973	76
1904944	1235458	71
216778	1235458	69
288	1938595	69
1123519	1210443	53
1332075	875329	49
260799	260799	48
128780	1235458	42
1454382	526973	41
1117319	1938595	40
47885	1210443	38
1386	260799	36
1357279	875329	36
317	875329	35
561	511145	30
220664	220664	30
190893	1938595	29
1945512	1210443	29
561	585396	27
1386	198094	26
323	875329	26
405534	526973	26
497	335284	25
43263	1210443	25
347495	526973	24
264451	875329	24
234831	1938595	23
1082851	1210443	22
198094	198094	21
286	220664	21
1338689	1210443	20
1195464	526973	20
570	1400139	20
338	1235458	19
318167	1938595	19
267375	1938595	18
69	1235458	17
93973	1938595	16
680	1938595	16
1441467	1235458	16
161398	1938595	16
223283	875329	15
572264	526973	15
287	875329	14
1324931	875329	14
339	1235458	13
226900	526973	13
1967665	1938595	13
1324932	875329	13
1392	526973	13
1423143	526973	12
1442	526973	12
417368	565652	12
670	1938595	12
262324	1235458	11
43657	1938595	11
1236	1938595	10
1795874	1235458	10
1351	565659	9
1379159	1235458	9
1352	565652	9
1816218	1938595	9
1261556	1235458	9
343	1235458	8
451709	526973	8
1219067	1938595	8
2018067	875329	8
1236	1210443	7
1279	273036	7
315730	526973	6
543	1400139	6
405531	526973	6
199201	875329	6
354276	640513	6
1458985	1938595	6
1236	1235458	6
691	1938595	6
587753	1210443	6
33069	875329	5
529122	526973	5
768486	565659	5
1623290	526973	5
315749	526973	5
543	640513	5
129138	875329	5
990315	1235458	5
316	1235458	5
1267562	1235458	5
1492737	1938595	5
1458425	1235458	4
492670	526973	4
1028307	1400139	4
1218175	526973	4
103796	1210443	4
696485	1938595	4
543	1104326	4
1003239	526973	4
2005703	565652	4
354	1235458	4
135621	1210443	4
354276	1104326	3
1390	526973	3
180850	526973	3
1415784	526973	3
9606	526973	3
1028307	526973	3
1224	1235458	3
2	273036	3
487909	1235458	3
91061	565652	3
1224	1210443	3
317013	1235458	3
135614	1235458	3
0	1074120	3
399804	319224	3
1116375	1938595	3
56458	1235458	3
68	1235458	3
1350	565659	3
1351	565652	3
1639	565659	2
666685	1210443	2
241244	565659	2
685039	273036	2
314722	1235458	2
405532	526973	2
54913	565652	2
135614	1210443	2
1938374	526973	2
1104678	875329	2
696406	585396	2
1196031	526973	2
1868599	526973	2
629	187410	2
29338	526973	2
366602	1235458	2
1300342	1235458	1
435897	1235458	1
36866	526973	1
381754	208964	1
1440	526973	1
714359	526973	1
83334	585396	1
2048781	585396	1
1392476	273036	1
767434	1235458	1
1236	319224	1
395019	1235458	1
414771	565659	1
1301	565652	1
221109	526973	1
1078034	585396	1
1	640513	1
743721	1235458	1
547	1104326	1
1420599	220664	1
340	1235458	1
296	875329	1
2	1938595	1
186826	565652	1
347	1235458	1
157783	1235458	1
350058	1235458	1
1415629	208964	1
43659	1938595	1
572480	1938595	1
925818	1235458	1
1982042	1235458	1
1811193	1074120	1
53345	565659	1
547	640513	1
2029986	319224	1
1446707	585396	1
519472	565652	1
46170	273036	1
