taxid	truth_taxid	count
318167	318167	24961
640513	640513	24873
287	208964	24360
1104326	1104326	23386
565655	565652	21426
335284	335284	20100
1280	273036	19093
1309	1074120	17330
548	1400139	16954
220664	220664	14716
632	187410	13650
264730	875329	12234
319224	319224	11409
1649845	187410	10957
380021	220664	10267
316	1210443	9249
22	319224	9059
1392	260799	8908
585396	585396	8356
86661	260799	7666
1352	565659	7521
86661	526973	6915
935296	1400139	6893
1396	526973	6807
273036	273036	5644
562	585396	5481
562	511145	5437
497	335284	4899
379731	1210443	4615
1163399	1235458	4592
24	319224	4523
1392	198094	4464
996285	1210443	4189
86661	198094	3890
522373	1235458	3547
868597	1235458	3338
96563	1210443	3147
511691	1074120	2559
543	511145	1987
210007	1074120	1938
1198676	1074120	1711
1104325	565659	1646
550	1104326	1592
543	585396	1560
361100	526973	1541
1155071	1074120	1378
1155766	565659	1365
391008	1235458	1170
0	585396	1070
83333	511145	947
1305849	565659	934
333849	565659	930
40324	1235458	757
930170	526973	640
222523	526973	619
637380	526973	601
208964	208964	554
1217984	526973	541
1196835	1210443	534
288681	526973	528
405535	526973	485
326442	1938595	404
187410	187410	307
205918	875329	285
405534	526973	210
334406	526973	193
234831	1938595	185
1279	273036	182
644801	1210443	180
570	1400139	179
347495	526973	167
226900	526973	161
1428	526973	136
223283	875329	132
281309	526973	111
572264	526973	103
354276	640513	101
1028307	1400139	93
1392	526973	93
0	273036	75
315730	526973	56
412694	526973	55
1279365	526973	54
1195464	526973	53
529122	526973	52
543	1400139	50
91347	187410	46
511145	511145	46
286	208964	32
592021	526973	32
22	318167	30
260799	260799	29
768494	526973	29
0	511145	27
714359	526973	25
1218175	526973	25
405532	526973	24
1415784	526973	21
561	585396	21
561	511145	20
743720	1210443	19
1340851	208964	19
0	260799	19
1300150	565659	19
1217737	526973	18
1123519	1210443	17
1352355	208964	17
339	1235458	16
318167	1938595	15
261594	526973	14
198094	526973	14
1310114	1235458	13
768486	565659	13
405531	526973	13
1129794	1938595	13
543	640513	13
1224	208964	12
633	187410	12
527021	526973	12
502800	187410	12
354276	1104326	11
1124983	220664	11
260799	526973	10
1234679	565659	10
568206	526973	9
743721	1235458	9
273123	187410	9
585034	511145	8
366649	1235458	8
936153	565659	8
1286404	526973	8
1045855	1235458	8
260799	198094	7
208596	565659	7
0	198094	7
1295826	565659	7
272626	565659	7
384676	1235458	7
340	1235458	6
349746	187410	6
1137651	1235458	6
0	208964	6
941639	565659	6
1125630	1400139	6
1350	565659	6
666685	1235458	6
547	640513	6
541229	526973	5
585034	585396	5
930781	565659	5
1111678	565659	5
315749	526973	5
552525	526973	5
1386	260799	5
573235	585396	5
46170	273036	5
1351	565659	4
1350	565652	4
32033	1235458	4
286	220664	4
565655	565659	4
1211579	1235458	4
990315	1235458	4
543	1104326	4
585397	585396	4
655817	585396	4
1283330	1235458	4
83334	585396	4
198094	198094	3
695560	565659	3
316273	1235458	3
0	526973	3
1206105	565659	3
585395	585396	3
1236	318167	3
135622	319224	3
940190	565659	3
318586	565659	3
1236	1104326	3
91347	1104326	2
33970	565659	2
1236	319224	2
1386	198094	2
592022	526973	2
548	1104326	2
693444	1400139	2
351745	319224	2
1191061	1400139	2
1427342	1210443	2
1038927	585396	2
1415630	875329	2
2	319224	2
1224	585396	2
1004785	1938595	2
1132507	1400139	2
338	1235458	2
762570	1235458	2
220341	585396	2
640511	565659	2
316278	565659	1
231023	875329	1
186826	565652	1
1300150	565652	1
1392476	273036	1
344609	585396	1
502801	187410	1
0	1400139	1
1868599	526973	1
136843	220664	1
767434	1235458	1
1647458	1400139	1
718254	1400139	1
1445809	526973	1
279010	565652	1
1510440	526973	1
91347	585396	1
395019	1235458	1
930782	565659	1
434271	1938595	1
59201	1400139	1
1282356	875329	1
287	1235458	1
1380908	1400139	1
571800	335284	1
910348	585396	1
1049565	1400139	1
22	1938595	1
1224	1235458	1
220664	1210443	1
155864	585396	1
386585	1400139	1
623	585396	1
1048689	585396	1
1052588	526973	1
286	1210443	1
507522	1400139	1
573	1400139	1
1590	565652	1
386585	585396	1
216592	585396	1
300268	585396	1
0	640513	1
