taxid	truth_taxid	count
318167	318167	24956
287	208964	24894
380021	220664	24755
640513	640513	24735
548	1400139	24572
1309	1074120	22560
1104326	1104326	22227
1344042	565659	20890
330922	335284	20077
316	1210443	17693
565655	565652	16960
632	187410	13115
562	585396	11700
1280	273036	11600
1649845	187410	11586
1396	526973	11562
319224	319224	11275
40324	1235458	9631
22	319224	9292
0	273036	8658
1117313	1938595	8089
1392	260799	7624
562	511145	6036
264730	875329	5571
1386	526973	5292
136849	875329	5178
497	335284	4922
273036	273036	4655
86661	260799	4459
1386	260799	4452
24	319224	4420
1392	198094	3786
1350	565652	3087
1352	565659	2788
1163399	1235458	2669
86661	526973	2553
550	1104326	2454
543	511145	2317
379731	1210443	2316
86661	198094	2311
1386	198094	2222
543	585396	2110
996285	1210443	1772
2005046	1235458	1474
2060307	565652	1458
868597	1235458	1438
585396	585396	1399
251698	875329	1282
522373	1235458	1204
1155071	1074120	1146
1353	565652	1145
0	585396	1068
283699	1938595	1024
1720343	1938595	896
103796	875329	863
53246	1938595	729
2057791	565652	719
1198676	1074120	654
511691	1074120	630
361100	526973	502
247523	1938595	495
391008	1235458	461
1196835	1210443	402
40323	1235458	365
2053832	526973	358
29438	875329	358
405535	526973	323
570	1400139	310
1428	526973	264
222523	526973	253
53707	875329	236
286	220664	212
561	585396	203
28109	1938595	196
1892404	526973	178
637380	526973	172
543	1104326	166
321	875329	156
288	1938595	134
288681	526973	125
317	875329	120
187410	187410	118
1104679	875329	116
1217984	526973	113
205918	875329	112
543	640513	111
543	1400139	107
1312369	1938595	107
1123016	1210443	99
1827305	1235458	90
354276	1104326	87
1279	273036	87
354276	640513	84
693985	875329	84
561	511145	78
405534	526973	72
0	260799	68
526977	526973	59
1761891	1938595	59
91347	187410	58
547	1104326	56
208964	208964	56
930170	526973	56
286	875329	54
547	640513	54
644801	1210443	53
0	526973	49
334406	526973	48
1392	526973	47
1314869	1938595	44
1405	526973	43
0	511145	41
323	875329	41
91347	585396	40
633	187410	38
0	198094	37
629	187410	36
136846	1210443	35
22	318167	32
286	208964	32
226900	526973	30
43263	1210443	30
216778	1235458	29
1945512	1210443	28
572264	526973	26
1345708	187410	23
470	1210443	22
220664	220664	21
47885	1210443	21
267375	1938595	19
129138	875329	17
1904944	1235458	17
1903411	187410	16
1385	260799	16
1315283	1938595	15
1423143	526973	15
1454382	526973	15
269801	526973	14
1123519	1210443	14
56458	1235458	14
1357279	875329	14
347495	526973	13
1224	208964	12
1967665	1938595	12
152297	1938595	12
1219067	1938595	12
264451	875329	11
91347	1400139	11
354276	1210443	11
1441467	1235458	10
128780	1235458	10
1385	198094	9
611301	1235458	9
43657	1938595	9
1351	565659	8
1452727	260799	8
1332075	875329	8
1124983	220664	8
470	1938595	7
83617	1235458	6
1330043	526973	6
1236	319224	6
349746	187410	6
451709	526973	6
0	208964	6
1218175	526973	6
346	1235458	6
1236	318167	6
1442	526973	6
43659	1938595	6
326442	1938595	6
91347	1104326	5
1379159	1235458	5
1195464	526973	5
1805933	1938595	5
1452727	198094	5
251701	875329	5
552525	526973	5
1003239	526973	5
234831	1938595	5
56454	1235458	5
32033	1235458	5
1350	565659	5
1324932	875329	5
1236	1104326	5
186826	565652	4
2018067	875329	4
315730	526973	4
223283	875329	4
1311	565659	4
91347	640513	4
1035377	187410	4
1104678	875329	4
768494	526973	4
1283330	1235458	4
61645	640513	4
1351	565652	4
663959	875329	3
340	1235458	3
570416	526973	3
198094	198094	3
529122	526973	3
1839798	526973	3
261591	526973	3
743721	1235458	3
135622	319224	3
1440052	585396	2
1793721	1235458	2
1639	565659	2
1851544	1235458	2
0	640513	2
492670	526973	2
56460	1235458	2
351745	319224	2
1420599	220664	2
412694	526973	2
86662	526973	2
1267562	1235458	2
2	319224	2
210007	1074120	2
1224	585396	2
53408	1235458	2
691	1938595	2
1045855	1235458	2
1452729	526973	2
930166	875329	1
1390	526973	1
445710	1235458	1
198214	585396	1
208962	585396	1
136843	220664	1
315749	526973	1
435897	1235458	1
1003239	565659	1
1078034	585396	1
1201292	565659	1
405531	526973	1
287	1235458	1
64187	1235458	1
338	1235458	1
571800	335284	1
1868599	526973	1
237610	1210443	1
220664	1210443	1
103855	1235458	1
445710	1210443	1
220341	585396	1
9606	526973	1
286	1210443	1
417368	565659	1
