taxid	truth_taxid	count
632	187410	25000
550	1104326	25000
287	208964	25000
380021	220664	25000
56812	318167	25000
61645	640513	25000
24	319224	24999
330922	335284	24999
1280	273036	24999
1309	1074120	24960
548	1400139	24174
-2	1938595	23728
316	1210443	22292
37734	565652	22269
40324	1235458	17008
1392	260799	16627
562	585396	16527
1352	565659	14319
1396	526973	14169
29438	875329	12288
-2	875329	12067
-2	565659	10400
-2	526973	9120
562	511145	8466
1392	198094	8373
-2	1235458	7820
-2	565652	2723
-2	1210443	2642
1428	526973	1393
-2	1400139	784
228	1938595	663
317	875329	418
234831	1938595	375
251701	875329	157
86662	526973	140
53346	565659	74
1392	526973	68
-2	1074120	40
1351	565659	39
155322	526973	39
1354	565659	37
580165	526973	36
339	1235458	30
-1	1235458	29
42879	1938595	26
1173032	1938595	22
28151	1938595	21
212663	1938595	20
54308	875329	19
44674	1938595	19
56812	1938595	19
357794	1938595	19
1502	875329	19
314722	1235458	19
347	1235458	16
573	1400139	15
39485	875329	15
499229	1938595	14
1358	565659	14
47880	1210443	14
326544	1938595	13
1493	565659	13
447471	1938595	12
550	1210443	12
400668	1938595	12
366650	1235458	12
9	875329	11
767892	1938595	10
108	1235458	9
571	1400139	9
37734	565659	9
754476	526973	8
28108	1938595	8
2751	565659	8
208596	565659	8
259537	1210443	8
456327	1235458	8
42879	565659	8
62322	1210443	7
666685	1235458	7
43305	565659	7
1642	565659	7
33970	565659	6
666685	1210443	6
359408	1938595	6
334543	565659	6
-2	511145	6
-1	565659	5
303	1235458	5
1311	565659	5
1116375	1938595	5
-1	1210443	5
53412	1235458	5
1398	565659	4
930166	875329	4
1404	526973	4
640511	565659	4
44012	1235458	4
29438	1210443	4
380021	1210443	4
354	1235458	4
1449	565659	4
43948	526973	4
160	1235458	4
53437	1938595	4
83558	1400139	4
550	1400139	3
-1	526973	3
34038	1235458	3
303	1210443	3
300	1210443	3
548	526973	3
293091	526973	3
1063	1235458	3
69966	526973	3
1613	565659	2
316278	565659	2
1376	565659	2
379064	526973	2
248026	565652	2
81475	1235458	2
680	565659	2
110662	565659	2
28901	1400139	2
1680	565659	2
29549	1235458	2
415229	1235458	2
562	1400139	2
202747	526973	2
366602	1235458	2
28095	1235458	1
28199	1938595	1
110539	1235458	1
1404	1938595	1
1334193	1938595	1
197162	565659	1
263	1400139	1
-2	319224	1
51197	565659	1
1334193	1400139	1
1640	565652	1
43669	1400139	1
1338	565652	1
233055	565659	1
1423	526973	1
-2	585396	1
818	565659	1
1348	565659	1
36855	565659	1
94122	1400139	1
59310	565652	1
34021	526973	1
1280	565659	1
1491	565652	1
53346	565652	1
69328	1235458	1
54291	1400139	1
1428	565659	1
287	1235458	1
53412	1400139	1
182710	526973	1
34018	1235458	1
249402	875329	1
1590	565652	1
54736	1400139	1
111501	875329	1
-2	335284	1
715	1938595	1
152260	565659	1
-2	273036	1
62977	565659	1
1219	565659	1
366648	1235458	1
