taxid	truth_taxid	count
35312	335284	24891
167129	318167	24776
1379692	187410	24677
167019	273036	23616
1412473	208964	22339
1608105	1400139	22310
1088883	640513	21629
1084722	1074120	21218
134599	526973	17831
134599	260799	16599
1778540	1104326	16541
1412473	1210443	16097
860235	565652	15789
890402	565659	12732
1746065	220664	12147
-2	1938595	11932
37108	319224	11181
-2	875329	10619
1871313	565659	9728
1412470	585396	9550
1412473	875329	8388
134599	198094	8356
1411902	319224	8323
591946	1235458	7837
-2	1235458	7366
1838138	1938595	7227
1412470	511145	6996
1050221	1235458	6456
559878	220664	5521
1412473	220664	5104
329852	1104326	4994
340	1210443	3933
1249	1074120	3656
1871313	565652	3506
330214	875329	3399
69609	319224	3348
-2	526973	2650
-2	1210443	2618
1286404	565652	2553
1412457	1938595	2346
591160	526973	2341
539	1400139	2164
1738045	585396	2103
169679	585396	2089
-1	220664	2088
1679933	208964	1864
-2	565652	1548
169679	640513	1498
983594	585396	1407
169679	511145	1353
1303	565659	1311
-1	319224	1271
-1	1104326	1236
329852	640513	1215
-2	565659	1170
169679	1104326	1069
336486	1210443	1027
10623	875329	1018
595895	1938595	990
1213187	1235458	976
435	1938595	961
1712387	565652	918
452	273036	792
-1	585396	751
1888	208964	628
1955493	1104326	613
1922621	319224	593
562970	565652	536
660955	875329	485
1513196	1235458	421
562971	875329	412
37206	1235458	403
662755	585396	402
169679	1400139	396
1349754	1235458	388
1580591	1938595	374
1379720	1210443	339
-1	1938595	331
170573	1210443	328
633	526973	315
1922429	526973	295
532076	187410	292
263	526973	275
1797	526973	252
-1	640513	241
-1	1210443	230
697192	1235458	230
532076	1104326	225
33940	273036	196
627480	273036	195
1605972	875329	183
40538	1938595	183
532076	585396	183
532076	640513	174
502102	526973	170
1873990	526973	165
-2	1104326	139
-1	1235458	139
758793	1938595	131
1217420	1235458	125
1411902	318167	124
754004	875329	123
-1	526973	123
1869111	1235458	121
10372	1235458	111
1366	526973	111
-2	220664	107
-1	565652	107
-2	319224	99
1182568	875329	97
1708497	526973	94
1869111	1210443	89
70823	1938595	86
1311	1210443	85
1286528	1074120	85
1738045	273036	84
1738045	511145	81
1485012	1210443	79
1249668	526973	79
862259	1938595	76
-1	875329	68
-1	273036	68
532076	1400139	64
1967666	1938595	63
1379788	1235458	57
296	1938595	53
10372	1210443	53
10372	319224	50
1156937	335284	47
1869111	208964	46
-2	640513	44
756276	526973	44
-1	1400139	43
2139	526973	43
1385941	526973	42
1121353	319224	41
548	1104326	41
1545835	1210443	40
331272	1235458	39
-1	208964	38
1511916	1938595	38
663918	1235458	35
396359	1938595	34
-2	585396	33
1738045	208964	33
10372	318167	32
10372	640513	31
1156720	1235458	31
1869111	875329	31
532076	511145	30
10372	208964	28
-2	1074120	28
525898	1210443	28
548	640513	26
63	1235458	25
67761	875329	25
1738045	260799	24
364106	1104326	23
335541	1235458	22
331978	1235458	21
1738045	1210443	21
10372	1104326	20
1738045	1235458	20
-2	273036	19
552	1104326	19
329853	875329	19
1679933	875329	19
167129	1938595	18
663918	526973	18
1379909	640513	18
1379711	1938595	17
138948	565659	16
463676	1210443	16
1054480	319224	16
1738045	198094	16
1054649	335284	15
262324	1938595	15
-2	1400139	15
1869111	220664	15
465515	875329	15
1283291	1235458	15
1673428	526973	14
1150992	1938595	14
364106	640513	14
39803	875329	14
-1	187410	14
1582	1235458	14
1580605	319224	13
-1	318167	13
288	1938595	13
431947	526973	13
1580580	318167	13
-2	208964	13
1250303	1938595	13
1868654	1938595	12
333923	319224	12
511	526973	12
469383	875329	12
1838064	1938595	12
1147158	875329	11
10264	1938595	11
1647302	1235458	11
983594	1104326	11
563169	1235458	11
-2	335284	11
1249472	1235458	11
1869111	1104326	10
1284804	1235458	10
1608105	640513	10
1582156	875329	10
590168	875329	10
331272	526973	10
1738045	318167	9
269799	1235458	9
2042057	875329	9
-2	318167	9
559878	1235458	9
1869111	319224	9
1421338	585396	9
449	1938595	9
1545835	208964	9
1249615	1235458	9
1508712	526973	9
1778262	319224	9
1738045	565659	9
204440	273036	9
1476901	1235458	8
1869111	640513	8
1580580	1938595	8
10334	565652	8
1642436	1938595	8
2173	335284	8
494269	640513	8
1840644	1235458	8
268747	875329	7
1738045	220664	7
10372	335284	7
40324	1235458	7
1906172	526973	7
1302	565659	7
2003651	526973	7
1703968	1104326	7
1540823	1938595	7
2287	273036	7
66084	640513	7
1843762	875329	7
-1	565659	6
10372	1400139	6
1441800	1210443	6
1545835	220664	6
656190	1235458	6
-2	511145	6
1805953	875329	6
1379909	1104326	6
70566	526973	6
-1	511145	6
1738045	319224	6
633145	526973	5
1869111	318167	5
10345	640513	5
1869111	187410	5
1548918	1104326	5
1955493	640513	5
1923000	526973	5
1738045	526973	5
10372	220664	5
1941239	1235458	5
546	640513	5
1642646	565659	5
985080	565652	5
75914	526973	5
362692	640513	5
1746072	526973	5
1316596	335284	5
1745250	1235458	5
1738045	1938595	5
-1	1074120	5
1580580	319224	5
1345695	526973	5
925776	1074120	5
1155071	318167	4
1675686	565652	4
1641812	1210443	4
1738045	640513	4
1051966	875329	4
889453	319224	4
1868135	1235458	4
1316593	565652	4
591001	1235458	4
-2	187410	4
1514665	640513	4
693986	526973	4
889453	318167	4
1922560	526973	4
1582153	1235458	4
1806508	273036	4
1218357	640513	4
1541883	640513	4
1608090	335284	4
1738045	187410	4
40061	319224	3
199	1235458	3
198110	273036	3
1608105	1104326	3
611	1104326	3
984129	526973	3
1647391	319224	3
1156721	1074120	3
1410605	1235458	3
1803956	1235458	3
1542498	1235458	3
331678	565659	3
1738045	875329	3
1381115	526973	3
1218357	1104326	3
1844928	526973	3
1246955	565652	3
43263	1235458	3
991022	1210443	3
1249649	319224	3
1738045	335284	3
2035845	565652	3
10372	875329	3
1740163	526973	2
33765	1104326	2
532076	319224	2
362692	1104326	2
887827	565659	2
754075	640513	2
66084	1104326	2
1678678	526973	2
1051973	565652	2
1449088	319224	2
33941	565652	2
200402	640513	2
333146	273036	2
40538	318167	2
10372	187410	2
1513890	1938595	2
41460	1104326	2
1156937	565659	2
41460	640513	2
10334	260799	2
215578	318167	2
42631	1235458	2
1541883	1104326	2
494269	1104326	2
518	526973	2
335187	526973	2
1922657	526973	2
1969400	1104326	2
1304	526973	2
331104	1104326	2
697329	565659	2
992406	1235458	2
1647469	526973	2
163877	640513	2
34105	526973	2
983594	640513	2
1868589	526973	2
1873887	1938595	2
1302	565652	2
-1	335284	2
2003398	208964	2
1548918	640513	2
1873777	318167	2
138948	565652	2
1123269	565652	2
321	335284	2
499555	273036	2
459957	335284	2
1714370	1210443	2
755732	565652	2
264198	526973	2
1412470	640513	2
1385727	1235458	1
104263	640513	1
1869111	1400139	1
1738045	565652	1
1778262	318167	1
298386	1104326	1
762550	640513	1
1414747	187410	1
1785995	565659	1
956149	1104326	1
1345695	1938595	1
1316593	565659	1
1738045	1104326	1
35244	565652	1
40537	1938595	1
1933910	319224	1
1150353	1104326	1
1482	1938595	1
204440	526973	1
658904	1235458	1
1703969	319224	1
1600	640513	1
431892	273036	1
857417	526973	1
103690	640513	1
925984	875329	1
1577776	875329	1
167018	565652	1
1249651	1104326	1
40540	1938595	1
1150992	565659	1
1254439	1210443	1
1703968	640513	1
10335	1104326	1
1746061	273036	1
300879	1235458	1
400835	640513	1
10372	585396	1
573	1104326	1
464980	640513	1
138950	1938595	1
10372	1938595	1
1740165	318167	1
545	640513	1
263004	1210443	1
2035845	565659	1
1140	1104326	1
539	640513	1
10273	1938595	1
1911104	640513	1
1574422	1235458	1
37927	319224	1
1087440	640513	1
1933910	640513	1
37206	526973	1
1647311	319224	1
103690	1104326	1
1736759	318167	1
131082	640513	1
693985	526973	1
645	319224	1
10519	565659	1
644	875329	1
1778570	640513	1
1384459	335284	1
1704499	640513	1
1938607	565659	1
1639	640513	1
1513890	640513	1
70793	318167	1
1610576	640513	1
10255	1104326	1
399781	640513	1
1350461	1104326	1
239935	526973	1
1249655	640513	1
1804155	273036	1
1869111	335284	1
365046	526973	1
1304	565652	1
983594	319224	1
138184	640513	1
665914	1104326	1
1350461	640513	1
427318	260799	1
2055	1235458	1
1140	640513	1
1738045	1400139	1
552	640513	1
1610576	1235458	1
-1	198094	1
1379715	640513	1
1543419	318167	1
-2	260799	1
546	1104326	1
1708653	526973	1
40061	1235458	1
561501	335284	1
1647306	1938595	1
35806	640513	1
1969400	319224	1
1727163	1104326	1
2133	1104326	1
298386	640513	1
1317107	1235458	1
1844928	565659	1
762550	1104326	1
1150389	187410	1
329254	1938595	1
