taxid	truth_taxid	count
640513	640513	25000
335284	335284	24994
318167	318167	24993
548	1400139	24988
1104326	1104326	24919
632	187410	24652
1309	1074120	23889
1344042	565659	21615
220664	220664	21131
565655	565652	20739
319224	319224	18794
1392	260799	16404
208964	208964	15010
316	1210443	14898
1280	273036	13008
264730	875329	12042
273036	273036	11980
0	1938595	11750
283699	1938595	10400
287	208964	9977
0	875329	9145
562	585396	9096
1396	526973	8890
562	511145	8360
1392	198094	8335
40324	1235458	8282
585396	585396	7198
24	319224	6201
86661	526973	5711
1163399	1235458	4684
868597	1235458	3856
380021	220664	3852
522373	1235458	3801
0	1235458	3164
1352	565659	2880
379731	1210443	2871
1095103	875329	2427
0	526973	2250
0	1210443	2100
96563	1210443	2082
1353	565652	2038
996285	1210443	1969
361100	526973	1908
1350	565652	1134
0	565652	1067
391008	1235458	1035
53246	1938595	898
1428	526973	835
222523	526973	760
1315283	1938595	714
288681	526973	665
930170	526973	606
405535	526973	587
1217984	526973	572
637380	526973	570
526977	526973	532
0	565659	490
1196835	1210443	420
326442	1938595	391
1198676	1074120	385
205918	875329	382
511691	1074120	368
1155071	1074120	358
187410	187410	332
136849	875329	250
543	585396	233
1386	526973	216
260799	260799	205
47885	1210443	170
234831	1938595	152
152297	1938595	145
317	875329	135
347495	526973	130
136846	1210443	129
1454382	526973	121
223283	875329	101
1123016	1210443	101
1332075	875329	96
550	1104326	81
543	511145	78
644801	1210443	65
1324932	875329	62
1442	526973	62
529122	526973	61
40323	1235458	57
1236	1938595	55
1195464	526973	55
1357279	875329	55
286	1210443	55
1405	526973	52
405534	526973	49
86662	526973	47
1328314	1210443	47
32033	1235458	45
226900	526973	44
357804	1938595	44
1123519	1210443	41
392500	1938595	40
1392	526973	36
572264	526973	33
56458	1235458	32
160488	875329	31
1218175	526973	31
1441629	875329	30
470	1938595	29
1348114	1938595	29
315730	526973	25
321	875329	25
1793721	1235458	23
135622	1938595	23
199201	875329	23
676	1938595	23
294	875329	22
58049	1938595	22
198094	198094	21
451709	526973	21
1415784	526973	20
1324931	875329	20
161398	1938595	20
666	1938595	20
136843	875329	19
286	875329	18
1074000	1938595	17
1330043	526973	17
511145	511145	17
286	220664	16
86661	260799	16
0	187410	16
312309	1938595	16
1221522	875329	16
86661	198094	15
930166	875329	14
672	1938595	14
55601	1938595	13
167879	1938595	13
83333	511145	13
315749	526973	13
0	208964	13
94122	1938595	12
287	875329	12
1623290	526973	12
405532	526973	12
1282356	875329	12
1147786	875329	10
216142	875329	10
43263	1210443	10
381754	1210443	10
543	1400139	9
637905	1938595	9
714359	526973	9
159087	1210443	9
80854	1938595	8
1452729	526973	8
1338032	1938595	8
407976	1938595	8
314282	1938595	8
398579	1938595	8
1085623	1938595	7
128780	1235458	7
216595	1938595	7
64187	1235458	7
159087	875329	7
484770	1938595	7
0	318167	7
1116375	1938595	7
1207075	875329	7
0	273036	7
180850	526973	6
738	1938595	6
413496	1938595	6
1001585	1210443	6
589873	1938595	6
670	1938595	6
1224	1210443	5
1219076	1938595	5
587753	875329	5
2	1938595	5
1351	565659	4
82983	1938595	4
0	319224	4
1236	1210443	4
316	875329	4
1458425	875329	4
0	511145	4
891391	565652	4
1300150	565652	4
399804	1938595	4
1350	565659	4
135621	1210443	4
983545	1938595	4
0	335284	4
1028989	875329	3
1028307	1400139	3
1224	1938595	3
1305849	565659	3
562	1938595	3
334406	526973	3
1351	565652	3
1073999	1938595	3
1129794	1938595	3
1280	1938595	3
136845	875329	3
662	1938595	3
569	1938595	2
338	875329	2
1774743	526973	2
190017	875329	2
1353	1938595	2
221109	526973	2
1423	526973	2
1104325	565659	2
405531	526973	2
1078034	1938595	2
0	198094	2
1452722	526973	2
1279	273036	2
568703	565652	2
1261127	1938595	2
1352	565652	2
575788	1938595	2
1428	565652	2
1239	565652	2
768494	526973	2
1538553	875329	2
338	1235458	2
0	260799	2
218495	526973	1
497	335284	1
396513	526973	1
1196095	1938595	1
1301098	1210443	1
1261129	526973	1
281309	526973	1
1028307	526973	1
1155766	565659	1
796606	526973	1
768486	565659	1
1392476	273036	1
456320	526973	1
998088	1938595	1
1300150	526973	1
366649	1235458	1
592022	526973	1
1328314	875329	1
914127	1938595	1
1	585396	1
226	1938595	1
1284	526973	1
1245471	1210443	1
1597	565652	1
1229205	1235458	1
131567	526973	1
314722	1235458	1
1499686	1210443	1
340	1235458	1
743720	875329	1
571800	335284	1
1367477	565652	1
572479	526973	1
32008	1235458	1
0	220664	1
1	526973	1
399804	319224	1
641	1938595	1
1564681	1938595	1
1350	526973	1
1446494	565652	1
717610	1938595	1
1404	526973	1
483913	526973	1
29338	526973	1
1381115	273036	1
1076550	1938595	1
1217721	1210443	1
1334632	875329	1
1006007	526973	1
1004787	1938595	1
1649877	875329	1
1351	526973	1
46170	273036	1
