taxid	truth_taxid	count
640513	640513	24995
318167	318167	24993
330922	335284	24983
548	1400139	24979
380021	220664	24953
1104326	1104326	24849
287	208964	24661
632	187410	24652
1309	1074120	24298
1344042	565659	21194
316	1210443	18719
319224	319224	18696
565655	565652	16679
1392	260799	15874
1396	526973	15641
562	585396	14567
40324	1235458	13452
1280	273036	13392
273036	273036	11587
1117313	1938595	11547
0	875329	8605
562	511145	8368
1392	198094	7962
0	1938595	6725
24	319224	6146
264730	875329	5710
136849	875329	5220
1350	565652	4514
1352	565659	3300
53246	1938595	2906
40323	1235458	2780
1163399	1235458	2695
103796	875329	2500
0	1235458	2481
1386	526973	2297
379731	1210443	2003
0	1210443	1913
585396	585396	1808
86661	526973	1785
0	526973	1596
2060307	565652	1386
996285	1210443	1286
251698	875329	1238
2005046	1235458	1166
1353	565652	1108
868597	1235458	1100
283699	1938595	917
361100	526973	698
1720343	1938595	697
522373	1235458	669
86661	260799	667
0	565652	656
2057791	565652	651
28109	1938595	547
247523	1938595	505
391008	1235458	498
405535	526973	494
0	565659	490
2053832	526973	442
1196835	1210443	386
86661	198094	362
1428	526973	351
187410	187410	332
208964	208964	326
222523	526973	281
321	875329	277
53707	875329	264
511691	1074120	257
1892404	526973	255
29438	875329	240
1155071	1074120	228
637380	526973	225
1198676	1074120	217
205918	875329	209
1315283	1938595	205
288681	526973	197
1217984	526973	194
1312369	1938595	176
22	319224	152
550	1104326	146
288	1938595	141
543	585396	131
267375	1938595	130
1761891	1938595	127
136846	1210443	119
1314869	1938595	107
47885	1210443	107
526977	526973	100
693985	875329	99
1123016	1210443	98
251701	875329	90
543	511145	77
286	875329	75
930170	526973	74
286	1210443	66
237610	1210443	63
323	875329	62
1405	526973	53
317	875329	50
644801	1210443	49
405534	526973	49
260799	260799	48
1827305	1235458	47
264451	875329	47
32033	1235458	40
1117319	1938595	40
1454382	526973	38
1104678	875329	38
1386	260799	36
287	1210443	35
1123519	1210443	33
160488	875329	31
353	1210443	31
220664	220664	30
1441629	875329	30
1423143	526973	29
234831	1938595	29
314281	1938595	29
1357279	875329	27
1386	198094	26
216778	1235458	26
152297	1938595	24
2018067	875329	24
1338689	1210443	23
561	511145	23
1442	526973	23
347495	526973	22
198094	198094	21
561	585396	21
1392	526973	21
1195464	526973	18
1332075	875329	18
76758	875329	18
62322	1938595	17
663959	875329	16
0	187410	16
1328314	1210443	16
326442	1938595	16
286	220664	16
1534110	875329	15
572264	526973	15
1904944	1235458	15
1236	1938595	14
570	1400139	14
43659	1938595	14
0	208964	13
1003239	526973	13
497	335284	12
223283	875329	12
1981174	875329	11
56458	1235458	10
216142	875329	9
1415784	526973	9
135622	1938595	9
1282356	875329	9
135621	1210443	9
1623290	526973	8
226900	526973	8
298657	1938595	8
287	875329	7
315730	526973	7
43263	1210443	7
64187	1235458	7
0	318167	7
0	273036	7
670	1938595	7
1351	565659	6
93973	1938595	6
1001585	1210443	6
1219067	1938595	6
1324932	875329	6
1218175	526973	6
543	1400139	6
128780	1235458	6
930166	875329	5
1571	526973	5
199201	875329	5
129138	875329	5
1279	273036	5
300	1210443	5
676	1938595	5
1350	565659	5
159087	1210443	5
470	1938595	4
180850	526973	4
1149133	1210443	4
0	319224	4
0	511145	4
492670	526973	4
589873	1938595	4
484770	1938595	4
562	1938595	4
543	1104326	4
69	1235458	4
1381115	273036	4
0	335284	4
315749	526973	3
2	273036	3
1839798	526973	3
451709	526973	3
1423	526973	3
1305849	565659	3
1853130	875329	3
445710	1210443	3
357804	1938595	3
1583341	875329	3
1351	565652	3
340	1210443	3
338	875329	2
529122	526973	2
115561	1210443	2
587753	875329	2
456320	526973	2
1236	1210443	2
1318466	1938595	2
2049589	875329	2
543	640513	2
1385	526973	2
354276	640513	2
1458425	875329	2
0	198094	2
1224	1210443	2
1538553	875329	2
696485	1938595	2
1697053	875329	2
296	875329	2
2	1938595	2
1868599	526973	2
1	526973	2
76758	1210443	2
1116375	1938595	2
1428	565652	2
666	1938595	2
1891675	1938595	2
691	1938595	2
294	875329	2
1348114	1938595	2
0	260799	2
47877	875329	2
354276	1104326	1
768486	565659	1
1196095	1938595	1
2	526973	1
1301098	1210443	1
1300150	565652	1
633807	526973	1
1440	526973	1
82983	1938595	1
1028307	526973	1
1155766	565659	1
796606	526973	1
611301	875329	1
1392476	273036	1
1175631	1938595	1
159087	875329	1
1236	319224	1
135735	526973	1
343	1235458	1
1028307	1400139	1
1649877	875329	1
221109	526973	1
592022	526973	1
2116657	1210443	1
1804984	1235458	1
417368	526973	1
1328314	875329	1
317013	1235458	1
0	585396	1
1	640513	1
1338032	1938595	1
1192196	526973	1
190895	1938595	1
571800	335284	1
0	220664	1
672	1938595	1
399804	319224	1
2014742	1938595	1
665914	1938595	1
1281	526973	1
1245471	1210443	1
1239	526973	1
1350	526973	1
308354	526973	1
58049	1938595	1
338	1235458	1
1076550	1938595	1
375175	526973	1
43657	1938595	1
1351	526973	1
46170	273036	1
