taxid	truth_taxid	count
940614	682795	49992
392734	926566	49979
28132	553174	49976
395922	583355	49972
984	485917	49971
940615	1198114	49956
398743	655815	49922
88688	509190	49858
96345	96345	49691
304895	479433	49683
379067	749414	49526
0	574556	49373
68280	653045	49307
1859	326424	49294
0	481448	49245
0	760192	49191
28447	443906	49045
0	926556	49037
0	880070	49031
0	435591	48717
0	435590	48679
0	471854	48587
0	762903	48557
0	488538	48259
0	204669	48104
0	234267	47941
0	997883	47737
0	1166018	47551
0	452637	47074
0	309807	47038
0	867900	46274
0	448385	46051
384	935554	45599
0	1133849	44497
0	637913	42989
0	479432	42789
0	632772	41974
0	529120	41686
0	991905	39840
0	1076	39686
0	34073	39509
0	246196	38649
0	1193499	37875
95486	1167689	37043
0	564420	33173
0	983918	32832
0	483219	26926
2005046	1235458	26447
0	1016998	24450
0	585396	20862
1813821	585396	19432
34	483219	18668
0	1235458	18194
54736	1016998	14598
0	1167689	10964
314275	529120	6270
138563	637913	6085
294	564420	5990
198620	564420	5924
0	935554	3503
1912	653045	3213
1499973	585396	2777
1649877	1193499	1883
34073	34073	1817
83455	483219	1715
104087	564420	1705
1450169	983918	1655
564886	585396	1652
545	1016998	1623
196242	585396	1605
216778	1235458	1575
563769	585396	1437
294	1193499	1427
375	1076	1382
128780	1235458	1365
33014	443906	1350
184914	483219	1329
436515	34073	1328
2057741	1076	1323
312306	1193499	1320
31963	443906	1228
69328	1193499	1190
1755689	983918	1175
189918	246196	1132
1294143	983918	1087
1702170	1016998	1078
316	983918	1073
300	983918	1050
1791	246196	1005
294	983918	986
110539	246196	981
1777064	983918	975
1134687	1016998	930
1796613	997883	905
1274631	1076	894
244366	1016998	872
1800	246196	860
1033922	632772	858
1223566	1076	852
505292	983918	846
157782	1193499	841
1682113	246196	793
32630	585396	780
1764	246196	752
1853130	564420	729
288000	1076	727
1874630	443906	725
376	1076	714
1283291	564420	696
1813821	1016998	687
1777054	983918	671
76594	867900	645
305	1167689	636
396	935554	628
0	326424	612
83617	1235458	606
47880	1193499	594
1499973	1016998	572
61646	1016998	569
1283291	1193499	552
36814	246196	551
758802	246196	544
376805	997883	541
1223260	983918	540
1829	632772	540
1545728	246196	535
53412	983918	533
43	483219	514
1920128	1016998	508
300	1193499	501
1548918	983918	501
1868596	983918	496
233316	529120	489
1723645	632772	481
1796613	435590	477
384	991905	476
1223262	983918	473
28251	997883	470
1727214	632772	468
488731	1167689	455
1149133	983918	446
187304	991905	442
1812934	585396	439
59600	867900	438
444444	991905	434
397865	997883	428
0	443906	422
1914861	1016998	414
1674922	991905	413
2020312	935554	411
200450	564420	411
456327	1235458	410
60550	1167689	408
1611770	983918	407
2026240	1016998	406
28450	1167689	405
1812934	1016998	391
53412	1193499	385
589873	529120	379
1158459	1016998	378
69218	1016998	372
47879	564420	370
575	1016998	364
1129145	983918	364
564064	1166018	362
104087	1193499	361
1788	246196	359
0	749414	354
47763	479432	351
722731	246196	350
61648	585396	349
936054	585396	348
879274	991905	348
316	1193499	344
61648	1016998	340
95486	34073	338
56454	1235458	334
1223259	983918	331
1567486	585396	326
1500686	1193499	322
1500686	983918	319
1912	479432	319
374810	585396	316
2077137	1016998	312
83655	1016998	309
1623286	983918	309
1653479	632772	304
2020	479432	297
1917158	529120	294
312306	983918	294
0	653045	294
389469	983918	289
2067572	564420	286
996801	867900	286
1930532	983918	284
1936080	867900	282
913	1076	279
1611770	1193499	278
414970	585396	277
742013	34073	277
1660365	585396	276
47880	983918	273
103807	585396	272
1649877	983918	269
1149133	1193499	268
56459	1235458	268
0	96345	266
1223261	983918	265
397353	983918	265
1736674	867900	264
61647	1016998	264
198620	983918	264
1888	479432	263
1981164	585396	262
1777053	983918	261
413502	1016998	261
9606	867900	260
1611770	564420	260
1134687	585396	259
376805	435591	259
71433	991905	258
0	479433	256
2057025	1166018	253
415229	1235458	246
1211326	1166018	244
157782	983918	239
376805	435590	239
927083	448385	235
223967	991905	235
10699	983918	233
519	34073	230
413501	1016998	229
375	991905	224
1161903	983918	221
1853130	1193499	221
358	991905	219
413497	1016998	219
193	991905	216
104087	983918	216
300	564420	216
1936081	867900	212
1500686	564420	212
29549	309807	211
330	983918	211
198620	1193499	208
1147152	585396	208
9606	637913	208
1033922	246196	208
1379870	1166018	207
2066070	991905	207
280701	983918	207
1484157	585396	204
384	34073	202
237609	1193499	202
76758	564420	201
56460	1235458	199
2083055	564420	197
1163710	1016998	197
186765	585396	195
200451	564420	195
9606	762903	192
545	585396	188
1764	632772	187
9606	481448	187
1796613	435591	186
379067	479432	186
754409	867900	185
1578165	246196	183
237609	983918	183
193	1076	178
2067572	1193499	178
2057741	34073	178
426117	991905	177
288000	991905	177
1335048	991905	175
69328	983918	175
305	34073	175
1033922	1133849	174
1536596	983918	174
536018	991905	173
2066	479432	169
1147148	585396	169
28068	34073	167
399	991905	164
397865	435591	163
1283291	983918	162
948	574556	161
2018025	479432	161
396	991905	160
2057741	991905	160
32630	1016998	159
2054	632772	158
9606	880070	158
2015316	991905	158
1764	1133849	158
1800	632772	157
648999	479432	157
7	991905	157
43357	479432	156
47763	632772	156
68192	479432	156
316	564420	155
110539	632772	155
1235591	1076	154
1791	632772	152
1765	246196	152
244566	564420	152
10710	585396	151
189918	632772	151
528244	991905	150
1930532	1193499	149
1147146	585396	148
47877	1193499	146
2083055	1193499	146
984	762903	144
1829	246196	143
1945662	991905	143
1524881	585396	143
1349819	991905	142
1836	479432	140
28450	34073	140
1902	479432	139
1208324	991905	139
426117	1076	139
286	983918	139
2033869	991905	138
1915	479432	137
2069432	867900	135
2033438	1016998	135
384	1076	135
1894	479432	134
347324	983918	134
40567	479432	134
1777052	983918	134
860235	479432	134
68280	479432	134
1727164	762903	133
1682113	632772	133
28112	997883	133
47879	1193499	133
7	1076	132
208439	1133849	132
1841249	479432	132
2036817	34073	131
219572	564420	131
223967	1076	131
418223	991905	131
1702170	585396	130
1911175	1133849	130
97081	585396	130
208439	479432	130
76758	1193499	130
33075	204669	129
584609	867900	129
1912	632772	129
34073	1193499	128
244566	1193499	128
1972846	479432	128
29311	246196	126
61652	1016998	126
2094021	479432	126
43357	1133849	126
42197	479432	125
2054	246196	125
2024580	479432	125
2067572	983918	123
1829	1133849	123
10744	585396	122
1223566	991905	121
1545728	632772	121
