taxid	truth_taxid	count
287	983918	81288
1772	246196	68094
246196	246196	54915
562	585396	51584
1198114	1198114	50552
991905	991905	50237
653045	653045	50166
760192	760192	50117
553174	553174	50115
632772	632772	50038
443906	443906	50021
479432	479432	50010
880070	880070	50000
926556	926556	50000
234267	234267	50000
583355	583355	50000
488538	488538	50000
655815	655815	50000
448385	448385	50000
326424	326424	50000
471854	471854	50000
509190	509190	50000
204669	204669	50000
481448	481448	50000
867900	867900	50000
574556	574556	50000
452637	452637	50000
682795	682795	50000
749414	749414	50000
435590	435590	50000
479433	479433	50000
485917	485917	50000
762903	762903	50000
926566	926566	50000
435591	435591	49999
1133849	1133849	49997
309807	309807	49992
483219	483219	49984
88688	509190	49806
529120	529120	48605
1193499	1193499	46789
231023	1193499	46410
0	1166018	45175
652103	1076	44188
95486	1167689	40870
817	997883	39441
96345	96345	39360
40324	1235458	38164
979	867900	35644
637913	637913	35282
28108	529120	34713
0	34073	32500
0	1016998	31834
0	564420	29936
761659	309807	25242
351746	1193499	25194
28901	1016998	24972
1189310	483219	21861
216596	935554	18883
1004788	529120	17783
210	637913	16747
406425	1167689	13565
295405	997883	13430
387	935554	13313
1452724	96345	12498
384	935554	12291
0	997883	12079
862962	997883	9713
0	1167689	9294
2005046	1235458	8481
272559	997883	8241
754523	935554	8197
0	1235458	8182
2025876	435591	7912
868597	1235458	7845
1163399	1235458	7534
395491	935554	7062
1004787	529120	6510
1016998	1016998	5912
331272	1167689	5311
331271	1167689	5277
198620	564420	5252
1081940	1193499	4869
1338689	1193499	4606
2083052	1193499	3833
2069256	1193499	3502
0	983918	3343
0	935554	3293
522373	1235458	3253
303	1193499	3106
0	1076	2953
1912	653045	2830
1076	1076	2646
205922	564420	2457
585396	585396	2422
292	1167689	2158
1534110	564420	2016
391008	1235458	2004
1411700	983918	1928
1452725	96345	1680
160488	1193499	1631
765964	637913	1434
512562	637913	1398
794851	637913	1394
1163740	637913	1364
1163739	637913	1364
1055529	637913	1334
1827305	1235458	1334
104087	564420	1279
1055528	637913	1241
294	564420	1239
1163741	637913	1194
1055531	637913	1127
33014	443906	1106
1004785	529120	1102
0	585396	1101
436515	34073	1064
1097677	443906	981
395960	1076	974
402612	96345	924
930166	564420	911
224729	1016998	899
258594	1076	897
1659194	564420	889
31964	443906	876
1834519	1166018	853
1029983	1016998	836
1243595	1016998	803
765963	637913	795
587753	564420	794
37326	1133849	766
931281	1193499	699
1055532	637913	687
396	935554	670
1150601	1193499	645
1221522	564420	644
216591	1167689	640
1427342	983918	611
1215087	1193499	607
1874630	443906	576
595537	34073	555
1147786	564420	539
305	1167689	520
505292	983918	513
90371	1016998	512
1283291	564420	510
1853130	564420	509
997877	997883	505
85698	34073	496
1089456	983918	489
1207075	564420	467
28131	997883	462
543728	34073	457
2025876	997883	450
1703969	935554	429
1796613	997883	423
941193	983918	418
1448140	983918	407
1450169	983918	404
303	564420	398
557722	983918	394
290847	637913	391
2020312	935554	391
395492	935554	391
1408272	983918	390
1124983	564420	387
28450	1167689	380
2126319	34073	380
102608	637913	374
1246301	34073	373
200450	564420	363
1321940	637913	360
518	34073	353
381754	983918	348
1248726	637913	347
1813821	585396	343
684950	637913	340
1382922	637913	336
1178516	1166018	332
1777054	983918	332
585535	637913	325
1033991	935554	324
86192	564420	321
1777064	983918	320
866346	637913	318
379	935554	315
585538	637913	313
866345	637913	302
1382926	637913	302
1055524	1167689	301
564064	1166018	300
1248725	637913	295
1382925	637913	287
1163742	637913	285
1382923	637913	282
866344	637913	277
128780	1235458	277
1401325	997883	276
32002	34073	274
1114970	564420	272
41899	1167689	269
32009	34073	264
47879	564420	263
994484	564420	260
286	564420	258
595500	1167689	256
208962	585396	252
216778	1235458	247
380021	564420	247
1123015	983918	244
679935	997883	242
59201	1016998	239
488729	1167689	238
1904944	1235458	234
1548918	983918	229
1242097	1016998	229
667015	997883	227
765962	637913	225
2057025	1166018	224
95485	1167689	224
47878	564420	222
305	34073	217
323	564420	216
1279007	983918	215
316058	1076	213
40324	34073	212
1173939	1016998	209
60552	1167689	206
816	997883	206
1301032	935554	206
463025	34073	205
1211326	1166018	203
2020311	935554	202
1193501	983918	199
1400868	983918	199
1432049	935554	198
223283	564420	197
1279008	983918	195
488731	1167689	193
397353	983918	191
1795631	34073	188
1177574	553174	185
95486	34073	183
482957	1167689	182
29449	935554	182
2067572	564420	181
1981174	564420	180
491916	935554	180
1415629	983918	178
1009714	983918	175
1311573	637913	174
1321938	637913	174
1321941	637913	174
397865	997883	174
1379870	1166018	172
1173427	1016998	171
389469	983918	168
60550	1167689	162
1223260	983918	162
1254432	448385	161
339670	1167689	160
1611770	564420	159
938142	1016998	158
149391	1016998	158
76758	564420	154
103855	34073	153
93219	1167689	153
483687	1016998	152
1920191	34073	149
217204	34073	149
1332075	564420	148
32008	34073	147
2083055	564420	146
292	34073	145
880074	997883	144
2018067	564420	144
2083054	564420	143
208964	983918	143
1395570	1167689	142
87883	1167689	142
287	564420	141
57975	1167689	141
463024	34073	140
1441629	564420	140
2057741	34073	139
76869	564420	136
83617	1235458	136
1415630	564420	134
398578	34073	133
216595	564420	133
347834	935554	131
1055530	637913	131
1328306	935554	131
1981173	935554	130
1265445	762903	129
90105	1016998	128
56458	1235458	127
742013	34073	126
1416806	1167689	125
1384061	1193499	125
876364	34073	123
946333	34073	123
321	564420	123
1416803	34073	123
32008	1167689	122
1758194	34073	122
92645	34073	122
75105	1167689	122
180282	34073	122
28095	34073	121
287	34073	121
1500687	564420	121
907238	637913	120
1207504	1167689	120
1389192	34073	119
346	1235458	118
103796	564420	117
487909	1235458	116
1842727	34073	116
217203	34073	115
1500686	564420	114
1261556	1235458	111
1416806	34073	111
999541	34073	110
192	34073	110
1513890	564420	110
296	564420	110
92644	653045	109
1658665	34073	108
357544	637913	108
1208660	34073	108
93220	34073	107
1037911	564420	106
596153	34073	105
220664	564420	105
316057	1076	105
1793721	1235458	103
101571	34073	103
1777053	983918	102
76761	564420	102
367825	34073	102
398577	1167689	102
395019	1167689	102
391735	34073	101
339	1235458	101
317	564420	100
983917	34073	99
907237	637913	99
1208658	34073	98
1282356	564420	98
244566	564420	96
1243586	1016998	95
562971	34073	95
1223259	983918	94
693979	997883	94
1055527	637913	94
1223261	983918	92
251701	564420	92
596154	34073	92
1340851	983918	90
300	564420	90
1334632	564420	90
41899	34073	89
1382921	637913	89
1771	246196	89
28251	997883	88
595500	34073	88
53408	34073	88
75293	653045	88
87883	34073	87
246787	997883	86
46257	564420	86
1321939	637913	86
1250339	1167689	86
643561	34073	85
941187	1016998	85
1009846	1167689	85
1108595	1167689	83
1495638	653045	83
219572	564420	83
76759	564420	82
1426844	637913	82
1420599	564420	81
488447	1167689	81
375	34073	81
1827300	564420	81
287	1167689	81
1382927	637913	81
237609	564420	80
1623286	983918	80
1382920	637913	80
390235	564420	80
983594	1167689	80
93221	34073	80
108619	1016998	80
1898684	564420	79
90270	1235458	79
28144	1016998	78
741155	564420	77
1411621	1166018	77
1755689	983918	76
286	983918	76
365046	34073	75
984237	1016998	75
1161903	983918	75
592205	637913	75
996285	983918	75
1331258	34073	74
10699	983918	74
471854	1166018	74
78327	564420	74
28119	997883	73
1484118	1166018	73
1355477	34073	73
350701	1167689	73
69	1235458	72
216142	564420	72
395495	34073	72
476213	1016998	72
28450	34073	71
93218	34073	70
1093787	983918	70
119912	1016998	70
1356852	1166018	70
1028989	564420	69
1304892	1235458	69
1267562	34073	69
243365	1167689	69
321314	1016998	69
314275	529120	69
57975	34073	69
519	34073	68
114615	34073	68
482957	34073	68
303	34073	68
101571	1167689	68
743720	564420	67
526949	935554	67
2020313	935554	67
1583341	564420	67
84531	1235458	67
1454627	1016998	66
2109914	34073	66
90370	1016998	66
58101	1016998	66
702982	1016998	66
1176492	34073	65
53408	564420	65
316	564420	64
1842537	34073	64
93222	34073	64
626418	34073	64
762376	34073	64
56	448385	64
1697043	34073	63
339670	34073	62
1079	34073	62
94132	34073	62
999541	1167689	62
1503054	34073	62
570508	637913	62
382	935554	61
105219	34073	61
563041	637913	61
435590	997883	61
761193	1166018	61
1526658	34073	61
95485	34073	61
1851544	34073	60
1242108	1016998	60
286	34073	60
1357279	564420	60
1407462	637913	60
1407463	637913	60
56730	935554	60
1042878	34073	59
381666	34073	59
224911	34073	58
56454	1235458	58
134676	34073	58
795665	34073	58
1227739	1166018	57
1248915	585396	57
47763	34073	56
1931241	983918	56
587753	34073	56
1571470	935554	56
80869	34073	56
463040	34073	56
397945	34073	56
435591	997883	56
205918	564420	56
1382924	637913	55
568707	34073	55
1206777	564420	55
203275	997883	55
1254432	34073	54
1410916	1016998	54
536019	34073	54
317013	1235458	54
69666	34073	54
1248903	585396	54
157782	564420	54
557598	1167689	54
1207504	34073	53
43	34073	53
28150	1016998	53
84531	34073	53
199201	564420	53
1245469	34073	53
340188	1016998	53
488732	1167689	52
1045855	1235458	52
1242106	1016998	52
387	34073	52
1280938	983918	51
413882	34073	51
442694	1235458	51
463014	34073	50
1091556	983918	50
1249665	1167689	50
382	34073	50
335659	34073	50
286783	1016998	50
1707785	34073	50
644801	983918	49
1283312	34073	49
264451	564420	49
1242102	1016998	49
1163743	637913	48
1356855	983918	48
192955	1016998	48
190721	34073	48
473423	1235458	48
1636610	564420	47
1867719	935554	47
33069	564420	47
316	34073	47
743721	1235458	47
1240708	1016998	47
13373	34073	47
1097668	34073	46
48664	1235458	46
53408	1235458	46
1324932	564420	46
392499	34073	46
538025	935554	46
1	34073	46
157783	34073	46
316055	1076	45
2036817	34073	45
1926494	34073	45
257310	34073	45
435897	34073	45
1495638	34073	45
1271863	1016998	45
420662	34073	45
54571	34073	45
748280	1167689	44
264729	1167689	44
93219	34073	44
1037409	34073	43
94624	34073	43
347	1235458	43
1301098	564420	43
431894	1167689	43
1076	34073	43
60552	34073	43
1123269	34073	43
1484116	1166018	43
155892	34073	43
408	34073	42
69	34073	42
1740163	34073	42
1082851	34073	42
925776	1235458	42
758796	34073	41
1938606	34073	41
1909395	34073	41
330	564420	41
270351	34073	41
128780	34073	41
329	34073	41
255131	1167689	41
56	34073	40
837	997883	40
445709	34073	40
2018025	34073	40
1503055	1167689	40
663959	564420	40
1616117	34073	40
1243600	1016998	39
1930532	564420	39
1392005	34073	39
33050	34073	39
441620	34073	39
1182590	564420	39
39645	34073	39
70775	564420	39
1259844	564420	39
1388763	564420	39
102611	637913	39
1349767	34073	38
37332	34073	38
1324931	564420	38
910265	983918	38
314722	1235458	38
640511	34073	38
1868596	983918	38
1242091	1016998	38
325776	1235458	38
1788301	564420	38
448385	34073	38
469383	34073	37
68895	34073	37
1418105	935554	37
1536596	983918	37
85643	34073	37
1274631	34073	37
358220	34073	37
649831	34073	37
1688404	34073	37
1249468	1167689	36
460265	34073	36
1063	34073	36
505291	983918	36
1134435	34073	36
1736675	34073	36
214856	997883	36
2005884	34073	36
340189	1016998	36
502025	34073	36
1096856	34073	36
265293	1167689	36
1385664	1166018	35
990315	1235458	35
44139	34073	35
2018065	34073	35
674703	34073	35
981368	1235458	35
68570	34073	35
1245471	564420	35
96773	34073	35
622	585396	35
80840	34073	35
1294143	564420	35
404589	34073	34
90270	34073	34
644283	34073	34
1262470	34073	34
1546149	34073	34
1435058	564420	34
693985	564420	34
1435044	564420	34
1003195	34073	34
1242107	1016998	34
1294270	34073	34
1395570	34073	34
435897	1235458	34
226186	997883	34
2083051	564420	34
1215088	564420	33
78245	34073	33
439851	1016998	33
1068978	34073	33
53408	983918	33
2048897	34073	33
748247	34073	33
2083053	564420	33
266265	34073	33
656178	34073	33
265293	34073	33
456327	1235458	32
1637841	1167689	32
445576	34073	32
10708	983918	32
384	34073	32
1894	34073	32
1096868	34073	32
713604	34073	32
1703966	935554	32
687860	1016998	32
87883	564420	32
488446	1167689	32
1703961	935554	32
1644131	34073	32
288000	34073	32
190485	1235458	32
93064	34073	32
1173798	1016998	32
1379159	34073	32
426117	34073	31
257708	34073	31
528244	34073	31
398527	34073	31
1637831	1167689	31
441162	1167689	31
1714373	34073	31
2045208	34073	31
1385663	1166018	31
366394	34073	31
639283	34073	31
1110502	34073	31
477245	34073	31
1649877	564420	31
1225174	564420	31
1211579	564420	30
1468409	1167689	30
129138	564420	30
1243584	1016998	30
688245	34073	30
262324	1235458	30
938141	1016998	30
391008	34073	30
100226	34073	30
247156	34073	29
1217721	34073	29
2049589	564420	29
75105	34073	29
571	564420	29
1830	34073	29
346	34073	29
1904640	34073	29
652103	34073	29
1842539	34073	29
439843	1016998	28
488731	34073	28
192954	1016998	28
399739	564420	28
1242088	1016998	28
2033844	34073	28
115808	34073	28
395491	34073	28
520	34073	28
278148	34073	28
656179	34073	28
243365	34073	28
1129146	983918	28
758793	34073	28
862719	34073	28
1670800	991905	28
1358017	1235458	28
648999	34073	27
398577	34073	27
465541	34073	27
1441467	564420	27
34004	34073	27
1431450	637913	27
1907	34073	27
488729	34073	27
1242105	1016998	27
1242101	1016998	27
102617	637913	27
379	34073	27
358	935554	27
1678028	34073	27
264730	564420	27
1609977	34073	27
2109913	34073	27
298654	34073	27
1108595	34073	27
2072590	34073	27
818	997883	27
1858609	34073	27
1225792	983918	27
106592	34073	27
40324	564420	26
85963	637913	26
340	1235458	26
1147786	34073	26
1124961	1016998	26
985079	34073	26
224911	564420	26
1637837	1167689	26
1842540	34073	26
395019	34073	26
366602	34073	26
1888	34073	26
1031711	34073	26
296591	34073	26
2057741	1076	26
927083	34073	26
479433	34073	26
2059672	1167689	25
2026199	34073	25
2059672	34073	25
135621	34073	25
1841249	34073	25
938143	1016998	25
160488	564420	25
1128334	34073	25
278153	34073	25
32009	1167689	25
483219	34073	25
984237	1167689	25
457428	34073	25
29429	34073	25
92644	34073	25
75293	34073	25
1129145	983918	25
1301098	34073	25
1437824	34073	25
1243612	1016998	24
38300	34073	24
40324	1166018	24
452652	34073	24
879274	34073	24
925775	1235458	24
2069256	564420	24
