taxid	truth_taxid	count
332163	234267	50000
1859	326424	50000
2350	760192	50000
94254	471854	50000
395922	583355	50000
304895	479433	50000
56	448385	50000
37919	632772	50000
96345	96345	50000
940614	682795	50000
104	880070	50000
940615	1198114	50000
146919	309807	50000
37326	1133849	50000
107709	452637	50000
511746	481448	50000
658062	204669	50000
979	867900	50000
392734	926566	50000
2001	479432	49999
767892	488538	49998
210	637913	49998
390884	926556	49998
769	574556	49993
821	435590	49990
984	485917	49985
379067	749414	49983
88688	509190	49979
991904	991905	49971
398743	655815	49968
28901	1016998	49963
28108	529120	49945
1772	246196	49911
151895	762903	49865
28132	553174	49793
562	585396	49226
28447	443906	47017
68280	653045	46625
1076	1076	46444
287	983918	43899
384	935554	43293
823	435591	42021
303	1193499	39041
817	997883	35198
95486	1167689	32974
40324	1235458	29503
33	483219	27538
198620	564420	3710
2005046	1235458	2306
294	564420	2006
34073	34073	933
436515	34073	810
1827305	1235458	663
1534110	564420	611
104087	564420	497
1834519	1166018	469
305	1167689	387
357276	997883	377
1659194	564420	347
587753	564420	281
303	564420	266
930166	564420	254
1207075	564420	246
317	564420	246
380021	564420	246
1853130	564420	238
75612	564420	221
1796613	997883	209
28251	997883	208
2126319	34073	208
214856	997883	207
505292	983918	188
200450	564420	184
1283291	564420	175
2020312	935554	160
1904944	1235458	159
1178516	1166018	155
128780	1235458	152
28450	1167689	138
376805	997883	131
1703969	935554	130
29449	935554	125
488731	1167689	125
292	1167689	125
1981174	564420	116
564064	1166018	114
1795631	34073	112
396	935554	110
1777064	983918	109
1416806	1167689	106
316	983918	104
36746	564420	100
251701	564420	100
75105	1167689	98
1207504	1167689	98
343	1235458	91
57975	1167689	90
47878	564420	87
339	1235458	87
216778	1235458	87
85698	34073	86
93219	1167689	85
95485	1167689	85
60552	1167689	85
47879	564420	83
1211326	1166018	78
1981173	935554	78
488729	1167689	78
152480	1167689	76
518	34073	76
1416806	34073	75
1503055	1167689	74
482957	1167689	73
2057025	1166018	69
87883	1167689	67
1450169	983918	66
290053	997883	64
200451	564420	63
76759	564420	60
219572	564420	60
34029	34073	58
1416803	34073	57
76758	564420	56
2018067	564420	55
2067572	564420	55
2109914	34073	54
1028989	564420	53
296	564420	53
2057741	34073	52
32002	34073	52
216142	564420	51
56458	1235458	51
2083054	564420	49
314722	1235458	49
1658665	34073	48
168471	1167689	48
1842727	34073	48
748280	1167689	47
28131	997883	47
1571470	935554	47
316	564420	46
179636	34073	46
237609	564420	45
47880	564420	45
114615	34073	44
82541	34073	43
364317	34073	43
1379870	1166018	42
56730	935554	42
93221	34073	40
346	1235458	39
106	1166018	38
192	34073	38
2025876	997883	38
94132	34073	38
821	997883	38
415229	1235458	36
1548918	983918	36
40324	34073	36
28068	34073	36
2005884	34073	36
1331258	34073	36
1867719	935554	35
1411621	1166018	34
463025	34073	34
171437	34073	32
1788301	564420	32
1842540	34073	31
1301032	935554	30
60550	1167689	30
1842539	34073	30
55508	34073	29
382	935554	28
106590	34073	28
1851544	34073	28
1926494	34073	27
280	34073	27
380021	1235458	27
593909	34073	27
1740163	34073	27
412963	1167689	27
1898684	564420	27
1931241	983918	27
389469	983918	27
1758194	34073	27
93220	34073	27
93064	34073	26
157783	564420	26
528244	34073	26
397865	997883	25
94254	1166018	25
92645	34073	25
2020313	935554	25
472175	1076	25
28095	1167689	25
1842537	34073	25
1077935	34073	24
1129146	983918	24
347	1235458	24
80867	34073	24
87883	564420	24
445710	1235458	24
1283312	34073	24
1938606	34073	24
1294143	564420	24
1223260	983918	23
300	983918	23
1814	34073	22
2020311	935554	22
358	935554	22
28901	1167689	22
413882	34073	22
2048897	34073	22
1526658	34073	22
303	34073	22
246787	997883	21
399	935554	21
794903	34073	21
1356852	1166018	21
29447	1235458	21
93219	34073	21
92645	564420	21
1484118	1166018	21
101571	1167689	21
456327	1235458	20
1725411	34073	20
823	997883	20
105560	34073	20
1134435	34073	20
656178	34073	20
384	34073	20
1920191	34073	20
488732	1167689	20
69	34073	20
217203	34073	19
56	34073	19
342113	34073	19
1788301	983918	18
158899	34073	18
536	1167689	18
1446467	1166018	18
1675686	34073	18
1415630	564420	18
101571	34073	17
305	1235458	17
312306	564420	17
303	1235458	17
1079	34073	17
1938607	34073	17
28077	564420	17
354	1235458	17
463040	34073	17
36873	34073	17
488142	34073	17
33910	34073	17
2033869	1235458	17
43	34073	17
330	564420	17
193	34073	17
2028343	935554	16
90270	1235458	16
300	564420	16
376489	564420	16
1108595	1167689	16
1590	34073	15
56460	1235458	15
1609966	34073	15
53408	564420	15
94624	34073	15
1907	34073	15
63745	1235458	15
296	34073	15
2048897	935554	15
1484116	1166018	15
69666	34073	15
135487	564420	15
435897	1235458	15
81032	34073	15
317	1167689	15
2072590	34073	15
231455	34073	14
198107	1235458	14
69328	983918	14
69	1235458	14
2350	1166018	14
1930532	564420	14
946333	34073	14
217204	34073	14
1915078	34073	14
279280	1167689	14
95486	34073	14
40324	564420	13
157782	564420	13
285	34073	13
76731	1235458	13
654	1235458	13
1294143	983918	13
29438	564420	13
287	564420	13
948107	564420	13
262324	1235458	13
795665	34073	13
80842	564420	12
1294143	34073	12
748247	1235458	12
53412	564420	12
2025949	34073	12
305	34073	12
256618	34073	12
1420917	34073	12
28095	34073	12
455432	34073	12
380	935554	12
34018	1167689	12
237610	564420	12
2006110	1235458	12
157783	34073	12
1416806	1235458	12
354	34073	12
505291	983918	12
34073	564420	12
279113	1235458	11
217203	564420	11
33069	564420	11
60550	34073	11
436515	564420	11
265293	1167689	11
106592	935554	11
7	34073	11
1564506	34073	11
292913	34073	10
488731	34073	10
44255	1235458	10
95485	34073	10
1125847	935554	10
31964	34073	10
1972431	564420	10
180282	34073	10
56459	1235458	10
262324	564420	10
376489	34073	10
1503054	1167689	10
84757	564420	10
288000	34073	10
114616	34073	10
323415	34073	9
1385663	1166018	9
818	997883	9
891974	34073	9
101571	564420	9
1141883	34073	9
358	34073	9
110321	34073	9
1682113	34073	9
1984801	34073	9
388950	1166018	9
1611770	564420	9
926	34073	9
2018065	34073	9
28141	564420	9
1053	983918	9
1619308	34073	9
92644	34073	9
640511	34073	9
84531	1235458	9
353	1235458	8
674703	34073	8
640512	34073	8
36809	34073	8
82996	564420	8
53408	1235458	8
2083054	1193499	8
2059672	1167689	8
93222	34073	8
1182571	34073	8
1379910	1166018	8
47878	983918	8
85643	34073	8
270351	34073	8
463014	34073	8
152480	34073	8
589436	997883	8
2077148	983918	8
1641402	1167689	8
104087	34073	8
35	483219	8
2049589	564420	8
115808	34073	8
231455	1235458	7
80869	34073	7
88688	1235458	7
115808	1076	7
398	935554	7
656024	34073	7
216465	34073	7
375	34073	7
593909	935554	7
65741	564420	7
1546149	34073	7
446660	34073	7
488447	1167689	7
147645	34073	7
134537	1167689	7
881	34073	7
404589	34073	7
742013	34073	7
190721	34073	7
34	483219	7
373	34073	7
1306787	564420	7
964	34073	7
1080068	1166018	7
341045	1235458	7
406552	34073	7
442694	1235458	7
741091	983918	7
74829	564420	7
84980	997883	7
614	983918	7
28141	983918	7
397260	564420	7
84292	34073	6
311230	34073	6
1385664	1166018	6
1842536	935554	6
1097668	34073	6
1678028	34073	6
2066070	935554	6
1853130	34073	6
1985254	1235458	6
103731	1235458	6
1772	34073	6
716925	935554	6
1357915	34073	6
444444	34073	6
1003110	34073	6
53408	983918	6
1842533	34073	6
44255	1076	6
296591	34073	6
114615	1076	6
1834200	997883	6
61647	1235458	6
