taxid	truth_taxid	count
332163	234267	50000
1859	326424	50000
146919	309807	50000
2350	760192	50000
94254	471854	50000
395922	583355	50000
304895	479433	50000
56	448385	50000
210	637913	50000
940614	682795	50000
104	880070	50000
2001	479432	50000
940615	1198114	50000
37326	1133849	50000
511746	481448	50000
658062	204669	50000
392734	926566	50000
96345	96345	49999
107709	452637	49999
767892	488538	49998
979	867900	49998
390884	926556	49998
37919	632772	49997
769	574556	49994
821	435590	49989
984	485917	49985
379067	749414	49983
88688	509190	49980
991904	991905	49971
398743	655815	49967
28901	1016998	49959
28108	529120	49949
1772	246196	49910
151895	762903	49864
28132	553174	49798
562	585396	49229
28447	443906	47005
68280	653045	46619
1076	1076	46412
287	983918	43939
384	935554	43297
823	435591	42036
303	1193499	39023
817	997883	35201
95486	1167689	32925
40324	1235458	29431
33	483219	27537
198620	564420	3719
2005046	1235458	2388
294	564420	1773
34073	34073	942
436515	34073	813
1534110	564420	696
1827305	1235458	638
104087	564420	501
1834519	1166018	489
305	1167689	426
357276	997883	384
1659194	564420	344
587753	564420	289
303	564420	286
1853130	564420	285
380021	564420	284
930166	564420	281
317	564420	268
1207075	564420	238
75612	564420	216
200450	564420	208
1796613	997883	201
2126319	34073	196
214856	997883	195
505292	983918	195
28251	997883	195
1283291	564420	187
1178516	1166018	166
2020312	935554	160
488731	1167689	152
128780	1235458	142
1904944	1235458	141
1703969	935554	136
28450	1167689	132
29449	935554	129
376805	997883	128
47878	564420	125
292	1167689	124
36746	564420	123
47879	564420	122
1981174	564420	116
564064	1166018	112
1777064	983918	111
316	983918	110
1795631	34073	109
1416806	1167689	107
396	935554	103
251701	564420	102
85698	34073	99
75105	1167689	98
1981173	935554	92
57975	1167689	92
343	1235458	86
95485	1167689	86
339	1235458	81
2057025	1166018	80
93219	1167689	78
1207504	1167689	76
216778	1235458	76
482957	1167689	74
1211326	1166018	74
152480	1167689	74
1503055	1167689	70
1842727	34073	69
219572	564420	67
290053	997883	65
200451	564420	64
488729	1167689	64
76758	564420	63
192	34073	62
1450169	983918	61
314722	1235458	61
56458	1235458	61
87883	1167689	59
518	34073	59
60552	1167689	58
216142	564420	57
316	564420	56
1416806	34073	54
1658665	34073	54
2067572	564420	54
1028989	564420	53
34029	34073	52
1571470	935554	52
1379870	1166018	52
2018067	564420	50
179636	34073	48
346	1235458	48
748280	1167689	47
168471	1167689	47
56730	935554	46
1416803	34073	44
114615	34073	44
364317	34073	42
94132	34073	40
821	997883	40
237609	564420	39
82541	34073	38
2083054	564420	38
1331258	34073	38
300	564420	38
28131	997883	37
157783	564420	36
2025876	997883	36
415229	1235458	35
32002	34073	35
1867719	935554	34
106590	34073	33
528244	34073	33
1788301	564420	33
28068	34073	33
1301032	935554	32
1856685	564420	32
55508	34073	32
1740163	34073	32
1548918	983918	32
40324	34073	32
463025	34073	32
217204	34073	32
1842540	34073	31
1411621	1166018	31
60550	1167689	31
1842539	34073	31
92645	34073	31
536	1167689	31
1758194	34073	31
358	935554	30
1129146	983918	30
106	1166018	30
2109914	34073	30
1898684	564420	30
2057741	34073	29
382	935554	28
280	34073	28
296	564420	28
1851544	34073	28
28095	34073	27
380021	1235458	27
593909	34073	27
412963	1167689	27
93219	34073	27
389469	983918	27
84531	1235458	27
93220	34073	27
413882	34073	26
29447	1235458	26
1283312	34073	26
47880	564420	26
217203	34073	25
2020311	935554	25
80867	34073	25
472175	1076	25
1931241	983918	25
347	1235458	24
397865	997883	24
1356852	1166018	24
445710	1235458	24
76759	564420	24
1484118	1166018	24
2005884	34073	24
28095	1167689	24
1077935	34073	23
488732	1167689	23
33069	564420	23
94254	1166018	23
1223260	983918	23
1294143	564420	23
795665	34073	23
1842537	34073	23
28901	1167689	22
2048897	34073	22
1814	34073	21
246787	997883	21
93064	34073	21
69666	34073	21
101571	1167689	21
358220	564420	21
456327	1235458	20
1725411	34073	20
312306	564420	20
399	935554	20
300	983918	20
656178	34073	20
287	564420	20
1920191	34073	20
330	564420	20
305	1235458	19
56	34073	19
342113	34073	19
158899	34073	19
384	34073	19
157783	34073	19
171437	34073	19
93221	34073	19
1526658	34073	19
1141883	34073	18
358	34073	18
823	997883	18
105560	34073	18
1134435	34073	18
2020313	935554	18
1446467	1166018	18
223967	34073	18
2033869	1235458	18
248026	34073	18
1076	34073	17
2028343	935554	17
1842535	34073	17
1788301	983918	17
1938607	34073	17
43	564420	17
463040	34073	17
36873	34073	17
69	34073	17
488142	34073	17
2018065	34073	17
33910	34073	17
1333996	34073	17
397260	564420	17
1415630	564420	17
193	34073	17
1484116	1166018	16
376489	564420	16
1590	34073	15
1294143	34073	15
198107	1235458	15
53412	564420	15
285	34073	15
94624	34073	15
488447	1167689	15
1907	34073	15
63745	1235458	15
296	34073	15
1079	34073	15
135487	564420	15
56459	1235458	15
256618	34073	15
2072590	34073	15
231455	34073	14
69328	983918	14
59405	1235458	14
53408	564420	14
1355477	34073	14
463025	1167689	14
33	564420	14
69	1235458	14
2048897	935554	14
180282	34073	14
1930532	564420	14
106592	935554	14
43	34073	14
40324	564420	13
1609966	34073	13
292	34073	13
2025949	34073	13
157782	564420	13
76731	1235458	13
654	1235458	13
65741	564420	13
1482074	34073	13
92645	564420	13
1915078	34073	13
80842	564420	12
323415	34073	12
748247	1235458	12
1259844	564420	12
303	1235458	12
2734	34073	12
455432	34073	12
34018	1167689	12
794903	34073	12
964	34073	12
376489	34073	12
354	34073	12
505291	983918	12
279113	1235458	11
60550	34073	11
436515	564420	11
380	935554	11
1938606	34073	11
2350	1166018	11
217203	564420	11
1108595	1167689	11
435897	1235458	11
1503054	1167689	11
1564506	34073	11
292913	34073	10
56460	1235458	10
48664	1235458	10
1882682	564420	10
90270	1235458	10
1379910	1166018	10
499555	34073	10
930166	34073	10
948107	564420	10
237610	564420	10
44255	1076	10
279280	1167689	10
818	997883	9
891974	34073	9
80866	34073	9
40137	1076	9
110321	34073	9
1149133	564420	9
1984801	34073	9
1682113	34073	9
1842534	935554	9
2006110	1235458	9
926	34073	9
28141	564420	9
1053	983918	9
2734	1235458	9
288000	34073	9
353	1235458	8
84980	997883	8
674703	34073	8
1385663	1166018	8
398	935554	8
1546149	34073	8
1182571	34073	8
857417	34073	8
134537	1167689	8
85643	34073	8
28141	983918	8
2077148	983918	8
84595	34073	8
1641402	1167689	8
1611770	564420	8
1771309	564420	8
1792508	34073	8
74829	564420	8
2083054	1193499	8
1619308	34073	8
93222	34073	8
397260	34073	8
61647	1235458	8
115808	34073	8
1882682	935554	7
44255	34073	7
1274631	1076	7
88688	1235458	7
656024	34073	7
375	34073	7
2059672	1167689	7
593909	935554	7
44255	1235458	7
47878	983918	7
147645	34073	7
1176649	34073	7
742013	34073	7
47880	983918	7
589436	997883	7
34	483219	7
53408	34073	7
373	34073	7
1306787	564420	7
35	483219	7
1080068	1166018	7
946333	34073	7
2049589	564420	7
741091	983918	7
1842533	34073	7
1834200	997883	7
114616	34073	7
84292	34073	6
311230	34073	6
158787	1167689	6
1097668	34073	6
1644131	34073	6
341045	1235458	6
1294143	983918	6
1125847	935554	6
404589	34073	6
2066070	935554	6
60552	1235458	6
388950	1166018	6
1111069	1235458	6
303	983918	6
1158459	564420	6
208439	1235458	6
265293	1167689	6
1772	34073	6
716925	935554	6
1357915	34073	6
1003110	34073	6
445710	564420	6
640511	34073	6
95486	34073	6
303	34073	6
640511	564420	6
398	34073	5
304895	1076	5
194963	935554	5
1842536	935554	5
60552	34073	5
