taxid	truth_taxid	count
375288	435591	50000
1854	326424	50000
146918	309807	50000
39643	448385	50000
838	553174	50000
237	96345	50000
1827	632772	50000
940557	1198114	50000
414878	479433	50000
392733	926566	50000
2000	479432	50000
286	1193499	50000
332162	234267	50000
442430	583355	50000
84567	485917	50000
658061	204669	50000
2349	760192	50000
226	529120	50000
178440	452637	50000
940557	682795	50000
120831	471854	50000
1883	749414	50000
1763	246196	50000
1817	1133849	50000
511745	481448	50000
768	574556	50000
75	509190	50000
104264	867900	50000
209	637913	50000
1883	653045	50000
68288	880070	50000
816	435590	49999
390846	926556	49998
32	483219	49998
1573	443906	49997
767891	488538	49997
590	1016998	49991
991903	991905	49970
417127	655815	49968
1649482	762903	49868
561	585396	49499
1073	1076	46420
379	935554	45172
286	983918	45115
40323	1235458	38043
32008	1167689	37545
816	997883	36104
286	564420	13303
34072	34073	2074
107	1166018	509
861914	1166018	482
48736	1167689	448
517	34073	405
338	1235458	387
32008	34073	340
1623286	983918	315
222	34073	272
28250	997883	205
239759	997883	198
374	34073	162
106589	34073	161
286	34073	148
89966	1166018	140
80865	34073	111
93217	34073	103
13687	34073	102
379	34073	98
535	1167689	93
191	34073	89
517	1167689	88
33057	34073	86
286	1235458	81
1822464	1167689	73
28065	34073	69
83618	1235458	68
1883	34073	66
374	1076	62
375288	997883	62
838	997883	55
963	34073	55
12916	34073	54
93217	1167689	53
29580	34073	51
68	34073	50
32008	564420	48
568394	1167689	47
364316	34073	47
168470	1167689	47
68	1235458	47
1822464	34073	46
88	34073	46
85413	34073	45
1763	34073	42
28105	935554	41
338	34073	41
75	34073	41
407	34073	41
48736	34073	40
286	1167689	37
39643	34073	37
28067	34073	37
201096	34073	37
40323	34073	36
47420	34073	36
105	1166018	36
1813	34073	35
149698	34073	34
65047	34073	34
28100	935554	33
378210	34073	31
68287	34073	31
219181	34073	29
279	34073	28
613	564420	27
314343	1167689	27
1623287	983918	25
357	935554	25
120831	1166018	25
245876	1076	25
397864	997883	23
590	1167689	22
286	1166018	22
283	34073	20
12916	564420	20
68287	935554	20
42	34073	20
1227	564420	19
316612	34073	19
1847	34073	19
1379908	1166018	18
1060	1235458	18
357	34073	18
28105	34073	18
174951	34073	18
376488	34073	17
13687	564420	17
42	564420	17
570	564420	17
59282	34073	17
1543705	564420	17
963	564420	17
150203	34073	17
171436	34073	17
106633	34073	16
1921582	34073	16
1578	34073	15
1817	564420	15
265	34073	15
376488	564420	14
542959	1167689	14
314343	1235458	14
231454	34073	14
32	564420	14
1609958	34073	13
522	1076	13
2742	34073	13
93681	1235458	13
1572860	34073	13
642	1235458	13
40136	1076	13
1525371	935554	13
32008	1235458	13
285107	34073	12
52972	34073	12
1081	1167689	12
32008	1166018	12
2733	34073	12
570	34073	12
165697	34073	11
125216	34073	11
106591	935554	11
222	564420	11
212743	34073	11
34072	564420	11
37914	34073	10
40323	564420	10
32012	34073	10
84756	564420	10
1692042	34073	10
186650	564420	10
1573	34073	10
1763	1166018	10
47251	1166018	9
293088	34073	9
238749	34073	9
374	1235458	9
85108	983918	9
323449	1166018	9
6	34073	9
1525371	34073	9
1298	34073	8
13687	1166018	8
53457	34073	8
2349	1166018	8
34037	983918	7
33882	34073	7
1827	34073	7
1854	34073	7
13687	935554	7
414878	34073	7
29407	34073	7
109168	997883	7
44	34073	7
12960	1235458	7
34008	34073	7
1759331	34073	7
2733	1235458	7
517	1235458	7
1663	34073	6
83614	1235458	6
1822464	564420	6
1822464	935554	6
379	1166018	6
13724	34073	6
231454	564420	6
202907	1235458	6
84593	34073	6
1298	1166018	6
29580	1166018	6
202907	34073	6
68	1166018	5
2044	34073	5
48736	1235458	5
2053	34073	5
40323	1166018	5
1716	1166018	5
231454	1235458	5
1330545	997883	5
256616	34073	5
33877	34073	5
286	935554	5
227873	34073	5
354354	1166018	5
522	34073	5
613	1166018	4
1234	1166018	4
836	997883	4
1817	34073	4
963	1235458	4
1883	1166018	4
327159	34073	4
359336	34073	4
106633	983918	4
397864	1166018	4
1330546	34073	4
642	34073	4
239759	1166018	4
68288	1166018	4
237	997883	4
1827	1166018	4
1386	1166018	4
12960	34073	4
218207	34073	4
186650	935554	4
165695	1166018	4
46913	34073	4
32	34073	4
374	935554	4
1060	34073	4
242605	34073	4
1716	34073	4
61434	1166018	3
1041	1235458	3
662	1166018	3
68287	1166018	3
165301	1166018	3
323620	935554	3
544	564420	3
1961799	1166018	3
1822464	1166018	3
642	1166018	3
13134	983918	3
1851	1166018	3
2025617	1166018	3
838	1166018	3
1081	1166018	3
414878	1076	3
152053	34073	3
374	1166018	3
338	1166018	3
1705353	1166018	3
44249	1166018	3
85413	935554	3
528	34073	3
149698	1235458	3
82982	997883	3
158483	1166018	3
547	1166018	3
413496	983918	3
43356	34073	3
122277	1166018	3
283168	997883	2
1330547	1166018	2
1663	1166018	2
109262	1235458	2
28453	1166018	2
517	1166018	2
31988	935554	2
97050	1166018	2
1572860	935554	2
222	1235458	2
28231	1166018	2
89966	1235458	2
29407	1166018	2
41275	1166018	2
195950	1166018	2
191	1166018	2
88	1235458	2
390846	1166018	2
1873	1166018	2
407	935554	2
256319	1166018	2
293088	935554	2
376488	935554	2
48736	1166018	2
123	1166018	2
165696	935554	2
1543705	34073	2
511678	1166018	2
22	1166018	2
2000	34073	2
376488	1166018	2
106633	1166018	2
551759	34073	2
165697	935554	2
274591	935554	2
59753	1166018	2
165695	1235458	2
254250	935554	2
1763521	1166018	2
1701761	34073	2
2053	1166018	2
46913	1166018	2
161492	34073	2
2745	1166018	2
12916	1166018	2
68287	1235458	2
29548	1166018	2
112040	1166018	2
149698	1166018	2
379899	1166018	2
294702	1166018	2
535	564420	2
963	1166018	2
252306	1166018	2
34072	1166018	2
146937	1166018	2
106589	564420	2
222	1166018	2
425	1166018	1
59740	1166018	1
1434046	935554	1
872	34073	1
13134	1166018	1
219181	1166018	1
1060	1166018	1
522	1166018	1
1854	1166018	1
85	935554	1
93681	1166018	1
1778653	1166018	1
2745	34073	1
773	935554	1
187144	1166018	1
2000	1166018	1
273135	1166018	1
39643	1166018	1
60136	34073	1
265	1166018	1
84567	1166018	1
1295327	935554	1
1016	1166018	1
1649490	1166018	1
133925	34073	1
58842	34073	1
1335745	935554	1
28105	1166018	1
73029	1166018	1
320496	935554	1
338321	1166018	1
171436	1166018	1
1716	935554	1
517	564420	1
97050	935554	1
665874	1166018	1
29407	1076	1
33870	935554	1
28105	1076	1
231454	1166018	1
1129	1166018	1
1906657	1166018	1
308865	1166018	1
590	1166018	1
234	935554	1
1934947	1166018	1
216851	1166018	1
1111	983918	1
1612157	1166018	1
929812	564420	1
1602345	935554	1
423349	1166018	1
262	997883	1
1742993	1166018	1
168470	1235458	1
204286	1166018	1
92944	1166018	1
1330545	1166018	1
332248	1166018	1
482	1166018	1
1827	935554	1
1839	34073	1
133925	1166018	1
33973	1166018	1
74032	1166018	1
1097466	935554	1
364316	1166018	1
568	1235458	1
93217	1166018	1
449972	935554	1
106589	1235458	1
202907	935554	1
13134	935554	1
293088	1166018	1
32012	935554	1
285107	1166018	1
146918	1166018	1
28209	34073	1
28048	1166018	1
168694	1166018	1
1839	1166018	1
75	935554	1
404432	1235458	1
551	564420	1
45662	1166018	1
46913	935554	1
204037	1166018	1
413496	564420	1
302485	1166018	1
1335483	1166018	1
231454	935554	1
1007	1166018	1
2425	1166018	1
1678	1166018	1
53335	1166018	1
42	1166018	1
50	1166018	1
898	1166018	1
120961	1166018	1
2019	1166018	1
670486	1166018	1
85076	1166018	1
1649510	935554	1
1692042	1166018	1
253238	1166018	1
1073	1166018	1
2742	1166018	1
1263978	1166018	1
20	1166018	1
256616	1166018	1
413496	1166018	1
2207	1166018	1
1543704	1166018	1
