taxid	truth_taxid	count
1854	326424	50000
39643	448385	50000
838	553174	50000
146918	309807	50000
237	96345	50000
1817	1133849	50000
1827	632772	50000
940557	1198114	50000
414878	479433	50000
392733	926566	50000
286	1193499	50000
332162	234267	50000
442430	583355	50000
84567	485917	50000
658061	204669	50000
2349	760192	50000
226	529120	50000
940557	682795	50000
120831	471854	50000
1883	749414	50000
209	637913	50000
1763	246196	50000
511745	481448	50000
768	574556	50000
75	509190	50000
1883	653045	50000
68288	880070	50000
375288	435591	49999
178440	452637	49999
2000	479432	49999
816	435590	49999
104264	867900	49999
390846	926556	49998
767891	488538	49998
32	483219	49998
1573	443906	49997
590	1016998	49989
417127	655815	49968
991903	991905	49968
1649482	762903	49868
561	585396	49504
1073	1076	46425
379	935554	45149
286	983918	45097
40323	1235458	37885
32008	1167689	37519
816	997883	36130
286	564420	13486
34072	34073	2034
107	1166018	499
861914	1166018	470
517	34073	458
48736	1167689	456
338	1235458	424
32008	34073	382
222	34073	328
1623286	983918	291
28250	997883	203
239759	997883	196
89966	1166018	146
374	34073	146
191	34073	123
13687	34073	121
286	34073	121
93217	34073	106
379	34073	100
106589	34073	97
517	1167689	94
535	1167689	91
80865	34073	86
1883	34073	85
33057	34073	76
68	1235458	76
28065	34073	71
1822464	1167689	70
93217	1167689	69
29580	34073	67
375288	997883	67
286	1235458	63
374	1076	56
219181	34073	55
12916	34073	54
88	34073	54
83618	1235458	54
963	34073	53
65047	34073	52
168470	1167689	50
838	997883	48
28105	935554	46
568394	1167689	46
68	34073	46
85413	34073	45
364316	34073	45
1822464	34073	44
1763	34073	41
48736	34073	39
47420	34073	38
1813	34073	38
32008	564420	37
407	34073	37
105	1166018	36
28100	935554	35
286	1167689	35
40323	34073	34
201096	34073	34
28067	34073	33
68287	34073	33
378210	34073	31
1865	34073	27
120831	1166018	27
245876	1076	27
75	34073	26
590	1167689	26
1623287	983918	25
212743	34073	25
231454	1235458	24
397864	997883	24
357	935554	23
286	1166018	23
279	34073	22
68287	935554	21
12916	564420	20
39643	34073	19
171436	34073	19
1379908	1166018	19
316612	34073	19
106633	34073	17
59282	34073	17
1543705	564420	17
963	564420	17
28105	34073	17
2053	34073	15
570	564420	15
85	34073	15
256616	34073	15
32008	1235458	15
34008	34073	15
517	1235458	15
376488	564420	14
613	564420	14
314343	1235458	14
265	34073	14
357	34073	14
32	564420	14
570	34073	14
1609958	34073	13
285107	34073	13
1572860	34073	13
93681	1235458	13
28209	34073	13
231454	34073	13
376488	34073	12
522	1076	12
352	34073	12
106591	935554	12
2742	34073	12
1081	1167689	12
2733	34073	12
42	34073	12
52972	34073	11
222	564420	11
642	1235458	11
32008	1166018	11
1525371	935554	11
2349	1166018	11
68	564420	10
165697	34073	10
84756	564420	10
186650	564420	10
1847	34073	10
47251	1166018	9
32012	34073	9
1525371	34073	9
1763	1166018	9
33882	34073	8
1298	34073	8
13687	935554	8
85108	983918	8
1921582	34073	8
29407	34073	8
53457	34073	8
323449	1166018	8
109168	997883	8
544	983918	8
202907	1235458	8
34037	983918	7
13687	564420	7
149698	34073	7
338	34073	7
323413	34073	7
447020	34073	7
374	1235458	7
528	34073	7
352	1235458	7
174951	34073	7
12960	1235458	7
404432	564420	7
83614	1235458	7
1759331	34073	7
1663	34073	6
125216	34073	6
1822464	564420	6
48736	1235458	6
1883	1166018	6
40323	1166018	6
642	34073	6
84593	34073	6
1716	1166018	6
1817	34073	6
407	1076	6
323620	34073	6
40323	564420	5
1822464	935554	5
13687	1166018	5
238749	34073	5
161492	34073	5
186650	935554	5
568	34073	5
1330545	997883	5
33877	34073	5
963	1166018	5
29580	1166018	5
32	34073	5
374	935554	5
413496	983918	5
1060	34073	5
613	1166018	4
836	997883	4
542959	1167689	4
379	1166018	4
872	34073	4
323620	935554	4
195950	1166018	4
963	1235458	4
359336	34073	4
1330546	34073	4
1386	1166018	4
1298	1166018	4
75	1166018	4
535	34073	4
354354	1166018	4
242605	34073	4
1573	34073	4
522	34073	4
61434	1166018	3
88723	34073	3
1234	1166018	3
31988	935554	3
222	1235458	3
133925	34073	3
68287	1166018	3
165301	1166018	3
88	1235458	3
1961799	1166018	3
327159	34073	3
256319	1166018	3
642	1166018	3
1543705	34073	3
2025617	1166018	3
1081	1166018	3
1060	1235458	3
68288	1166018	3
204037	564420	3
1827	1166018	3
414878	1076	3
374	1166018	3
2742	1166018	3
379899	1166018	3
165695	1166018	3
46913	34073	3
286	935554	3
82982	997883	3
1936111	1166018	3
252306	1166018	3
158483	1166018	3
122277	1166018	3
283168	997883	2
59740	1166018	2
1330547	1166018	2
28453	1166018	2
97050	1166018	2
218207	1166018	2
875170	1166018	2
1330547	564420	2
1716	34073	2
1295327	935554	2
308865	1166018	2
338321	1166018	2
29407	1166018	2
191	1166018	2
449972	1166018	2
1822464	1166018	2
293088	935554	2
547	1235458	2
376488	935554	2
1602345	935554	2
423349	1166018	2
106633	983918	2
397864	1166018	2
123	1166018	2
511678	1166018	2
1851	1166018	2
22	1166018	2
1839	34073	2
72763	1166018	2
838	1166018	2
68	1166018	2
239759	1166018	2
551759	34073	2
59753	1166018	2
254250	935554	2
2053	1166018	2
29548	1166018	2
407	935554	2
2745	1166018	2
1705353	1166018	2
44249	1166018	2
68287	1235458	2
85413	935554	2
149698	1166018	2
294702	1166018	2
517	1166018	2
171436	1166018	2
2063	1166018	2
367771	34073	2
118	1166018	2
1701761	34073	2
222	1166018	2
149698	935554	2
1434046	935554	1
84567	1166018	1
28453	564420	1
219181	1166018	1
702	1166018	1
522	1166018	1
1854	1166018	1
85	935554	1
1934947	1166018	1
93681	1166018	1
34072	935554	1
231454	935554	1
2745	34073	1
773	935554	1
187144	1166018	1
2000	1166018	1
1572860	935554	1
413	1166018	1
39643	1166018	1
60136	34073	1
120652	1166018	1
1330547	935554	1
1543705	1166018	1
89966	1235458	1
1016	1166018	1
1005038	1166018	1
28105	1166018	1
1392389	1166018	1
320496	935554	1
1716	935554	1
517	564420	1
665874	1166018	1
42054	1166018	1
392733	1166018	1
544	564420	1
29407	1076	1
1678	1166018	1
273135	1166018	1
293088	34073	1
407	1166018	1
28065	564420	1
283	1166018	1
234	935554	1
161492	1166018	1
216851	1166018	1
1111	983918	1
1612157	1166018	1
375288	1166018	1
10	1166018	1
478070	935554	1
1227	1166018	1
262	997883	1
48736	1166018	1
168470	1235458	1
2060	34073	1
92944	1166018	1
1330545	1166018	1
332248	1166018	1
875170	935554	1
1883	935554	1
133925	1166018	1
33973	1166018	1
74032	1166018	1
1097466	935554	1
364316	1166018	1
568	1235458	1
2000	34073	1
265	1166018	1
1649490	1166018	1
93217	1166018	1
323413	1166018	1
293088	1166018	1
32012	935554	1
106633	1166018	1
570	1167689	1
285107	1166018	1
146918	1166018	1
42	1166018	1
46913	935554	1
168694	1166018	1
1839	1166018	1
75	935554	1
1813	1166018	1
404432	1235458	1
45662	1166018	1
165697	935554	1
28209	1166018	1
219181	1235458	1
204037	1166018	1
413496	564420	1
1335483	1166018	1
1007	1166018	1
2425	1166018	1
165695	1235458	1
1763521	1166018	1
60136	935554	1
42255	1166018	1
53335	1166018	1
231454	1166018	1
898	1166018	1
106589	1166018	1
670486	1166018	1
12960	34073	1
1649510	935554	1
1692042	1166018	1
253238	1166018	1
482	1166018	1
1263978	1166018	1
332162	1166018	1
872	935554	1
544	1166018	1
305976	1166018	1
2207	1166018	1
436357	1166018	1
80865	1166018	1
292691	1166018	1
168470	1166018	1
613	1235458	1
28048	1166018	1
1543704	1166018	1
28065	1166018	1
34072	1166018	1
233191	34073	1
547	1166018	1
48073	1235458	1
162027	1166018	1
102231	1166018	1
1649510	1166018	1
635	1166018	1
447237	1166018	1
518733	1166018	1
1129704	1166018	1
152053	935554	1
816	1166018	1
6	1166018	1
1295327	1166018	1
59753	34073	1
551	1166018	1
