taxid	truth_taxid	count
332163	234267	50000
96345	96345	50000
107709	452637	50000
146919	309807	49999
94254	471854	49999
395922	583355	49999
56	448385	49999
940614	682795	49999
2350	760192	49999
658062	204669	49999
940615	1198114	49998
210	637913	49996
37326	1133849	49996
511746	481448	49994
392734	926566	49994
304895	479433	49993
2001	479432	49992
390884	926556	49992
767892	488538	49991
1859	326424	49979
979	867900	49974
984	485917	49963
104	880070	49957
398743	655815	49954
991904	991905	49945
37919	632772	49935
379067	749414	49869
821	435590	49835
151895	762903	49825
28108	529120	49825
28901	1016998	49817
1772	246196	49793
88688	509190	49679
769	574556	49620
28132	553174	49554
562	585396	49478
1076	1076	47283
384	935554	45367
287	983918	45016
303	1193499	44353
68280	653045	44289
28447	443906	42600
823	435591	41903
40324	1235458	38402
817	997883	35659
95486	1167689	33005
33	483219	23580
34	483219	5764
198620	564420	5585
294	564420	2425
1834519	1166018	1953
1297742	483219	1871
34073	34073	1732
436515	34073	1390
305	1167689	1200
380021	564420	732
357276	997883	513
1178516	1166018	504
1534110	564420	436
564064	1166018	411
2126319	34073	380
1796613	997883	378
200450	564420	376
2005046	1235458	363
1841249	653045	356
75105	1167689	349
1659194	564420	315
303	564420	304
1874630	443906	295
1981174	564420	288
31964	443906	266
104087	564420	257
1416806	1167689	254
1211326	1166018	232
2057025	1166018	228
93219	1167689	224
214856	997883	215
28251	997883	198
505292	983918	197
1379870	1166018	196
31963	443906	181
587753	564420	172
28450	1167689	172
33014	443906	170
47879	564420	156
930166	564420	151
379067	653045	151
2069256	1193499	142
83455	483219	142
376805	997883	138
80867	34073	131
518	34073	130
2083052	1193499	125
1028989	564420	124
821	997883	121
85698	34073	120
290053	997883	118
75612	564420	118
364317	34073	116
1777064	983918	111
1827305	1235458	109
92645	34073	109
53408	983918	106
292	1167689	105
184914	483219	104
35	483219	104
28095	34073	103
179636	34073	102
36746	564420	101
1795631	34073	99
1912	653045	96
1495638	653045	95
75293	653045	94
47878	564420	94
1853130	564420	90
1416806	34073	89
251701	564420	88
1283291	564420	88
92644	653045	86
28068	34073	81
60552	1167689	78
87883	1167689	76
341045	34073	75
28131	997883	71
316	983918	70
192	34073	70
317	564420	70
94132	34073	66
29449	935554	65
1842727	34073	65
2025876	997883	65
94254	1166018	63
28095	1167689	63
1207504	1167689	62
168471	1167689	61
1571470	935554	60
1207075	564420	59
134601	246196	55
589436	553174	53
2057741	34073	51
106	1166018	50
56	34073	50
536	1167689	49
463025	34073	49
41	483219	48
823	997883	44
357276	435591	44
593909	34073	42
1338689	1193499	41
300	564420	41
246787	997883	40
1867719	935554	40
101571	1167689	40
748280	1167689	39
1274631	34073	39
1697043	34073	38
216142	564420	38
1411621	1166018	37
1658665	34073	37
795665	34073	37
396	935554	36
2109914	34073	35
1484118	1166018	34
354	1193499	33
463040	34073	33
43	483219	32
397865	997883	31
1503055	1167689	31
75105	34073	30
1356852	1166018	30
431894	1167689	30
463014	34073	30
482957	1167689	30
1758194	34073	30
488731	1167689	29
1898684	564420	28
48	483219	28
180282	34073	28
1076	34073	27
106590	34073	27
1703969	935554	27
1484116	1166018	26
2025876	435591	26
93219	34073	26
114615	34073	26
114616	34073	26
28901	1167689	24
1882682	1076	24
1331258	34073	24
376489	34073	24
488729	1167689	24
161493	34073	24
2067572	564420	24
242606	34073	24
128780	1235458	23
405	1167689	23
302406	34073	23
53408	1193499	23
