taxid	truth_taxid	count
940615	1198114	34500
2350	760192	33690
107709	452637	33503
332163	234267	33430
395922	583355	32919
767892	488538	32789
838	553174	32685
210	637913	32555
146919	309807	32298
658062	204669	32186
151895	762903	30466
940614	682795	28838
392734	926566	28735
56	448385	28668
390884	926556	27333
34072	34073	27321
1817	1133849	27247
1883	653045	26995
304895	479433	26140
1827	632772	25882
1763	246196	25881
651143	1166018	25828
226	529120	25675
286	564420	24989
1883	749414	24430
511746	481448	24103
379	935554	23933
1573	443906	23706
120831	471854	23001
32	483219	22984
991904	991905	22785
1854	326424	22615
171549	435591	22163
984	485917	22079
816	435590	20611
104264	867900	20604
75	509190	20442
768	574556	19893
104	880070	18550
1076	1076	17776
135621	1193499	17773
2000	479432	17383
119060	1167689	16984
135621	983918	15960
28901	1016998	15891
769	574556	15836
816	997883	15684
96345	96345	15311
511745	481448	15081
68288	880070	15027
417127	655815	14596
1224	1235458	14521
543	585396	14177
237	96345	14079
84567	485917	13895
398743	655815	13628
49546	867900	13170
94254	471854	13145
562	585396	12525
286	983918	12421
28211	991905	12277
209	637913	12030
817	997883	11391
1772	246196	11387
590	1016998	11175
88688	509190	10686
2	1235458	10427
49546	655815	10010
286	1193499	9978
33	483219	9689
823	435591	9254
543	1016998	9248
821	435590	9165
815	997883	8898
1073	1076	8605
227290	935554	8442
41294	1076	8113
91347	585396	8111
72275	529120	8009
294	564420	7859
32008	1167689	7791
28447	443906	7628
2004	479432	7438
414878	479433	7414
1224	1193499	7317
392733	926566	7195
200643	435591	7180
2001	479432	6875
89373	1166018	6754
95486	1167689	6742
332162	234267	6436
1236	1235458	6350
34073	34073	6235
287	983918	6222
37326	1133849	6197
135621	564420	5874
979	867900	5823
39643	448385	5811
815	435590	5751
171549	997883	5577
2062	749414	5569
658061	204669	5437
1859	326424	5406
861914	1166018	5364
85023	443906	5353
37919	632772	5238
146918	309807	5204
49546	96345	5162
976	762903	4698
1760	479432	4697
390846	926556	4557
84566	762903	4509
1236	1193499	4490
85025	632772	4439
940557	682795	4358
80811	483219	4351
171549	435590	4236
442430	583355	4215
1	983918	4209
204434	682795	4197
1760	479433	4165
117743	96345	4153
379067	749414	4058
68280	653045	4056
2349	760192	3953
1760	749414	3849
80840	34073	3801
976	485917	3797
767891	488538	3784
131567	509190	3597
384	935554	3536
84566	485917	3487
1760	653045	3320
32033	1235458	3276
91347	1016998	3231
178440	452637	3224
991903	991905	3208
976	926556	3193
204434	1198114	3185
135622	529120	3166
768507	926556	3136
2062	653045	3105
28132	553174	3064
28211	488538	2971
204434	926566	2885
976	471854	2848
561	585396	2842
375288	435591	2834
976	880070	2787
85007	632772	2701
326424	326424	2637
768507	880070	2629
1760	632772	2528
40323	1235458	2518
976	760192	2508
28108	529120	2478
1760	1133849	2464
2	585396	2405
414999	583355	2389
89373	471854	2389
563798	926556	2326
563798	880070	2291
1224	34073	2270
87882	1167689	2196
171549	553174	2180
976	655815	2172
976	96345	2165
976	867900	2111
942	574556	2065
1236	529120	2052
76892	509190	2018
201174	1133849	1975
40324	1235458	1953
1760	443906	1895
356	1076	1880
2	204669	1825
1760	246196	1776
131567	1235458	1748
28211	509190	1731
1	585396	1722
85007	246196	1721
1760	326424	1720
1649482	762903	1696
1762	246196	1690
356	935554	1680
976	1166018	1680
2	682795	1598
82115	935554	1557
2	481448	1532
74712	326424	1461
2	234267	1446
59201	1016998	1429
85012	479432	1416
31	483219	1412
2	926566	1385
1224	1167689	1347
2	583355	1346
2	452637	1327
563843	309807	1322
940557	1198114	1318
74201	452637	1317
74201	481448	1315
171552	553174	1303
80864	34073	1301
2	762903	1289
200643	435590	1275
134623	452637	1231
1224	1076	1229
574556	574556	1225
33013	443906	1211
481448	481448	1207
204433	682795	1177
80812	448385	1156
2	760192	1148
2	1198114	1142
85006	443906	1134
2	96345	1131
1224	991905	1112
1224	585396	1093
49	448385	1091
1236	1016998	1074
448385	448385	1073
1224	488538	1064
136841	983918	1053
85025	1133849	1051
479433	479433	1033
749414	749414	1010
2	435590	1006
28211	1076	966
303	1193499	947
768507	1166018	933
117743	867900	931
204433	926566	924
2	880070	918
2	926556	909
2	485917	899
2	488538	897
2	471854	896
483219	483219	889
2	867900	881
2	435591	881
57723	234267	880
2	655815	866
1224	1016998	863
85007	1133849	862
28216	1167689	857
2	991905	847
231023	1193499	834
234267	234267	799
761659	309807	797
57723	204669	794
2	309807	792
2	997883	771
246196	246196	768
1224	509190	746
74201	583355	740
131567	997883	734
452637	452637	730
2	1166018	710
768507	471854	701
62654	488538	687
200644	96345	675
760192	760192	666
200643	997883	661
1166018	1166018	658
0	564420	653
131567	435590	630
632772	632772	624
2	1016998	608
1236	585396	602
2	448385	602
2	34073	600
2	529120	599
2	1167689	591
653045	653045	562
117743	655815	560
80840	1167689	549
2005525	435591	548
1236	983918	547
200644	867900	522
136845	1193499	522
204669	204669	519
583355	583355	509
1224	564420	509
1236	564420	507
2	483219	505
479432	479432	502
201174	632772	500
682795	682795	499
204434	204669	497
200644	655815	486
976	435591	484
435591	435591	472
2	553174	469
28211	935554	469
1224	529120	467
655815	655815	465
509190	509190	464
976	997883	452
2	1076	449
762903	762903	437
1224	983918	433
131567	96345	431
204458	509190	425
251700	564420	415
1882827	34073	415
135614	1235458	409
991905	991905	407
58097	1016998	407
926566	926566	405
1224	935554	405
435590	435590	401
29	448385	395
2	632772	377
976	435590	375
488538	488538	369
2	509190	365
926556	926556	363
624	585396	338
57723	926566	328
2	443906	315
57723	682795	303
350702	1167689	300
2	246196	299
1224	448385	296
28216	34073	295
204433	204669	291
351746	1193499	291
573496	326424	277
1224	483219	277
131567	1016998	260
637913	637913	252
770	574556	247
131567	488538	245
485917	485917	244
443906	443906	242
880070	880070	239
1133849	1133849	221
204433	1198114	221
131567	309807	220
131567	585396	220
68336	997883	219
2	983918	218
1396830	1167689	218
2	935554	217
1768768	509190	217
131567	574556	208
2	479433	204
1016998	1016998	201
976	553174	200
57723	1198114	200
414714	479433	196
28211	574556	193
2	574556	191
2	479432	190
29	483219	187
471854	471854	182
1936988	760192	178
216596	935554	176
131567	435591	176
1	1167689	171
1783257	583355	155
2	1133849	155
131567	564420	150
652103	1076	147
2	749414	147
131567	481448	146
324952	479432	142
331271	1167689	141
2	637913	140
2	1193499	140
1206724	1133849	138
68336	96345	138
246197	483219	136
1912	653045	135
1198114	1198114	135
201174	749414	133
995085	1235458	129
2	326424	128
1581118	983918	128
2	653045	126
131567	991905	126
72293	637913	125
68336	1166018	124
34	483219	122
867900	867900	119
1	637913	118
976	309807	117
131567	204669	116
993047	935554	115
201174	246196	115
1	1235458	114
1	1193499	114
553174	553174	108
131567	1076	108
258594	1076	108
68336	762903	107
131567	1193499	107
983918	983918	107
131567	452637	105
717964	481448	105
332160	234267	105
31964	443906	104
1118157	1235458	104
1118156	1235458	103
131567	762903	102
201174	479432	101
155892	509190	101
543736	632772	101
1161412	553174	99
131567	583355	99
1	1016998	99
569862	479432	97
131567	760192	97
1297742	483219	95
1	488538	95
201174	653045	94
710111	326424	94
1	485917	94
85569	1016998	94
90370	1016998	93
1196325	1193499	92
68336	471854	91
68336	926556	91
131567	443906	91
1937961	760192	88
2	564420	87
755176	935554	87
529120	529120	85
1783257	452637	84
131567	529120	84
1336203	983918	84
1224	574556	84
1141657	1133849	83
997882	997883	83
131567	632772	82
201174	479433	82
1214915	246196	82
131567	34073	81
131567	471854	80
131567	485917	80
131567	935554	79
1	435590	79
1235458	1235458	79
213849	637913	78
131567	234267	77
67365	749414	76
1	997883	76
72274	983918	76
99653	632772	76
131567	655815	76
131567	926566	75
68336	880070	75
131567	926556	75
1227276	553174	74
67327	653045	73
331272	1167689	72
131567	880070	71
474950	1198114	69
1	509190	69
136843	564420	69
101510	632772	68
745408	632772	65
28221	483219	64
131567	1166018	63
350704	983918	62
90371	1016998	62
151894	485917	61
1888890	867900	61
131567	1198114	61
82117	488538	59
816	435591	59
798130	983918	59
1783257	481448	58
200666	485917	58
1783272	443906	58
1339351	435590	58
131567	682795	57
1783272	479433	57
320787	880070	56
136849	564420	56
1121894	96345	56
1783272	479432	55
