taxid	truth_taxid	count
332163	234267	41714
395922	583355	40755
658062	204669	39825
2350	760192	39746
767892	488538	39426
94254	471854	38444
107709	452637	37905
940615	1198114	37726
392734	926566	36828
940614	682795	36658
151895	762903	36580
286	1193499	36570
304895	479433	36141
56	448385	35824
390884	926556	35488
146919	309807	35367
2001	479432	32529
398743	655815	32158
37326	1133849	31545
984	485917	31424
511746	481448	31225
32	483219	30201
991904	991905	29677
1573	443906	27560
1883	749414	27108
96345	96345	26514
838	553174	26395
1076	1076	26352
979	867900	25836
1859	326424	25530
286	564420	25482
209	637913	25348
0	34073	25154
1883	653045	24607
226	529120	24216
88688	509190	24138
0	1166018	23448
104	880070	23143
40323	1235458	22092
286	983918	21496
769	574556	21368
1827	632772	21262
816	997883	19798
379	935554	19411
816	435590	19386
821	435590	18867
0	326424	18369
375288	435591	17232
210	637913	17055
0	564420	16476
0	1167689	16469
32008	1167689	16256
1772	246196	16061
768	574556	15573
37919	632772	14263
823	435591	14254
68288	880070	13868
75	509190	12586
28108	529120	12195
0	653045	11981
1224	585396	11840
0	1235458	11661
0	983918	11568
0	479432	11550
0	448385	11489
1763	246196	11475
0	997883	11382
0	749414	11319
0	1076	11257
2	1016998	11163
543	585396	11152
32033	1235458	11089
1866885	246196	11041
0	479433	10992
0	935554	10732
28132	553174	10651
0	574556	10487
171549	435591	10265
511745	481448	10102
0	553174	9813
0	1133849	9805
0	443906	9519
0	309807	9377
28211	991905	9312
0	483219	9127
0	682795	9021
0	991905	8955
0	509190	8840
0	1198114	8822
0	452637	8574
28901	1016998	8453
68280	653045	8414
0	204669	8312
49546	867900	8267
0	926566	8257
89373	1166018	8244
1224	1016998	8092
0	1193499	8088
0	926556	7934
0	632772	7793
0	760192	7770
49546	655815	7706
817	997883	7686
0	583355	7673
0	435590	7462
104264	867900	7363
0	585396	7338
0	529120	7261
0	880070	7238
0	655815	7158
28447	443906	7133
1834519	1166018	7108
0	234267	7081
1	983918	7041
0	481448	7026
0	488538	6871
0	96345	6742
379067	749414	6727
384	935554	6665
0	471854	6617
0	1016998	6608
0	435591	6524
0	246196	6472
0	762903	6440
237	96345	6232
1224	34073	6132
543	1016998	6105
41294	1076	5907
562	585396	5888
84567	485917	5816
0	867900	5561
49546	96345	5534
287	983918	5501
0	485917	5250
0	637913	5151
1	585396	4904
1817	1133849	4824
119060	1167689	4592
590	1016998	4566
2	585396	4531
1854	326424	4330
356	935554	4157
171549	997883	3968
309807	309807	3903
80840	34073	3835
84566	485917	3786
80811	483219	3656
33	483219	3559
976	1166018	3398
1760	479432	3315
976	762903	3315
227290	935554	3282
2	34073	3164
87882	1167689	3060
91347	1016998	2972
976	96345	2915
1760	749414	2901
976	485917	2840
85023	443906	2836
84566	762903	2715
171549	435590	2698
1760	653045	2658
1760	632772	2601
1073	1076	2521
204434	926566	2394
976	926556	2364
563798	926556	2364
1224	564420	2351
295405	997883	2348
95486	1167689	2318
1760	479433	2314
85007	632772	2283
2	997883	2281
1224	1167689	2175
204434	682795	2093
1224	1193499	2092
1760	246196	2025
28211	488538	2015
976	880070	1931
563798	880070	1914
976	471854	1913
107	1166018	1909
34073	34073	1886
2	1166018	1883
135622	529120	1866
85007	246196	1858
82115	935554	1835
91347	585396	1815
1760	1133849	1805
171549	553174	1757
1236	529120	1726
976	655815	1721
976	760192	1666
976	867900	1641
40324	1235458	1635
74201	452637	1632
31	483219	1597
49	448385	1590
89373	471854	1577
2004	479432	1524
28211	509190	1515
1236	1016998	1478
561	585396	1453
942	574556	1413
76892	509190	1404
436515	34073	1379
1224	935554	1362
1760	443906	1355
28211	935554	1354
392733	926566	1352
356	1076	1348
80864	34073	1337
940557	1198114	1272
768507	1166018	1261
2	96345	1253
1224	983918	1247
1	1167689	1234
1760	326424	1218
2	481448	1172
976	997883	1166
34072	34073	1140
2062	749414	1102
1236	983918	1076
1224	991905	1045
2	682795	1009
85025	632772	1001
2062	653045	983
2	583355	976
