taxid	truth_taxid	count
2350	760192	43489
332163	234267	43378
658062	204669	43053
767892	488538	42992
395922	583355	42895
151895	762903	42381
392734	926566	41524
940615	1198114	41472
107709	452637	41337
940614	682795	41218
390884	926556	40791
651143	1166018	40619
511746	481448	39201
984	485917	39021
56	448385	39016
304895	479433	38934
991904	991905	38219
210	637913	37448
104	880070	37301
146919	309807	35715
96345	96345	35063
1076	1076	34889
398743	655815	34466
1883	749414	34185
769	574556	34075
94254	471854	32088
286	1193499	31935
226	529120	31491
1772	246196	30648
32	483219	29295
88688	509190	26868
838	553174	25123
37326	1133849	24299
171549	435591	24181
2001	479432	23833
817	997883	23804
34073	34073	22715
816	435590	22687
1573	443906	22480
379	935554	21772
37919	632772	21573
1236	1235458	21182
1859	326424	20757
34072	34073	20568
95486	1167689	20355
1827	632772	19225
1883	653045	19170
286	564420	19069
979	867900	18587
562	585396	18542
816	997883	18217
821	435590	18152
28901	1016998	17865
287	983918	17620
68280	653045	17476
384	935554	17428
104264	867900	16765
1817	1133849	15841
28132	553174	15631
28447	443906	15574
823	435591	15334
543	585396	15104
294	564420	14773
75	509190	14334
2000	479432	12671
1854	326424	12061
120831	471854	11952
0	326424	11792
32008	1167689	11785
33	483219	10873
1236	983918	10871
28108	529120	9879
286	983918	9761
1763	246196	9467
49546	867900	9214
0	479432	8868
0	448385	8827
40324	1235458	8743
0	653045	8729
0	1076	8705
0	1167689	8509
209	637913	8499
590	1016998	8260
0	479433	8202
0	749414	8018
543	1016998	7930
0	1133849	7800
0	309807	7149
0	574556	7145
0	553174	7142
0	443906	7098
135621	564420	7035
0	991905	6974
0	452637	6828
0	1198114	6823
40323	1235458	6792
0	509190	6687
0	483219	6603
237	96345	6571
0	682795	6498
0	1235458	6288
768	574556	6019
0	926566	6006
417127	655815	5843
0	935554	5798
0	204669	5617
0	926556	5575
0	1166018	5537
84567	485917	5535
0	632772	5520
0	564420	5479
1236	1193499	5365
0	880070	5319
0	529120	5187
375288	435591	5158
0	583355	5131
0	34073	5034
68288	880070	5026
0	760192	4937
0	655815	4800
0	234267	4778
0	1193499	4690
0	983918	4663
0	246196	4657
0	488538	4602
511745	481448	4497
0	762903	4469
303	1193499	4424
0	471854	4261
326424	326424	4133
0	481448	4053
0	96345	3882
0	867900	3881
0	435590	3629
379067	749414	3489
0	435591	3374
1073	1076	3372
28211	991905	3320
2	1167689	3277
0	485917	3261
2	585396	3137
171549	997883	3011
0	997883	2798
146918	309807	2797
2	1235458	2797
1224	585396	2744
32033	1235458	2733
1866885	246196	2704
33013	443906	2671
49546	655815	2619
171549	435590	2515
91347	1016998	2446
1	983918	2207
0	585396	2053
976	309807	2006
653045	653045	1932
0	637913	1920
749414	749414	1906
0	1016998	1898
87882	1167689	1886
574556	574556	1853
481448	481448	1841
561	585396	1791
59201	1016998	1788
72274	983918	1670
2004	479432	1649
1236	1016998	1627
58097	1016998	1543
2	1016998	1519
89373	1166018	1510
448385	448385	1486
2	435590	1396
479433	479433	1330
231023	1193499	1324
41294	1076	1315
119060	1167689	1293
632772	632772	1284
227290	935554	1203
1	585396	1163
49546	96345	1159
2	997883	1143
976	96345	1117
976	762903	1106
84566	762903	1058
761659	309807	1035
246196	246196	1023
624	585396	1017
234267	234267	1008
356	935554	1001
655815	655815	955
483219	483219	935
72275	529120	934
117743	96345	916
479432	479432	889
1166018	1166018	889
91347	585396	884
760192	760192	876
452637	452637	874
392733	926566	870
861914	1166018	838
682795	682795	804
85023	443906	797
2	309807	796
135622	529120	793
1224	1016998	780
1760	749414	765
84566	485917	758
435591	435591	743
204434	682795	739
563798	926556	733
583355	583355	732
390846	926556	712
1760	653045	701
204669	204669	693
1224	983918	681
637913	637913	655
1760	479432	641
768507	926556	632
80811	483219	627
2	96345	620
991905	991905	619
926556	926556	602
563798	880070	576
926566	926566	575
488538	488538	566
85007	632772	563
435590	435590	561
1224	1193499	558
28211	488538	556
976	485917	543
976	867900	542
509190	509190	541
1760	1133849	523
1882827	34073	518
976	926556	517
414878	479433	513
2	529120	498
1236	585396	498
1760	479433	497
204434	926566	494
136843	564420	489
1760	632772	482
80840	34073	479
350702	1167689	471
82115	935554	467
768507	880070	467
356	1076	463
976	655815	461
62654	488538	458
1236	529120	454
674054	564420	432
1236	564420	428
171549	553174	407
2	983918	399
351746	1193499	394
762903	762903	389
28211	509190	387
1133849	1133849	382
415002	583355	377
880070	880070	376
1760	246196	375
1224	1167689	371
85012	479432	359
332160	234267	359
85569	1016998	359
485917	485917	358
89373	471854	356
414999	583355	353
85007	246196	351
976	880070	350
251700	564420	347
90370	1016998	346
1016998	1016998	345
200644	96345	342
1189310	483219	314
471854	471854	307
976	471854	306
770	574556	305
976	760192	301
942	574556	299
216596	935554	299
85025	632772	297
85007	1133849	296
1224	529120	288
2	435591	287
652103	1076	286
976	997883	284
1396830	1167689	274
1224	1076	269
443906	443906	268
204434	1198114	266
35	483219	266
28216	1167689	263
553174	553174	259
940557	1198114	257
755176	935554	252
2062	749414	251
1224	488538	249
74201	452637	248
2	655815	246
31	483219	243
155892	509190	243
1198114	1198114	242
1760	443906	241
1161412	553174	234
1760	326424	228
2062	653045	224
2	867900	218
28211	935554	218
72274	564420	216
1224	564420	215
204433	682795	212
414999	452637	212
2	762903	212
76892	509190	211
2	204669	210
1206724	1133849	210
171552	553174	206
1224	34073	205
1224	991905	205
993047	935554	202
387	935554	202
983918	983918	201
1224	1235458	187
2	485917	185
2	488538	185
2	246196	183
867900	867900	183
529120	529120	180
1581118	983918	179
1912	653045	176
28211	1076	175
1235458	1235458	172
85006	443906	172
976	1166018	172
1227276	553174	171
1118156	1235458	171
2	564420	170
2	583355	170
31964	443906	168
474950	1198114	168
80812	448385	165
2	991905	165
67327	653045	165
324952	479432	164
200644	867900	161
1945643	749414	161
2	1193499	159
543736	632772	159
2	926566	157
246197	483219	156
2	637913	156
1224	935554	152
1214915	246196	149
940557	682795	148
2	234267	146
204433	926566	146
80864	34073	145
2	481448	144
90371	1016998	142
200644	655815	142
204458	509190	140
2	452637	140
57723	204669	139
2	926556	139
2	682795	139
320787	880070	138
2	553174	137
49	448385	137
1118157	1235458	131
136845	1193499	130
131567	1016998	129
258594	1076	129
2	880070	128
34	483219	126
768507	1166018	125
476552	749414	123
85025	1133849	119
1339352	435590	117
1437873	983918	115
2069256	1193499	114
658663	435591	112
2	471854	111
573496	326424	110
2	760192	110
1224	509190	110
1407059	983918	108
204434	204669	107
74201	583355	107
331271	1167689	105
134623	452637	105
1446512	585396	104
710111	326424	104
74201	481448	103
659014	471854	98
101510	632772	98
1297742	483219	96
80840	1167689	95
569862	479432	95
292	1167689	95
287	1235458	95
1141657	1133849	94
2	1166018	93
767891	488538	92
117743	867900	91
213849	637913	90
2	632772	90
768507	471854	89
1190567	1235458	88
570835	1198114	87
2	935554	87
331272	1167689	87
99653	632772	85
745408	632772	85
2	34073	84
92644	653045	84
562	1016998	83
350701	1167689	82
913241	1016998	82
1267534	1198114	82
2	1198114	82
1315978	983918	81
870903	1198114	80
976	553174	79
70775	1193499	78
135621	1193499	77
1397280	564420	77
1441931	983918	75
1591085	471854	75
623	585396	75
1196325	1193499	75
1350465	983918	74
815	435590	73
976	435591	73
2	443906	73
135614	1235458	72
997825	585396	72
1218169	1193499	68
117743	655815	68
391601	1235458	67
350704	983918	66
83456	483219	65
2	483219	64
798130	983918	64
1	1016998	62
132919	632772	61
1836972	326424	61
1262912	435591	61
1336203	983918	60
1306165	983918	60
57723	234267	59
1402571	983918	59
131567	585396	58
563193	435591	58
28216	34073	58
1121894	96345	57
588858	1016998	57
129138	564420	57
611	1016998	57
1803181	309807	55
2	1076	55
754523	935554	55
1177574	553174	55
374	1076	55
576784	653045	54
77133	867900	54
1883	479432	54
396	935554	54
87883	1167689	53
2	448385	53
269482	1167689	53
976	435590	52
152480	1167689	52
82117	488538	52
815	997883	52
863522	1198114	52
338	1235458	52
641524	880070	51
350703	983918	50
149539	1016998	50
2	479432	50
376806	435590	49
1851167	653045	49
117747	485917	49
1855291	471854	49
2	509190	48
620	585396	48
1243581	1016998	47
1	637913	47
997330	1016998	46
1334022	655815	46
563031	553174	46
198620	564420	46
1936988	760192	46
1408193	983918	45
1127122	637913	45
1421430	564420	45
106412	479432	45
95485	1167689	45
151894	485917	44
488447	1167689	44
82117	991905	44
298653	326424	44
1423141	983918	44
117747	762903	44
585396	585396	43
57723	926566	43
365489	471854	43
1232154	585396	43
381754	983918	43
200643	435591	43
155864	585396	43
754079	585396	43
1193146	1193499	43
1235786	435590	43
1350429	880070	42
816	435591	42
2075558	1193499	41
550	1016998	41
702446	435590	41
652722	553174	41
131567	309807	40
550	983918	40
913072	1016998	40
2048901	509190	40
563843	309807	40
936157	1016998	40
1224	637913	40
77133	655815	39
1343740	653045	39
33014	443906	38
83334	585396	38
624	1016998	38
1299319	1193499	38
1883	479433	38
320483	574556	38
913242	1016998	38
474952	1198114	38
469589	435591	38
589436	553174	38
821	435591	37
498292	96345	37
1	1167689	37
1339342	435591	37
101571	1167689	37
1339351	435590	37
317	564420	36
1040989	1076	36
244319	585396	36
77133	762903	35
672	983918	35
1761896	564420	35
1411701	983918	35
67365	749414	35
2075548	564420	35
1502297	655815	35
1496	983918	34
913086	1016998	34
1291006	443906	34
1339277	997883	34
522373	1235458	34
2	326424	34
1224	483219	34
1094506	1016998	34
200643	997883	33
414714	479433	33
2048900	509190	33
2	479433	33
1005498	585396	33
1839754	326424	33
29547	637913	33
2	653045	33
931281	1193499	33
386	935554	32
868150	585396	32
1331668	749414	32
913063	1016998	32
1339350	435590	32
1912	749414	32
100886	435590	31
1224	448385	31
1335308	1167689	31
2	1133849	31
102891	326424	31
1659194	564420	31
2043164	234267	31
710995	583355	30
396378	564420	30
28211	574556	30
200666	762903	30
1194155	1016998	30
1055528	637913	30
984254	1016998	30
136849	564420	30
77133	926556	29
347834	935554	29
469587	997883	29
933800	632772	29
200666	485917	29
457427	653045	29
1247546	1193499	29
1699311	564420	29
868170	585396	29
487698	1235458	29
913069	1016998	29
482957	1167689	29
2	749414	29
1298865	529120	29
2	574556	29
28128	553174	29
984214	1016998	28
1566271	34073	28
2020312	935554	28
204433	204669	28
1328323	867900	28
1078464	983918	28
1661054	1193499	28
29	448385	28
1412841	574556	28
1402490	983918	28
119912	1016998	28
41514	1016998	28
1761901	1235458	28
1798237	867900	28
868188	585396	28
469592	435591	28
1005514	585396	27
913083	1016998	27
199310	585396	27
483217	435590	27
57723	682795	27
395491	935554	27
671267	435590	27
1432555	585396	27
356	991905	27
469593	435590	27
457394	435590	27
178440	452637	27
1433844	553174	26
1054953	1016998	26
1038922	564420	26
164400	1167689	26
997883	997883	26
469591	435591	26
98360	1016998	26
339670	1167689	26
913075	1016998	26
1173834	1016998	26
29	483219	26
1211579	1193499	26
1768768	509190	26
165438	1235458	26
1009714	983918	26
131567	488538	26
54388	1016998	25
200643	553174	25
925130	1016998	25
913084	1016998	25
69664	509190	25
2043166	234267	25
1339273	997883	25
1503055	1167689	25
53407	564420	25
83333	585396	25
392734	1198114	25
1173835	1016998	25
1339345	435591	25
222	564420	24
1	96345	24
985076	1167689	24
670904	585396	24
2043165	234267	24
131567	632772	24
357276	435590	24
343013	1167689	24
1844097	564420	24
89065	564420	24
