taxid	truth_taxid	count
471854	471854	44524
488538	488538	44478
234267	234267	44196
760192	760192	44027
583355	583355	43978
762903	762903	43830
204669	204669	43627
485917	485917	42782
926556	926556	42755
481448	481448	42681
926566	926566	42591
682795	682795	42149
1198114	1198114	41959
655815	655815	41891
452637	452637	41862
991905	991905	40115
479433	479433	40037
880070	880070	39062
479432	479432	38630
96345	96345	38559
88688	509190	37653
749414	749414	35526
1772	246196	35165
574556	574556	34996
448385	448385	34590
210	637913	34477
435590	435590	33499
979	867900	32746
326424	326424	32298
287	983918	32137
286	1193499	31117
146919	309807	30613
562	585396	30222
632772	632772	30147
553174	553174	29363
32	483219	28403
28108	529120	27535
0	34073	26087
817	997883	26003
435591	435591	25833
0	1166018	25145
1133849	1133849	24764
652103	1076	23381
653045	653045	22476
28901	1016998	20788
40323	1235458	20367
443906	443906	20236
1573	443906	19653
375288	435591	17109
0	564420	16861
384	935554	16245
0	326424	16038
37326	1133849	15046
0	1167689	15037
1883	653045	14201
1076	1076	13935
95486	1167689	13573
286	564420	12509
838	553174	11756
0	1235458	11613
379	935554	11404
483219	483219	11358
40324	1235458	10935
1834519	1166018	10855
87882	1167689	10842
0	997883	10829
0	653045	10639
0	1076	10387
303	1193499	10330
0	479432	10301
226	529120	10240
867900	867900	10228
0	448385	10174
0	749414	9963
0	983918	9684
309807	309807	9607
0	479433	9403
1827	632772	9228
816	435590	9195
0	443906	9048
0	935554	8896
0	1133849	8725
0	574556	8310
543	1016998	8269
198620	564420	8188
0	553174	8179
0	309807	8127
0	483219	7656
0	991905	7577
0	452637	7564
543	585396	7363
0	509190	7282
0	1198114	7257
0	682795	7153
0	632772	6747
0	926566	6598
0	1193499	6537
0	204669	6130
0	926556	6109
0	435590	5915
637913	637913	5848
0	583355	5767
0	880070	5752
768	574556	5691
0	529120	5673
0	760192	5623
0	234267	5610
0	655815	5554
0	246196	5545
59201	1016998	5526
1866885	246196	5402
0	481448	5322
529120	529120	5293
209	637913	5120
0	435591	5079
0	488538	4992
0	762903	4875
1	983918	4861
0	471854	4779
0	1016998	4726
0	585396	4709
0	96345	4696
56	448385	4425
1	1016998	4349
0	867900	4309
68288	880070	4262
216596	935554	4219
75	509190	3683
0	485917	3655
561	585396	3429
295405	997883	3308
0	637913	3256
1452724	96345	2794
1763	246196	2659
1883	749414	2631
37919	632772	2531
205922	564420	2389
387	935554	2388
84567	485917	2331
590	1016998	2274
49546	867900	2019
49546	655815	1936
28211	991905	1915
237	96345	1895
436515	34073	1744
1211326	1166018	1744
1	585396	1738
862962	997883	1728
511745	481448	1696
32008	1167689	1691
564064	1166018	1593
91347	1016998	1560
816	997883	1556
1178516	1166018	1515
761659	309807	1497
595537	34073	1479
305	1167689	1444
49546	96345	1436
171549	997883	1357
32033	1235458	1297
1163399	1235458	1254
754523	935554	1231
286	983918	1198
406425	1167689	1168
107	1166018	1155
395491	935554	1143
1912	653045	1088
1189310	483219	1073
2057025	1166018	1068
41294	1076	1031
1534110	564420	1028
171549	435591	1018
1379870	1166018	989
1246301	34073	988
119060	1167689	941
89373	1166018	912
2005046	1235458	899
517	34073	874
91347	585396	868
2126319	34073	821
1817	1133849	803
227290	935554	784
84566	485917	764
1016998	1016998	744
1827305	1235458	720
93219	1167689	716
1854	326424	691
1124983	564420	677
997877	435590	669
1796613	997883	668
104087	564420	625
930166	564420	623
976	762903	621
976	997883	620
868597	1235458	600
770	574556	553
64187	1235458	538
160488	1193499	531
82115	935554	512
84566	762903	506
391008	1235458	503
543728	34073	502
2025876	435591	500
356	935554	492
643561	34073	483
563798	926556	473
509190	509190	468
80811	483219	466
761193	1166018	462
85023	443906	452
200450	564420	440
246196	246196	433
272559	997883	429
1221522	564420	421
34072	34073	418
391735	34073	413
997877	997883	413
294	564420	409
246197	483219	398
80840	34073	376
1207075	564420	375
85007	632772	367
587753	564420	364
80865	34073	349
1224	34073	343
204434	926566	332
1760	479432	326
28211	488538	323
204434	682795	317
1	1167689	312
136849	564420	311
471854	1166018	311
1853130	564420	306
171549	435590	305
1254432	448385	303
53408	983918	302
563798	880070	295
135622	529120	294
104264	867900	292
976	926556	292
976	96345	289
976	485917	283
72275	529120	282
1193499	1193499	279
31	483219	276
392733	926566	274
60552	1167689	273
1283291	564420	271
155892	509190	270
338	1235458	260
1659194	564420	256
246787	997883	255
386585	585396	255
976	1166018	253
401053	1198114	252
1028989	564420	250
1236	529120	250
1416806	1167689	244
2004	479432	237
942	574556	231
85007	246196	229
1147786	564420	229
1760	632772	227
386	935554	226
1760	479433	220
880074	997883	214
171549	553174	214
222	34073	211
1236	1016998	210
585396	585396	209
1760	749414	209
395492	935554	207
1392005	34073	206
34073	34073	202
351746	1193499	202
316058	1076	201
1760	653045	198
1224	983918	194
74201	452637	194
1760	246196	194
179636	34073	194
92645	34073	193
1795631	34073	192
80864	34073	190
435590	997883	189
1441629	564420	189
679935	997883	188
320787	880070	188
49	448385	187
837	997883	185
1416806	34073	182
106370	326424	182
2109915	34073	181
976	471854	181
32008	34073	180
76892	509190	178
976	880070	178
298653	326424	177
1177574	553174	176
85025	632772	175
2020312	935554	174
28211	509190	174
1224	1167689	174
976	867900	173
296591	34073	171
89373	471854	167
463014	34073	166
940557	682795	166
1760	1133849	164
128780	1235458	164
396	935554	162
47879	564420	161
53408	564420	161
375	34073	159
1841249	749414	159
1236	564420	157
101510	632772	156
136841	983918	155
1224	1193499	153
2062	749414	153
356	1076	153
760192	1166018	152
2025876	997883	151
2083052	1193499	150
1981174	564420	148
1842727	34073	146
2062	653045	146
543736	632772	146
976	760192	145
562	1016998	144
2	34073	143
75105	1167689	143
169430	34073	142
316055	1076	141
28211	935554	140
640512	34073	139
693979	997883	139
940557	1198114	137
561	1016998	137
999541	1167689	137
570	1016998	137
768507	926556	136
667015	997883	136
976	655815	135
2067572	564420	134
522373	1235458	134
134601	246196	132
28450	1167689	132
1224	564420	131
85007	1133849	131
1760	326424	130
1703969	935554	129
1247726	34073	129
32002	34073	128
292	1167689	128
435591	997883	128
768507	880070	127
28211	1076	126
768507	1166018	125
1004788	529120	122
488729	1167689	121
75293	653045	121
80840	1167689	120
85025	1133849	119
1707785	34073	118
1236517	553174	117
1236	585396	117
1156937	481448	115
1207504	1167689	114
28095	34073	113
1055529	637913	111
93219	34073	110
85698	34073	108
47878	564420	108
536019	34073	108
538025	935554	106
190650	509190	106
192	34073	105
2	1166018	105
111527	1167689	105
135614	1235458	104
1416803	34073	104
106589	34073	104
1033991	935554	104
1760	443906	104
1912	749414	104
1224	935554	102
1236	983918	102
2	96345	101
1401325	997883	101
286	34073	100
68895	34073	100
1055528	637913	100
1297742	483219	100
926566	1198114	100
1841249	653045	99
749414	653045	97
134623	452637	97
93217	34073	96
505292	983918	96
95485	1167689	96
1658665	34073	94
57975	1167689	93
33014	443906	92
1697043	34073	91
653045	749414	91
1433126	997883	90
380021	564420	90
2	583355	89
1009846	1167689	89
1610576	1167689	89
119060	34073	88
395960	1076	88
1758194	34073	87
1338689	1193499	87
323	564420	87
28216	1167689	86
2	481448	86
758793	34073	86
356	34073	86
1224	488538	85
243365	1167689	85
1842537	34073	85
1450169	983918	85
1822464	34073	84
31964	443906	84
1224	991905	84
136845	1193499	84
1411700	983918	83
28131	997883	82
1332075	564420	82
2109914	34073	82
134537	34073	82
205918	564420	82
1224	1016998	81
485918	1166018	81
1777064	983918	81
335659	34073	80
200644	96345	80
1163739	637913	80
700598	1166018	80
374	34073	80
535	1167689	79
1224	1235458	78
303	983918	78
2	204669	77
382	34073	77
1874630	443906	77
85006	443906	74
204434	204669	74
1571470	935554	74
234826	574556	73
303	564420	72
2	926566	71
217203	34073	70
338	34073	70
1236	1193499	69
1117645	997883	69
1267562	34073	69
2045208	34073	68
1834200	997883	67
1904944	1235458	66
2	682795	66
28211	34073	66
94624	34073	66
316057	1076	66
996285	983918	66
395019	1167689	66
2	452637	65
748280	1167689	65
1147786	34073	65
2	867900	65
595500	34073	65
136843	564420	65
817	435590	64
1081940	1193499	64
1851544	34073	63
2025949	34073	63
1981173	935554	62
76123	997883	62
28901	585396	62
2	234267	62
983917	34073	62
543	983918	62
365046	34073	61
87883	1167689	61
463040	34073	60
1055531	637913	59
1495638	653045	59
1224	529120	59
1883	34073	59
649349	1166018	59
198214	585396	58
1224	1076	58
402612	96345	58
964	1167689	58
488731	1167689	58
1796613	435591	58
226186	435591	58
1327635	34073	57
2	926556	57
1882682	1076	57
89966	1166018	57
2	471854	56
287	564420	56
286	1167689	56
463025	34073	56
1526658	34073	56
87882	34073	55
1123269	34073	55
1484116	1166018	55
136849	1167689	55
204434	1198114	55
28116	997883	54
358220	34073	54
926556	1166018	54
1257021	1166018	53
526949	935554	53
1089456	983918	53
1411621	1166018	53
765963	637913	52
1678128	34073	52
768507	471854	52
1333996	34073	52
1484118	1166018	51
213849	637913	51
1274631	34073	51
1400053	997883	51
1349767	34073	50
