taxid	truth_taxid	count
583355	583355	50000
471854	471854	50000
204669	204669	50000
760192	760192	50000
574556	574556	50000
479432	479432	50000
481448	481448	50000
234267	234267	50000
926566	926566	50000
452637	452637	50000
1198114	1198114	50000
682795	682795	50000
479433	479433	50000
326424	326424	50000
1166018	1166018	49998
488538	488538	49998
880070	880070	49996
926556	926556	49993
749414	749414	49985
485917	485917	49985
632772	632772	49978
991905	991905	49970
655815	655815	49968
762903	762903	49865
88688	509190	49806
1772	246196	49792
28132	553174	49779
448385	448385	49756
1133849	1133849	49226
562	585396	48870
443906	443906	47164
653045	653045	46779
287	983918	45268
652103	1076	43777
28901	1016998	43746
0	34073	42366
435591	435591	42080
435590	435590	39446
96345	96345	39444
303	1193499	39077
28108	529120	32264
210	637913	32037
0	564420	29603
979	867900	28176
483219	483219	27805
95486	1167689	27577
817	997883	26656
146919	309807	25236
309807	309807	24757
40324	1235458	22315
32	483219	22164
867900	867900	21814
637913	637913	17860
529120	529120	17672
216596	935554	14515
384	935554	13697
0	997883	12773
286	1193499	10672
821	435590	10554
1452724	96345	10517
0	1167689	10458
0	1235458	9386
375288	435591	7920
387	935554	6017
406425	1167689	4605
295405	997883	4577
754523	935554	4234
0	935554	4218
40323	1235458	4214
395491	935554	4065
286	564420	3855
59201	1016998	3768
87882	1167689	3500
0	1076	3302
1883	653045	3217
1573	443906	2822
0	983918	2781
862962	997883	2772
198620	564420	2613
995085	1235458	2587
1076	1076	2160
2005046	1235458	2158
1016998	1016998	2137
868597	1235458	1973
391008	1235458	1533
1163399	1235458	1276
272559	997883	1251
1038922	564420	1223
743713	564420	984
379	935554	972
294	564420	945
321662	564420	931
436515	34073	871
76760	564420	814
37326	1133849	774
179879	1167689	748
1855380	564420	609
75612	564420	606
205922	564420	585
1	983918	574
386	935554	529
2072414	1235458	500
2072413	1235458	461
305	1167689	459
543	585396	442
2072407	1235458	440
1421430	564420	423
1827305	1235458	412
585396	585396	410
1190567	1235458	404
997877	997883	378
104087	564420	368
595537	34073	363
395492	935554	361
543728	34073	336
1033991	935554	335
1659194	564420	326
1534110	564420	320
32008	1167689	315
1148509	564420	288
522373	1235458	274
2126319	34073	265
171549	997883	263
561	585396	260
1221522	564420	252
2072406	1235458	247
2072405	1235458	246
56	448385	244
118613	564420	238
1395516	564420	235
1246301	34073	230
216778	1235458	218
200450	564420	217
838	553174	211
1796613	997883	208
32033	1235458	207
57045	1016998	199
1224	34073	196
1283291	564420	193
509190	509190	191
395598	564420	188
1193499	1193499	186
1853130	564420	184
679935	997883	174
941193	983918	174
143813	564420	172
364197	983918	166
316058	1076	165
2072412	1235458	165
395960	1076	160
2020312	935554	160
32008	34073	157
1401325	997883	155
95300	564420	153
47878	564420	150
80840	34073	146
258594	1076	145
1637853	1167689	145
1207075	564420	143
517	34073	142
488731	1167689	141
976	762903	135
976	997883	134
28450	1167689	134
198618	564420	133
2072409	1235458	132
222	34073	128
587753	564420	126
