taxid	truth_taxid	count
880070	880070	50000
583355	583355	50000
471854	471854	50000
760192	760192	50000
435590	435590	50000
574556	574556	50000
479432	479432	50000
481448	481448	50000
234267	234267	50000
204669	204669	50000
1198114	1198114	50000
926566	926566	50000
452637	452637	50000
682795	682795	50000
479433	479433	50000
326424	326424	50000
488538	488538	49998
926556	926556	49998
749414	749414	49985
485917	485917	49985
632772	632772	49978
991905	991905	49972
655815	655815	49968
762903	762903	49865
553174	553174	49810
1772	246196	49801
88688	509190	49790
448385	448385	49756
1133849	1133849	49226
562	585396	48871
0	1166018	48127
443906	443906	47190
653045	653045	46780
652103	1076	43786
28901	1016998	43248
287	983918	42942
0	34073	42683
435591	435591	42080
96345	96345	39325
303	1193499	39084
0	564420	35254
28108	529120	32264
210	637913	31037
979	867900	28175
95486	1167689	28077
483219	483219	27805
817	997883	26656
146919	309807	25234
309807	309807	24759
32	483219	22164
867900	867900	21825
40324	1235458	20754
637913	637913	18845
529120	529120	17672
216596	935554	14517
384	935554	13654
0	997883	12805
0	1167689	11135
286	1193499	10647
1452724	96345	10636
0	1235458	10414
375288	435591	7920
387	935554	6013
1163399	1235458	5562
406425	1167689	5000
40323	1235458	4683
295405	997883	4577
59201	1016998	4253
0	935554	4237
754523	935554	4229
395491	935554	4067
198620	564420	4021
0	983918	3616
0	1076	3302
1883	653045	3216
87882	1167689	2806
1573	443906	2796
862962	997883	2772
2005046	1235458	2439
286	564420	2230
1076	1076	2168
1016998	1016998	2157
868597	1235458	2139
391008	1235458	1619
1	983918	1448
272559	997883	1251
205922	564420	1096
379	935554	918
436515	34073	871
37326	1133849	774
1534110	564420	663
1827305	1235458	634
386	935554	532
1834519	1166018	532
104087	564420	481
305	1167689	461
543	585396	441
522373	1235458	433
294	564420	423
585396	585396	410
997877	997883	396
1659194	564420	367
395492	935554	367
595537	34073	363
1221522	564420	345
1089456	983918	336
543728	34073	336
1033991	935554	333
32008	1167689	316
1853130	564420	288
171549	997883	274
2126319	34073	265
1411700	983918	263
1283291	564420	260
561	585396	260
1207075	564420	252
1147786	564420	252
587753	564420	250
930166	564420	245
56	448385	244
32033	1235458	228
1796613	997883	223
1246301	34073	221
679935	997883	210
57045	1016998	208
1124983	564420	205
200450	564420	198
505292	983918	194
509190	509190	191
838	553174	189
1178516	1166018	189
1193499	1193499	186
1224	34073	179
941193	983918	173
1401325	997883	171
316058	1076	166
32008	34073	162
395960	1076	159
2020312	935554	157
80840	34073	157
128780	1235458	149
47879	564420	146
258594	1076	145
517	34073	142
488731	1167689	141
1703969	935554	140
47878	564420	139
28450	1167689	139
976	997883	138
667015	997883	136
976	762903	135
338	1235458	133
564064	1166018	128
303	564420	127
222	34073	123
1904944	1235458	119
1981174	564420	118
1114970	564420	115
1795631	34073	114
246196	246196	110
1777064	983918	109
1416806	1167689	109
1055524	1167689	105
1441629	564420	104
380021	564420	104
323	564420	102
1427342	983918	98
381754	983918	94
1211326	1166018	90
1866885	246196	89
2	34073	89
1207504	1167689	88
1	1167689	87
95485	1167689	87
1503055	1167689	86
488729	1167689	85
482957	1167689	82
76869	564420	82
2057025	1166018	81
87883	1167689	78
1842727	34073	78
1357279	564420	77
1981173	935554	76
85698	34073	76
87882	34073	76
396	935554	73
216591	1167689	73
93219	1167689	73
1416806	34073	73
60552	1167689	73
816	997883	72
316057	1076	70
216778	1235458	70
1332075	564420	69
76758	564420	68
34072	34073	68
75105	1167689	65
693979	997883	65
1282356	564420	65
119060	34073	64
2067572	564420	64
1450169	983918	63
