taxid	truth_taxid	count
762903	762903	50000
485917	485917	49998
880070	880070	49996
1198114	1198114	49996
760192	760192	49995
479432	479432	49995
479433	479433	49994
991905	991905	49994
553174	553174	49994
481448	481448	49993
583355	583355	49993
326424	326424	49993
1133849	1133849	49992
452637	452637	49992
682795	682795	49990
867900	867900	49989
471854	471854	49988
1166018	1166018	49988
204669	204669	49986
488538	488538	49985
926566	926566	49983
234267	234267	49981
655815	655815	49980
926556	926556	49980
246196	246196	49980
509190	509190	49941
435591	435591	49934
749414	749414	49900
435590	435590	49753
402612	96345	49472
632772	632772	49461
483219	483219	49226
574556	574556	49030
653045	653045	48972
448385	448385	48956
443906	443906	47654
652103	1076	43939
59201	1016998	43677
637913	637913	35483
146919	309807	32634
28108	529120	31437
303	1193499	28932
287	983918	26177
562	585396	23413
216596	935554	22614
231023	1193499	20238
529120	529120	18030
309807	309807	17339
817	997883	17292
406425	1167689	15939
210	637913	14445
585396	585396	13140
543	585396	12560
868597	1235458	9741
95486	1167689	9551
1163399	1235458	8354
395491	935554	7463
295405	997883	6756
384	935554	5208
522373	1235458	4437
862962	997883	4164
28901	1016998	2995
272559	997883	2772
1016998	1016998	2467
391008	1235458	2452
331271	1167689	2364
1573	443906	2345
331272	1167689	2026
381754	983918	1892
205922	564420	1884
40324	1235458	1595
216591	1167689	1198
56	448385	1039
1883	653045	1025
768	574556	964
941193	983918	896
351746	1193499	814
32	483219	744
1089456	983918	721
1427342	983918	674
0	983918	670
1777064	983918	624
0	585396	623
590	1016998	589
395492	935554	586
1450169	983918	549
1755689	983918	540
1827	632772	536
226	529120	531
208963	983918	509
10699	983918	437
1207075	564420	399
379	935554	380
395960	1076	368
505292	983918	299
1340851	983918	298
1408272	983918	284
491916	935554	283
258594	1076	273
859656	1167689	265
543728	34073	260
557722	983918	257
1548918	983918	216
595537	34073	210
196894	983918	204
994484	564420	201
667015	997883	194
816	435590	192
1777054	983918	184
679935	997883	177
1280938	983918	171
1246301	34073	170
1415629	983918	167
1129145	983918	158
29449	935554	141
1415630	564420	141
543	1016998	134
316058	1076	131
347834	935554	125
1328306	935554	123
0	1016998	120
76869	564420	116
1114970	564420	113
1124983	564420	112
1868596	983918	107
1481224	983918	105
717959	997883	105
1223260	983918	96
1076	1076	94
216595	564420	94
1093787	983918	93
386	935554	91
269482	1167689	90
87882	1167689	88
1883	749414	87
395019	1167689	76
1223259	983918	74
389469	983918	72
996285	983918	70
171549	997883	66
1208658	34073	62
816	997883	62
338	1235458	61
171549	435591	60
561	585396	60
28450	1167689	59
1352355	983918	58
223283	564420	56
171549	435590	55
316057	1076	54
75	509190	52
482957	1167689	51
287	564420	49
1282356	564420	49
743721	1235458	49
203275	997883	48
557598	1167689	47
384676	564420	46
280701	983918	46
573235	585396	46
693979	997883	45
742013	34073	45
243365	1167689	44
1037911	564420	44
743720	564420	42
209	637913	42
644801	983918	41
999541	1167689	41
999541	34073	40
1304892	1235458	40
1223261	983918	40
420662	34073	39
339670	1167689	38
1294143	983918	38
1777052	983918	38
380358	1235458	38
640511	34073	37
1129146	983918	36
657309	997883	36
983917	34073	36
1045855	1235458	35
505291	983918	35
568707	34073	35
395495	34073	32
640512	1167689	31
286	564420	30
398578	34073	29
1009846	1167689	29
347324	983918	29
762376	34073	27
303	1235458	27
1743016	983918	27
220664	564420	26
78245	34073	26
1623286	983918	25
220664	1235458	25
748280	1167689	25
31	483219	25
111527	34073	25
340	1235458	25
1215088	564420	25
1310114	1235458	25
320372	1167689	25
314565	1235458	25
1216976	34073	25
136845	564420	24
83334	585396	24
435590	997883	24
0	96345	24
1435058	564420	23
208964	983918	22
990315	1235458	22
305	34073	22
205918	564420	21
1224	983918	21
339	1235458	21
1449437	983918	21
114615	34073	20
383407	1235458	20
698761	935554	20
303	564420	20
761659	309807	20
643561	34073	20
316055	1076	19
701177	585396	19
693444	564420	19
114615	1076	19
257310	34073	19
1110502	34073	18
1245471	564420	18
1167634	34073	18
358220	34073	18
0	1167689	18
399739	564420	17
1123519	983918	17
585395	585396	17
318586	34073	17
360094	1235458	17
1249661	34073	17
33910	34073	17
1416914	34073	17
287	1076	16
1161903	983918	16
398577	1167689	16
287	34073	16
981368	1235458	16
365046	34073	16
406425	34073	15
85698	1235458	15
190485	1235458	15
1255043	34073	15
1366050	34073	15
382	935554	15
76759	564420	15
244320	585396	15
296591	34073	15
585035	585396	14
179636	34073	14
82115	935554	14
340100	34073	14
1196325	564420	14
626418	34073	14
391735	34073	14
1331671	564420	14
151599	983918	14
509169	1235458	14
266835	935554	14
1001585	564420	13
381754	564420	13
392499	34073	13
135621	34073	13
1352355	1076	13
585057	585396	13
1009846	34073	12
1042876	564420	12
1117943	935554	12
1211579	34073	12
379731	983918	12
426355	34073	12
710686	34073	12
152480	1167689	12
347	1235458	12
1097668	34073	12
580332	1235458	12
976	926556	12
399741	34073	12
381666	34073	12
351746	983918	12
227290	935554	12
322710	564420	11
366649	1235458	11
1280938	564420	11
80864	34073	11
1283330	34073	11
758793	34073	11
640512	34073	11
996285	564420	11
504832	1076	11
257311	34073	11
595537	564420	11
49546	655815	11
596154	34073	10
1006551	564420	10
28450	34073	10
331112	585396	10
566546	585396	10
1114970	1235458	10
311403	935554	10
977880	34073	10
349124	983918	10
1064539	34073	9
61624	34073	9
272943	34073	9
100226	34073	9
1112204	34073	9
1294143	564420	9
1037409	34073	9
264198	34073	9
395019	564420	9
294	564420	9
1129146	1167689	9
435591	997883	9
517	1235458	9
80865	34073	8
1055532	637913	8
416344	34073	8
366394	34073	8
1866885	246196	8
380	935554	8
394	935554	8
1294143	34073	8
414684	1167689	8
95486	34073	8
136843	564420	8
1091556	983918	8
397945	34073	8
536019	935554	8
1224	585396	8
374	34073	8
0	246196	8
380021	564420	8
311403	34073	7
460265	34073	7
1163741	637913	7
1196835	983918	7
426117	34073	7
382	34073	7
68287	935554	7
205922	1193499	7
1064551	1016998	7
351746	564420	7
316056	1076	7
264730	564420	7
1127122	637913	7
1223262	983918	7
1185652	935554	7
76869	983918	7
279280	1167689	7
1548901	983918	7
926566	564420	6
754035	935554	6
1117943	34073	6
386	34073	6
365046	1235458	6
398577	34073	6
1211579	564420	6
0	997883	6
224911	34073	6
1048689	585396	6
384676	1235458	6
649831	564420	5
391037	1235458	5
709991	997883	5
1163399	34073	5
838	553174	5
32008	34073	5
564886	585396	5
991905	34073	5
69328	564420	5
69328	983918	5
424182	935554	5
861208	935554	5
337191	34073	5
205918	1235458	5
644801	564420	5
379731	564420	5
290397	34073	5
216591	34073	5
976	867900	5
1196835	564420	5
392733	926566	5
286	983918	5
1224	34073	5
976	655815	5
49546	867900	5
1854	326424	4
136845	1235458	4
398527	1235458	4
234	935554	4
32033	1235458	4
119060	1235458	4
435998	34073	4
316273	1235458	4
1245469	1076	4
286	34073	4
1072459	585396	4
1760	749414	4
356	935554	4
1137651	1235458	4
762376	1235458	4
649831	34073	4
517	34073	4
757424	34073	4
1245471	34073	4
10708	983918	4
80840	34073	4
390235	564420	4
2	1076	4
563798	926556	4
1435044	564420	3
1037409	1076	3
1167634	1167689	3
1346614	983918	3
1760	326424	3
335659	34073	3
768507	880070	3
397945	1235458	3
693982	935554	3
381754	34073	3
655817	585396	3
1255043	983918	3
80811	483219	3
1366050	1235458	3
374	1076	3
866345	637913	3
91347	585396	3
439851	1016998	3
366394	935554	3
937835	983918	3
271848	34073	3
397353	983918	2
28105	935554	2
574521	585396	2
713604	34073	2
420662	935554	2
176299	935554	2
196162	34073	2
311402	935554	2
758793	1235458	2
946483	564420	2
160488	564420	2
1282356	34073	2
1163399	935554	2
335659	935554	2
1125630	564420	2
114615	935554	2
1082931	935554	2
28211	991905	2
459424	935554	2
931281	1193499	2
1017264	564420	2
78245	1235458	2
1173427	1016998	2
1055528	637913	2
477641	34073	2
2	935554	2
1208660	34073	2
639283	935554	2
1763	246196	2
72275	529120	2
640510	1167689	2
416344	1167689	2
1817	1133849	2
220664	34073	2
1286640	935554	2
28211	34073	2
314225	1235458	2
77643	935554	2
69328	1235458	2
891974	1235458	2
290633	935554	2
859656	34073	2
28211	488538	2
32008	1167689	2
688245	1235458	2
936157	1016998	1
316058	1235458	1
1286170	564420	1
476213	1016998	1
119060	34073	1
204434	682795	1
119060	1167689	1
426355	935554	1
316055	935554	1
460265	935554	1
652103	935554	1
190650	34073	1
565050	983918	1
1196325	1193499	1
639283	34073	1
557598	1235458	1
931281	1235458	1
991905	935554	1
395495	1235458	1
290847	637913	1
76892	34073	1
395019	935554	1
684950	637913	1
90370	1016998	1
884204	1167689	1
1245469	935554	1
258594	935554	1
320372	34073	1
1104320	935554	1
406425	935554	1
155864	585396	1
682634	564420	1
1865	935554	1
54388	1016998	1
239759	997883	1
1760	479433	1
136841	564420	1
31535	983918	1
1352354	983918	1
272568	935554	1
266265	935554	1
506	34073	1
1224	1235458	1
338	935554	1
246196	935554	1
2	309807	1
226186	997883	1
62928	1167689	1
1245471	1235458	1
926570	1235458	1
135621	1235458	1
633149	935554	1
1340851	1193499	1
394221	935554	1
439375	935554	1
883	935554	1
64187	1235458	1
111527	935554	1
290339	564420	1
1037409	935554	1
76114	1235458	1
1352355	34073	1
765698	935554	1
28211	935554	1
58095	1016998	1
287	1235458	1
1230587	935554	1
2	481448	1
743721	935554	1
266779	935554	1
190486	1235458	1
1783272	935554	1
745310	935554	1
1271863	1016998	1
443144	564420	1
272630	935554	1
349101	34073	1
300268	585396	1
502025	1235458	1
1225791	983918	1
76892	509190	1
395965	935554	1
426114	34073	1
1760	479432	1
