taxid	truth_taxid	count
1198114	1198114	49996
760192	760192	49995
479433	479433	49994
583355	583355	49993
326424	326424	49993
452637	452637	49991
479432	479432	49990
682795	682795	49990
471854	471854	49988
204669	204669	49986
481448	481448	49985
488538	488538	49983
926566	926566	49983
234267	234267	49981
926556	926556	49972
485917	485917	49956
655815	655815	49936
991905	991905	49906
762903	762903	49834
749414	749414	49830
88688	509190	49662
553174	553174	49574
1772	246196	49532
880070	880070	49502
574556	574556	49163
632772	632772	49011
448385	448385	48787
435590	435590	47333
443906	443906	46721
1133849	1133849	44750
652103	1076	43539
287	983918	42866
0	1016998	40080
303	1193499	39585
28108	529120	38378
653045	653045	38335
96345	96345	37111
562	585396	36212
637913	637913	34988
32	483219	34701
435591	435591	34415
979	867900	33715
146919	309807	32634
817	997883	28509
95486	1167689	28272
40324	1235458	18561
384	935554	18301
309807	309807	17339
867900	867900	16268
375288	435591	15474
483219	483219	15256
210	637913	14947
1452724	96345	12861
216596	935554	11873
1883	653045	11660
543	585396	11479
529120	529120	11072
286	1193499	10148
28901	1016998	6318
406425	1167689	5444
37326	1133849	5242
387	935554	5031
1163399	1235458	4874
868597	1235458	3973
295405	997883	3523
2005046	1235458	3509
1573	443906	3272
754523	935554	3152
59201	1016998	2781
198620	564420	2733
395491	935554	2654
816	435590	2585
862962	997883	2205
40323	1235458	1438
87882	1167689	1240
379	935554	1235
56	448385	1203
1076	1076	1127
0	983918	1068
391008	1235458	1030
205922	564420	952
522373	1235458	841
768	574556	831
1534110	564420	761
561	585396	707
0	585396	629
272559	997883	621
226	529120	548
1827	632772	538
1016998	1016998	517
68288	880070	491
436515	34073	478
585396	585396	453
37919	632772	448
838	553174	415
286	564420	398
1866885	246196	391
331272	1167689	375
1659194	564420	365
386	935554	347
1827305	1235458	346
1078034	585396	321
104087	564420	304
941193	983918	265
997877	997883	260
294	564420	257
1834519	1166018	241
305	1167689	237
543728	34073	235
331271	1167689	234
395960	1076	232
505292	983918	230
171549	997883	229
1221522	564420	227
930166	564420	214
543	1016998	209
509190	509190	206
1853130	564420	204
1777064	983918	201
1283291	564420	201
351746	1193499	199
595537	34073	196
292	1167689	196
1411700	983918	195
258594	1076	192
1401325	997883	190
587753	564420	175
679935	997883	173
1548918	983918	170
976	762903	165
1246301	34073	161
1883	749414	154
216591	1167689	147
32008	1167689	146
200450	564420	145
1089456	983918	141
1207075	564420	133
75	509190	127
1796613	997883	127
1147786	564420	121
91347	585396	116
396	935554	110
667015	997883	108
76869	564420	102
1055524	1167689	98
1124983	564420	93
28211	991905	90
2126319	34073	90
47878	564420	87
171549	435591	85
976	997883	85
316058	1076	83
47879	564420	78
1703969	935554	76
389469	983918	72
2083054	564420	70
1981174	564420	65
1223259	983918	64
595500	1167689	63
171549	435590	62
32002	34073	62
128780	1235458	62
28450	1167689	62
2020312	935554	61
395492	935554	60
60552	1167689	60
246196	246196	59
1249665	1167689	57
1842727	34073	56
1795631	34073	55
49546	655815	55
1033991	935554	54
303	564420	54
381754	983918	52
10699	983918	52
1208658	34073	52
1178516	1166018	51
518	34073	50
1450169	983918	49
1611770	564420	49
323	564420	49
1427342	983918	48
1114970	564420	48
557598	1167689	47
1904944	1235458	47
488729	1167689	47
2057741	34073	46
1408272	983918	46
693979	997883	45
86192	564420	45
316057	1076	44
287	564420	43
216142	564420	43
84567	485917	42
1207504	1167689	42
209	637913	42
76758	564420	41
87883	1167689	41
1357279	564420	41
595500	34073	41
85698	34073	40
420662	34073	39
92645	34073	39
75105	1167689	37
2025876	997883	37
83617	1235458	36
231023	1193499	36
395019	1167689	36
742013	34073	36
1416806	1167689	36
28131	997883	36
29449	935554	35
505291	983918	35
2083055	564420	35
564064	1166018	34
1223261	983918	34
1340851	983918	34
1224	983918	34
95486	34073	34
1129146	983918	33
741155	564420	33
64187	1235458	33
743720	564420	33
1571470	935554	33
136845	564420	33
317	564420	32
57045	1016998	31
356	935554	31
329	34073	31
1332075	564420	31
590	1016998	31
517	34073	30
56730	935554	30
216778	1235458	30
1416803	34073	29
2018067	564420	29
1211326	1166018	29
1224	34073	29
395495	34073	28
1267562	34073	28
287	1076	28
640511	34073	28
338	1235458	27
57975	1167689	27
192	34073	27
2067572	564420	27
111527	34073	26
644801	983918	26
762376	34073	26
488447	1167689	26
1707785	34073	26
278148	34073	26
314722	1235458	26
1415630	564420	26
748280	1167689	25
488731	1167689	25
1930532	564420	25
303	1235458	25
994484	564420	25
31	483219	25
106589	34073	25
1920191	34073	25
463025	34073	25
103796	564420	25
1249477	1167689	25
1334632	564420	25
216595	564420	25
380021	564420	25
1500686	564420	24
76759	564420	24
2057025	1166018	24
380021	1235458	24
1435365	1167689	24
0	1167689	24
435590	997883	24
0	96345	24
300	564420	24
1203599	34073	23
1636610	564420	23
41899	34073	23
196894	983918	23
482957	1167689	21
76761	564420	21
983917	34073	21
611301	1235458	21
1758194	34073	21
2025876	435591	21
305	34073	20
997877	435590	20
761659	309807	20
1250339	1167689	20
1223260	983918	20
384	34073	20
1931241	983918	20
976	926556	20
114615	34073	20
1301032	935554	19
1513890	564420	19
880074	997883	19
257310	34073	19
40324	34073	19
93219	34073	19
314565	1235458	19
643561	34073	18
1225174	983918	18
78245	34073	18
286	983918	18
2109914	34073	18
358220	34073	18
1379870	1166018	18
996285	983918	18
1110502	34073	18
1249668	34073	18
60550	1167689	17
346	34073	17
237609	564420	17
43	564420	17
656178	34073	17
1441629	564420	17
219572	564420	17
1324931	564420	17
1009846	1167689	17
111527	1167689	17
365046	34073	16
1224	585396	16
1432049	935554	16
1261556	1235458	16
82115	935554	16
262324	564420	16
330	564420	16
243365	1167689	16
106633	34073	15
246787	997883	15
75105	34073	15
41899	1167689	15
382	935554	15
1134687	34073	15
87883	34073	15
227290	935554	15
538025	935554	15
1331258	34073	15
69666	34073	15
1215088	564420	15
353	34073	15
94132	34073	15
999541	1167689	15
168807	585396	15
487909	1235458	15
94624	34073	14
223283	564420	14
391735	34073	14
32008	34073	14
471854	1166018	14
2020311	935554	14
816	997883	14
1207504	34073	14
266265	34073	14
340	1235458	13
93217	34073	13
199201	1167689	13
1867719	935554	13
1400868	983918	13
316055	1076	13
1416806	1235458	13
114615	1076	13
303	34073	13
580332	1235458	12
1207504	564420	12
1294143	983918	12
1055524	34073	12
270351	1235458	12
1227739	1166018	12
49546	867900	12
1045010	585396	12
34004	34073	12
78327	564420	12
95486	564420	12
347834	935554	12
2057741	1076	12
346	1235458	12
93220	34073	12
640512	34073	11
1161903	983918	11
1411621	1166018	11
1283330	34073	11
2025949	34073	11
758793	34073	11
340188	1016998	11
504832	1076	11
1981173	935554	11
1395570	34073	11
28095	1167689	11
929813	564420	11
1938606	34073	11
1349767	34073	11
526949	935554	11
53408	34073	11
414684	1167689	11
1702325	34073	11
87882	34073	11
1851544	34073	11
1041522	34073	10
2026199	34073	10
398578	34073	10
1045855	1235458	10
596154	34073	10
1134435	34073	10
89373	1166018	10
1006551	564420	10
2020313	935554	10
331112	585396	10
426355	34073	10
2083052	1193499	10
86192	1167689	10
1868596	983918	10
171549	553174	10
568707	34073	10
180282	34073	10
33069	564420	10
93219	1167689	9
1300342	34073	9
1763	246196	9
95485	34073	9
1827300	564420	9
1028800	34073	9
80865	34073	9
61624	34073	9
379731	983918	9
1328306	935554	9
1883	34073	9
32033	1235458	9
1435058	564420	9
1193499	1193499	9
761193	1166018	9
1108595	1167689	9
136843	564420	9
1028800	935554	9
435591	997883	9
1055532	637913	8
413882	34073	8
2	1166018	8
1662456	34073	8
2059672	1167689	8
68895	34073	8
857417	34073	8
244566	564420	8
374	34073	8
0	246196	8
1028989	564420	8
366394	34073	8
990315	1235458	8
13687	34073	8
199201	564420	8
1236	564420	8
95485	1167689	8
1788301	564420	8
2083054	1193499	8
511745	481448	8
996285	564420	8
384676	564420	8
80811	483219	8
251701	564420	8
1328859	585396	7
1163741	637913	7
347	1235458	7
129394	1235458	7
1001989	585396	7
1356852	1166018	7
1189310	483219	7
316	564420	7
460265	34073	7
1484118	1166018	7
1389192	34073	7
382	34073	7
115808	34073	7
1500687	564420	7
83334	585396	6
101571	34073	6
1097668	34073	6
136849	564420	6
1108595	1235458	6
1546149	34073	6
1324932	564420	6
32009	34073	6
2	34073	6
89966	1166018	6
1379910	1166018	6
0	997883	6
296591	34073	6
1355477	34073	6
1123519	983918	6
198107	34073	6
1772	34073	6
28118	997883	6
106634	983918	6
287	34073	6
296	564420	6
1245471	564420	6
445710	564420	6
2028343	34073	6
227292	935554	6
375	1076	5
29429	1076	5
2094021	1235458	5
392499	34073	5
358	935554	5
69328	983918	5
60552	34073	5
935546	935554	5
392733	926566	5
463040	34073	5
1274631	34073	5
1418105	935554	5
1082851	34073	5
87883	564420	5
1847	34073	5
49	448385	5
1224	1166018	5
388950	1166018	5
1395570	1167689	5
1793721	1235458	5
203275	997883	5
1703968	935554	5
2053	34073	5
991905	34073	5
56458	1235458	5
1122984	997883	5
266835	935554	5
1236517	997883	5
1112204	34073	5
1328314	564420	5
2005884	34073	5
1334629	34073	5
976	867900	5
303	983918	5
674703	34073	5
395019	564420	5
1907578	997883	5
1760	749414	5
976	655815	5
217203	34073	4
85023	443906	4
1224	935554	4
339670	1167689	4
90371	1016998	4
292	34073	4
28211	488538	4
398527	1235458	4
1384061	564420	4
1206777	564420	4
1259844	564420	4
1755689	983918	4
509190	1166018	4
491916	935554	4
208962	585396	4
649831	34073	4
57975	34073	4
136845	1235458	4
107	1166018	4
397945	34073	4
80869	34073	4
573	34073	4
1082933	34073	4
93064	34073	4
1072459	585396	4
337	34073	4
563798	926556	4
1854	326424	4
262324	1235458	4
1282356	564420	4
179636	34073	4
754035	935554	4
1242091	1016998	4
1388763	1167689	4
757424	34073	4
435998	34073	4
1484116	1166018	4
2018065	34073	4
169430	34073	4
2049589	564420	4
762376	1235458	4
264445	34073	4
2	1076	4
286	34073	4
123899	1235458	4
1760	479432	4
1415629	983918	3
1385664	1166018	3
1001714	1166018	3
1760	326424	3
56730	34073	3
768507	880070	3
48664	1235458	3
320787	880070	3
519	34073	3
157782	564420	3
837	997883	3
757424	1166018	3
376	1076	3
2051552	34073	3
28095	34073	3
938143	1016998	3
316056	1076	3
1301098	564420	3
1775411	1235458	3
1149133	564420	3
2109913	34073	3
1193499	564420	3
463014	34073	3
28141	983918	3
399739	564420	3
1009846	34073	3
1261127	564420	3
335659	34073	3
220664	564420	3
69328	564420	3
856793	1166018	3
237610	564420	3
1196835	564420	3
926	34073	3
234	935554	3
1449978	1235458	3
866345	637913	3
80840	34073	3
1619308	34073	3
1355477	935554	3
1838286	1166018	3
279280	1167689	3
1123269	1166018	3
80864	34073	2
426117	34073	2
758796	34073	2
391936	564420	2
976	1166018	2
611301	34073	2
2	1235458	2
134601	1166018	2
42253	1166018	2
1123519	1166018	2
1401243	935554	2
70775	564420	2
414684	1166018	2
573	564420	2
98360	1016998	2
1468409	34073	2
760192	1166018	2
2049589	1193499	2
1245469	1076	2
768507	1166018	2
716928	935554	2
2049589	34073	2
1055528	637913	2
85006	443906	2
1042878	34073	2
879274	34073	2
134537	1167689	2
1938606	1166018	2
1716143	1166018	2
1503055	34073	2
349124	983918	2
366394	935554	2
1128334	935554	2
314225	1235458	2
1760	653045	2
1125847	935554	2
698761	935554	2
56454	1235458	2
1048689	585396	2
1775411	1166018	2
1072256	34073	2
988812	34073	2
984237	1016998	2
190721	34073	2
380	935554	2
69	1235458	2
999541	34073	2
561230	1166018	2
1191062	34073	2
337191	1166018	2
1282356	34073	2
926566	564420	2
105219	34073	2
287	1166018	2
543	1166018	2
1680	1166018	2
93221	34073	2
1176492	34073	2
680198	1166018	2
40324	1166018	2
1082933	935554	2
1182568	1166018	2
311403	935554	2
222	34073	2
1307832	1166018	2
72275	529120	2
1817	1133849	2
83263	34073	2
238	1166018	2
1526658	34073	2
488731	34073	2
2109914	1235458	2
231023	564420	2
1829	1166018	2
115808	1166018	2
1452725	96345	2
1437824	34073	2
353	1235458	1
74201	452637	1
91347	564420	1
613	1166018	1
2069255	1166018	1
381754	34073	1
2026799	1166018	1
1235441	1166018	1
216142	1166018	1
1503055	1166018	1
1346614	983918	1
92945	1166018	1
1379909	1166018	1
115561	1166018	1
1173026	1166018	1
84531	1166018	1
520	564420	1
2028343	935554	1
84566	762903	1
2033032	1166018	1
1158459	1076	1
2	481448	1
136841	1166018	1
693977	1166018	1
2069256	1193499	1
82996	1235458	1
700598	1166018	1
930169	1166018	1
557722	983918	1
1842536	935554	1
2033033	1166018	1
1420917	1166018	1
147645	1166018	1
391936	1166018	1
1117645	1166018	1
1580596	1166018	1
433	935554	1
1129145	983918	1
1703960	935554	1
1408224	935554	1
28211	935554	1
68287	935554	1
1141883	34073	1
53408	564420	1
82996	564420	1
217203	935554	1
615	1166018	1
450378	935554	1
887061	1166018	1
28211	34073	1
469383	1166018	1
399	935554	1
290633	935554	1
745310	1166018	1
1357279	1166018	1
369723	1166018	1
506	34073	1
243230	1166018	1
575788	1166018	1
2005884	935554	1
754502	1166018	1
226186	997883	1
2004	479432	1
1678028	1166018	1
76759	1166018	1
645	34073	1
330214	1166018	1
285473	935554	1
859199	1016998	1
68895	1166018	1
440085	1166018	1
343	1235458	1
1315974	935554	1
49546	1166018	1
1242088	1016998	1
317	1166018	1
1778262	1166018	1
1623286	983918	1
60550	34073	1
59201	1166018	1
1123015	983918	1
321	564420	1
1764	1166018	1
290339	564420	1
81479	1166018	1
2062	749414	1
1037911	564420	1
472175	1166018	1
1449437	983918	1
536019	935554	1
455432	1166018	1
1869170	935554	1
1583341	564420	1
168471	1235458	1
1123269	935554	1
2207	1166018	1
649349	1166018	1
1856685	564420	1
1387353	1166018	1
330734	1166018	1
876364	34073	1
0	749414	1
1354275	34073	1
85007	1166018	1
155892	983918	1
180282	564420	1
2048897	935554	1
53707	564420	1
85007	246196	1
176299	1166018	1
1830	1166018	1
340189	1016998	1
2005046	1166018	1
87883	1166018	1
1109412	564420	1
1030157	1166018	1
0	479432	1
879274	935554	1
187491	935554	1
925775	1235458	1
28105	935554	1
93220	1166018	1
470934	1166018	1
1531429	1166018	1
1842536	1166018	1
35806	1166018	1
1486262	935554	1
1760	479433	1
80840	1166018	1
529	935554	1
220664	1235458	1
517	1166018	1
94132	1166018	1
91347	1166018	1
573	1167689	1
550	1166018	1
290847	637913	1
394	935554	1
157783	564420	1
1481224	983918	1
1740163	34073	1
743721	1235458	1
221822	1166018	1
266940	1166018	1
684950	637913	1
240015	1166018	1
1503054	34073	1
1122214	935554	1
446692	1166018	1
29549	1166018	1
1898684	564420	1
402612	96345	1
1462996	1166018	1
644282	1166018	1
33	483219	1
292	1235458	1
