taxid	truth_taxid	count
991904	991905	50000
651143	1166018	50000
37919	632772	50000
2350	760192	50000
332163	234267	50000
1859	326424	50000
210	637913	50000
769	574556	50000
37326	1133849	50000
1772	246196	50000
28108	529120	50000
33	483219	50000
28447	443906	50000
94254	471854	50000
107709	452637	50000
395922	583355	50000
304895	479433	50000
56	448385	50000
767892	488538	50000
511746	481448	50000
984	485917	50000
398743	655815	50000
146919	309807	50000
379067	749414	50000
88688	509190	50000
940614	682795	50000
28901	1016998	50000
151895	762903	50000
823	435591	50000
104	880070	50000
658062	204669	50000
2001	479432	50000
979	867900	50000
28132	553174	50000
940615	1198114	50000
821	435590	50000
68280	653045	50000
392734	926566	50000
390884	926556	49999
562	585396	49994
303	1193499	49977
96345	96345	49765
-2	34073	46759
1076	1076	46208
-2	564420	43257
384	935554	39818
287	983918	36325
40324	1235458	33192
95486	1167689	31918
817	997883	31522
-2	997883	17694
-2	1167689	16502
-2	1235458	16011
-2	983918	13285
-2	935554	8864
-2	1076	3741
294	564420	3721
34073	34073	1169
29449	935554	975
1207075	564420	631
305	1167689	443
380021	564420	430
303	564420	336
930166	564420	253
-2	96345	231
251701	564420	207
316	983918	203
214856	997883	196
482957	1167689	168
376805	997883	162
1415630	564420	147
339	1235458	143
-1	1235458	133
152480	1167689	123
28450	1167689	121
328814	997883	116
536	1167689	115
314722	1235458	112
317	564420	104
200451	564420	102
60552	1167689	95
415229	1235458	92
47880	564420	89
85698	34073	88
347	1235458	77
34029	34073	74
28112	997883	73
-1	935554	69
28095	1167689	69
179636	34073	68
518	34073	68
-1	34073	68
28095	34073	66
87883	1167689	65
300	564420	65
290053	997883	64
384	34073	62
380	935554	59
-1	1167689	58
94132	34073	58
364317	34073	58
329	34073	57
53412	564420	56
160791	34073	53
292	1167689	51
43306	564420	50
312306	564420	50
287	564420	49
316	564420	49
168471	1167689	48
748280	1167689	46
303	983918	46
114615	34073	43
43306	983918	40
105560	34073	40
28068	34073	40
640512	1167689	39
821	997883	39
40324	34073	38
29438	564420	38
110321	34073	38
366648	1235458	30
593909	34073	29
280	34073	29
1097668	34073	29
114615	1076	28
358	935554	27
305	34073	27
-1	997883	27
398	935554	27
823	997883	27
33910	34073	27
358	34073	26
380021	1235458	26
106590	34073	25
731	564420	25
294	983918	24
640511	34073	24
640511	1167689	24
548	1235458	23
296591	34073	23
80867	34073	22
521	34073	22
-1	564420	21
288000	564420	21
38289	1167689	21
248026	34073	21
382	935554	20
263437	564420	20
192	34073	20
42684	564420	20
29447	1235458	20
426114	34073	20
654	34073	19
366650	1235458	19
171437	34073	19
358220	564420	19
193	34073	19
223967	34073	18
56	34073	18
58138	564420	18
36873	34073	18
615	564420	17
80869	34073	17
57029	1167689	17
29549	1235458	17
186931	34073	17
59600	564420	17
85643	34073	17
80866	34073	16
381	935554	16
1565	1167689	16
94624	34073	16
60920	34073	16
85698	1167689	16
31998	34073	16
303	34073	16
81032	34073	15
375	34073	15
-2	1193499	15
571	34073	15
573	34073	15
28223	34073	15
379547	564420	14
-1	983918	14
63745	1235458	14
69328	983918	14
256618	34073	14
656024	34073	14
200451	34073	14
964	34073	14
354	564420	14
891974	564420	14
1744	1167689	14
43306	34073	13
164546	34073	13
95486	34073	13
79885	564420	13
37734	564420	12
34018	1167689	12
593909	935554	12
335659	34073	12
1316444	564420	12
354	34073	12
640512	34073	11
1033846	34073	11
329	564420	11
7	34073	11
28447	34073	11
1888	34073	11
380021	34073	10
1902	34073	10
44255	1235458	10
40137	1076	10
110321	935554	10
1053	983918	10
405	1235458	10
84757	564420	10
571	564420	10
288000	34073	10
93220	34073	10
1176649	935554	9
891974	34073	9
33075	34073	9
84595	34073	9
1413	997883	9
1003110	34073	9
818	997883	9
114616	34073	9
36809	34073	8
28037	34073	8
84980	997883	8
337	1167689	8
28901	34073	8
82996	564420	8
155892	983918	8
536018	935554	8
294	1193499	8
85698	1235458	8
29449	997883	8
152480	34073	8
119219	983918	7
44255	34073	7
348043	34073	7
424182	935554	7
382	34073	7
552	564420	7
1131462	34073	7
741091	983918	7
285	1235458	7
132919	34073	7
28141	983918	7
373	34073	7
742013	34073	7
57975	34073	7
168697	1235458	6
861208	935554	6
921	935554	6
53461	997883	6
327160	34073	6
381	34073	6
28151	34073	6
-2	585396	6
34085	34073	6
337191	34073	6
312306	34073	6
358220	34073	6
234827	997883	6
213	997883	5
398	34073	5
373	935554	5
1008	997883	5
748247	34073	5
119219	564420	5
416344	564420	5
524	34073	5
649831	34073	5
408	1076	5
991904	34073	5
1161942	34073	5
87883	564420	5
404589	34073	5
62928	34073	5
649831	564420	4
84163	34073	4
168697	564420	4
1613	34073	4
53437	1235458	4
717785	935554	4
1076	34073	4
95486	564420	4
986	997883	4
216465	34073	4
186931	983918	4
53412	1235458	4
39645	935554	4
271065	997883	4
1302	564420	4
615	34073	4
408	1235458	4
983544	96345	4
303	1167689	4
81475	1235458	4
758793	564420	4
930166	34073	4
346	1235458	4
37329	34073	4
375	1076	4
456327	1235458	3
1018	997883	3
76759	564420	3
339	564420	3
39960	1235458	3
492670	564420	3
426117	34073	3
1772	34073	3
1166130	564420	3
60217	1235458	3
1063	935554	3
85698	935554	3
1355477	1076	3
293091	997883	3
87883	34073	3
148447	1167689	3
881	34073	3
95486	935554	2
305	1235458	2
593909	1235458	2
240495	997883	2
29449	34073	2
1355477	34073	2
473531	983918	2
28118	997883	2
271097	997883	2
573	564420	2
261302	935554	2
280	1235458	2
193	935554	2
284016	1235458	2
1063	34073	2
1076	935554	2
2734	34073	2
79967	983918	2
640510	1167689	2
114616	935554	2
158327	564420	2
693444	564420	2
891974	1235458	2
36855	935554	2
266779	935554	2
89184	34073	2
442	935554	2
63612	1167689	2
288000	1235458	2
53399	1235458	1
43306	1235458	1
614	983918	1
47850	935554	1
167642	997883	1
285091	935554	1
551760	34073	1
266	935554	1
88688	34073	1
529	935554	1
199596	935554	1
652716	997883	1
94624	1235458	1
743722	564420	1
1311	935554	1
32025	935554	1
375	935554	1
7	935554	1
252970	1235458	1
40137	935554	1
335659	935554	1
450	34073	1
43306	935554	1
936476	564420	1
39960	935554	1
40324	935554	1
110662	34073	1
13373	34073	1
640512	935554	1
164757	997883	1
111501	935554	1
184914	34073	1
73141	564420	1
287	34073	1
1795	935554	1
-2	926556	1
196914	935554	1
406552	34073	1
34038	564420	1
84757	935554	1
28118	34073	1
28141	564420	1
913	935554	1
49338	564420	1
82996	1235458	1
29459	997883	1
511062	935554	1
32051	935554	1
649831	935554	1
863643	1235458	1
40567	34073	1
74313	935554	1
258224	935554	1
2337	564420	1
28132	34073	1
408	935554	1
44255	1076	1
881	935554	1
529	564420	1
168471	1235458	1
290399	935554	1
73141	983918	1
316	1235458	1
2066	34073	1
837	1235458	1
88688	935554	1
84595	564420	1
265606	34073	1
44255	935554	1
43687	935554	1
118323	564420	1
426117	935554	1
