taxid	truth_taxid	count
1922611	760192	49983
1542743	471854	49977
37692	234267	49938
38804	583355	49937
1348623	481448	49928
104580	452637	49920
1483724	926556	49906
1449978	204669	49906
1449752	1198114	49903
1416030	682795	49893
42197	488538	49879
1874539	485917	49857
402384	926566	49846
451	655815	49828
1746061	762903	49716
336407	553174	49637
1712571	509190	49567
693746	479433	49482
272621	479432	49440
1647387	991905	49230
40522	880070	49228
101571	246196	49006
-2	1166018	48945
1412473	1193499	48757
400394	574556	48505
298386	1016998	48175
396513	637913	47698
-2	326424	47571
1908805	749414	47569
691437	448385	46941
272568	632772	46230
1923151	1133849	45309
-2	34073	45252
1222338	435590	45025
75747	529120	42484
-2	564420	39233
1777015	443906	38149
173082	1076	38086
1776153	309807	36405
859653	867900	36311
1412470	585396	34490
764030	653045	33701
2008771	435591	32716
1412473	983918	28232
363716	1167689	26351
2151	935554	24648
670	997883	23861
1778540	96345	22868
135487	483219	21092
1843735	483219	20082
1189303	96345	17785
1673876	435591	15815
-2	1235458	14568
1050221	1235458	14387
1679933	983918	14040
-2	997883	13411
1759399	309807	13271
1185359	867900	13149
591946	1235458	13135
1608310	653045	12759
-2	1167689	12000
527001	443906	10031
169679	585396	8923
1189310	1167689	8371
983544	96345	8060
299767	529120	7115
1606763	483219	6595
-2	935554	6146
9606	935554	5741
230158	997883	5531
754045	935554	4944
1737345	1076	4906
-2	1076	4179
670	435590	4179
1412473	564420	4177
-2	983918	3999
37332	1133849	3878
983594	585396	3345
490	997883	3195
1016852	935554	3105
1050219	632772	3048
754441	448385	2616
526218	564420	2184
-1	585396	2166
1738045	983918	2092
1213187	1235458	2051
758847	637913	1925
262698	997883	1778
656190	935554	1769
1608310	749414	1742
1513196	1235458	1497
-1	483219	1327
592022	935554	1299
1608110	574556	1278
37206	1235458	1171
-1	653045	1100
-1	935554	991
169679	1016998	988
-1	96345	966
2033435	653045	947
1384061	653045	920
1147150	435591	882
1972565	1076	882
395962	1167689	858
632772	880070	685
1288295	34073	612
1349754	1235458	610
-1	1076	567
-1	443906	515
1140	1016998	513
1449979	326424	512
42253	564420	503
1678128	997883	499
-1	1167689	468
297352	1076	466
1511871	435590	436
698487	991905	435
99930	326424	433
1510841	246196	427
1738045	585396	423
1746060	483219	403
1419584	997883	403
-1	983918	401
1283330	935554	380
-1	1235458	377
430066	1193499	372
532076	585396	363
264732	1193499	358
956149	564420	338
10317	443906	327
697192	1235458	323
1317107	564420	321
1379788	1235458	312
323	1167689	312
10537	564420	310
588	1133849	304
229634	443906	301
1869111	34073	298
-2	443906	287
10317	479432	287
1511871	997883	283
1217420	1235458	274
1869111	1235458	271
10317	479433	268
36343	1167689	249
1777065	1193499	242
-2	435591	239
335543	34073	237
-2	653045	232
-2	483219	232
1678128	435591	229
-1	749414	213
40324	34073	213
431893	34073	212
859657	564420	209
204507	935554	203
10317	749414	198
1545702	1167689	197
662755	585396	193
305	564420	193
1738045	34073	192
1443113	762903	190
886293	553174	185
1443113	997883	184
-2	309807	179
363716	34073	178
10317	653045	177
10317	632772	176
1739967	983918	175
1922436	983918	170
10317	326424	170
