taxid	truth_taxid	count
204669	204669	49998
435590	435590	49997
435591	435591	49997
926556	926556	49996
574556	574556	49996
880070	880070	49995
485917	485917	49995
682795	682795	49993
553174	553174	49992
488538	488538	49992
655815	655815	49991
762903	762903	49991
926566	926566	49990
452637	452637	49987
234267	234267	49986
1198114	1198114	49985
991905	991905	49984
471854	471854	49983
583355	583355	49981
481448	481448	49979
632772	632772	49972
509190	509190	49967
760192	760192	49964
1133849	1133849	49955
483219	483219	49940
479433	479433	49889
479432	479432	49871
653045	653045	49807
749414	749414	49789
1772	246196	49778
326424	326424	49633
448385	448385	49438
443906	443906	47668
0	1166018	47289
652103	1076	45172
96345	96345	39234
287	983918	39127
0	34073	38251
562	585396	30784
303	1193499	29522
28108	529120	27830
210	637913	25113
146919	309807	25091
867900	867900	25033
979	867900	24949
309807	309807	24891
637913	637913	24789
0	564420	24487
28901	1016998	23814
817	997883	22913
529120	529120	22163
59201	1016998	21602
216596	935554	21122
231023	1193499	20204
585396	585396	18818
40324	1235458	17174
406425	1167689	16718
95486	1167689	13811
0	997883	11936
1452724	96345	10686
0	1167689	10271
868597	1235458	10074
205922	564420	9798
1163399	1235458	9503
754523	935554	8235
395491	935554	6999
384	935554	6963
0	1235458	6312
295405	997883	6070
0	983918	5352
1016998	1016998	4554
522373	1235458	4376
87882	1167689	3864
862962	997883	3583
0	935554	3230
0	1076	2865
272559	997883	2845
286	564420	2703
28447	443906	2109
391008	1235458	2072
595537	34073	1787
294	564420	1738
386	935554	1585
1221522	564420	1443
1147786	564420	1281
1	983918	1221
1379870	1166018	1121
543728	34073	1062
395960	1076	982
1283291	564420	906
587753	564420	892
1207075	564420	805
1076	1076	798
1124983	564420	759
1246301	34073	756
93219	1167689	704
930166	564420	694
1411700	983918	641
32008	1167689	575
200450	564420	531
136843	564420	503
379	935554	473
1089456	983918	465
243365	1167689	424
381754	983918	410
640512	1167689	409
0	448385	407
1427342	983918	402
517	34073	381
643561	34073	374
543	585396	368
0	326424	367
391735	34073	351
999541	1167689	346
171549	997883	339
1401325	997883	325
76869	564420	317
679935	997883	310
941193	983918	301
395492	935554	297
1224	34073	286
505292	983918	284
216591	1167689	284
10699	983918	270
976	997883	261
1441629	564420	253
1208658	34073	248
471854	1166018	235
246787	997883	235
0	443906	222
179636	34073	222
223283	564420	220
80840	34073	213
761193	1166018	213
0	749414	211
1033991	935554	199
192	34073	195
0	653045	193
1037911	564420	190
1114970	564420	188
1	1167689	180
80865	34073	179
1000561	983918	179
351746	1193499	178
85698	34073	173
1449978	1167689	169
28095	34073	167
667015	997883	166
292	1167689	161
380021	564420	160
47878	564420	156
56	448385	155
1028989	564420	155
1356852	1166018	154
29449	935554	148
269482	1167689	145
693979	997883	144
1055524	1167689	141
1332075	564420	140
316058	1076	139
435590	997883	138
203275	997883	137
34073	34073	133
491916	935554	132
1250339	1167689	131
128780	1235458	131
983594	1167689	131
983917	34073	129
0	479432	129
32002	34073	129
816	997883	129
32033	1235458	128
398578	34073	128
32008	34073	127
1415630	564420	127
880074	997883	126
1009846	1167689	119
1415629	983918	118
742013	34073	118
1249665	1167689	118
246196	246196	116
0	479433	111
86192	564420	110
331272	1167689	108
41899	1167689	105
996285	983918	104
53408	983918	101
1432049	935554	100
1366050	34073	95
1227739	1166018	95
286	983918	91
435591	997883	91
80864	34073	90
1763	246196	88
762376	34073	85
365046	34073	80
1400868	983918	80
216595	564420	80
420662	34073	78
748280	1167689	77
1282356	564420	77
758793	34073	74
1267562	34073	74
1385664	1166018	73
1611770	564420	72
296591	34073	70
389469	983918	69
89373	1166018	68
338	1235458	67
137722	34073	66
28216	1167689	65
1355477	34073	65
119060	34073	65
0	637913	65
1395570	1167689	64
0	483219	60
397945	34073	60
1548918	983918	60
103855	34073	60
536019	34073	60
1385663	1166018	59
40323	1235458	59
758796	34073	58
0	1193499	58
0	96345	58
136849	564420	57
348824	935554	57
1432050	935554	57
114615	34073	57
395495	34073	56
1340851	983918	56
287	564420	56
557598	1167689	55
595500	1167689	54
460265	34073	54
488447	1167689	53
562971	34073	53
237609	564420	52
818	997883	52
1051003	983918	52
518	34073	51
441162	1167689	51
220664	564420	50
303	564420	49
94624	34073	49
2	1166018	48
208964	983918	48
487909	1235458	48
305	34073	47
87883	1167689	47
1500686	564420	47
395491	34073	46
1755689	983918	46
0	1133849	45
381666	34073	45
69328	983918	44
89966	1166018	44
270351	34073	44
505291	983918	43
105219	34073	43
28211	34073	42
1379910	1166018	42
1262470	34073	42
1245471	564420	42
1500687	564420	42
60550	1167689	41
68895	34073	40
85643	34073	40
358220	34073	40
1448140	983918	40
330	564420	39
1134435	34073	38
78245	34073	37
0	760192	36
1678128	34073	36
375286	1167689	35
1418105	935554	35
28095	1167689	35
28216	34073	35
286	34073	35
227290	935554	34
1223260	983918	34
0	509190	33
482957	1167689	32
1129146	983918	32
644801	983918	32
1609977	34073	32
356	34073	32
93221	34073	32
28450	1167689	31
134537	34073	31
288000	34073	31
95486	34073	31
111527	34073	30
1611770	1167689	30
1259844	564420	30
431894	1167689	30
528244	34073	30
68287	935554	30
1294143	564420	30
216142	564420	30
87882	34073	30
2	34073	29
75105	34073	29
1123269	34073	29
216596	34073	29
1257021	1166018	29
1357279	564420	29
374	34073	29
53408	564420	28
482957	34073	28
94132	34073	28
512763	1166018	28
760192	1166018	27
1301098	564420	27
976	1166018	27
399739	564420	27
196894	983918	27
222	34073	27
300	564420	27
1678028	34073	26
994484	564420	26
1707785	34073	26
43263	564420	26
335659	34073	26
347834	935554	26
1028800	935554	26
1301098	34073	25
1349767	34073	25
394	935554	25
1224	983918	25
1328306	935554	25
1433126	997883	25
93219	34073	25
1224	1167689	24
1384061	564420	24
743720	564420	24
639283	34073	24
316058	34073	24
1788301	564420	24
1224	564420	24
557722	983918	23
200450	983918	23
266835	935554	23
709991	997883	22
1245469	34073	22
354	564420	22
999541	34073	22
311403	935554	22
1452725	96345	22
93217	34073	21
862719	34073	21
392499	34073	21
136845	564420	21
84531	34073	21
296	564420	21
0	481448	21
1678678	34073	20
342113	34073	20
1028800	34073	20
87883	34073	20
1236517	997883	20
0	583355	19
402881	34073	19
1196835	983918	19
1095103	564420	19
1110502	34073	19
1211579	564420	19
640511	34073	19
1249668	1167689	19
0	246196	18
395492	34073	18
675635	34073	18
0	867900	18
426355	34073	18
224911	34073	18
1334629	34073	18
390235	564420	18
0	471854	17
413882	34073	17
135621	564420	17
1294143	983918	17
93222	34073	17
53408	1167689	17
1091556	983918	17
339670	34073	17
