taxid	truth_taxid	count
204669	204669	49998
435590	435590	49997
574556	574556	49996
880070	880070	49995
926556	926556	49995
682795	682795	49993
488538	488538	49990
926566	926566	49990
452637	452637	49987
234267	234267	49986
1198114	1198114	49985
471854	471854	49983
485917	485917	49983
583355	583355	49981
481448	481448	49979
632772	632772	49969
760192	760192	49964
655815	655815	49960
991905	991905	49956
479433	479433	49889
479432	479432	49871
762903	762903	49856
553174	553174	49807
1772	246196	49778
749414	749414	49777
88688	509190	49757
326424	326424	49633
448385	448385	49403
1133849	1133849	49199
562	585396	48892
443906	443906	47667
653045	653045	46916
652103	1076	43906
287	983918	42877
0	1166018	42157
435591	435591	42088
28901	1016998	40682
303	1193499	40088
96345	96345	39139
0	34073	35449
28108	529120	30455
95486	1167689	30278
483219	483219	28157
979	867900	27717
817	997883	27041
210	637913	25248
146919	309807	25091
309807	309807	24891
637913	637913	24655
40324	1235458	24308
867900	867900	22265
32	483219	21774
0	564420	21047
529120	529120	19497
384	935554	17536
216596	935554	14228
0	997883	10982
1452724	96345	10759
286	1193499	9512
198620	564420	9495
375288	435591	7909
0	1167689	7583
59201	1016998	6518
40323	1235458	6245
387	935554	5983
0	1235458	5770
1163399	1235458	5236
286	564420	5038
295405	997883	4678
406425	1167689	4373
754523	935554	3999
395491	935554	3555
1834519	1166018	3548
2005046	1235458	3288
205922	564420	3261
0	983918	3186
868597	1235458	3178
1883	653045	2888
1076	1076	2836
862962	997883	2799
0	1076	2751
87882	1167689	2748
1016998	1016998	2462
0	935554	2445
1534110	564420	2261
1573	443906	2107
436515	34073	1898
1	983918	1860
305	1167689	1718
595537	34073	1430
272559	997883	1194
1178516	1166018	924
391008	1235458	893
379	935554	882
564064	1166018	865
2126319	34073	840
1659194	564420	813
37326	1133849	756
543728	34073	752
1124983	564420	718
104087	564420	665
1246301	34073	614
294	564420	575
997877	997883	509
517	34073	479
1147786	564420	475
200450	564420	474
1221522	564420	473
1211326	1166018	453
1796613	997883	437
585396	585396	430
171549	997883	424
543	585396	418
930166	564420	409
0	448385	407
2057025	1166018	397
1827305	1235458	389
522373	1235458	387
1416806	1167689	379
386	935554	376
587753	564420	375
0	326424	367
1379870	1166018	360
1224	34073	347
1981174	564420	340
93219	1167689	323
80840	34073	307
1089456	983918	306
32008	1167689	291
1283291	564420	282
643561	34073	282
391735	34073	273
1853130	564420	272
1207075	564420	270
57045	1016998	261
679935	997883	258
1411700	983918	253
60552	1167689	250
395960	1076	246
1193499	1193499	243
561	585396	241
1401325	997883	231
976	997883	224
0	443906	222
85698	34073	212
0	749414	211
92645	34073	208
1795631	34073	207
89373	1166018	198
505292	983918	197
34072	34073	197
509190	509190	196
80865	34073	194
0	653045	193
56	448385	190
838	553174	185
76869	564420	180
179636	34073	179
47879	564420	171
246787	997883	168
107	1166018	156
28095	34073	155
941193	983918	147
1777064	983918	146
323	564420	145
1028989	564420	142
192	34073	141
693979	997883	138
119060	1167689	137
2018067	564420	136
976	762903	135
435590	997883	133
75105	1167689	131
1416806	34073	130
0	479432	129
518	34073	129
1450169	983918	127
258594	1076	126
1842727	34073	122
1658665	34073	119
246196	246196	116
243365	1167689	115
816	997883	114
667015	997883	114
292	1167689	113
136849	564420	111
0	479433	111
47878	564420	107
1441629	564420	104
1114970	564420	104
32002	34073	104
80864	34073	103
880074	997883	103
53408	983918	96
463025	34073	96
316058	1076	95
1207504	1167689	95
395492	935554	90
1703969	935554	89
983917	34073	89
471854	1166018	88
1866885	246196	88
1427342	983918	87
2020312	935554	86
761193	1166018	85
1009846	1167689	84
136843	564420	84
1037911	564420	83
32033	1235458	81
2025876	997883	80
768507	1166018	79
996285	983918	79
380021	564420	79
2067572	564420	77
32008	34073	76
28216	1167689	75
1697043	34073	73
217203	34073	73
222	34073	73
128780	1235458	72
538025	935554	72
365046	34073	72
111527	1167689	70
286	983918	69
435591	997883	67
1571470	935554	66
795665	34073	66
34073	34073	66
1033991	935554	65
0	637913	65
1208658	34073	64
1758194	34073	64
351746	1193499	63
818	997883	63
76758	564420	62
1920191	34073	62
758793	34073	62
946333	34073	60
1416803	34073	60
106589	34073	60
1108595	1167689	60
1332075	564420	60
1055524	1167689	60
0	483219	60
28450	1167689	60
1356852	1166018	59
1484118	1166018	58
0	96345	58
0	1193499	58
287	564420	58
420662	34073	56
396	935554	55
303	564420	55
216591	1167689	55
557598	1167689	55
1411621	1166018	54
28131	997883	53
381754	983918	52
10699	983918	52
2083054	564420	52
1	1167689	52
1415629	983918	50
2	34073	50
395019	1167689	50
1267562	34073	49
64187	1235458	49
1548918	983918	49
57975	1167689	49
762376	34073	48
28216	34073	48
2	1166018	46
1484116	1166018	46
0	1133849	45
463014	34073	45
111527	34073	44
180282	34073	44
296591	34073	44
463040	34073	43
376489	34073	43
87882	34073	43
505291	983918	43
488729	1167689	43
999541	1167689	42
28211	34073	42
226	529120	42
86192	564420	42
216595	564420	42
32009	34073	41
80869	34073	40
395495	34073	40
1867719	935554	40
1355477	34073	40
1526658	34073	40
460265	34073	39
338	1235458	39
103796	564420	39
219572	564420	38
395491	34073	37
0	760192	36
535	1167689	36
119060	34073	36
1134435	34073	36
398578	34073	35
2109914	34073	34
758796	34073	33
0	509190	33
95485	1167689	33
463024	34073	33
1851544	34073	32
1611770	564420	32
56730	935554	32
837	997883	31
95485	34073	31
389469	983918	31
49546	655815	31
2045208	34073	31
384	34073	30
1249665	1167689	30
1331258	34073	30
41899	1167689	30
595500	1167689	30
356	34073	30
1262470	34073	30
1227739	1166018	29
536019	34073	29
1513890	564420	28
28211	991905	28
382	935554	28
1842537	34073	28
227290	935554	27
300	564420	27
1224	1167689	27
1500686	564420	27
300	983918	27
80840	1167689	27
1245471	564420	27
644801	983918	26
1385663	1166018	26
381666	34073	26
93220	34073	26
1129146	983918	26
114615	34073	26
358220	34073	26
1703969	34073	26
356	935554	25
29449	935554	25
85643	34073	25
94132	34073	25
375286	1167689	25
137722	34073	25
89966	1166018	25
2005884	34073	25
506	34073	24
379	34073	24
1250339	1167689	24
40324	34073	24
1931241	983918	24
103855	34073	24
1415630	564420	24
286	34073	24
2020313	935554	24
1395570	1167689	24
1224	983918	24
374	34073	23
115808	34073	23
1500687	564420	23
375	34073	23
244566	564420	23
1123269	34073	23
1740163	34073	23
1452725	96345	23
1385664	1166018	22
82115	935554	22
78245	34073	22
528244	34073	22
1294143	564420	22
742013	34073	21
1349767	34073	21
1432049	935554	21
402612	96345	21
1224	564420	21
0	481448	21
330	564420	21
93219	34073	21
265293	34073	21
