taxid	truth_taxid	count
1309	210007	99988
1351	474186	99974
1680	367928	99951
1311	208435	98625
1396	222523	98488
1813821	511145	90176
0	435590	89327
0	431947	88353
485	122586	83124
471	400667	79624
0	176280	78164
0	324831	76626
0	451515	75308
0	411466	73163
0	864803	67192
0	85962	65450
0	243230	62382
671223	1091045	46704
0	1091045	45455
0	349101	42360
0	287	30837
138563	85962	30170
2033869	349101	25298
36745	864803	13556
48296	400667	13436
1294143	287	10465
0	122586	9741
169679	864803	9433
1309411	243230	7315
300	287	7146
294	287	6372
316	287	6103
0	400667	5486
28112	431947	5275
1892404	222523	5221
1579	324831	5059
68909	243230	4961
55148	243230	4949
495	122586	4755
53412	287	4698
310783	243230	4163
29384	176280	3982
83683	324831	3813
1796613	435590	3806
29384	451515	3731
70255	176280	3632
0	511145	3581
1149133	287	3382
1499973	511145	3202
70255	451515	3065
1416334	324831	2997
1611770	287	2795
9606	864803	2589
283734	176280	2588
283734	451515	2457
32630	511145	2432
1334	208435	2431
1335048	349101	2399
308754	349101	2368
33011	1091045	2361
312306	287	2220
1649877	287	2148
47880	287	2101
95486	287	2069
1284	176280	2004
1500686	287	1969
1229727	349101	1963
1284	451515	1890
9606	176280	1868
376805	435590	1709
157782	287	1641
9606	85962	1612
9606	451515	1512
1077935	349101	1442
1208324	349101	1388
330	287	1366
539	122586	1346
198620	287	1285
2081702	411466	1281
1930532	287	1276
1505027	451515	1274
1613	324831	1263
1915078	349101	1251
104087	287	1231
1148157	400667	1149
9606	324831	1096
363555	324831	1061
1392	222523	1003
384	349101	962
237609	287	919
1168612	451515	906
32630	451515	871
9606	435590	869
1283291	287	856
2109625	349101	847
1396	451515	840
0	222523	807
1548	864803	790
1980001	411466	787
463040	287	780
2083055	287	768
217159	864803	765
1501	864803	758
32630	208435	755
1945662	349101	748
215813	349101	733
139208	411466	694
69328	287	690
2067572	287	686
283734	208435	682
1351	208435	680
1301	208435	662
52227	431947	660
46867	864803	633
649756	208435	621
47879	287	577
1221835	400667	567
879274	349101	565
2057025	451515	534
1411902	349101	527
1853130	287	526
193	349101	518
221822	349101	518
200451	287	516
1912	411466	496
397865	431947	494
1661	411466	492
76758	287	489
360398	451515	488
1538	864803	483
200450	287	481
1888	411466	478
1396	176280	473
71999	411466	469
358	349101	467
1812934	511145	464
28026	367928	460
1758179	287	456
1642647	431947	455
1270	411466	446
244566	287	440
430796	451515	436
223967	349101	435
28118	435590	418
47763	411466	404
37927	411466	403
10699	451515	403
219572	287	394
187137	243230	394
305	287	391
1274	411466	387
1847728	324831	381
1230998	411466	375
129009	451515	372
29341	864803	370
326523	122586	367
1276	411466	365
32630	122586	363
1796613	431947	357
545	511145	356
95486	349101	352
34073	349101	351
232721	287	350
397865	435590	338
28447	411466	335
1007676	324831	331
304895	411466	331
1874630	411466	330
33069	287	329
1795630	411466	329
412690	411466	329
1912795	411466	327
426117	349101	327
571915	411466	325
1513	864803	324
1399949	451515	321
1255	324831	316
396	349101	315
1134687	511145	312
1583341	287	311
1993866	324831	309
445516	451515	306
1216932	864803	304
375	349101	302
34073	287	301
1349819	349101	299
2066	411466	297
332249	243230	296
130478	451515	292
31963	411466	292
274	243230	291
9606	431947	290
1894	411466	287
528244	349101	284
1358	324831	283
1812480	411466	282
2018025	411466	282
47877	287	279
916	400667	279
648999	411466	278
7	349101	278
305	243230	277
1732063	176280	276
33014	411466	274
1972846	411466	272
257708	349101	271
450734	411466	267
305	349101	267
1542	864803	266
53437	411466	265
217	85962	263
1750719	451515	263
379347	349101	262
1121358	411466	262
1396	864803	261
571913	411466	260
286	287	259
2015316	349101	257
316	349101	255
92945	349101	251
38289	411466	249
418223	349101	248
47763	243230	246
2045452	411466	246
349751	411466	245
267128	400667	243
1590	324831	243
2135430	411466	243
376805	431947	241
34073	243230	237
294	243230	236
1861	411466	233
2066070	349101	233
1396	324831	231
387909	451515	231
294	349101	230
1883	411466	229
1777064	287	228
1915	411466	228
1571	451515	226
1837283	411466	226
139871	324831	226
575610	451515	226
316	243230	225
288000	349101	224
1912	243230	222
1771959	411466	222
2094021	411466	221
536018	349101	221
114090	324831	218
1165702	451515	218
68192	411466	217
379067	411466	216
360398	176280	216
129009	176280	216
128780	287	215
475662	287	213
1653480	411466	211
40567	411466	210
28112	435590	210
1680	411466	210
290400	349101	209
1902	411466	208
134676	411466	208
1392	451515	208
1038928	411466	207
71433	349101	207
1069378	85962	207
95486	243230	206
399	349101	205
225326	411466	205
42197	411466	205
1145276	451515	204
444444	349101	204
1597	324831	203
1642647	435590	202
1841249	411466	201
2020	411466	200
28132	435590	200
1072256	411466	199
42817	411466	199
1277672	451515	197
1892404	451515	196
28450	349101	195
656366	411466	195
47715	324831	195
256618	287	194
1829	411466	194
1129145	287	192
34018	349101	192
1623273	451515	192
29429	349101	191
42239	411466	190
40215	400667	190
2099788	324831	189
1470176	411466	189
2751	324831	189
284016	349101	187
536	287	186
1836	411466	185
1638	451515	184
553510	411466	183
68570	411466	182
315405	324831	182
1638	176280	181
10678	511145	181
1138822	324831	180
1223566	349101	180
0	208435	180
121292	411466	180
76123	431947	179
33011	411466	179
43	243230	179
1033922	411466	179
95486	411466	177
1206777	287	176
300	349101	175
2057741	349101	175
1888	243230	174
2072025	451515	173
68280	411466	172
193	287	172
436515	287	172
43357	411466	172
839	435590	171
1764	411466	171
1265601	411466	170
384	411466	170
1750719	176280	169
47763	349101	169
2054	411466	169
2072025	176280	168
575200	411466	168
2079227	411466	168
1358	176280	165
28068	287	164
217	511145	163
193	243230	163
1800	411466	163
2756	451515	163
61647	511145	161
1844006	349101	161
128780	243230	161
1505	864803	161
1571470	349101	160
1771309	287	160
633807	451515	159
29430	400667	158
1839798	222523	158
1911586	176280	157
1351	324831	157
208439	411466	157
1791	411466	155
1839798	451515	155
397260	349101	155
86664	176280	155
2020312	349101	155
1683	411466	154
1883416	287	154
580165	176280	153
300	243230	153
1308896	451515	151
1971	411466	151
37928	411466	150
376	349101	150
860235	411466	150
1274631	349101	150
68895	243230	150
580165	451515	150
28068	349101	148
412384	451515	148
1661694	411466	147
1723645	411466	146
1690815	411466	146
28450	287	146
9606	122586	146
86664	451515	146
28118	431947	145
384	287	145
85643	287	145
34029	243230	145
1571	176280	143
456163	243230	143
519	287	143
1590	176280	143
1683	367928	143
316	411466	143
134676	243230	143
191493	411466	143
1911175	411466	140
28450	411466	140
1625	324831	140
1736675	349101	140
1349	208435	138
9606	243230	138
1727214	411466	138
35755	411466	138
53444	324831	137
28068	243230	137
34073	411466	137
595593	411466	137
1702170	511145	136
1406	864803	136
189918	411466	136
39960	349101	136
110539	411466	136
384	243230	135
1888	349101	135
43357	243230	135
2751	176280	134
186192	243230	134
2059875	411466	133
88688	349101	133
742013	287	131
43771	411466	131
267128	349101	130
223967	411466	130
32630	85962	130
1328	324831	130
488731	287	130
2066	243230	129
42197	243230	129
671223	411466	129
158500	349101	129
110321	349101	129
418699	287	129
1912	349101	129
648999	243230	128
441209	349101	128
1244	324831	127
1678028	287	127
561879	451515	126
163877	176280	126
1859	411466	126
199441	451515	125
1145276	176280	125
530584	411466	125
1498220	451515	125
79885	176280	125
1590	451515	124
2018025	243230	124
60550	287	124
184914	243230	124
359	349101	123
758802	411466	123
412384	176280	123
589436	431947	122
436515	349101	122
68280	243230	122
158899	287	122
1732063	451515	121
68895	287	121
756892	400667	121
294	411466	121
186153	451515	120
223967	243230	120
1707785	287	120
1303	324831	119
47763	287	119
76936	85962	119
666685	287	119
323415	287	119
187491	411466	118
1578165	411466	117
105219	243230	117
1888	287	117
2036817	287	117
2005046	287	117
436515	243230	116
1894	243230	116
1358	451515	115
2094021	243230	115
13690	349101	115
47763	1091045	115
305	411466	114
1888	1091045	114
1906741	287	114
40567	243230	113
315405	176280	113
426117	243230	113
561879	176280	113
1841249	243230	113
28450	243230	113
1204178	85962	113
1351	176280	112
53346	324831	112
1839798	176280	112
589436	435590	111
2756	176280	111
588932	349101	111
1407493	511145	111
403957	451515	111
1519999	451515	111
1327989	287	111
9606	349101	111
398	349101	111
1449	451515	110
2024580	411466	109
1920128	511145	109
72	122586	108
76123	435590	108
9606	400667	108
488731	349101	108
1226968	349101	107
528244	243230	107
379067	243230	107
1912	1091045	107
881	243230	107
1433126	431947	107
75697	287	106
1911587	451515	106
633807	324831	106
927083	411466	105
2751	451515	104
1861	1091045	104
543	511145	103
68570	243230	103
1812480	243230	102
927083	349101	102
528244	287	102
702967	411466	101
34029	287	101
34029	349101	101
163877	451515	101
315405	451515	101
1642	176280	101
1589	324831	101
28077	243230	101
519	349101	100
1902	243230	100
1351	451515	100
300	411466	99
68192	243230	99
2017483	176280	99
1892404	176280	99
28077	349101	99
199441	176280	99
1836	243230	99
39960	243230	98
445517	451515	98
1033922	1091045	98
374106	85962	98
320839	451515	96
257708	243230	96
1571	324831	96
76731	243230	96
152331	324831	96
2045452	1091045	96
293387	451515	96
1682113	411466	95
1912	287	95
2109914	243230	95
198107	243230	95
1788	411466	95
1653479	411466	95
450734	1091045	95
28026	411466	95
1661694	243230	95
2081702	1091045	95
742013	243230	95
293387	176280	95
60550	349101	95
2020	243230	94
304895	243230	94
1348	208435	94
1777052	287	94
401472	411466	94
256618	349101	93
280701	287	92
1861	243230	92
94624	243230	92
404589	411466	92
1764	243230	92
1707785	349101	92
1653480	243230	91
34	243230	91
244366	287	91
184914	411466	91
1636152	411466	91
94624	287	91
1712675	176280	91
1545728	411466	90
722731	411466	90
1406	176280	90
53412	349101	90
187304	349101	90
571913	1091045	90
28068	411466	90
332056	349101	90
320837	451515	90
656024	411466	89
1333996	349101	89
52227	435590	89
2135430	243230	89
456327	287	88
216778	287	88
839	431947	88
55884	511145	88
1883	1091045	88
742013	349101	87
556325	411466	87
66284	511145	87
1839799	208435	87
1750719	324831	87
85643	349101	87
861208	349101	87
553510	243230	87
63	243230	86
83455	243230	86
28132	431947	86
415229	287	86
637971	324831	86
1971	349101	86
1911175	243230	86
1276	1091045	86
232721	243230	86
1906741	243230	86
223967	287	85
1915	243230	85
633807	176280	85
2036817	349101	85
110539	243230	85
1829	1091045	85
656366	1091045	85
186789	511145	85
1449	176280	84
881	411466	84
1859	243230	84
105219	287	84
36745	324831	84
9606	411466	84
150055	324831	84
1765	411466	84
1274	1091045	84
53412	243230	84
1294143	243230	83
1449	324831	83
575	511145	83
36814	411466	83
146827	411466	83
1501	176280	83
1392	176280	83
28077	287	82
61646	511145	82
536	243230	82
88688	243230	82
463040	349101	82
1406	451515	82
1911586	451515	82
10871	287	82
1690815	243230	82
580165	324831	81
193	411466	81
2018025	349101	81
1914541	349101	81
1972846	243230	81
860235	243230	81
61647	287	80
358	287	80
128780	349101	80
61648	511145	80
375	243230	80
56460	287	80
216465	243230	79
666685	243230	79
83617	287	79
1662457	349101	79
1149133	349101	79
2017483	451515	79
85643	243230	79
1309	324831	78
47880	349101	78
1211326	431947	78
2756	324831	78
475662	349101	78
105219	349101	77
198107	287	77
152500	349101	77
296591	243230	77
927083	243230	77
1560345	349101	77
2036817	243230	77
29549	243230	76
418699	243230	76
1612173	349101	76
70255	324831	76
379067	349101	75
158080	287	75
756828	451515	75
528244	411466	75
2020	349101	74
2066	287	74
1707785	243230	74
43	349101	74
294	1091045	74
424182	349101	74
74426	411466	74
