taxid	truth_taxid	count
470	400667	245409
243230	243230	195620
431947	431947	140751
287	287	131796
1311	208435	109271
1282	176280	109165
1747	1091045	100488
435590	435590	99978
324831	324831	99777
349101	349101	99495
367928	367928	99035
864803	864803	98875
290402	864803	98802
210	85962	98261
1280	451515	96847
487	122586	96630
222523	222523	92538
1091045	1091045	91540
210007	210007	83279
1437447	210007	82729
1351	474186	75019
1403335	431947	69490
474186	474186	67906
562	511145	66476
122586	122586	55576
837	431947	50660
0	411466	49294
1309	210007	48484
909420	122586	46664
1386087	122586	41642
1680	367928	41114
176280	176280	41036
381754	287	36324
0	511145	33966
1319	208435	31136
0	367928	30650
1063	349101	28301
1396	222523	27796
1217984	222523	24565
1198676	210007	24314
1520	864803	24215
1813821	511145	21853
1428454	864803	17741
208435	208435	16839
52773	411466	16508
511691	210007	13612
1380360	324831	13511
1155071	210007	13009
1287066	474186	12840
1449752	176280	11862
471	400667	10021
267747	1091045	9808
1031709	1091045	9575
935593	122586	9070
1206105	474186	8746
1201292	474186	8524
176279	176280	8295
557760	349101	7297
226185	474186	5386
1261557	474186	5361
1892404	222523	3832
565651	474186	3485
930170	222523	3422
1427374	208435	3259
622	511145	2773
198214	511145	2730
0	451515	2680
1416334	324831	2052
663954	208435	1980
1403336	431947	1950
1114969	1091045	1901
997877	435590	1898
1114967	1091045	1895
1114966	1091045	1894
300267	511145	1788
1282	451515	1761
1428	222523	1611
1280	176280	1594
405534	222523	1558
334406	222523	1547
1852377	411466	1408
1030843	431947	1405
85962	85962	1394
1400867	400667	1376
1596	324831	1365
671223	1091045	1340
374833	122586	1306
0	208435	1263
0	287	1243
945556	400667	1230
361100	222523	1192
95486	287	1109
111015	411466	1080
985002	451515	1011
485	122586	1002
48296	400667	1002
106654	400667	985
630588	122586	954
266264	287	910
604162	122586	889
910265	287	871
1505027	451515	860
1279	451515	814
0	222523	795
544580	411466	748
935588	122586	747
662598	122586	743
1392	222523	712
935590	122586	654
1851395	411466	652
566552	367928	651
