taxid	truth_taxid	count
1299	243230	99999
210	85962	99940
1063	349101	99917
1351	474186	99818
1520	864803	99747
1309	210007	99664
837	431947	99441
1747	1091045	98343
1680	367928	97799
1282	176280	97383
1596	324831	97246
487	122586	97196
821	435590	97155
287	287	96337
1280	451515	94476
1396	222523	89065
470	400667	84045
1311	208435	60948
562	511145	40227
52773	411466	14358
1852377	411466	1154
111015	411466	573
544580	411466	390
43675	411466	353
1898684	287	320
712122	411466	259
1851395	411466	248
2081702	411466	205
1960083	411466	174
186189	411466	167
208962	511145	111
42817	411466	108
1727	411466	95
72000	411466	94
2003551	411466	94
11	411466	93
1708	411466	92
1499973	511145	89
1661	411466	85
1750	411466	84
1658671	411466	82
1703	411466	82
139208	411466	78
1711	411466	76
158787	411466	73
2047	411466	73
399497	411466	72
1270	411466	72
33010	411466	71
2017484	411466	70
1714373	411466	68
84757	411466	68
37927	411466	66
1428	222523	65
1758689	411466	64
60920	411466	63
1332264	411466	62
372663	411466	61
1575	411466	59
1630135	411466	58
1710	411466	57
1230998	411466	56
1748	411466	55
1610493	411466	53
216816	411466	52
412690	411466	50
1276	411466	49
1980001	411466	49
1405	222523	47
1331682	411466	47
279828	411466	47
453304	411466	46
71999	411466	46
2045	411466	45
1274	411466	45
28447	411466	44
1909732	411466	44
28901	511145	44
482462	411466	43
595593	411466	43
38305	411466	42
106654	400667	42
1866	411466	40
622	511145	40
1744	411466	40
446860	411466	40
2014	411466	39
1795630	411466	39
2017485	411466	39
2020	411466	39
1653478	411466	39
2001	411466	37
2045452	411466	37
48296	400667	37
2079227	411466	36
75385	411466	36
283811	411466	35
1121358	411466	35
671223	411466	35
33011	411466	34
656366	411466	34
1470176	411466	34
1072256	411466	34
1909395	411466	34
1912795	411466	33
131568	411466	33
78258	411466	33
33903	411466	33
702967	411466	33
1335613	411466	32
69373	411466	32
191610	411466	32
758802	411466	32
450734	411466	32
28025	411466	32
1849032	411466	31
2020486	411466	31
1357915	411466	31
361575	411466	31
2051	411466	31
564	511145	30
1586287	411466	30
1906742	411466	30
1777064	287	30
367477	411466	30
1903186	411466	30
1940	411466	30
67267	411466	29
1129145	287	29
2041	411466	29
36809	411466	29
1852	411466	29
1694	411466	28
1810	411466	28
187491	411466	28
162426	411466	28
1916	411466	28
43669	411466	28
300019	411466	27
203263	411466	27
1494608	411466	27
556325	411466	27
1681	411466	27
1771	411466	27
1578165	411466	26
862751	411466	26
1704044	411466	26
196162	411466	26
53461	411466	26
298654	411466	25
712270	411466	25
670052	411466	25
135487	411466	25
29405	411466	25
1223514	411466	25
152794	411466	25
1307	208435	24
43767	411466	24
38300	411466	24
53358	411466	24
43674	411466	24
2033	411466	24
57704	411466	24
70775	287	24
303	287	23
1978566	411466	23
1561023	411466	23
2026199	411466	23
575200	411466	23
1616117	411466	23
1879023	411466	23
455432	411466	23
1619308	411466	22
37919	411466	22
1231000	411466	22
103731	411466	22
316	287	22
38289	411466	22
1684	411466	22
303	411466	22
571915	411466	22
349751	411466	22
256701	411466	22
84595	411466	21
1487956	411466	21
1805827	411466	21
156978	411466	21
638619	411466	21
1136941	411466	21
280236	411466	21
1653480	411466	21
2061	411466	21
408015	411466	21
1528099	411466	21
857417	411466	21
31963	411466	21
758793	411466	20
580165	222523	20
110539	411466	20
623	511145	20
1689	411466	20
298653	411466	19
1933880	411466	19
471	400667	19
37928	411466	19
648999	411466	19
47885	411466	19
43770	411466	19
1314	208435	19
136857	411466	19
2051552	411466	19
121292	411466	18
1683	411466	18
1004901	411466	18
161879	411466	18
