taxid	truth_taxid	count
1299	243230	99998
210	85962	99942
1063	349101	99915
1351	474186	99817
1520	864803	99752
1309	210007	99657
837	431947	99454
1747	1091045	98336
1680	367928	97805
1282	176280	97380
1596	324831	97250
487	122586	97214
821	435590	97172
287	287	96340
1280	451515	94488
1396	222523	89097
470	400667	84030
1311	208435	60928
562	511145	40244
52773	411466	14162
1852377	411466	1204
111015	411466	573
544580	411466	389
43675	411466	370
1898684	287	320
712122	411466	285
1851395	411466	262
2081702	411466	199
1960083	411466	161
186189	411466	141
1661	411466	116
1727	411466	113
208962	511145	112
42817	411466	105
1658671	411466	103
11	411466	100
372663	411466	94
1703	411466	93
2003551	411466	92
72000	411466	86
1708	411466	84
1499973	511145	84
453304	411466	83
84757	411466	83
158787	411466	79
2047	411466	74
399497	411466	73
1750	411466	71
33010	411466	70
1711	411466	70
1980001	411466	69
139208	411466	68
1332264	411466	67
1714373	411466	66
216816	411466	66
1270	411466	66
1072256	411466	65
1710	411466	63
1610493	411466	63
1428	222523	63
37927	411466	63
60920	411466	56
2017484	411466	55
71999	411466	54
2045452	411466	54
1909732	411466	51
1630135	411466	49
1744	411466	49
28901	511145	49
1748	411466	49
1849032	411466	46
1694	411466	46
2045	411466	46
412690	411466	46
1230998	411466	46
1331682	411466	46
1405	222523	43
1795630	411466	42
300019	411466	42
2001	411466	42
1355015	411466	42
2014	411466	41
595593	411466	41
225326	411466	41
1586287	411466	40
1335613	411466	40
106654	400667	40
75385	411466	40
1276	411466	39
38305	411466	39
131568	411466	38
482462	411466	38
36809	411466	38
1909395	411466	38
43669	411466	38
2020	411466	37
622	511145	37
1653478	411466	37
2079227	411466	37
1223514	411466	37
1274	411466	36
857417	411466	36
446860	411466	36
1616117	411466	35
1866	411466	34
349751	411466	34
1978566	411466	33
1906742	411466	33
28447	411466	33
67267	411466	32
1575	411466	32
1777064	287	32
1903186	411466	32
187491	411466	32
1704044	411466	32
156978	411466	31
1357915	411466	31
1470176	411466	31
361575	411466	31
450734	411466	31
48296	400667	31
2020486	411466	30
1129145	287	30
28025	411466	30
656366	411466	30
702967	411466	30
1758689	411466	30
135487	411466	30
1940	411466	30
31963	411466	29
103731	411466	29
33011	411466	29
1901	411466	29
1136941	411466	29
1494608	411466	29
162426	411466	29
712270	411466	29
1747	411466	29
78258	411466	28
1231000	411466	28
367477	411466	28
279828	411466	28
564	511145	28
1912	411466	28
1916	411466	28
1771	411466	28
2051	411466	28
37919	411466	27
1861	411466	27
1852	411466	27
53461	411466	27
43767	411466	26
1791	411466	26
1879023	411466	26
152480	411466	26
1912795	411466	25
1307	208435	25
2041	411466	25
1619308	411466	25
36805	411466	25
57704	411466	25
455432	411466	25
1933880	411466	24
1805827	411466	24
1561023	411466	24
1797	411466	24
862751	411466	24
