taxid	truth_taxid	count
1485	864803	100000
1298	243230	100000
1678	367928	100000
1060	349101	100000
209	85962	100000
1301	210007	99999
1578	324831	99997
816	435590	99927
1279	176280	99905
1350	474186	99905
1386	222523	99866
482	122586	99827
469	400667	99616
836	431947	99443
1301	208435	98972
1912216	1091045	98640
1279	451515	98508
286	287	96957
561	511145	41715
1654	411466	17788
1716	411466	1094
1883	411466	898
1678	411466	469
1763	411466	409
1663	411466	404
32207	411466	402
1707	411466	374
33882	411466	329
43668	411466	275
1827	411466	256
72763	411466	217
57493	411466	177
544	511145	133
157920	411466	131
186188	411466	128
1069494	411466	106
254250	411466	105
1573	411466	105
1696	411466	98
1817	411466	98
1912217	411466	93
1839	411466	89
267408	411466	89
1912216	411466	87
2053	411466	85
547	511145	83
32008	411466	80
2013	411466	78
286	411466	70
2034	411466	69
590	511145	67
110932	411466	66
1854	411466	65
570	511145	61
620	511145	60
1813	411466	56
33877	411466	56
84756	411466	56
1269	411466	56
596707	411466	54
65496	411466	49
2060	411466	48
2000	411466	48
1912215	411466	47
2019	411466	47
1742993	411466	47
518733	411466	46
337004	411466	45
1742989	411466	44
2044	411466	43
1743	411466	43
37914	411466	42
36739	411466	42
447237	411466	41
265976	411466	41
60919	411466	40
116071	411466	38
83681	411466	37
644652	411466	37
133925	411466	36
1865	411466	35
283810	411466	35
1822464	411466	35
13687	411466	32
69578	411466	32
1060	411466	32
57495	411466	31
165301	411466	31
1851	411466	30
12916	411466	29
357	411466	29
407	411466	29
57499	411466	29
53460	411466	27
53457	411466	27
1835	411466	27
2050	411466	26
32	411466	26
33886	411466	25
1653174	411466	25
1847	411466	25
81	411466	25
2063	411466	25
2071	411466	25
1868332	411466	25
613	511145	24
1873	411466	24
379	411466	24
1759331	411466	23
28231	411466	22
29404	411466	22
191	411466	21
53357	411466	21
414878	411466	21
413496	511145	20
53335	511145	20
642	411466	20
33981	411466	20
196082	411466	20
106589	411466	20
43356	411466	19
34072	411466	19
940557	411466	18
613	411466	17
118	411466	16
88138	411466	16
635	411466	16
68	411466	16
182639	411466	16
1330547	511145	15
146918	411466	15
1330545	511145	15
160674	511145	15
414371	411466	14
1847725	411466	13
33973	411466	13
674734	411466	13
80865	411466	13
125216	411466	12
83677	411466	12
158483	511145	12
83654	511145	12
838	411466	12
472568	411466	12
13134	411466	12
517	411466	12
38501	411466	12
239934	411466	12
872	411466	12
629	511145	11
544	411466	11
165696	411466	11
1860	411466	11
42255	411466	11
75	411466	11
286801	411466	11
28263	411466	11
178440	411466	11
2040	411466	11
2056	411466	10
1692042	411466	10
122277	511145	10
285107	411466	10
40323	411466	10
2701	411466	10
40566	411466	10
441	411466	10
33057	411466	10
93217	411466	9
1298	411466	9
2745	287	9
1706036	411466	9
1330546	511145	9
1862	411466	9
890	411466	9
635	511145	9
84593	411466	9
1263	411466	9
173479	411466	8
203135	411466	8
203193	411466	8
42	411466	8
551759	411466	8
970	411466	8
673534	411466	8
338	411466	8
682522	411466	8
1330547	411466	8
642	511145	7
97050	411466	7
551	511145	7
252306	411466	7
83461	411466	7
48736	287	7
84565	511145	7
376488	411466	7
662	400667	7
149698	411466	7
547	411466	7
29330	411466	7
1055688	411466	7
44249	411466	7
1101	411466	7
1380	411466	7
2184	411466	7
1572860	411466	7
120961	411466	7
152053	411466	7
48736	411466	7
286	511145	7
106633	411466	7
58842	411466	7
170610	411466	7
29287	411466	6
283168	411466	6
265	411466	6
162027	411466	6
39643	287	6
165697	411466	6
517	287	6
50	411466	6
447792	511145	6
123	411466	5
149698	287	5
44	411466	5
12960	411466	5
590	411466	5
142577	411466	5
662	511145	5
204037	511145	5
1849	411466	5
1330546	411466	5
1623273	451515	5
191494	411466	5
73918	411466	4
202907	411466	4
32008	287	4
1386	474186	4
1392389	411466	4
216851	411466	4
482	411466	4
963	411466	4
2263	411466	4
378210	411466	4
352	411466	4
1481960	411466	4
1729679	411466	4
119977	411466	4
161492	411466	4
745364	411466	4
89966	411466	4
190818	411466	4
43673	411466	4
2251	411466	3
