taxid	truth_taxid	count
1485	864803	100000
1678	367928	100000
1298	243230	100000
1060	349101	100000
209	85962	100000
1301	210007	99998
1578	324831	99997
816	435590	99926
1279	176280	99906
1350	474186	99897
1386	222523	99865
482	122586	99839
469	400667	99615
836	431947	99436
1301	208435	98969
1912216	1091045	98636
1279	451515	98506
286	287	96962
561	511145	41697
1654	411466	17739
1716	411466	1039
1883	411466	854
1678	411466	487
1763	411466	448
32207	411466	407
1663	411466	371
1707	411466	363
33882	411466	363
43668	411466	278
1827	411466	266
72763	411466	244
57493	411466	156
544	511145	128
254250	411466	122
186188	411466	118
1912216	411466	117
1069494	411466	110
267408	411466	105
157920	411466	102
1696	411466	97
1573	411466	95
1839	411466	89
1912217	411466	88
547	511145	84
1813	411466	80
1817	411466	76
84756	411466	73
32008	411466	72
2053	411466	72
2013	411466	67
286	411466	65
570	511145	62
590	511145	60
65496	411466	60
2034	411466	60
1742993	411466	59
620	511145	59
1854	411466	58
1743	411466	57
1847	411466	54
33877	411466	53
1269	411466	53
83681	411466	50
1912215	411466	45
60919	411466	45
1865	411466	42
37914	411466	42
518733	411466	41
36739	411466	41
1742989	411466	39
1822464	411466	39
57499	411466	38
69578	411466	37
2060	411466	37
13687	411466	34
407	411466	34
2040	411466	34
596707	411466	33
2044	411466	33
2019	411466	33
644652	411466	33
53357	411466	33
1060	411466	33
28231	411466	33
116071	411466	32
1873	411466	31
110932	411466	31
2050	411466	30
1835	411466	30
447237	411466	29
57495	411466	27
196082	411466	27
613	511145	26
2000	411466	26
48736	411466	26
2063	411466	25
357	411466	25
2071	411466	25
1759331	411466	24
53457	411466	24
165301	411466	24
33981	411466	24
12916	411466	23
283810	411466	23
414878	411466	23
29404	411466	23
635	411466	22
613	411466	22
133925	411466	21
53335	511145	21
1298	411466	21
81	411466	21
940557	411466	21
68287	411466	20
413496	511145	20
337004	411466	20
88138	411466	19
838	411466	19
40323	411466	19
673534	411466	19
34072	411466	19
1868332	411466	19
43673	411466	19
872	411466	19
1653174	411466	18
53460	411466	18
642	411466	18
68	411466	17
33973	411466	16
1330547	511145	16
379	411466	16
191	411466	16
182639	411466	16
146918	411466	16
674734	411466	15
1330545	511145	15
239934	411466	15
174951	411466	14
125216	411466	14
33057	411466	14
160674	511145	14
158483	511145	13
441	411466	13
265976	411466	13
629	511145	12
118	411466	12
1692042	411466	12
1860	411466	12
40566	411466	12
1572860	411466	12
13134	411466	12
41275	411466	12
1330547	411466	12
544	411466	11
33886	411466	11
42255	411466	11
2701	411466	11
178440	411466	11
85076	411466	11
1847725	411466	10
53335	411466	10
