taxid	truth_taxid	count
1485	864803	100000
1298	243230	100000
1678	367928	100000
209	85962	100000
1578	324831	99980
1301	210007	99953
1060	349101	99952
816	435590	99895
1279	176280	99867
1279	451515	99855
1912216	1091045	99784
482	122586	99725
1386	222523	99704
1350	474186	99630
469	400667	99624
1301	208435	98838
836	431947	98828
286	287	97501
561	511145	97346
1654	411466	31606
1883	411466	2547
1716	411466	674
32207	411466	333
1678	411466	152
195950	431947	131
517	400667	104
1763	411466	94
1485	222523	84
33882	411466	78
544	511145	76
838	431947	50
1663	411466	50
93217	400667	48
547	511145	45
286	411466	43
642	511145	43
1350	208435	38
32008	287	36
1279	122586	36
32008	411466	34
72763	411466	33
12916	287	21
642	287	21
1827	411466	19
222	287	18
1817	411466	15
375288	435590	15
1743	411466	14
47420	287	13
157920	411466	13
1707	411466	12
2745	287	12
165779	208435	12
1912215	411466	11
1883	287	11
186188	411466	11
1386	474186	11
517	287	10
816	431947	10
447237	411466	10
44259	208435	10
283810	411466	10
1813	411466	9
84406	208435	8
1912216	411466	8
561	222523	8
53460	411466	8
93217	287	8
1696	411466	8
116071	411466	7
59753	400667	7
590	511145	6
33057	287	6
2000	411466	5
596707	411466	5
267408	411466	5
286	400667	5
254250	411466	5
1578	208435	4
1912217	411466	4
1069494	411466	4
1870884	208435	4
1839	411466	3
39643	411466	3
613	287	3
33877	411466	3
2060	411466	3
1016	431947	3
1854	411466	3
133925	411466	3
29404	411466	3
2063	411466	2
642	411466	2
43668	411466	2
57493	411466	2
68287	411466	2
1572860	411466	2
57499	411466	2
196082	411466	2
475	122586	2
1279	208435	2
1386	208435	2
570	511145	2
644652	411466	2
1573	411466	2
1578	411466	2
165697	411466	2
256616	287	2
2053	411466	2
265976	411466	2
36739	411466	2
2013	411466	2
590	400667	2
2056	411466	2
586	400667	2
338	287	2
1301	122586	1
48736	287	1
2370	287	1
1269	411466	1
283	287	1
1742989	411466	1
724	122586	1
33055	287	1
338	411466	1
203193	411466	1
33986	208435	1
2093	208435	1
79603	411466	1
118	411466	1
44249	411466	1
40566	411466	1
745364	411466	1
590	208435	1
53335	511145	1
106589	411466	1
182639	411466	1
1701761	411466	1
535	411466	1
2050	411466	1
1868332	411466	1
32008	349101	1
13687	287	1
1847	411466	1
1434011	411466	1
1849	411466	1
407	411466	1
1649	208435	1
33981	411466	1
149698	411466	1
1865	411466	1
2273	411466	1
83681	411466	1
1578	474186	1
1234	411466	1
84108	411466	1
57495	411466	1
561	400667	1
1763	287	1
