taxid	truth_taxid	count
1485	864803	100000
1298	243230	100000
1678	367928	100000
209	85962	99999
1578	324831	99978
1301	210007	99955
1060	349101	99952
816	435590	99895
1279	176280	99870
1279	451515	99847
1912216	1091045	99775
482	122586	99714
1386	222523	99706
1350	474186	99633
469	400667	99624
1301	208435	98833
836	431947	98814
286	287	97512
561	511145	97327
1654	411466	31509
1883	411466	2524
1716	411466	656
32207	411466	331
1678	411466	140
195950	431947	131
517	400667	105
1763	411466	88
1485	222523	84
544	511145	75
33882	411466	74
1663	411466	57
93217	400667	47
838	431947	47
286	411466	46
547	511145	43
1350	208435	38
32008	287	37
1279	122586	36
72763	411466	34
642	511145	34
32008	411466	30
12916	287	21
642	287	21
222	287	18
375288	435590	15
1743	411466	15
1707	411466	13
47420	287	13
165779	208435	12
116071	411466	12
517	287	11
1912215	411466	11
1827	411466	11
186188	411466	11
157920	411466	11
1883	287	10
816	431947	10
447237	411466	10
44259	208435	10
2745	287	10
283810	411466	10
84406	208435	8
1817	411466	8
1386	474186	8
1573	411466	8
1813	411466	8
561	222523	8
53460	411466	8
93217	287	8
267408	411466	7
1912216	411466	7
59753	400667	7
254250	411466	7
1696	411466	7
590	511145	6
33057	287	6
1069494	411466	5
596707	411466	4
1578	208435	4
57499	411466	4
2060	411466	4
149698	287	4
1912217	411466	4
1578	411466	4
1870884	208435	4
613	287	3
1016	431947	3
1868332	411466	3
1839	411466	3
1854	411466	3
407	411466	3
133925	411466	3
29404	411466	3
2053	411466	3
2000	411466	3
57493	411466	2
222	411466	2
1572860	411466	2
106589	411466	2
613	411466	2
1279	208435	2
1386	208435	2
644652	411466	2
1847	411466	2
165697	411466	2
256616	287	2
265976	411466	2
36739	411466	2
2013	411466	2
590	400667	2
2056	411466	2
586	400667	2
338	287	2
196082	411466	2
1301	122586	1
48736	287	1
43668	411466	1
1269	411466	1
283	287	1
1742989	411466	1
724	122586	1
1234	411466	1
203193	411466	1
28105	411466	1
2093	208435	1
118	411466	1
40566	411466	1
13687	411466	1
745364	411466	1
590	208435	1
182639	411466	1
33877	411466	1
1701761	411466	1
2034	411466	1
475	122586	1
535	411466	1
2050	411466	1
940557	411466	1
32008	349101	1
13687	287	1
1434011	411466	1
413496	287	1
1649	208435	1
33981	411466	1
53335	511145	1
1865	411466	1
2273	411466	1
338	400667	1
83681	411466	1
561	400667	1
1578	474186	1
84108	411466	1
57495	411466	1
1763	287	1
