taxid	truth_taxid	count
2	474186	148206
1760	411466	130346
1224	122586	130173
1301	208435	127110
1485	864803	126405
1760	1091045	118637
816	435590	116759
836	431947	115997
1060	349101	109852
1301	210007	108212
1578	324831	107778
209	85962	101636
1783272	176280	94758
1678	367928	90099
469	400667	90047
1299	243230	87396
1298	243230	83801
210	85962	73555
91061	222523	72704
1279	451515	71269
2	222523	64637
1236	287	60713
131567	511145	53962
2	511145	53147
131567	400667	43462
1596	324831	39617
1	287	37837
0	864803	37506
1224	511145	36881
837	431947	32690
1309	210007	31770
2	451515	30869
287	287	30378
91061	176280	28994
2	367928	28317
2	1091045	28296
1783272	451515	28257
0	176280	27996
2	435590	26790
2	208435	26613
2	176280	23828
85004	367928	23239
0	210007	22175
171549	435590	21951
2	210007	21332
0	451515	21163
0	411466	20730
0	222523	20495
31957	1091045	20188
1680	367928	20101
0	243230	19972
0	349101	19925
31989	349101	19708
1386	222523	19616
1224	287	19420
2	411466	18568
0	400667	18078
1385	451515	17964
0	367928	17913
1520	864803	17653
0	324831	17156
487	122586	16964
0	208435	16311
1660	411466	16026
2	324831	15787
0	474186	15695
482	122586	15177
543	511145	15024
0	435590	14683
0	287	13834
2	122586	13477
0	431947	13203
1	511145	12886
2	287	12815
171549	431947	12319
2	431947	12070
131567	349101	11971
1280	451515	11790
28211	349101	11320
909768	400667	11304
131567	474186	10989
1	451515	10764
562	511145	10717
1279	176280	10296
0	85962	10017
1351	474186	9887
821	435590	9682
286	287	8960
1063	349101	8167
0	1091045	7960
131567	287	7920
72274	400667	7787
470	400667	7674
0	122586	7471
1747	1091045	7333
1311	208435	7041
2	400667	6833
1	324831	6581
186802	864803	6000
1783272	1091045	5974
1	208435	5968
204455	349101	5675
86661	222523	5653
1654	411466	5525
0	511145	5377
1350	474186	4731
72274	287	4718
2	349101	4498
1783272	367928	4399
1236	400667	4284
1239	864803	4254
91061	208435	4221
131567	324831	4160
976	431947	4086
481	122586	4055
31953	367928	4003
1	400667	3974
1282	176280	3942
1783272	210007	3718
2	243230	3588
1	85962	3587
1396	222523	3546
1224	349101	3346
131567	122586	3224
2	864803	3182
2	85962	2994
91061	474186	2980
1783272	208435	2954
131567	208435	2947
91061	451515	2749
411481	367928	2738
367928	367928	2723
131567	210007	2694
624	511145	2620
976	435590	2504
1239	222523	2408
186826	208435	2311
1224	400667	2295
186826	210007	2246
411466	411466	1991
1239	210007	1949
1783272	324831	1936
1	176280	1883
1783272	474186	1780
1783272	222523	1748
485	122586	1735
1	435590	1719
649742	411466	1625
1239	176280	1624
33958	324831	1590
1385	176280	1562
213849	85962	1502
186826	324831	1447
349101	349101	1430
1760	367928	1407
1	367928	1400
131567	431947	1399
1236	511145	1378
131567	222523	1333
1	122586	1330
1	222523	1274
222523	222523	1259
31979	864803	1238
131567	176280	1232
131567	451515	1187
91347	511145	1179
131567	1091045	1177
171551	431947	1171
1239	208435	1161
186826	474186	1161
243230	243230	1130
815	435590	1105
1	474186	1089
1	210007	1063
200643	431947	1043
1302244	1091045	1026
1224	85962	1005
1	349101	998
1185650	411466	977
29547	85962	967
1302243	1091045	940
188787	243230	927
1300	210007	897
557760	349101	890
91061	210007	857
561	511145	857
400667	400667	835
201174	367928	834
1302241	1091045	824
1385	222523	787
72293	85962	774
201174	1091045	757
131567	435590	754
46170	451515	734
1300	208435	711
131567	864803	704
131567	243230	694
980427	243230	691
1247725	349101	671
1280	176280	656
