taxid	truth_taxid	count
31957	1091045	167083
1301	208435	154787
837	431947	147757
1386	222523	130936
1224	122586	130074
469	400667	127355
1299	243230	126888
1279	176280	126654
816	435590	122645
286	287	120226
1309	210007	117229
1279	451515	113068
1578	324831	112644
209	85962	100800
1224	511145	91939
91061	474186	89799
1678	367928	87840
1485	864803	85670
210	85962	77030
1063	349101	76553
1520	864803	64255
1350	474186	64189
1060	349101	64050
1680	367928	63580
1654	411466	57846
2	511145	54037
52773	411466	53864
0	411466	53657
1596	324831	50406
0	864803	40498
1298	243230	39014
1301	210007	38123
1385	451515	36554
0	176280	31931
821	435590	30333
0	451515	28345
0	222523	27723
0	367928	27257
0	210007	26842
287	287	25423
909768	400667	23840
31989	349101	23559
0	400667	22768
0	349101	22459
0	431947	22195
0	474186	21807
0	324831	21789
0	208435	21597
543	511145	21499
0	435590	20921
0	287	20193
0	243230	19538
171549	435590	19338
1385	176280	19160
2	222523	19138
0	122586	18591
1760	411466	18522
0	1091045	18148
482	122586	16443
0	511145	15979
0	85962	15490
481	122586	14286
171549	431947	14021
1351	474186	12653
487	122586	11960
1224	287	11102
135621	287	10137
243230	243230	9899
1783272	367928	9155
31953	367928	8202
470	400667	7534
836	431947	7227
28211	349101	7169
1385	222523	7166
1236	287	6604
91061	176280	6497
1	451515	6221
1	324831	6189
1224	400667	6128
2	208435	5365
1760	1091045	5233
91061	451515	4915
2	474186	4897
2	431947	4664
1282	176280	4647
1300	210007	4552
91061	208435	4515
91347	511145	4513
2	122586	4443
2	176280	4259
2	400667	4239
1300	208435	4100
562	511145	3881
2	1091045	3565
2	411466	3433
1280	451515	3415
186826	210007	3322
186826	208435	3250
1224	349101	3241
2	451515	3218
2	210007	3211
2	287	3206
186802	864803	3096
1236	400667	2920
91061	210007	2829
1236	511145	2800
1396	222523	2763
186817	222523	2753
1239	222523	2689
91061	222523	2672
1239	864803	2654
976	431947	2425
33958	324831	2328
90964	176280	2319
2	243230	2277
468	400667	2236
90964	451515	2076
2	349101	2045
976	435590	2014
86661	222523	1993
1311	208435	1971
186826	324831	1969
186826	474186	1952
2	435590	1937
1783272	411466	1909
1747	1091045	1876
2049	411466	1864
213849	85962	1773
2	864803	1703
485	122586	1700
176280	176280	1655
1	511145	1649
201174	411466	1637
81852	474186	1554
1760	367928	1552
1239	474186	1505
1239	210007	1342
29547	85962	1328
1	400667	1298
357276	435590	1242
1	287	1214
1	208435	1203
85009	1091045	1184
188787	243230	1122
2	85962	1092
72293	85962	1087
91061	324831	1082
1239	208435	1034
2	324831	1000
1783272	210007	969
561	511145	919
33959	324831	898
200643	431947	893
1783272	208435	893
72274	400667	871
1783272	176280	839
1783272	1091045	789
486	122586	770
1	176280	753
1783272	474186	743
210007	210007	736
2	367928	730
201174	1091045	726
1239	176280	714
200643	435590	599
1783272	451515	599
33010	1091045	591
1239	451515	584
198214	511145	557
208435	208435	551
1239	324831	545
131567	411466	523
201174	367928	517
1	85962	498
1224	85962	484
1898684	287	483
1783272	324831	446
1783272	243230	403
1783272	222523	384
