taxid	truth_taxid	count
2	474186	154335
1760	1091045	138260
1760	411466	112402
1301	210007	110098
1783272	176280	108284
836	431947	107372
1578	324831	106972
1298	243230	101290
209	85962	100505
1060	349101	97374
1678	367928	90281
1300	208435	88227
816	435590	84469
2	511145	84263
91061	222523	81289
90964	451515	79446
210	85962	74175
469	400667	70468
1299	243230	70078
1485	864803	67057
482	122586	62069
1236	287	61618
31979	864803	57667
131567	511145	57319
2	222523	55753
1301	208435	43102
1783272	451515	40401
1596	324831	40232
1	287	37891
0	864803	37368
2	122586	36293
815	435590	35806
31989	349101	33147
1224	122586	31930
1309	210007	30859
837	431947	30376
91061	176280	29427
468	400667	29307
2	367928	28350
0	176280	28149
287	287	26891
481	122586	24891
131567	400667	24424
85004	367928	23819
1279	451515	23056
487	122586	22438
2	208435	22359
0	210007	22093
1520	864803	21885
0	451515	21213
0	222523	20733
201174	411466	20628
0	411466	20511
0	349101	20124
0	243230	19736
2	210007	19543
1680	367928	19086
1224	287	18437
0	400667	18076
909768	400667	17819
0	367928	17758
0	324831	17113
171549	435590	17078
0	208435	16328
2	324831	15750
2	411466	15743
0	474186	15564
1660	411466	14917
171551	431947	14560
0	435590	14543
0	287	14479
2	287	14199
2	435590	13942
0	431947	13472
543	511145	13079
171549	431947	13063
31957	1091045	12622
2	400667	12442
131567	435590	12248
1386	222523	12222
1063	349101	11757
1	511145	10769
1280	451515	10413
2	1091045	10119
0	85962	9924
562	511145	9803
821	435590	9547
28211	349101	9506
204455	349101	9343
1351	474186	9206
2	176280	8972
85009	1091045	8905
2	451515	8281
1279	176280	7916
186817	222523	7906
0	1091045	7804
0	122586	7602
470	400667	7378
2	349101	7279
1747	1091045	7101
1	451515	7084
1	324831	6564
1311	208435	6498
131567	287	6460
1654	411466	6444
31953	367928	6317
72274	400667	6082
1	208435	5866
2	431947	5788
0	511145	5609
186802	864803	5571
86661	222523	5277
131567	474186	5073
72274	287	4916
135621	287	4649
286	287	4633
200643	435590	4474
1783272	210007	4330
131567	324831	4295
1224	511145	4272
131567	122586	4237
1239	864803	4072
976	431947	3808
1236	400667	3801
1783272	1091045	3793
1783272	208435	3754
1224	349101	3729
1	400667	3710
1350	474186	3677
1	85962	3578
91061	208435	3401
131567	208435	3396
90964	176280	3347
1282	176280	3333
33958	324831	3255
1396	222523	3238
91347	511145	3102
91061	451515	3065
2	243230	2996
131567	431947	2928
131567	176280	2880
2	85962	2844
131567	210007	2802
411481	367928	2764
367928	367928	2752
1224	400667	2740
2	864803	2720
624	511145	2673
1239	222523	2559
186826	208435	2445
131567	349101	2444
186826	210007	2412
976	435590	2383
131567	451515	2230
1783272	222523	2139
91061	474186	2121
411466	411466	2005
1783272	367928	1941
1239	208435	1940
200643	431947	1938
1783272	474186	1904
1760	367928	1800
485	122586	1751
1	435590	1711
136841	287	1655
649742	411466	1646
213849	85962	1606
1239	176280	1598
349101	349101	1596
1239	210007	1595
81852	474186	1577
72293	85962	1572
131567	222523	1555
186826	324831	1553
561	511145	1527
131567	1091045	1502
1300	210007	1485
1236	511145	1451
29547	85962	1425
1	367928	1407
222523	222523	1306
1	176280	1230
381754	287	1196
186826	474186	1192
1239	474186	1165
1	122586	1148
1	222523	1134
243230	243230	1132
206351	122586	1092
1385	176280	1072
188787	243230	1048
1302244	1091045	1031
1	474186	995
1185650	411466	992
1	210007	980
1	349101	943
1302243	1091045	943
557760	349101	924
1385	451515	919
400667	400667	862
1302241	1091045	832
46170	451515	824
1783272	411466	798
1385	222523	786
201174	367928	780
1912216	1091045	751
1239	324831	747
91061	210007	744
131567	243230	737
131567	411466	735
131567	864803	726
1247725	349101	723
131567	367928	719
980427	243230	686
435590	435590	651
1	243230	639
1321822	431947	634
1302242	1091045	607
1783272	243230	556
1280	176280	550
1783272	864803	543
1581118	287	521
1313	222523	520
1224	85962	518
936549	411466	512
183710	243230	493
83333	511145	488
491	122586	486
431947	431947	469
1227270	431947	465
1227271	431947	464
131567	85962	445
1400521	474186	443
1195243	431947	431
1392	222523	429
1743	1091045	420
1	864803	417
1	431947	406
546265	122586	401
91061	324831	399
1227269	431947	394
546267	122586	372
242619	431947	371
1263057	367928	370
1239	451515	366
1321821	431947	364
111105	431947	363
186801	864803	349
324831	324831	344
909420	122586	340
85962	85962	340
1	1091045	329
2049	411466	320
1428	222523	307
1313	208435	301
1783272	324831	297
1962118	176280	294
269801	222523	293
765079	1091045	287
1321823	431947	287
1030843	431947	285
295996	122586	283
1401639	400667	283
445629	349101	281
1226748	1091045	278
1403829	210007	270
267747	1091045	268
176279	176280	262
33959	324831	258
1203556	411466	252
749517	474186	246
765105	1091045	240
679196	324831	238
559301	324831	237
122586	122586	232
623	511145	227
1111760	210007	222
1403338	431947	220
671267	435590	211
1496	122586	207
1321775	411466	206
1	411466	202
620	511145	200
546262	122586	196
566552	367928	193
996307	122586	191
483217	435590	190
118964	243230	188
547043	367928	184
68336	431947	184
374833	122586	182
663926	122586	179
78346	367928	178
525326	324831	178
1306165	287	177
1339352	435590	176
1404260	210007	176
909952	1091045	173
1437447	210007	166
1407059	287	166
1262663	287	166
999892	1091045	166
1339351	435590	166
28216	122586	163
339854	222523	162
334406	222523	162
1739406	411466	161
290402	864803	157
1125722	431947	156
1441931	287	156
412694	222523	153
1211023	431947	153
