taxid	truth_taxid	count
210	85962	83054
1301	208435	81898
1299	243230	81838
2	474186	73065
816	435590	68819
1060	349101	66408
1596	324831	64238
1224	122586	60612
1309	210007	58670
1279	451515	55615
837	431947	55193
1485	864803	55016
469	400667	54966
287	287	53495
1678	367928	52166
1660	411466	42938
1783272	176280	41115
31957	1091045	40203
1760	411466	39969
1386	222523	36902
1760	1091045	34322
836	431947	30486
1301	210007	29972
1520	864803	29906
91061	222523	29103
1680	367928	27802
91061	176280	27576
1578	324831	26358
1236	287	26261
1224	511145	25441
543	511145	22812
2	511145	22306
1063	349101	17745
487	122586	16193
2	222523	14855
470	400667	14584
909768	400667	14239
821	435590	13268
0	864803	12755
1385	451515	12568
209	85962	11064
562	511145	10146
1280	451515	9700
1351	474186	9375
1298	243230	9192
1279	176280	9150
0	176280	8781
2	1091045	8704
482	122586	8626
0	349101	6846
2	451515	6769
0	210007	6453
0	411466	6346
0	243230	6000
171549	435590	5965
1747	1091045	5927
1311	208435	5538
0	451515	5512
624	511145	5247
286	287	5125
0	222523	4917
2	435590	4751
0	367928	4576
0	400667	4412
0	287	4278
481	122586	4139
0	324831	4117
1654	411466	4093
1350	474186	3932
2	367928	3909
1282	176280	3886
0	208435	3861
0	474186	3852
1224	287	3742
0	435590	3731
1396	222523	3632
85004	367928	3572
72274	400667	3086
171549	431947	3046
1236	511145	2979
1783272	474186	2938
1783272	451515	2934
86661	222523	2845
2	400667	2813
31989	349101	2778
91347	511145	2658
2	208435	2610
2	176280	2605
72274	287	2556
2	431947	2433
367928	367928	2419
0	431947	2393
91061	474186	2027
411481	367928	1922
1385	176280	1904
1	451515	1839
411466	411466	1751
0	1091045	1716
0	85962	1473
186826	474186	1463
2	287	1390
222523	222523	1329
91061	208435	1252
1236	400667	1246
485	122586	1212
1302244	1091045	1211
243230	243230	1185
1239	176280	1180
1783272	1091045	1116
2	122586	1114
349101	349101	1080
0	122586	1046
649742	411466	1030
91061	451515	973
2	411466	961
1302243	1091045	925
28211	349101	907
46170	451515	896
204455	349101	842
1313	222523	838
1	324831	799
1185650	411466	788
400667	400667	787
1302241	1091045	725
0	511145	722
1239	222523	693
431947	431947	676
1280	176280	661
557760	349101	659
2	243230	634
2	210007	620
2	324831	619
491	122586	609
1302242	1091045	608
1227270	431947	525
435590	435590	523
31953	367928	496
1321822	431947	487
186826	208435	483
1224	400667	472
1263057	367928	465
1392	222523	459
1239	208435	454
83333	511145	448
909420	122586	431
1743	1091045	414
1247725	349101	412
976	431947	411
1313	208435	400
561	511145	398
1385	222523	395
1400521	474186	392
85962	85962	371
1	85962	369
324831	324831	363
1321821	431947	360
546265	122586	357
1227271	431947	353
1195243	431947	344
1428	222523	339
1227269	431947	327
295996	122586	316
1783272	367928	315
1313	210007	303
131567	511145	300
546267	122586	300
936549	411466	293
201174	367928	290
418630	349101	289
269801	222523	287
2	349101	287
623	511145	286
381754	287	286
1581118	287	284
122586	122586	272
171551	431947	268
1962118	176280	262
1401639	400667	262
1783272	208435	255
1226748	1091045	255
1030843	431947	253
186826	210007	251
1239	210007	250
1224	349101	248
559301	324831	248
33958	324831	234
186802	864803	232
176279	176280	228
1300	208435	224
2	85962	222
1321823	431947	221
468	400667	220
679194	1091045	219
1403335	431947	216
765105	1091045	214
242619	431947	210
996307	122586	207
679196	324831	207
1386087	122586	201
765079	1091045	197
1403829	210007	194
111105	431947	191
1	511145	191
1262663	287	191
620	511145	188
290402	864803	186
749517	474186	182
1783272	324831	181
1300	210007	180
1496	122586	179
1239	474186	176
267747	1091045	172
1405	222523	171
1339352	435590	171
663926	122586	170
1203556	411466	168
1890302	222523	168
33959	324831	165
1248732	122586	163
976	435590	160
547043	367928	159
980427	243230	158
186817	222523	158
1321775	411466	156
1	208435	155
1403338	431947	155
374833	122586	154
412694	222523	153
1437447	210007	152
223919	864803	151
1307	208435	150
77133	431947	149
566552	367928	148
1	287	147
508451	324831	147
525326	324831	146
1239	864803	144
1404260	210007	141
525375	176280	140
483217	435590	138
748671	324831	137
1111760	210007	137
546262	122586	137
1783272	210007	136
2	864803	136
813	474186	136
457391	435590	136
28901	511145	135
815	435590	134
199310	511145	133
1314	208435	131
77133	511145	129
1283	451515	128
909952	1091045	125
862513	122586	124
1407059	287	123
525376	176280	121
1155071	210007	116
334406	222523	115
48296	400667	110
550	287	109
186826	324831	107
765084	1091045	107
342617	208435	107
702446	435590	106
339854	222523	105
1432555	511145	105
765101	1091045	104
1125722	431947	102
1311	210007	101
1783272	222523	101
1403935	176280	100
91061	210007	100
1441931	287	99
357276	435590	98
216816	367928	98
445629	349101	98
910348	511145	98
46170	176280	97
471	400667	96
1105030	411466	96
1432547	511145	95
1190571	122586	95
622	511145	95
671267	435590	94
1190579	122586	94
999892	1091045	92
29388	176280	92
525374	176280	92
331111	511145	92
486	122586	90
411479	435590	90
342614	208435	90
78346	367928	89
1297567	431947	89
1783272	243230	89
1306165	287	89
1912216	1091045	88
511691	210007	88
136841	287	87
1962118	122586	87
765064	1091045	87
1339351	435590	87
1339350	435590	86
754093	511145	86
1685	367928	84
147802	324831	83
155322	222523	82
1280	222523	80
47770	324831	80
411477	431947	80
135621	287	80
1235786	435590	79
1091045	1091045	77
1380360	324831	77
1760	367928	76
869214	122586	76
1282	451515	76
1346615	324831	76
349102	349101	75
57498	243230	75
888052	411466	75
1403336	431947	74
28026	367928	74
1127122	85962	74
992067	85962	74
1403943	511145	73
497978	400667	73
1403942	474186	72
102617	85962	72
765104	1091045	72
474186	474186	71
537937	367928	71
573	511145	71
1314	210007	70
90964	451515	70
342613	208435	70
1050843	1091045	70
1111677	474186	69
1190576	122586	68
272831	122586	68
1263060	367928	67
798130	287	67
1268883	451515	66
1266066	208435	66
469593	435590	66
1437612	367928	65
992186	349101	65
200643	435590	65
342616	208435	65
907238	85962	64
1145115	85962	64
364106	511145	64
1496	208435	63
351016	349101	63
31979	864803	63
575584	400667	63
1239	451515	63
1449752	176280	62
28216	122586	62
526973	222523	62
936048	1091045	62
47715	324831	62
525378	176280	61
213849	85962	61
90964	176280	61
1185650	176280	60
186189	411466	59
1315978	287	59
91061	324831	59
888745	208435	59
342615	208435	58
1491	864803	58
1297564	431947	58
693745	85962	58
1502	864803	58
817	435590	58
59201	511145	58
592014	400667	58
445335	864803	58
1105029	411466	57
1350465	287	57
632245	864803	55
857145	210007	55
656410	511145	54
457394	435590	54
765072	1091045	53
200643	431947	53
526992	222523	53
561522	208435	53
941280	511145	53
765061	1091045	53
1185650	1091045	52
1598	324831	52
525330	324831	52
550	511145	52
98228	222523	51
1201292	474186	51
523796	451515	50
1587	324831	50
521006	122586	50
765121	1091045	49
1145161	122586	49
765080	1091045	49
526975	222523	49
904325	176280	49
637913	85962	49
445336	864803	48
765067	1091045	48
936047	1091045	48
1224	85962	48
405955	511145	48
106654	400667	48
1689	367928	48
1352	474186	48
29397	324831	47
1200793	210007	47
749516	474186	47
1239	324831	47
1262874	367928	47
550672	511145	46
765100	1091045	46
1027372	474186	46
992041	85962	46
1344993	176280	46
393131	222523	46
471872	208435	46
526977	222523	46
1137131	451515	46
727	511145	46
