taxid	truth_taxid	count
243230	243230	89605
837	431947	89509
210	85962	86106
1309	210007	83976
1351	474186	83753
287	287	81968
1747	1091045	75498
1	176280	69101
1301	208435	64670
1063	349101	63780
1280	451515	59247
1520	864803	54111
1680	367928	53919
435590	435590	53705
909768	400667	49674
487	122586	49596
52773	411466	47816
1386	222523	45399
1596	324831	42458
543	511145	41673
482	122586	39475
816	435590	35273
562	511145	34078
0	411466	33551
324831	324831	26577
290402	864803	25825
470	400667	21616
1311	208435	21435
349101	349101	19409
1678	367928	19077
469	400667	19007
1396	222523	18800
1	324831	17512
1279	451515	16574
0	864803	15573
367928	367928	15315
1	451515	12372
222523	222523	12225
1282	176280	12216
0	176280	11813
561	511145	11356
86661	222523	11084
31957	1091045	10507
0	451515	10306
0	367928	9800
0	210007	9778
0	222523	9459
0	349101	9185
0	287	8083
0	400667	7728
0	435590	7650
0	474186	7429
0	324831	7370
0	208435	7213
0	243230	7159
0	431947	7050
209	85962	6749
0	1091045	6646
474186	474186	4991
1852377	411466	4948
0	122586	4903
0	511145	4856
0	85962	4479
1578	324831	4439
1060	349101	4276
1301	210007	4034
286	287	4022
1912216	1091045	3882
1	208435	3551
1485	864803	3155
91347	511145	3049
176280	176280	2925
1279	176280	2882
1298	243230	2775
1350	474186	2125
171549	431947	1989
1091045	1091045	1856
31989	349101	1853
1224	287	1749
481	122586	1486
171549	435590	1428
997877	435590	1151
1654	411466	1145
208435	208435	1065
381754	287	955
485	122586	900
1760	411466	898
1380360	324831	708
31953	367928	689
1	511145	636
1239	208435	620
136841	287	611
210007	210007	582
544580	411466	578
81852	474186	571
1236	511145	554
431947	431947	536
671223	1091045	526
198214	511145	498
1	210007	468
1239	222523	461
1224	400667	453
1224	122586	442
28901	511145	440
486	122586	425
122586	122586	419
186826	474186	412
135621	287	408
111015	411466	385
1	287	383
43675	411466	372
1428	222523	349
1	400667	343
712122	411466	341
28211	349101	333
1898684	287	330
85962	85962	329
1236	287	292
1428454	864803	287
1912795	411466	277
2081702	411466	267
33010	1091045	261
33958	324831	239
1405	222523	231
281309	222523	231
186826	208435	223
585057	511145	223
489653	122586	220
557760	349101	214
226900	222523	214
91061	208435	205
1760	1091045	203
1851395	411466	201
570	511145	199
817	435590	191
1437447	210007	189
1385	222523	188
864803	864803	185
1744	411466	183
2	208435	177
1403336	431947	177
1217984	222523	171
1661	411466	170
907237	85962	170
1280	176280	168
300267	511145	167
90964	176280	160
186817	222523	159
28035	176280	157
208962	511145	154
90964	451515	152
349102	349101	144
1224	349101	143
1236	400667	142
468	400667	141
1679	367928	135
935593	122586	133
1300	210007	132
767029	411466	132
46170	451515	131
1748	411466	129
186826	210007	129
548479	411466	127
1689	367928	125
1678	411466	124
871585	400667	120
1300	208435	120
590	511145	119
1280938	287	119
374833	122586	118
644284	411466	118
1883	411466	118
1685	367928	117
48296	400667	117
1055527	85962	116
662598	122586	115
36805	411466	115
1960083	411466	113
91061	474186	113
106654	400667	111
570508	85962	111
363555	324831	109
28216	122586	108
685038	511145	108
590998	411466	108
1321939	85962	107
1386087	122586	107
471853	411466	106
1	122586	106
592205	85962	103
1716	411466	102
490	122586	101
59505	411466	101
2	411466	101
604162	122586	100
563041	85962	100
446469	411466	96
1163743	85962	96
909420	122586	93
1224	511145	93
1385	176280	92
2	511145	91
93061	451515	88
1170318	1091045	87
206351	122586	87
216816	367928	87
1385	451515	86
935588	122586	86
935591	122586	86
2033869	349101	85
272624	122586	85
1426844	85962	85
1892404	222523	84
85009	1091045	83
1760	367928	82
1610493	411466	82
2049	411466	82
930170	222523	82
1301	411466	80
765963	85962	80
272624	208435	79
976	431947	79
59201	511145	79
620	511145	79
176280	451515	77
446471	411466	77
85006	411466	75
1239	864803	74
36745	864803	73
1133852	511145	73
1630135	411466	72
976	435590	72
386585	511145	72
2	122586	72
1734925	1091045	70
1030843	431947	69
33959	324831	68
1499973	511145	68
122587	122586	67
357544	85962	67
566552	367928	67
198094	222523	66
1834196	864803	65
1839798	222523	64
1587	324831	63
272624	210007	62
907239	85962	62
765962	85962	61
1403335	431947	61
491	122586	60
1392	222523	59
1150461	411466	59
1703	411466	59
1	474186	59
630588	122586	58
1408186	324831	58
1248725	85962	57
622	511145	57
2033435	349101	57
272624	222523	57
1309807	208435	56
2	349101	56
91061	176280	56
1300344	411466	56
44249	411466	56
242231	122586	55
186802	864803	54
2	243230	54
28035	451515	54
162426	411466	54
593907	411466	54
762948	411466	53
1055530	85962	53
656366	411466	52
1268	411466	52
684950	85962	52
907240	85962	52
907238	85962	51
2003551	411466	51
573	511145	51
273036	451515	50
511691	210007	50
72274	400667	49
645127	411466	49
1763	411466	49
1150460	367928	48
547043	367928	48
399497	411466	48
544	511145	48
472569	411466	47
272624	511145	46
169679	864803	46
208964	287	46
1	222523	46
451515	451515	45
1519999	451515	45
1783272	474186	45
446466	411466	45
272624	474186	45
1827	411466	45
585538	85962	45
547	511145	45
1783272	208435	45
869727	85962	45
272624	431947	45
1783272	411466	45
743718	411466	44
91061	210007	44
43674	411466	44
985002	451515	44
2	864803	44
272624	451515	44
272624	400667	43
2	431947	43
1163739	85962	43
272624	864803	43
1682	367928	42
1381115	451515	42
1198676	210007	41
315730	222523	41
571915	411466	41
2	474186	41
226186	435590	41
375288	435590	41
272624	176280	40
712411	411466	40
1147786	287	40
1232659	122586	39
1344959	511145	39
1663	411466	39
836	431947	38
33882	411466	38
1307833	431947	38
188787	243230	38
226185	474186	38
281309	176280	38
1072256	411466	37
1717	411466	37
471855	411466	37
546414	243230	37
1447716	367928	36
515622	864803	35
200643	431947	35
1505027	451515	35
288681	222523	35
1689	411466	35
260799	222523	35
1619308	411466	35
308354	451515	35
1201292	474186	35
1747	411466	35
281309	451515	35
1285583	411466	35
488	122586	34
1125630	511145	34
1114969	1091045	34
293826	864803	34
1155071	210007	34
1182571	243230	33
1195464	222523	33
84292	411466	33
35757	411466	33
39488	864803	33
471	400667	33
2	287	33
727	122586	33
102611	85962	33
1909732	411466	32
1805478	411466	32
1077935	349101	32
177439	864803	32
1903411	511145	32
1400868	287	32
315749	222523	32
702459	367928	31
29388	176280	31
633147	411466	31
1224	411466	31
1871034	411466	31
465515	411466	31
935590	122586	30
43668	411466	30
281309	864803	30
37928	411466	30
1239	210007	30
1307	208435	30
1385940	367928	30
33011	411466	30
2014	411466	30
272624	324831	30
295405	435590	30
558173	411466	29
266940	411466	29
208435	210007	29
479435	411466	28
866344	85962	28
28112	431947	28
1613	324831	28
585535	85962	28
2	400667	28
1427374	208435	28
1239	474186	28
479431	411466	28
272624	349101	28
1282	451515	28
1033837	324831	28
2	1091045	28
1348	208435	27
85963	85962	27
453304	411466	27
1	85962	27
85007	411466	27
1308	210007	27
1055528	85962	27
2	435590	27
1492	864803	27
31957	411466	27
1163742	85962	27
693979	435590	27
818	435590	27
1321940	85962	27
1332264	411466	26
702967	411466	26
2041	411466	26
1163745	85962	26
33010	411466	26
1234600	85962	26
1309	208435	26
186826	324831	26
1575	411466	26
47678	435590	26
745776	243230	26
53408	287	26
481145	208435	25
526977	222523	25
547043	411466	25
61647	511145	25
37927	411466	25
710696	411466	25
1863	411466	25
869816	451515	25
308465	176280	25
1853278	122586	25
1579	324831	25
1783272	243230	25
695562	411466	25
479433	411466	24
1449752	176280	24
171551	431947	24
72763	411466	24
1163740	85962	24
1	411466	24
1586287	411466	24
1055532	85962	24
360911	411466	24
295405	431947	24
1658671	411466	24
571913	411466	24
102608	85962	24
853	411466	24
1274	411466	24
279828	411466	24
1785128	400667	23
890402	367928	23
43770	411466	23
543	287	23
10699	451515	23
883062	367928	23
693444	511145	23
1681	367928	23
156978	411466	23
203275	431947	23
2045	411466	23
1531429	411466	23
637913	85962	23
528354	122586	23
53345	474186	22
1150468	411466	22
1813	411466	22
1520	411466	22
319795	243230	22
671223	411466	22
1055531	85962	22
1694	411466	22
1636603	400667	22
1159327	411466	22
272624	85962	22
206672	367928	22
1283	451515	22
35755	411466	22
546263	122586	22
759362	349101	22
1355015	411466	22
1897729	287	22
446465	411466	22
446860	411466	22
816	431947	21
200643	435590	21
74426	411466	21
469378	411466	21
272624	1091045	21
481145	222523	21
201174	411466	21
436717	400667	21
931276	864803	21
1416334	324831	21
765964	85962	21
469371	411466	21
857417	411466	21
334406	222523	21
866345	85962	21
546	511145	21
1404245	411466	21
1853276	122586	21
382638	85962	21
862962	435590	21
1352	474186	21
1328	210007	20
685039	451515	20
1343064	451515	20
75385	411466	20
864564	411466	20
76123	431947	20
10239	451515	20
1301	474186	20
1938334	411466	20
1783272	367928	20
565651	474186	20
1313	210007	20
712270	411466	20
1163741	85962	20
556325	411466	19
380021	287	19
637380	222523	19
743720	287	19
491077	324831	19
1239	451515	19
1933880	411466	19
85023	411466	19
2	222523	18
71999	411466	18
176280	474186	18
1680	411466	18
333849	474186	18
1392476	451515	18
1437874	411466	18
1707	411466	18
216816	411466	18
633699	324831	18
224324	208435	18
136857	411466	18
1328859	511145	18
29382	176280	18
861360	411466	18
361100	222523	18
213849	85962	18
91061	222523	17
794851	85962	17
1578	411466	17
693977	243230	17
530584	411466	17
316	287	17
679935	435590	17
85017	411466	17
1710	411466	17
168807	511145	17
