taxid	truth_taxid	count
243230	243230	99999
1309	210007	99303
837	431947	99078
210	85962	98071
487	122586	96272
1280	451515	93999
1747	1091045	93359
1282	176280	89004
287	287	85766
470	400667	84202
349101	349101	82866
324831	324831	82079
1351	474186	79099
290402	864803	69136
0	411466	66479
435590	435590	64192
1311	208435	58764
543	511145	56410
367928	367928	52995
1680	367928	44842
1396	222523	44054
222523	222523	43676
562	511145	40167
1301	208435	37534
821	435590	33031
474186	474186	20669
1063	349101	16950
1520	864803	16895
1596	324831	15154
909768	400667	14677
1485	864803	13813
52773	411466	13619
381754	287	10264
176280	176280	8263
1386	222523	6372
1091045	1091045	4959
86661	222523	4888
178339	411466	4473
1	451515	2798
816	435590	2697
1279	176280	2599
1279	451515	2559
482	122586	2514
208435	208435	2457
1	324831	2221
1678	367928	2151
1224	287	1609
1760	411466	1349
31957	1091045	1345
561	511145	1304
0	287	1280
1852377	411466	1061
85962	85962	673
91347	511145	550
1654	411466	547
111015	411466	533
171549	431947	529
122586	122586	491
1578	324831	489
469	400667	442
1239	208435	384
544580	411466	366
431947	431947	364
43675	411466	343
1385	222523	332
1783272	208435	318
1301	210007	313
1898684	287	309
1912216	1091045	301
1224	400667	291
210007	210007	280
46170	451515	271
1	511145	238
712122	411466	236
1883	411466	230
2	411466	226
85006	411466	204
1224	122586	202
2	208435	202
1851395	411466	201
491	122586	197
1224	511145	179
1280938	287	168
1960083	411466	162
2081702	411466	161
1716	411466	137
446471	411466	121
208962	511145	113
1348662	411466	108
412690	411466	107
2	511145	107
85023	411466	106
593907	411466	105
131110	411466	103
1350	474186	100
1499973	511145	99
91061	208435	97
286	287	94
1239	222523	92
1663	411466	85
1060	349101	84
1661	411466	83
1658671	411466	80
2171623	411466	79
1678	411466	74
590998	411466	74
2003551	411466	74
85007	411466	72
171549	435590	70
1703	411466	69
1827	411466	68
1300344	411466	68
446466	411466	68
864803	864803	67
656366	411466	67
72000	411466	66
1150461	411466	66
110932	411466	65
2	451515	64
526992	222523	63
2	400667	63
907239	85962	62
209	85962	59
1	400667	59
1332264	411466	57
1055530	85962	57
399497	411466	57
1758689	411466	57
570508	85962	57
762948	411466	56
526971	222523	56
1331682	411466	56
1270	411466	54
1710	411466	53
2	222523	53
443156	411466	52
1428	222523	52
1136497	411466	52
545619	411466	51
1415629	287	51
453304	411466	49
471853	411466	48
767029	411466	48
33882	411466	47
1980001	411466	47
563041	85962	47
907238	85962	46
1744	411466	46
216816	411466	45
511691	210007	45
869816	451515	45
592205	85962	45
357544	85962	45
558173	411466	44
1437875	411466	44
106654	400667	43
1268	411466	43
33010	411466	43
907237	85962	43
662598	122586	43
273036	451515	43
374833	122586	42
743718	411466	42
446469	411466	42
1909395	411466	42
1224162	411466	41
157920	411466	41
544	511145	41
