taxid	truth_taxid	count
243230	243230	99999
290402	864803	99766
367928	367928	99437
435590	435590	99422
324831	324831	97351
210	85962	97283
1280	451515	89991
349101	349101	89483
381754	287	89288
0	411466	85542
1091045	1091045	80067
431947	431947	74943
1311	208435	74030
487	122586	64625
562	511145	61439
222523	222523	60719
1309	210007	59135
1282	176280	56076
470	400667	53478
1351	474186	50966
474186	474186	48807
176280	176280	41799
210007	210007	40554
543	511145	35656
1396	222523	31131
491	122586	29637
837	431947	24874
208435	208435	21799
1747	1091045	19785
1400867	400667	18264
1096996	400667	16574
1063	349101	10437
86661	222523	7858
0	400667	5090
122586	122586	4285
367830	451515	4141
287	287	3352
1301	208435	3189
0	287	2985
1	324831	2221
1	451515	2166
1279	176280	2102
1279	451515	1815
482	122586	1103
46170	451515	1015
85962	85962	1013
1760	411466	938
1224	287	823
405416	400667	819
266264	287	807
871585	400667	719
1239	208435	710
561	511145	701
436717	400667	675
1	511145	654
1100841	400667	644
557600	400667	633
1678	367928	561
816	435590	545
509173	400667	508
889738	400667	484
451515	451515	454
696749	400667	435
1415629	287	431
1578	324831	414
83333	511145	406
1280938	287	391
1096997	400667	340
446471	411466	327
446465	411466	324
85006	411466	316
858619	411466	312
590998	411466	301
1340851	287	294
1096995	400667	288
1224	400667	278
471853	411466	276
1089456	287	273
2	411466	270
446466	411466	264
593907	411466	245
743718	411466	232
1485	864803	225
91347	511145	216
446469	411466	216
1301	210007	206
767029	411466	200
1883	411466	200
378753	411466	183
1171373	411466	179
2	511145	176
1129145	287	173
465515	411466	171
680646	411466	168
1348662	411466	163
1093787	287	163
1279008	287	161
208963	287	155
1	400667	148
469	400667	146
1678	411466	138
1912216	1091045	136
909768	400667	134
979556	411466	130
941193	287	123
196162	411466	122
446468	411466	121
478801	411466	120
644284	411466	117
85007	411466	115
710696	411466	115
497978	400667	114
91061	208435	114
266940	411466	113
171549	431947	112
754252	411466	112
452863	411466	111
1427342	287	107
479432	411466	106
1170318	411466	104
1224163	411466	104
1763	411466	101
930171	411466	100
1716	411466	98
762948	411466	96
1236	400667	94
290399	411466	93
861360	411466	87
1205910	411466	86
1681	411466	84
216816	411466	82
1121362	411466	81
685727	411466	79
263358	411466	78
471852	411466	77
471856	411466	77
548479	411466	76
