taxid	truth_taxid	count
243230	243230	99999
1309	210007	99300
837	431947	98970
210	85962	97925
435590	435590	97218
487	122586	96413
1280	451515	94001
1747	1091045	91512
349101	349101	89396
1282	176280	88863
287	287	85657
470	400667	84312
324831	324831	82081
1351	474186	78174
290402	864803	74324
0	411466	69108
367928	367928	67701
1311	208435	58774
543	511145	56243
222523	222523	47303
1396	222523	42028
562	511145	40679
1301	208435	37504
1680	367928	30139
1520	864803	25344
474186	474186	21606
1596	324831	15152
52773	411466	14893
909768	400667	14583
1063	349101	10476
381754	287	10318
176280	176280	8520
1091045	1091045	6807
1386	222523	6573
86661	222523	3655
1	451515	2801
816	435590	2700
1279	451515	2543
482	122586	2497
1279	176280	2483
208435	208435	2481
1	324831	2221
1678	367928	2148
1224	287	1609
31957	1091045	1345
0	287	1319
1760	411466	1266
1852377	411466	1202
561	511145	1140
85962	85962	673
111015	411466	604
91347	511145	540
171549	431947	529
122586	122586	491
1578	324831	491
431947	431947	471
469	400667	428
544580	411466	401
1239	208435	384
43675	411466	369
1654	411466	352
1898684	287	324
1783272	208435	318
1301	210007	313
1912216	1091045	296
1224	400667	291
1883	411466	283
210007	210007	280
712122	411466	277
1851395	411466	246
2	411466	245
1	511145	240
1485	864803	233
85006	411466	221
2081702	411466	219
2	208435	202
451515	451515	198
491	122586	197
1960083	411466	192
1280938	287	175
446471	411466	153
1716	411466	139
1348662	411466	117
593907	411466	116
208962	511145	113
590998	411466	104
2	511145	102
1703	411466	99
1661	411466	98
1499973	511145	98
858619	411466	97
91061	208435	97
46170	451515	90
1239	222523	89
2003551	411466	88
1350	474186	87
1663	411466	86
72000	411466	85
33882	411466	84
399497	411466	83
446466	411466	83
1658671	411466	79
1224	122586	79
1678	411466	79
767029	411466	75
453304	411466	74
1060	349101	73
1300344	411466	73
171549	435590	70
286	287	69
1827	411466	68
1150461	411466	68
85007	411466	67
864803	864803	67
85023	411466	66
1714373	411466	66
471853	411466	65
1748	411466	65
465515	411466	64
907239	85962	64
2	400667	63
43668	411466	61
1055530	85962	60
1710	411466	59
1980001	411466	59
570508	85962	59
1610493	411466	59
1	400667	59
