taxid	truth_taxid	count
367928	367928	100000
324831	324831	100000
243230	243230	100000
290402	864803	99998
210007	210007	99958
210	85962	99935
431947	431947	99886
435590	435590	99781
1091045	1091045	99400
208435	208435	98511
349101	349101	97209
122586	122586	96169
400667	400667	96039
474186	474186	95212
176280	176280	92576
381754	287	90063
562	511145	88102
222523	222523	73936
1280	451515	62478
1396	222523	22488
46170	451515	14188
367830	451515	13211
543	511145	8640
451515	451515	8121
1282	176280	7402
1351	474186	4402
470	400667	3873
86661	222523	3420
1063	349101	2782
491	122586	2626
287	287	2185
1311	208435	1480
83333	511145	1309
451516	451515	1061
266264	287	859
1224	287	795
663951	451515	724
1747	1091045	600
536056	511145	556
909420	122586	546
487	122586	512
511145	511145	497
1093787	287	398
1280938	287	371
1415629	287	353
1340851	287	315
858619	411466	282
471853	411466	270
1350	474186	241
446466	411466	239
446471	411466	228
1760	411466	223
208963	287	210
595496	511145	203
743718	411466	200
590998	411466	195
816	435590	178
316401	511145	174
446465	411466	173
1777064	287	156
316385	511145	144
266940	411466	136
1129145	287	135
644284	411466	135
316407	511145	133
226185	474186	133
762948	411466	131
1217984	222523	130
593907	411466	130
465515	411466	122
446469	411466	121
1427342	287	113
546342	451515	104
941193	287	102
1171373	411466	100
1089456	287	96
378753	411466	92
680646	411466	85
478801	411466	84
85006	411466	83
1777052	287	76
446468	411466	72
566546	511145	72
710696	411466	71
1170318	411466	71
767029	411466	71
479432	411466	71
1408272	287	70
1883	411466	69
979556	411466	68
1030843	431947	66
749414	411466	65
1352355	287	65
696406	511145	62
1435356	411466	62
471856	411466	61
100226	411466	61
196162	411466	61
452863	411466	61
675635	411466	60
227882	411466	58
1179773	411466	56
246196	411466	51
1343740	411466	49
31964	411466	49
479435	411466	48
1763	411466	48
302911	411466	48
953739	411466	48
548479	411466	47
1303692	411466	47
242619	431947	46
713604	411466	46
443906	411466	46
930171	411466	46
455632	411466	45
1121362	411466	44
269800	411466	44
1245471	287	43
1205910	411466	43
280701	287	42
1112204	411466	42
208964	287	42
171549	435590	41
337191	411466	41
216816	411466	41
1246995	411466	40
861360	411466	40
1279	451515	38
1747	411466	38
452652	411466	37
680198	411466	37
1003195	411466	36
1707	411466	35
1127134	411466	35
759350	411466	35
521096	411466	33
883062	411466	32
1097677	411466	32
298653	411466	31
0	511145	31
754252	411466	31
1389489	411466	31
471852	411466	31
653045	411466	29
557722	287	29
0	287	29
1265601	411466	29
1096995	400667	29
875328	411466	28
290399	411466	27
910348	511145	27
649831	411466	27
446462	411466	27
890402	411466	26
1214242	411466	26
263358	411466	25
391904	411466	25
85025	411466	25
657308	411466	25
479431	411466	25
1224163	411466	25
1133849	411466	24
298654	411466	24
477641	411466	24
457425	411466	24
511691	210007	23
196164	411466	23
479433	411466	23
446470	411466	23
1146883	411466	23
710686	411466	22
862751	411466	22
749927	411466	22
96563	287	22
306537	411466	22
935593	122586	21
1203460	411466	21
1200352	411466	21
1450169	287	21
1136179	411466	21
866777	411466	21
1352354	287	21
247156	411466	21
512565	411466	20
662598	122586	20
469383	411466	20
1133850	411466	20
85962	85962	20
350058	411466	20
526225	411466	20
367928	411466	20
374833	122586	19
1678	411466	19
685727	411466	19
1042876	287	19
535289	411466	19
85007	411466	19
443218	411466	19
281090	411466	19
176279	176280	19
1205674	411466	18
930170	222523	18
1321369	451515	18
1868596	287	18
996285	287	18
134676	411466	17
1718	411466	17
942513	122586	17
311982	411466	17
397945	411466	16
101510	411466	16
1198114	411466	16
378806	411466	16
1214101	411466	16
2	411466	16
591167	411466	16
234621	411466	16
448385	411466	15
122587	122586	15
656024	411466	15
1348662	411466	15
342108	411466	15
1123519	411466	15
189918	411466	15
861208	411466	15
164757	411466	14
548473	451515	14
1147128	411466	14
469371	411466	14
164756	411466	14
85643	411466	14
682795	411466	14
604162	122586	14
1400867	400667	13
1232381	411466	13
401473	411466	13
945556	400667	13
290340	411466	13
471857	411466	13
1198627	411466	13
392499	411466	13
28450	411466	13
366602	411466	12
231023	287	12
391037	411466	12
517	411466	12
77643	411466	12
1156913	411466	12
644283	411466	12
743721	411466	12
1681	411466	12
889738	400667	12
1716	411466	12
272943	411466	12
585396	511145	12
935588	122586	12
0	411466	12
36809	411466	11
1118963	411466	11
1873	411466	11
1032480	411466	11
350054	411466	11
759362	411466	11
702459	411466	11
573059	411466	11
379066	411466	11
