taxid	truth_taxid	count
243230	243230	100000
324831	324831	99997
367928	367928	99985
210	85962	99962
1309	210007	98828
435590	435590	98372
349101	349101	97160
470	400667	94587
287	287	93898
208435	208435	93508
1280	451515	91189
474186	474186	90784
176280	176280	82453
290402	864803	81076
562	511145	76292
222523	222523	65375
1747	1091045	56700
837	431947	51873
122586	122586	51214
487	122586	47397
1091045	1091045	43300
431947	431947	41860
1396	222523	30383
543	511145	23164
1520	864803	18603
1282	176280	11773
52773	411466	9638
1351	474186	9208
1311	208435	6485
1403335	431947	6231
0	176280	5762
909768	400667	5355
46170	451515	4422
0	451515	3970
1386	222523	3413
381754	287	2851
1063	349101	2838
816	435590	1562
491	122586	1204
210007	210007	1152
1224	287	964
1852377	411466	680
86661	222523	644
111015	411466	435
1279	451515	407
544580	411466	326
1898684	287	302
864803	864803	294
1760	411466	292
1851395	411466	285
511145	511145	250
43675	411466	224
1960083	411466	207
712122	411466	190
2081702	411466	155
1280938	287	147
858619	411466	139
316385	511145	137
1883	411466	132
1217984	222523	125
909420	122586	114
762948	411466	108
446471	411466	100
590998	411466	88
1300344	411466	85
446466	411466	82
1748	411466	75
471853	411466	71
1710	411466	68
1714373	411466	66
1654	411466	64
399497	411466	63
85006	411466	63
171549	435590	62
1658671	411466	56
1744	411466	56
1129145	287	54
0	511145	52
1685	411466	52
593907	411466	52
446465	411466	50
1703	411466	50
2003551	411466	50
1274	411466	49
453304	411466	48
1338689	287	46
1980001	411466	45
743718	411466	45
1888	411466	45
1332264	411466	43
1415629	287	43
1906742	411466	42
1777064	287	42
1150461	411466	42
1403831	511145	41
1661	411466	38
1331682	411466	37
1610493	411466	37
266940	411466	36
1150423	411466	34
1849032	411466	34
36805	411466	34
713604	411466	34
54571	411466	34
2041	411466	33
1827	411466	33
465515	411466	33
1437875	411466	33
146923	411466	32
1681	411466	32
71999	411466	32
362257	411466	31
443906	411466	31
1033922	411466	31
1772	411466	30
47763	411466	30
72000	411466	30
1357915	411466	30
1179773	411466	30
1386087	122586	29
482462	411466	29
2055	411466	29
446469	411466	28
1763	411466	28
36809	411466	28
1690248	411466	28
1909732	411466	28
303	411466	28
479432	411466	28
1096995	400667	28
1239	222523	28
378753	411466	27
1428454	864803	27
1901	411466	27
1072256	411466	27
1795630	411466	26
1903186	411466	26
2103230	411466	26
1653478	411466	26
33014	411466	25
1451189	411466	25
1758689	411466	25
196162	411466	25
2014	411466	24
478801	411466	24
1355015	411466	24
2135430	411466	24
446462	411466	24
9606	411466	23
558173	411466	23
1849967	411466	23
286	287	23
2094021	411466	23
2017484	411466	23
1133849	411466	22
1170318	411466	22
1619308	411466	22
1223515	411466	22
83333	511145	22
1678	411466	22
1830	411466	22
452652	411466	22
1679	411466	21
68570	411466	21
134962	411466	21
1354275	411466	21
1403336	431947	21
408015	411466	21
857417	411466	21
1224162	411466	20
246196	411466	20
33882	411466	20
452863	411466	20
479435	411466	19
85007	411466	19
457428	411466	19
227882	411466	19
446860	411466	19
1911175	411466	18
759350	411466	18
930170	222523	18
70775	287	18
1450169	287	18
675635	411466	17
1725411	411466	17
1335613	411466	17
156978	411466	17
2017485	411466	17
1575	411466	17
767029	411466	17
