taxid	truth_taxid	count
1063	349101	100000
1299	243230	99999
210	85962	99940
837	431947	99882
1747	1091045	99863
1351	474186	99854
1309	210007	99783
1520	864803	99761
1596	324831	99571
1680	367928	99433
821	435590	99417
487	122586	98754
1280	451515	97966
1282	176280	97858
1311	208435	95893
287	287	94900
1396	222523	91642
470	400667	90739
-2	411466	88330
562	511145	62074
-2	511145	37517
-2	222523	8216
-2	400667	7880
-2	208435	4058
-2	287	3993
-2	176280	2119
-2	451515	1997
-2	122586	1226
-1	411466	989
119219	287	806
1148157	400667	677
-2	435590	582
48296	400667	573
-2	367928	565
-2	324831	411
43669	411466	299
1727	411466	286
1708	411466	263
186189	411466	254
11	411466	243
84757	411466	223
-2	864803	222
139208	411466	216
-2	210007	215
1711	411466	204
60920	411466	193
1750	411466	190
28447	411466	178
72000	411466	172
1748	411466	168
1270	411466	164
42817	411466	154
-2	474186	139
-2	1091045	137
216816	411466	135
1276	411466	123
-2	431947	118
53358	411466	116
43675	411466	115
131568	411466	113
2033	411466	113
2014	411466	109
28264	411466	105
1575	411466	101
1744	411466	97
33010	411466	94
53437	411466	93
196162	411466	92
85085	411466	89
575200	411466	87
2047	411466	87
256701	411466	85
2001	411466	82
303	287	76
33903	411466	74
361575	411466	73
1681	411466	72
43674	411466	72
-1	511145	72
2020	411466	68
225326	411466	68
132919	411466	67
43767	411466	65
103816	411466	65
283811	411466	65
290399	411466	62
84595	411466	60
103731	411466	60
2051	411466	59
298654	411466	59
2061	411466	58
1888	411466	57
-1	222523	57
1684	411466	57
182640	411466	57
1833	411466	56
-2	85962	56
43771	411466	55
1902	411466	55
1718	411466	54
304895	411466	54
1930	411466	54
477641	411466	51
135487	411466	51
68280	411466	48
298653	411466	48
875328	411466	48
53412	287	46
168697	411466	46
169292	411466	46
1852	411466	46
1861	411466	45
29405	411466	43
37329	411466	42
1428	222523	40
1689	411466	40
33910	411466	37
564	511145	37
152794	411466	37
379067	411466	37
286802	411466	37
1911	411466	37
28025	411466	37
31958	411466	37
1747	411466	36
1866	411466	35
38289	411466	35
196914	411466	34
53461	411466	34
191495	411466	34
337191	411466	33
29303	411466	33
300	287	33
862751	411466	32
28901	511145	32
940614	411466	30
623	511145	30
1800	411466	30
1680	411466	29
-1	451515	29
240495	411466	29
649831	411466	29
152480	411466	29
62977	400667	28
33905	411466	28
2066	411466	28
745310	411466	28
1772	411466	28
68202	411466	28
54571	411466	28
1768	411466	27
316	287	27
106370	411466	27
225194	411466	27
1912	411466	27
40567	411466	26
622	511145	26
89154	411466	25
550	511145	25
453230	411466	25
239935	411466	25
347	411466	24
471189	411466	24
1003110	411466	24
1836	411466	23
621	511145	23
42684	411466	22
258224	411466	22
426117	411466	22
1719	411466	22
1685	411466	22
80679	411466	21
1173263	411466	20
161879	411466	20
1804	411466	20
125	411466	20
93220	411466	20
2702	411466	19
1538	411466	19
-1	208435	19
36873	411466	18
36809	411466	18
78331	411466	18
2054	411466	18
580165	222523	18
367488	411466	17
212767	411466	17
133926	411466	17
415229	411466	17
62977	411466	17
138336	411466	17
110539	411466	17
193	411466	16
1063	411466	16
348043	411466	16
2006	411466	16
330214	411466	16
316	411466	15
54736	511145	15
67825	411466	15
196	411466	15
1646	411466	15
1717	411466	15
1795	411466	15
329	411466	15
83455	411466	15
146919	411466	15
556287	411466	15
1859	411466	14
134676	411466	14
1307	208435	14
-1	287	14
-1	176280	14
2039	411466	14
314722	411466	14
894	411466	14
56	411466	14
84030	411466	14
639313	411466	14
-1	324831	14
1263550	411466	14
1055487	411466	14
74313	411466	14
2734	411466	13
36814	411466	13
656024	411466	13
83406	411466	13
37919	411466	13
2021	411466	13
984	411466	12
1169025	411466	12
1092	411466	12
366602	411466	12
114616	411466	12
41	411466	12
107709	411466	12
53635	411466	12
34073	411466	12
658062	411466	12
35792	411466	12
351052	411466	12
305	411466	12
86662	222523	12
693444	511145	11
173480	411466	11
31998	411466	11
614	411466	11
84159	411466	11
216465	411466	11
-1	864803	11
1166130	511145	11
861208	411466	11
552	411466	11
33075	411466	11
83558	411466	11
936456	411466	11
648999	411466	11
1042156	411466	11
28901	411466	10
49319	411466	10
1402	411466	10
2057	411466	10
161493	411466	10
-1	400667	10
332410	411466	10
246969	411466	10
1390	411466	10
573	511145	10
571	511145	10
67825	511145	10
357808	411466	10
669502	411466	10
184914	411466	10
1033846	411466	10
84377	411466	10
43306	287	10
36854	411466	10
80869	411466	10
399742	511145	10
316278	411466	10
624	511145	10
405212	411466	10
164546	411466	10
94132	411466	9
1625	411466	9
54736	411466	9
146826	411466	9
717785	411466	9
81028	411466	9
358220	411466	9
33	411466	9
119219	411466	9
76887	411466	9
95486	411466	9
44012	411466	9
1131707	411466	9
241425	411466	9
2187	411466	9
384	411466	9
84112	411466	9
1307761	411466	9
303	411466	9
248026	411466	9
186490	411466	9
186931	411466	9
65058	411466	9
2743	411466	9
524	411466	9
498846	411466	9
754476	411466	9
1264	411466	9
164757	411466	8
35795	411466	8
1382	411466	8
666685	411466	8
876	411466	8
85643	411466	8
53435	411466	8
881	411466	8
79880	411466	8
232721	287	8
1244	411466	8
551760	411466	8
47850	411466	8
28068	411466	8
69823	411466	8
342949	411466	8
86170	400667	8
63612	287	8
326544	411466	8
1488	411466	8
786	411466	8
1392	411466	8
47880	287	8
216945	411466	8
644	411466	8
-1	122586	8
940615	411466	8
443144	411466	8
57705	411466	8
80816	411466	7
54291	511145	7
545	511145	7
921	411466	7
208216	411466	7
242703	411466	7
292	400667	7
168695	411466	7
366648	400667	7
37326	411466	7
259537	411466	7
716	411466	7
76517	411466	7
160791	411466	7
770	411466	7
146939	411466	7
668	400667	7
316277	400667	7
826	411466	7
2724	411466	7
133539	411466	7
33894	411466	7
261302	411466	7
486	122586	7
28118	411466	7
28151	411466	7
447217	411466	7
84110	411466	7
99598	411466	6
317	287	6
471827	411466	6
563	511145	6
657445	411466	6
630	511145	6
1408	411466	6
293091	411466	6
29549	411466	6
259354	411466	6
200415	411466	6
1007105	287	6
2746	411466	6
53399	411466	5
380021	411466	5
758793	411466	5
485	122586	5
410330	411466	5
34029	411466	5
593909	411466	5
880	411466	5
54248	411466	5
615	511145	5
67780	411466	5
300	411466	5
408	400667	5
184914	287	5
84590	411466	5
85698	287	5
160791	400667	5
29461	411466	5
200451	400667	5
748280	411466	5
1314	208435	5
470934	411466	5
155322	222523	5
28095	411466	5
83406	400667	5
171284	400667	5
51589	411466	5
246969	400667	5
94624	411466	5
56957	411466	4
61645	511145	4
29543	411466	4
839	411466	4
380	411466	4
1007105	400667	4
-1	474186	4
1308	208435	4
288000	411466	4
2096	411466	4
1502	411466	4
46354	411466	4
1273132	400667	4
1069	411466	4
636	411466	4
43989	411466	4
366650	411466	4
60847	411466	4
7	411466	4
502394	411466	4
94624	287	4
187303	411466	4
252966	400667	4
67780	511145	4
1002672	287	4
179636	287	4
94122	287	4
536	411466	4
1781	411466	3
29520	287	3
1280	176280	3
1392	222523	3
944547	411466	3
154	411466	3
1721	287	3
85698	411466	3
-1	85962	3
54308	287	3
28141	511145	3
1281	451515	3
44001	400667	3
33970	411466	3
33871	411466	3
332056	411466	3
283734	451515	3
261964	411466	3
329	287	3
332249	411466	3
52227	411466	3
1491	864803	3
379064	287	3
28197	411466	3
1334193	511145	3
1423	222523	3
168471	287	2
34038	511145	2
1118963	411466	2
252307	411466	2
879	411466	2
1363	411466	2
1764	411466	2
548	511145	2
83984	411466	2
39765	400667	2
485	411466	2
63612	511145	2
470934	511145	2
592316	511145	2
628	400667	2
354	287	2
991904	411466	2
1283	176280	2
192	411466	2
61624	411466	2
1281	176280	2
33072	411466	2
930166	287	2
9	511145	2
280	287	2
584	511145	2
110662	411466	2
1625	324831	2
29471	511145	2
615	411466	2
34	411466	2
547188	411466	2
1033854	411466	2
34038	287	2
354	411466	2
182710	400667	2
467094	411466	2
553	511145	2
983545	411466	1
1305	208435	1
215689	511145	1
214856	411466	1
1166016	511145	1
290053	411466	1
171437	411466	1
1520	411466	1
88688	411466	1
43306	411466	1
-2	243230	1
2145	411466	1
111955	411466	1
1173025	400667	1
36745	864803	1
34018	411466	1
1199245	511145	1
52022	411466	1
1328	208435	1
171437	287	1
1355477	411466	1
80866	287	1
28035	451515	1
29466	411466	1
28223	411466	1
1217908	411466	1
1280	411466	1
244366	511145	1
204042	511145	1
35794	411466	1
862751	287	1
1307	474186	1
1336	208435	1
1048758	511145	1
-1	435590	1
1596	411466	1
50339	411466	1
2751	474186	1
1376	411466	1
235	411466	1
1488	864803	1
73141	411466	1
1338	411466	1
1338	210007	1
2271	411466	1
552	511145	1
1393	411466	1
985002	176280	1
784	400667	1
213	85962	1
502558	411466	1
29385	176280	1
86665	222523	1
1235990	511145	1
373994	400667	1
2317	411466	1
285	411466	1
324767	222523	1
351091	411466	1
1349	411466	1
873	411466	1
387343	411466	1
34021	400667	1
1002672	411466	1
1599	324831	1
148447	411466	1
1491	411466	1
1166016	287	1
197614	208435	1
76860	208435	1
666686	222523	1
1408	222523	1
60552	411466	1
926	411466	1
994695	411466	1
33970	474186	1
444163	411466	1
1579	324831	1
294	287	1
1334	208435	1
65393	411466	1
1313	208435	1
347	287	1
216816	367928	1
155892	287	1
380749	411466	1
851	411466	1
554	511145	1
1008	411466	1
61435	411466	1
236	411466	1
1006	411466	1
204038	411466	1
1245	411466	1
57975	411466	1
46355	411466	1
335659	411466	1
55208	511145	1
43948	411466	1
945	411466	1
1084	411466	1
138072	511145	1
716	400667	1
29488	511145	1
28131	411466	1
430914	411466	1
29385	451515	1
870903	411466	1
413502	511145	1
1684	367928	1
1124597	287	1
1291540	411466	1
1590	411466	1
1328	210007	1
119864	411466	1
544556	411466	1
167642	411466	1
533	411466	1
29291	411466	1
748247	411466	1
313598	411466	1
779	411466	1
82996	511145	1
1502	864803	1
2331	411466	1
1542	400667	1
