taxid	truth_taxid	count
396513	85962	99782
331104	243230	99771
1248725	122586	98828
1837862	864803	97613
167019	451515	96642
67762	1091045	94398
134599	222523	92517
1084722	210007	91806
1412473	287	91460
101850	400667	89799
795381	431947	86515
134601	367928	82928
1871313	474186	77341
-2	411466	75734
985002	349101	73805
1222338	435590	72713
169679	511145	70578
167019	176280	62565
1484158	324831	62074
1084722	208435	60863
34021	208435	35163
1016998	176280	34963
1412470	511145	26280
670	435590	23738
1605972	349101	19506
1302	474186	19128
1051973	324831	18099
1380361	324831	14367
1922609	367928	11477
262957	431947	10281
360911	400667	9398
337330	411466	9312
1249	210007	7465
502102	222523	5169
1601	367928	4399
10317	411466	3511
1679933	287	3473
1738045	324831	3468
1738045	451515	3308
-1	349101	3260
1678128	431947	2633
1382924	474186	2525
1465	864803	2075
1511871	435590	1875
1869111	287	1872
-2	287	1632
370551	1091045	1584
532076	511145	1557
1738045	411466	1317
1738045	208435	1308
1642436	349101	1223
-1	324831	1051
205869	176280	1041
1922429	222523	1012
-1	1091045	944
1675531	1091045	859
-1	176280	831
1181310	1091045	786
1738045	511145	762
698487	349101	748
-1	411466	703
890402	1091045	671
1678128	435590	658
1304	208435	634
-1	435590	600
-1	287	589
431944	411466	566
1508644	208435	544
1525	324831	536
10243	1091045	496
-1	222523	493
1738045	222523	449
1738045	474186	440
1738045	367928	426
1738045	176280	425
-1	511145	417
-1	208435	409
1738045	287	391
1738045	349101	377
1869111	122586	367
1869111	349101	364
1869111	400667	338
138948	208435	331
-1	122586	308
-1	367928	287
1542390	411466	276
1738045	210007	262
10334	208435	257
10372	511145	243
1769949	411466	235
1608310	411466	233
-1	474186	231
1738045	400667	229
337823	411466	228
-1	431947	226
663959	411466	222
661410	411466	200
672	349101	200
1738045	122586	197
563123	431947	197
459770	349101	197
1738045	864803	193
1575	324831	191
134601	411466	176
590168	349101	168
1516080	208435	167
1345704	243230	154
693986	367928	151
233316	411466	148
925776	210007	147
-2	208435	138
396359	411466	137
1547577	411466	134
1904880	122586	133
-1	400667	127
10317	367928	126
10334	474186	126
-2	349101	125
-2	324831	124
1612552	411466	123
138948	474186	123
1156721	210007	119
1673876	435590	114
1545835	287	112
1739610	287	111
104664	411466	108
1294	208435	107
1451050	287	96
-2	435590	93
1738045	1091045	93
-2	176280	89
10317	1091045	88
-1	210007	88
10372	287	87
1279082	411466	83
486	122586	79
1869111	511145	78
698487	411466	78
561576	222523	78
1382926	411466	75
1903318	431947	75
-1	85962	75
1873455	208435	74
511	222523	74
101571	411466	70
76123	411466	66
1738045	243230	62
-2	474186	62
762948	435590	60
