taxid	truth_taxid	count
243230	243230	199853
1309	210007	198288
210	85962	198026
837	431947	197311
1747	1091045	186996
1280	451515	186124
435590	435590	185897
487	122586	185252
287	287	182253
1282	176280	181950
1351	474186	167018
349101	349101	153258
470	400667	146520
324831	324831	133926
290402	864803	125534
0	411466	122948
543	511145	119306
367928	367928	105423
1311	208435	97363
1301	208435	96857
1680	367928	87578
1396	222523	86706
222523	222523	77052
562	511145	76331
1520	864803	72842
52773	411466	64869
1596	324831	58589
909768	400667	50030
1063	349101	46232
474186	474186	32345
1386	222523	25466
816	435590	13614
482	122586	12801
176280	176280	11483
381754	287	9458
86661	222523	8918
1091045	1091045	7976
1678	367928	6946
1279	451515	6501
1279	176280	5852
1	451515	5655
1	324831	5030
31957	1091045	3815
1224	287	3279
208435	208435	3120
0	287	2852
1852377	411466	2412
1578	324831	2333
171549	431947	2075
469	400667	1304
91347	511145	1280
1760	411466	1253
1301	210007	1242
1912216	1091045	1165
561	511145	1148
111015	411466	1045
1654	411466	971
1485	864803	921
0	400667	883
1239	208435	839
122586	122586	785
85962	85962	759
1	511145	684
544580	411466	677
0	511145	674
1898684	287	659
0	222523	650
0	451515	629
1783272	208435	622
0	85962	615
1224	400667	610
431947	431947	587
43675	411466	571
2	208435	556
0	864803	541
46170	451515	541
1217984	222523	508
171549	435590	466
1851395	411466	437
491	122586	392
712122	411466	379
1239	222523	368
210007	210007	347
0	176280	342
209	85962	315
0	122586	292
1	400667	290
1280938	287	278
2	511145	268
1960083	411466	266
91061	208435	265
286	287	263
1350	474186	248
1	287	216
2081702	411466	214
1060	349101	214
0	349101	212
451515	451515	203
1224	122586	183
1224	511145	178
85006	411466	173
2	451515	166
481	122586	147
1744	411466	145
2	400667	141
81852	474186	138
1	176280	138
186826	208435	126
858619	411466	119
1385	222523	114
2	122586	110
743718	411466	109
1300	208435	107
590998	411466	103
446469	411466	101
0	208435	98
762948	411466	91
90964	451515	90
1710	411466	89
468	400667	89
1300344	411466	86
1298	243230	85
90964	176280	84
0	474186	84
2003551	411466	84
186826	474186	82
1980001	411466	80
1883	411466	79
864803	864803	75
91061	176280	73
1129145	287	72
1748	411466	71
1777064	287	67
446471	411466	66
0	243230	62
31989	349101	61
446466	411466	59
767029	411466	52
1415629	287	52
70775	287	49
102611	85962	48
1903186	411466	45
0	210007	44
31953	367928	44
593907	411466	42
0	324831	40
446465	411466	39
1236	511145	39
1348662	411466	38
1909732	411466	38
1380360	324831	38
266940	411466	37
31979	864803	36
1658671	411466	35
1716	411466	35
0	1091045	34
1575	411466	33
136841	287	32
316	287	32
446860	411466	32
1714373	411466	31
186826	324831	31
91061	474186	30
526977	222523	30
558173	411466	29
1783272	474186	28
1236	400667	28
1428	222523	28
399497	411466	28
1331682	411466	28
1332264	411466	27
1150461	411466	27
1072256	411466	27
1239	864803	27
1300	210007	26
1827	411466	26
37927	411466	26
1224164	411466	25
2069256	287	25
1450169	287	25
471853	411466	24
1400867	400667	24
465515	411466	24
1437874	411466	23
1239	176280	23
2	222523	23
1385	451515	23
1610493	411466	23
186817	222523	22
85963	85962	22
186826	210007	22
1428454	864803	21
1437875	411466	21
288681	222523	21
1055527	85962	21
405416	400667	21
1661	411466	20
557760	349101	20
69373	411466	20
477641	411466	20
941193	287	20
2103230	411466	20
36805	411466	20
72000	411466	20
2	411466	20
2041	411466	19
1236	287	19
1357915	411466	19
1121362	411466	18
1274	411466	18
0	431947	18
1897729	287	18
29547	85962	18
2018025	411466	18
857417	411466	18
741155	287	17
1338689	287	17
710696	411466	17
1451189	411466	17
2	176280	17
157782	287	16
1224162	411466	16
1309807	208435	16
1427374	208435	16
1385	176280	16
1388763	287	16
2049	411466	16
1239	451515	16
216816	411466	15
504346	287	15
300	287	15
1561023	411466	15
1	222523	15
1155071	210007	15
585535	85962	15
866345	85962	15
33010	411466	14
367477	411466	14
91061	222523	14
72293	85962	14
1171373	411466	14
670052	411466	14
53408	287	14
85017	411466	13
1912795	411466	13
1218175	222523	13
471	400667	13
1619308	411466	13
1448140	287	13
54571	411466	13
162426	411466	13
85023	411466	13
907238	85962	12
1009714	287	12
1905847	411466	12
2017485	411466	12
1703	411466	12
997877	435590	12
1392	222523	12
743720	287	12
478801	411466	12
57704	411466	12
910265	287	12
1268	411466	12
675635	411466	11
453304	411466	11
521095	411466	11
135621	287	11
1681	411466	11
198214	511145	11
526225	411466	11
1678	411466	11
102608	85962	11
1205910	411466	11
71999	411466	11
1663	411466	11
201174	411466	11
479435	411466	10
1849032	411466	10
0	435590	10
68214	411466	10
1410605	411466	10
35760	411466	10
712270	411466	10
1081940	287	10
1938334	411466	10
300267	511145	10
1300347	411466	10
84292	411466	10
2014	411466	9
1795630	411466	9
43767	411466	9
1725411	411466	9
300019	411466	9
1694	411466	9
571913	411466	9
1321940	85962	9
698968	411466	9
1915	411466	9
511691	210007	9
479432	411466	9
33882	411466	9
37928	411466	8
1280	176280	8
91061	324831	8
273036	451515	8
1707	411466	8
31957	411466	8
362257	411466	8
1685	411466	8
380021	287	8
472569	411466	8
1763	411466	8
1653480	411466	8
1454382	222523	8
412690	411466	8
1403336	431947	8
