taxid	truth_taxid	count
243230	243230	199668
1309	210007	198570
210	85962	198242
435590	435590	197795
837	431947	197734
470	400667	192971
1747	1091045	191304
1280	451515	187937
324831	324831	187566
1311	208435	180183
487	122586	179340
1282	176280	165735
381754	287	162247
1520	864803	149661
1351	474186	148500
349101	349101	140341
543	511145	139107
0	411466	122469
367928	367928	105468
222523	222523	99448
1680	367928	87595
52773	411466	70171
1396	222523	69072
1063	349101	59372
562	511145	58978
474186	474186	50929
1485	864803	49628
176280	176280	28610
287	287	26918
86661	222523	26486
482	122586	9405
208435	208435	8900
1301	208435	8393
1091045	1091045	8057
1678	367928	6884
1	451515	5850
491	122586	5844
1279	451515	5449
0	287	5294
1596	324831	5288
1279	176280	5198
1	324831	5030
122586	122586	4791
909768	400667	4645
1386	222523	3704
1578	324831	2054
816	435590	1955
1224	287	1699
119060	287	1501
171551	431947	1236
544580	411466	1227
1760	411466	1225
1301	210007	937
1783272	208435	852
1239	208435	852
469	400667	838
1	511145	834
85962	85962	762
1224	400667	722
712122	411466	686
431947	431947	633
1743	1091045	594
0	85962	564
0	864803	541
561	511145	511
91061	208435	484
1217984	222523	421
1280938	287	372
210007	210007	355
1239	222523	351
171549	431947	314
209	85962	307
1	400667	306
1415629	287	305
451515	451515	292
1654	411466	276
0	400667	270
2	511145	260
0	451515	258
1350	474186	249
286	287	243
171549	435590	240
0	243230	227
0	222523	227
0	349101	212
0	176280	199
1224	122586	187
0	122586	180
1000561	287	176
590998	411466	166
446469	411466	163
743718	411466	155
1	176280	144
85006	411466	139
858619	411466	125
1300	208435	124
1129145	287	123
1748	411466	118
446471	411466	116
2	122586	110
1	287	106
81852	474186	103
481	122586	98
762948	411466	95
186826	208435	92
593907	411466	90
446466	411466	90
1298	243230	88
446465	411466	86
0	474186	81
767029	411466	80
266940	411466	79
266264	287	79
864803	864803	76
1224	511145	73
446860	411466	71
1714373	411466	69
90964	451515	69
70775	287	65
186826	474186	63
468	400667	63
316	287	62
0	208435	59
1385	222523	57
388272	287	56
1658671	411466	54
1236	511145	54
1744	411466	53
465515	411466	51
66712	411466	50
471853	411466	49
1411700	287	49
1150461	411466	46
1883	411466	46
43675	411466	45
1089456	287	45
1385	451515	45
31953	367928	44
1716	411466	43
1400868	287	42
0	324831	40
743720	287	40
1385	176280	40
280701	287	39
1400867	400667	39
31979	864803	39
1348662	411466	39
90964	176280	38
