taxid	truth_taxid	count
1309	210007	359988
1813821	511145	324702
0	431947	318071
0	176280	280933
0	349101	152230
2033869	349101	92365
1311	208435	35499
1396	222523	35455
0	451515	27024
0	864803	24346
28112	431947	18602
29384	176280	14503
70255	176280	13431
0	511145	12977
1499973	511145	11595
0	287	11131
283734	176280	9270
32630	511145	9064
1335048	349101	8594
308754	349101	8576
1284	176280	7245
9606	176280	6808
1229727	349101	6776
1077935	349101	5132
1208324	349101	5076
36745	864803	4809
1915078	349101	4567
1294143	287	3695
169679	864803	3369
384	349101	3336
485	122586	2993
2109625	349101	2882
471	400667	2869
0	324831	2769
215813	349101	2763
300	287	2635
1945662	349101	2614
52227	431947	2480
0	85962	2363
294	287	2234
316	287	2219
1411902	349101	1989
879274	349101	1941
1892404	222523	1863
397865	431947	1830
221822	349101	1823
193	349101	1773
53412	287	1755
358	349101	1711
1812934	511145	1680
1396	176280	1680
0	1091045	1662
671223	1091045	1661
1642647	431947	1631
223967	349101	1586
545	511145	1410
29384	451515	1367
1796613	431947	1323
34073	349101	1293
95486	349101	1247
1149133	287	1217
1134687	511145	1152
426117	349101	1144
396	349101	1132
1349819	349101	1106
70255	451515	1090
138563	85962	1089
9606	431947	1068
528244	349101	1007
1611770	287	1003
1732063	176280	986
316	349101	970
375	349101	953
418223	349101	947
7	349101	934
92945	349101	924
379347	349101	911
376805	431947	907
305	349101	902
257708	349101	890
283734	451515	890
2015316	349101	884
2066070	349101	877
1334	208435	873
9606	864803	857
71433	349101	813
290400	349101	812
294	349101	806
1649877	287	802
28450	349101	793
444444	349101	775
312306	287	764
288000	349101	749
399	349101	740
29429	349101	734
1500686	287	717
95486	287	705
47880	287	704
284016	349101	701
1638	176280	689
536018	349101	683
129009	176280	682
360398	176280	681
1284	451515	675
300	349101	662
2072025	176280	648
10678	511145	634
61647	511145	629
1571470	349101	619
1223566	349101	617
76123	431947	612
1844006	349101	592
1911586	176280	587
2057741	349101	582
1750719	176280	581
397260	349101	575
28068	349101	574
47763	349101	573
34018	349101	572
217	511145	563
2020312	349101	562
157782	287	560
9606	451515	553
580165	176280	550
1736675	349101	550
86664	176280	536
79885	176280	530
2751	176280	523
441209	349101	517
376	349101	516
163877	176280	502
1358	176280	500
1571	176280	498
436515	349101	490
2756	176280	490
39960	349101	489
589436	431947	484
330	287	484
48296	400667	482
1274631	349101	479
88688	349101	477
1912	349101	468
1590	176280	463
1930532	287	461
9606	349101	459
158500	349101	458
1888	349101	449
1702170	511145	448
198620	287	447
104087	287	441
1892404	176280	437
1145276	176280	436
1839798	176280	435
1505027	451515	432
28118	431947	431
359	349101	430
110321	349101	424
267128	349101	422
34029	349101	410
315405	176280	408
1642	176280	406
1226968	349101	405
1680	367928	400
1351	474186	400
1920128	511145	400
199441	176280	398
412384	176280	397
1407493	511145	395
1351	176280	389
28132	431947	389
28077	349101	386
1392	176280	380
398	349101	380
543	511145	376
2017483	176280	370
13690	349101	369
488731	349101	369
256618	349101	363
32630	451515	361
1168612	451515	356
839	431947	356
561879	176280	356
332056	349101	354
1392	222523	352
0	435590	348
1433126	431947	348
2036817	349101	343
742013	349101	342
633807	176280	339
66284	511145	338
0	122586	338
1712675	176280	335
1914541	349101	334
588932	349101	331
55884	511145	329
60550	349101	329
1449	176280	328
293387	176280	328
1707785	349101	327
186789	511145	327
861208	349101	326
424182	349101	322
1283291	287	321
61646	511145	316
463040	349101	315
1396	451515	312
128780	349101	312
237609	287	309
1406	176280	307
575	511145	307
927083	349101	304
187304	349101	302
463040	287	299
519	349101	299
2018025	349101	297
475662	349101	294
1501	176280	292
217159	864803	290
1674922	349101	290
1548	864803	286
0	222523	286
43	349101	283
0	411466	283
33052	349101	283
85643	349101	282
2066	349101	281
105219	349101	280
1662457	349101	278
42197	349101	277
198107	349101	277
642	511145	273
53412	349101	272
1501	864803	272
1612173	349101	272
1560345	349101	270
1333996	349101	269
2083055	287	269
209	511145	267
33996	349101	266
150055	176280	263
75697	349101	262
1971	349101	260
61648	511145	260
1911587	176280	260
418699	349101	259
40567	349101	257
32630	208435	256
1255	176280	256
536	349101	256
80679	349101	254
47880	349101	254
244366	511145	254
403957	176280	251
43357	349101	250
68895	349101	247
379067	349101	247
117207	349101	246
1484157	511145	246
169679	176280	245
1351	208435	244
0	243230	243
152500	349101	242
1311	176280	241
2057025	176280	241
42239	349101	239
53346	176280	238
94624	349101	238
1149133	349101	236
2067572	287	235
323415	349101	234
1301	208435	233
283734	208435	231
1178537	176280	231
2020	349101	228
531813	349101	227
134676	349101	227
2023229	349101	227
666685	349101	227
46867	864803	226
69328	287	225
1211326	431947	225
68192	349101	225
1859	349101	223
404589	349101	223
68570	349101	223
217159	176280	222
756828	176280	221
1636152	349101	220
649756	208435	219
68280	349101	219
889453	431947	219
36745	176280	218
913	349101	218
1812480	349101	218
1911175	349101	218
1690815	349101	217
1505	176280	216
1678028	349101	214
1915	349101	211
1225789	511145	211
46867	176280	211
1764	349101	208
1836	349101	208
294	431947	206
184914	349101	204
1771309	349101	204
2135430	349101	203
1634516	349101	203
1842535	349101	201
232721	349101	201
358220	349101	201
1861	349101	200
1328	176280	199
199596	349101	199
553510	349101	198
360398	451515	198
648999	349101	198
2148	176280	197
47879	287	196
1513	176280	196
0	400667	196
1636606	349101	195
200451	287	194
208439	349101	193
1853130	287	193
1921510	349101	192
1216932	176280	191
1763538	176280	191
32630	176280	191
53399	349101	190
93220	349101	189
1841249	349101	189
304895	349101	189
29341	176280	188
1938606	349101	187
1758179	287	184
368607	349101	184
1007676	176280	184
83455	349101	183
200450	287	181
2024580	349101	180
1579	324831	178
1810504	349101	178
1837283	349101	178
2057025	451515	178
472175	349101	177
316	431947	176
79880	176280	175
1349	176280	175
69218	511145	175
1548	176280	175
495	122586	174
1471	176280	172
76758	287	172
1244	176280	172
414	349101	171
1235591	349101	170
244566	287	170
76731	349101	169
1902	349101	169
2094021	349101	168
2060307	176280	167
2067572	349101	167
1972846	349101	167
1980001	349101	166
1883416	349101	165
10699	451515	165
1829	349101	165
54736	511145	164
881	349101	164
216465	349101	163
83655	511145	163
1147148	511145	163
10710	511145	162
1147152	511145	162
1147146	511145	162
2077137	511145	161
388950	431947	161
1033922	349101	160
365349	176280	160
430796	451515	159
1611770	349101	157
219572	287	156
198620	349101	156
1653480	349101	156
2026240	511145	155
1294143	349101	155
2057025	431947	154
34	349101	154
192421	176280	154
129009	451515	154
585455	349101	154
158847	176280	153
83683	324831	153
1555112	349101	151
172045	431947	151
1538	864803	150
1906741	349101	149
1894	349101	148
543877	349101	148
531844	431947	147
850	176280	147
1470176	349101	146
996801	176280	145
860235	349101	145
1661694	349101	143
139208	349101	143
1574141	176280	142
1038928	349101	142
1911683	176280	141
1920107	349101	141
640512	349101	140
37927	349101	140
1018	431947	140
1390	176280	139
149715	176280	139
29341	864803	138
305	287	138
402384	176280	137
1842537	349101	136
86665	176280	136
1138822	176280	136
120577	349101	136
2005046	349101	135
2151	176280	135
2057791	176280	135
1158459	511145	134
81479	349101	133
450734	349101	132
1309	176280	132
31963	349101	132
73141	349101	132
1336	176280	132
330	349101	131
48296	176280	131
2109914	349101	130
9606	511145	130
83683	176280	129
1636609	349101	129
442	349101	129
1855519	349101	129
1649877	349101	127
196024	349101	127
758802	349101	127
61647	349101	127
244366	349101	126
187137	349101	126
1265601	349101	125
1283291	349101	124
37734	176280	124
296591	349101	124
243899	176280	124
1579	176280	124
158080	349101	123
33069	287	123
82348	176280	123
1538	176280	122
1795630	349101	122
587	176280	122
29549	349101	122
312306	349101	121
502682	349101	121
1579316	349101	120
1399949	451515	120
1476901	431947	120
1993866	176280	120
1583341	287	119
413497	511145	119
1216932	864803	119
232721	287	119
2009331	176280	119
415229	349101	118
286	287	118
114090	176280	117
2094025	431947	117
157782	349101	116
1791	349101	115
445516	451515	114
1513	864803	114
1768242	349101	113
1736674	176280	113
1874630	349101	113
148447	349101	112
47877	287	112
1230998	349101	112
56459	431947	111
1788	349101	111
61652	349101	111
1149952	349101	111
563769	511145	111
1847728	176280	111
996	431947	110
33014	349101	110
274	349101	110
1458307	349101	109
332249	349101	109
1411621	431947	109
200451	349101	109
1800	349101	108
242606	349101	108
191493	349101	107
1348	176280	107
1041504	176280	106
1407499	349101	106
2045452	349101	106
56459	349101	106
1165702	451515	105
34105	176280	105
1758179	349101	105
536441	431947	105
1649240	511145	103
1267766	349101	103
53437	349101	103
28447	349101	102
93218	349101	102
2059875	349101	101
861	176280	101
1589	176280	101
1416334	324831	101
1750719	451515	101
29549	431947	100
96345	431947	99
110539	349101	99
1391653	349101	99
305	431947	99
1452	176280	99
1326	176280	99
398743	176280	99
130478	451515	98
1283291	431947	98
2033438	349101	98
512763	431947	97
53444	176280	96
1006	431947	96
1682113	349101	95
564064	431947	95
42422	176280	95
128780	287	94
364410	349101	94
1542	176280	93
1839799	176280	93
29284	349101	93
76731	431947	93
104087	349101	92
28199	176280	92
1334	176280	92
192843	349101	91
2734	349101	90
83617	349101	90
1379159	349101	90
1583341	349101	89
34073	431947	89
28112	511145	89
1542	864803	88
206	176280	88
1396	864803	88
722731	349101	87
1270	349101	87
1377	176280	87
1821960	431947	86
31989	349101	86
1545728	349101	86
76860	176280	86
1850254	176280	86
1936081	176280	85
53335	511145	85
62320	349101	85
413501	511145	85
571913	349101	85
1821621	349101	85
59893	176280	85
47715	176280	84
1536770	176280	84
39485	176280	84
2113	176280	84
33011	1091045	84
1327989	349101	84
1777064	287	83
2095	176280	83
1303	176280	83
899	349101	83
47879	349101	82
172045	176280	82
1484118	431947	82
575610	451515	82
1556	176280	82
564886	511145	81
1379870	431947	81
1386	176280	81
412690	349101	80
104087	431947	80
34073	287	80
71999	349101	80
1031542	176280	80
754	176280	79
1150389	176280	79
755307	349101	79
40215	176280	79
1625	176280	79
637971	176280	79
158899	349101	78
69328	349101	78
274537	431947	78
1623273	451515	78
2026248	176280	77
1892404	451515	77
2033033	349101	77
1941349	431947	77
1006	176280	76
59600	176280	76
256618	287	76
656519	176280	76
1277672	451515	76
47877	349101	76
286	349101	76
215578	176280	76
252307	431947	76
2054	349101	76
56460	431947	76
56460	349101	75
536	287	75
244566	349101	74
475662	287	74
387909	451515	74
80840	349101	74
42256	349101	73
84378	176280	73
1914861	511145	73
76594	176280	72
95486	431947	72
656366	349101	72
1912	431947	72
314281	176280	71
1571	451515	71
1145276	451515	71
1276	349101	71
358	431947	71
39950	176280	71
1505	864803	71
159	176280	70
1813771	511145	70
2246	349101	70
656024	349101	70
232721	431947	70
1129145	287	69
1774743	176280	69
1579979	349101	69
614	431947	69
153496	349101	69
1134687	349101	69
1392	451515	69
2077182	349101	69
2371	431947	68
56454	349101	68
471	176280	68
584609	431947	68
1206777	287	68
1653479	349101	68
1484118	349101	67
28189	431947	67
28450	287	67
481743	431947	67
1500686	349101	67
940614	431947	67
713030	431947	66
351052	349101	66
1148157	176280	66
49118	176280	66
2025808	176280	66
1528098	176280	66
55601	176280	66
319236	431947	66
0	208435	65
120577	431947	65
9606	85962	65
384	431947	65
256618	431947	65
563169	176280	65
1648923	176280	64
2144	176280	64
216942	176280	64
35746	349101	64
436515	287	64
398743	431947	64
219572	349101	63
1149952	431947	63
414970	511145	63
1930532	349101	63
657445	176280	63
189918	349101	63
1309411	349101	63
2094242	349101	63
320497	349101	63
446683	431947	63
2083055	349101	62
1583341	431947	62
1678128	349101	62
672	176280	62
1486245	431947	62
394751	176280	62
1630693	349101	62
591197	431947	62
580165	451515	62
1406	431947	62
1178778	431947	62
1379270	431947	62
1094342	349101	61
584609	176280	61
2421	176280	61
1853130	349101	61
237609	431947	61
1883	349101	60
1274	349101	60
189426	176280	60
216778	349101	60
573570	176280	60
914150	176280	60
274537	349101	60
379	349101	59
519	287	59
37928	349101	59
1396	431947	59
43	431947	59
47466	176280	59
115561	431947	59
10761	511145	59
511062	349101	59
530584	349101	59
400065	176280	59
1349	208435	58
35814	349101	58
1124654	511145	58
456327	349101	58
47877	431947	58
2072025	451515	58
106648	176280	58
33072	349101	58
35701	431947	58
1920107	431947	57
387343	349101	57
1536773	176280	57
729	176280	57
1636606	511145	57
166935	176280	57
1763534	431947	57
412384	451515	57
36814	349101	56
482564	431947	56
1839798	222523	56
28232	349101	56
349751	349101	56
849	176280	56
51515	176280	56
54299	431947	55
1936081	431947	55
68909	349101	55
488546	176280	55
1390	431947	55
47879	431947	55
2069432	431947	55
28450	431947	54
1385663	431947	54
85643	287	54
29288	349101	54
2079227	349101	54
432198	511145	54
50719	176280	54
224719	176280	53
1391653	431947	53
1308896	451515	53
1821960	349101	53
1048396	349101	53
1761891	176280	53
633807	451515	53
2026240	349101	53
1148157	400667	53
29329	176280	53
669041	176280	53
2005262	176280	53
29430	176280	53
1089444	349101	52
649756	176280	52
1484157	349101	52
1707785	287	52
1914861	349101	52
266812	349101	52
399	431947	52
714	176280	51
1727214	431947	51
545	431947	51
1932360	349101	51
319236	176280	51
1070130	176280	51
539	122586	51
1936080	176280	51
1812934	349101	51
200450	349101	51
2756	451515	51
110321	431947	51
1941347	176280	51
53635	349101	50
1638	451515	50
1590	451515	50
2094	431947	50
193	287	50
2109	176280	50
1422	431947	50
1883416	287	50
1224749	176280	50
47715	431947	49
1543721	349101	49
384	287	49
187145	431947	49
414	431947	49
2109914	431947	49
1435069	176280	49
940615	349101	49
1159327	431947	49
198252	176280	49
446692	431947	48
715	176280	48
1406	864803	48
712357	176280	48
199441	451515	48
158899	287	48
1839798	451515	48
323415	287	48
242606	431947	47
40269	176280	47
1911587	451515	47
1294143	431947	47
668	176280	47
47880	431947	47
1306274	176280	47
396	431947	47
60550	287	47
221822	431947	47
488731	287	47
1842535	431947	47
69525	349101	47
47763	287	46
1938604	349101	46
1076550	511145	46
930805	431947	46
1100	431947	46
742013	287	46
1796616	431947	46
1936080	431947	46
58049	176280	46
260552	431947	46
53412	431947	45
326523	431947	45
83655	349101	45
363555	324831	45
570	511145	45
356	349101	45
86664	451515	45
996	176280	45
1223566	431947	45
1771309	287	45
28251	431947	45
1613	324831	45
1938604	431947	45
575200	431947	45
216778	431947	45
52443	431947	45
656366	431947	45
1727164	431947	44
1842537	431947	44
1920107	511145	44
2081702	349101	44
351604	431947	44
2751	451515	44
994692	176280	44
1163710	349101	44
2005046	287	44
200	431947	44
1536773	431947	44
28068	287	44
1176587	176280	43
406552	349101	43
1884263	431947	43
1121358	349101	43
57029	176280	43
413810	349101	43
1678028	287	43
359303	431947	43
2069432	176280	43
1498220	451515	43
413502	511145	43
237609	349101	43
28223	431947	42
861208	431947	42
34038	511145	42
485	431947	42
63	349101	42
742013	431947	42
76758	349101	42
62322	176280	42
358220	431947	42
1168613	176280	42
1723645	349101	42
128780	431947	42
33075	349101	42
403957	451515	42
461876	176280	42
83617	431947	41
45634	176280	41
39960	431947	41
229731	349101	41
1358	451515	41
192421	431947	41
1578165	349101	41
416273	349101	41
56460	287	41
1639108	511145	41
1411621	349101	41
1732063	451515	40
1484157	431947	40
1449	451515	40
121292	349101	40
66219	176280	40
418699	287	40
56454	287	40
536441	176280	40
128	349101	40
225326	349101	39
587	511145	39
398	431947	39
1829	431947	39
413501	349101	39
2020	431947	39
315405	451515	39
1542390	176280	39
1736674	431947	39
75697	287	39
853	349101	39
1178778	176280	39
1870820	176280	39
61646	349101	39
2036817	287	39
214888	176280	39
1307763	349101	39
324057	431947	39
1758179	431947	39
405	431947	39
45067	176280	39
561879	451515	38
1678028	431947	38
186153	451515	38
33992	176280	38
54299	349101	38
2190	176280	38
545	349101	38
1519999	451515	38
244366	431947	38
413502	349101	38
83986	349101	38
34029	431947	38
230361	176280	38
9606	324831	38
2094242	431947	38
1327989	287	38
158327	431947	38
1486991	349101	38
69328	431947	38
1206777	349101	38
2188	176280	37
488731	431947	37
1736	176280	37
35701	349101	37
585425	431947	37
323415	431947	37
374106	176280	37
197162	176280	37
571915	176280	37
387905	176280	37
39491	176280	37
1727214	349101	37
415229	287	37
94624	431947	37
115561	349101	37
1230341	176280	37
445517	451515	37
2136	176280	37
437505	349101	36
1825069	176280	36
217	431947	36
1906741	287	36
1850526	431947	36
221027	431947	36
105219	287	36
2247	349101	36
1351	451515	36
456327	431947	36
68287	349101	36
649756	431947	36
280701	287	35
320839	451515	35
196024	431947	35
666685	287	35
46234	176280	35
1821621	431947	35
1912	287	35
481743	176280	35
413497	349101	35
756892	431947	35
387908	176280	35
364410	431947	35
34	431947	35
870903	431947	35
940614	349101	35
1616788	176280	35
1849031	176280	35
872294	176280	35
59506	176280	35
163877	451515	35
142877	176280	35
294671	176280	35
84030	431947	34
93220	431947	34
61652	511145	34
29291	176280	34
1309411	243230	34
1888	287	34
1617448	176280	34
1422	176280	34
1777052	287	34
40269	431947	34
2094	176280	34
575	349101	34
46354	176280	34
57705	349101	34
2005461	176280	34
53444	431947	33
465721	349101	33
1760	349101	33
134676	287	33
79604	431947	33
68895	287	33
198107	287	33
34029	287	33
1536772	176280	33
216778	287	33
94624	287	33
1610576	349101	33
1707785	431947	33
86622	349101	33
59610	176280	33
648017	451515	33
58049	431947	33
528244	287	33
28903	176280	33
1848580	431947	33
233316	176280	33
34038	349101	33
1816218	176280	32
1940790	431947	32
1173025	349101	32
1736	431947	32
28232	431947	32
257758	176280	32
9606	287	32
317936	176280	32
1150389	431947	32
61652	287	32
82115	349101	32
899	431947	32
2242	349101	32
1737490	349101	32
1163710	511145	32
1186051	176280	32
1311	451515	32
774	176280	32
1176587	431947	32
220622	176280	32
511062	431947	32
446692	349101	32
1257021	431947	32
575	431947	32
186192	349101	32
349106	431947	32
97477	431947	32
1462	431947	32
1581011	176280	32
310783	349101	32
10871	287	32
1671721	349101	32
1303	431947	32
1147147	511145	32
450734	431947	32
1542	431947	32
199441	431947	31
1894	287	31
182337	349101	31
1555112	431947	31
1462996	176280	31
76860	210007	31
1305	176280	31
1579979	431947	31
86106	431947	31
76594	431947	31
885581	431947	31
198620	431947	31
300	431947	31
756883	349101	31
158080	287	31
379067	287	31
595593	431947	31
83617	287	31
40754	176280	31
531813	431947	31
99598	176280	31
407	349101	31
1327989	431947	30
1836	287	30
184064	176280	30
102116	176280	30
61647	287	30
39152	176280	30
370405	431947	30
1727196	349101	30
644281	176280	30
539	349101	30
32008	349101	30
1932004	349101	30
1898749	176280	30
1410606	176280	30
2018025	287	30
1336806	431947	30
2188	431947	30
1648404	349101	30
45634	210007	30
1328	431947	30
1597	176280	29
1816219	431947	29
395922	431947	29
859	431947	29
28077	287	29
563169	431947	29
1902251	349101	29
1077935	431947	29
401472	431947	29
583357	176280	29
81479	431947	29
163877	431947	29
358766	349101	29
445516	176280	29
913	431947	29
2257	349101	29
1348	208435	29
465721	431947	29
1911683	451515	29
663	176280	29
37554	511145	29
155148	511145	29
1235591	431947	29
859	176280	29
1158459	431947	29
35755	431947	28
1379270	349101	28
1712675	451515	28
351604	349101	28
1385663	349101	28
61652	431947	28
176102	431947	28
374	349101	28
2033438	511145	28
2017483	451515	28
33069	349101	28
1158459	349101	28
33069	431947	28
2296	431947	28
1236	431947	28
1406	451515	28
367488	176280	28
2033869	431947	28
138563	176280	28
293387	451515	28
84163	431947	28
585455	431947	28
824	431947	28
463040	431947	28
1100	349101	28
1476901	176280	28
152500	431947	28
2173	176280	28
1720344	431947	27
1636609	431947	27
397260	431947	27
216465	431947	27
399726	176280	27
158327	349101	27
1267766	431947	27
33059	349101	27
1765	349101	27
83561	431947	27
2109625	431947	27
435	349101	27
1076588	431947	27
1642	451515	27
1208324	431947	27
1813821	431947	27
184914	431947	27
1094342	287	27
2208	176280	27
1592728	349101	27
291112	176280	27
927083	431947	27
1634516	431947	27
1870820	431947	27
881	431947	27
96942	176280	27
2066	287	27
1249553	176280	27
1702287	431947	26
43305	176280	26
2252	349101	26
375	431947	26
223967	287	26
2226	176280	26
2337	431947	26
850	864803	26
1636606	431947	26
1705	431947	26
575200	349101	26
2023229	431947	26
1839799	208435	26
1571470	431947	26
68570	287	26
405	349101	26
148447	431947	26
1653479	431947	26
51589	349101	26
259901	451515	26
368607	431947	26
38289	431947	26
46355	431947	26
1333523	349101	26
426117	431947	26
169679	451515	26
1680	431947	26
38289	349101	26
1411902	431947	25
35792	176280	25
971	431947	25
2296	349101	25
930805	349101	25
176102	176280	25
76731	287	25
1604004	349101	25
79885	431947	25
861	864803	25
48296	431947	25
456327	287	25
101192	176280	25
35814	431947	25
83655	431947	25
304895	287	25
1911586	451515	25
148813	431947	25
1680	349101	25
1090133	511145	25
838	431947	25
191	349101	25
51589	431947	25
314275	176280	25
1920128	349101	25
251535	176280	25
196242	511145	24
591197	176280	24
74426	349101	24
326544	176280	24
592316	349101	24
1002672	176280	24
54913	176280	24
32630	287	24
88688	287	24
55148	349101	24
580165	222523	24
75697	431947	24
43357	287	24
225326	431947	24
29311	349101	24
1898749	431947	24
553510	431947	24
1771959	349101	24
1938606	287	24
55583	431947	24
264691	176280	24
53346	451515	24
96942	431947	24
69218	349101	24
984	431947	24
418223	287	24
121292	431947	24
32630	122586	24
28251	176280	24
495	349101	24
14	176280	24
1812934	431947	24
244366	287	24
1452	451515	23
2099788	176280	23
392734	349101	23
66969	176280	23
43	287	23
55148	243230	23
313985	431947	23
80864	349101	23
2109914	287	23
143393	176280	23
155863	176280	23
28068	431947	23
751944	349101	23
2077137	349101	23
135621	349101	23
73913	176280	23
309806	176280	23
2033438	287	23
614	511145	23
779	176280	23
1683	349101	23
104623	176280	23
911092	176280	23
1616788	431947	23
1617448	431947	23
879274	287	23
118062	176280	23
105219	431947	23
1274631	431947	23
2187	176280	23
359	431947	23
1336	451515	23
39768	176280	23
320837	451515	23
613	176280	23
1006576	176280	23
244566	431947	22
29329	431947	22
543877	431947	22
400668	176280	22
48296	451515	22
375	287	22
41297	349101	22
1653480	287	22
242606	287	22
59600	431947	22
1109412	349101	22
2198	349101	22
1570330	176280	22
1861	287	22
1674930	451515	22
42239	431947	22
1505	451515	22
642	349101	22
158899	431947	22
472175	431947	22
128	431947	22
379347	431947	22
150055	208435	22
1906741	431947	22
668618	451515	22
849	431947	22
33011	431947	22
324057	349101	22
111955	176280	22
1348	451515	22
2113	431947	22
519	431947	22
996801	431947	22
152500	287	22
1042156	431947	21
648999	287	21
251542	176280	21
40754	431947	21
1134687	176280	21
1888	431947	21
826	176280	21
2036817	431947	21
55583	176280	21
28132	176280	21
874267	451515	21
1556	864803	21
1579316	431947	21
150055	451515	21
1805714	431947	21
28173	176280	21
1328	451515	21
2071623	431947	21
1592728	431947	21
62322	349101	21
2054	431947	21
28211	349101	21
2180	176280	21
1699624	176280	21
1821960	511145	21
756828	451515	21
1358	431947	21
430914	349101	21
1279	176280	21
76860	208435	21
1736	349101	21
1870820	349101	21
42239	287	20
399	287	20
1662457	287	20
458033	349101	20
