taxid	truth_taxid	count
431947	431947	506392
1282	176280	394374
349101	349101	358240
210007	210007	299898
1437447	210007	297945
1403335	431947	249933
562	511145	238155
837	431947	183762
1309	210007	172695
176280	176280	148811
0	511145	123074
1063	349101	101587
1198676	210007	87979
1813821	511145	78008
511691	210007	48319
287	287	47293
1155071	210007	46115
1449752	176280	42514
1311	208435	39410
864803	864803	35638
290402	864803	35612
1280	451515	34848
222523	222523	33267
176279	176280	30132
557760	349101	26497
381754	287	13232
1319	208435	11260
1396	222523	10026
622	511145	9710
198214	511145	9576
470	400667	8921
1217984	222523	8910
1520	864803	8559
1403336	431947	7164
300267	511145	6549
1428454	864803	6274
208435	208435	6059
1280	176280	5540
1030843	431947	5320
1747	1091045	3652
324831	324831	3593
210	85962	3535
487	122586	3478
1091045	1091045	3299
122586	122586	2044
909420	122586	1679
46170	176280	1650
70255	176280	1506
1386087	122586	1477
242619	431947	1465
1892404	222523	1416
930170	222523	1261
29388	176280	1181
1427374	208435	1144
1286	176280	1109
208962	511145	1024
0	451515	960
243230	243230	785
1279	176280	785
1307833	431947	761
29382	176280	721
663954	208435	703
72758	176280	652
1428	222523	629
1282	451515	619
585054	511145	585
405534	222523	577
334406	222523	571
1380360	324831	502
0	287	479
0	176280	478
1338	210007	469
361100	222523	447
0	208435	439
2033869	349101	431
1283	176280	431
28131	431947	412
435590	435590	400
367928	367928	396
267747	1091045	385
1031709	1091045	377
984892	176280	375
571	511145	374
95486	287	369
471	400667	348
985002	451515	348
935593	122586	325
1279	451515	312
90371	511145	311
266264	287	308
910265	287	306
28035	176280	305
1505027	451515	305
1499973	511145	296
203275	431947	287
145391	176280	287
1351	474186	283
474186	474186	276
0	222523	273
1229492	176280	265
1333852	511145	246
1392	222523	245
550	511145	238
1168612	451515	237
10699	451515	236
186802	208435	228
2053832	222523	215
1915310	511145	206
186826	208435	201
0	411466	188
1295	451515	187
1680	367928	184
279808	176280	184
1440052	511145	181
862966	210007	180
405535	222523	175
28901	511145	166
80840	287	163
2077147	511145	152
46170	451515	150
451515	451515	147
128827	208435	147
546	511145	139
862967	210007	130
0	367928	129
591365	210007	125
1898684	287	123
90964	208435	117
135621	287	113
169430	511145	113
1314	208435	111
155085	176280	105
32033	287	104
451709	222523	102
573	511145	101
28113	431947	98
430796	451515	98
1399949	451515	97
41295	287	97
1309807	208435	96
197	511145	86
908937	431947	85
1385	208435	84
130478	451515	82
436113	511145	81
91061	208435	81
84642	287	81
2085	208435	79
1737405	208435	78
1732063	176280	78
575610	451515	78
526977	222523	77
286	287	77
186817	208435	77
526525	208435	76
2077148	511145	75
2102	511145	75
1307832	431947	73
548473	176280	72
119060	287	72
288681	222523	71
1570339	208435	71
211110	208435	69
1277672	451515	68
1165702	451515	68
1114969	1091045	66
82983	511145	65
1114967	1091045	64
1623273	451515	64
1454606	511145	63
486410	208435	63
52773	411466	63
1114966	1091045	62
387909	451515	62
1280938	287	62
40323	287	61
1911586	176280	60
1446701	511145	59
1416334	324831	58
45972	176280	58
85962	85962	58
506	287	57
445516	451515	56
1920110	511145	55
1454603	511145	55
1287066	474186	55
1386	222523	54
543	511145	53
1236	287	52
356	287	51
204441	287	51
859199	511145	51
269801	222523	48
693444	511145	47
671223	1091045	46
1596	324831	46
374833	122586	45
511145	511145	45
80865	287	45
1194085	176280	44
1308896	451515	44
1415629	287	42
2092	208435	42
1201292	474186	41
545	511145	41
544	511145	41
1283	451515	40
941190	511145	40
945556	400667	39
931276	864803	39
1492	864803	39
617121	208435	38
485	122586	38
40477	511145	38
1330043	222523	37
216592	511145	37
281309	222523	36
35703	511145	36
1400867	400667	36
1194526	176280	35
66284	511145	35
48296	400667	35
1349	208435	34
630588	122586	34
36745	864803	33
186153	451515	33
28031	208435	32
320839	451515	32
730	208435	32
1448140	287	32
412694	222523	32
543	208435	31
1001989	511145	31
1498220	451515	30
106654	400667	29
930406	511145	29
1301	208435	29
574521	511145	29
1276282	176280	28
548	511145	28
662598	122586	28
604162	122586	27
1093787	287	27
935590	122586	27
1463165	511145	26
168807	511145	26
1129145	287	26
1519999	451515	26
226185	474186	26
1261557	474186	26
158822	511145	26
29385	176280	25
1279008	287	25
407035	208435	25
169679	864803	24
82982	511145	24
439855	511145	24
935588	122586	24
2048780	511145	24
1206105	474186	24
547	511145	24
122587	122586	24
28150	511145	24
1279007	287	23
54291	511145	23
1	511145	23
862971	210007	23
714359	222523	23
471876	208435	23
1405	222523	22
615	511145	22
186804	208435	22
28141	511145	22
1508404	208435	22
2066049	511145	22
941193	287	22
1295	176280	21
1446707	511145	21
557722	287	21
1271862	511145	21
1072459	511145	21
1408272	287	21
28144	511145	21
1454641	511145	21
160490	208435	21
394503	222523	20
935599	122586	20
170573	176280	20
218495	208435	20
342616	208435	20
61645	511145	20
935591	122586	20
1134687	511145	20
696406	511145	20
29388	451515	20
1454593	511145	19
349102	349101	19
1225789	511145	18
2048777	511145	18
570	511145	18
57706	511145	18
585057	511145	18
222	287	18
1346	208435	18
985762	176280	18
2066051	511145	17
396513	176280	17
935589	122586	17
176280	451515	17
119043	287	16
1076934	208435	16
1280	222523	16
565651	474186	16
365659	208435	16
1124654	511145	16
214473	176280	16
0	400667	16
1455315	400667	16
1358422	511145	16
1234365	85962	15
1261127	511145	15
331112	511145	15
991915	511145	15
1340851	287	15
1234600	85962	15
33959	324831	14
71366	451515	14
1758179	287	14
745156	511145	14
1777064	287	14
942513	122586	14
1281	176280	14
363555	324831	13
985002	176280	13
1302863	210007	13
157782	287	13
1920109	511145	13
668618	451515	13
1452729	222523	13
244366	511145	13
941323	511145	13
486	122586	13
1334193	511145	12
997877	435590	12
1920128	511145	12
1273712	451515	12
1446746	511145	12
0	122586	12
93062	451515	12
642	287	12
208963	287	12
1777052	287	12
584	511145	12
1166130	511145	12
67824	511145	12
316	287	12
315749	222523	12
205921	208435	12
1193501	287	12
80864	287	12
176279	451515	12
67827	511145	12
47917	511145	12
119219	287	11
1920114	511145	11
1217737	222523	11
1307	208435	11
347495	222523	11
1839798	222523	11
220341	511145	11
186803	208435	11
517	287	11
2048775	511145	10
1309806	208435	10
1338689	287	10
379731	287	10
648017	451515	10
582	511145	10
259901	451515	10
158836	511145	10
1353243	210007	10
591946	511145	10
637910	511145	10
1972431	511145	10
498388	511145	10
1914861	511145	10
758831	511145	10
232721	287	10
29385	451515	10
76860	210007	10
685038	511145	10
2057025	451515	10
541000	208435	10
1248915	511145	9
91347	511145	9
1907578	511145	9
1123015	287	9
1411700	287	9
405532	222523	9
1343064	176280	9
108619	511145	9
283686	511145	9
149539	511145	9
1288	176280	9
1920116	511145	9
1400868	287	9
70775	287	9
83655	511145	9
613	511145	9
1300165	511145	9
320837	451515	9
759913	208435	9
83334	511145	9
91347	208435	9
1454382	222523	9
1452	222523	9
1248903	511145	9
85011	511145	8
1248823	511145	8
246198	431947	8
2085	511145	8
72407	511145	8
575	511145	8
1177180	511145	8
290338	511145	8
87541	208435	8
2077149	511145	8
1195068	451515	8
481805	511145	8
941639	222523	8
91061	511145	8
1442	222523	8
489653	122586	8
53335	511145	8
1458279	451515	8
331111	511145	8
588	511145	8
186152	451515	8
1048689	511145	8
82348	208435	8
61646	511145	8
1248902	511145	8
701177	511145	8
85007	511145	8
1096996	400667	8
59201	511145	7
1006543	176280	7
1437823	511145	7
874267	451515	7
1335303	511145	7
1158459	511145	7
1934254	511145	7
1073999	511145	7
1350	208435	7
316435	511145	7
1674930	451515	7
1203670	208435	7
1243617	511145	7
1218175	222523	7
445515	451515	7
2048776	511145	7
1170318	1091045	7
413496	511145	7
1089456	287	7
1132507	511145	7
171436	287	6
1042876	287	6
891974	511145	6
623	511145	6
1104326	511145	6
69220	511145	6
316401	511145	6
53408	287	6
595495	511145	6
1235834	511145	6
33010	1091045	6
91347	400667	6
1405	511145	6
283734	208435	6
1450169	287	6
1812934	511145	6
932733	511145	6
1407493	511145	6
445517	451515	6
637380	222523	6
1905288	511145	6
215167	451515	6
862968	210007	6
1954351	511145	6
640513	511145	6
497725	511145	6
562	208435	6
204457	400667	6
696216	210007	6
69218	511145	6
862969	210007	6
701347	511145	6
28216	400667	5
72274	400667	5
544580	411466	5
1410916	511145	5
1159613	511145	5
572264	222523	5
1197719	511145	5
1279	208435	5
585395	511145	5
1898474	176280	5
795665	287	5
458233	176280	5
930778	511145	5
929813	511145	5
1347760	451515	5
1719	511145	5
399741	511145	5
985006	451515	5
283734	451515	5
553	511145	5
1421338	511145	5
2027919	511145	5
2081702	411466	5
43675	411466	5
1415784	222523	5
1009714	287	5
547043	367928	5
61652	511145	5
487316	400667	5
83333	511145	5
399742	511145	5
1454620	511145	5
936156	511145	5
409438	511145	5
1314	511145	5
1303	208435	5
1122984	431947	5
230089	511145	5
1129146	287	5
186765	511145	5
566552	367928	5
1328324	511145	5
507522	511145	4
1123519	287	4
273036	451515	4
180957	511145	4
1702170	511145	4
1324960	511145	4
1852377	411466	4
1224749	208435	4
70255	451515	4
1330457	511145	4
712122	411466	4
351671	511145	4
1382510	511145	4
1045010	511145	4
126385	511145	4
467705	208435	4
301102	511145	4
405955	511145	4
1308980	511145	4
199310	511145	4
1849031	208435	4
644	411466	4
2048781	511145	4
630	511145	4
685039	451515	4
1619313	511145	4
405416	400667	4
1074252	451515	4
29384	451515	4
1356855	287	4
143221	511145	4
360398	451515	4
585494	511145	4
316	511145	4
82996	511145	4
1849491	176280	4
2026240	511145	4
511	511145	4
405531	222523	4
1351	208435	4
1243602	511145	4
208964	287	4
551	511145	4
1234380	1091045	4
1440	222523	4
41514	511145	4
1216932	222523	4
1352	208435	4
1124991	511145	4
654	511145	4
85698	287	4
299767	511145	4
218493	511145	4
671990	511145	4
32008	287	4
190893	511145	4
31535	287	4
413503	511145	4
264451	511145	4
1407463	85962	4
620	511145	4
0	864803	4
357544	85962	4
1354030	511145	4
1149133	287	4
1407462	85962	4
1386967	511145	4
1870930	511145	4
693216	511145	4
1235990	511145	4
1280	208435	4
570508	85962	4
564	511145	4
90105	511145	4
303	287	3
1193576	176280	3
1311757	511145	3
1076550	511145	3
1692238	511145	3
747	511145	3
471853	411466	3
1159554	511145	3
1785128	400667	3
180850	222523	3
447792	511145	3
2077137	511145	3
665914	511145	3
463040	287	3
273526	511145	3
1074000	511145	3
87883	511145	3
60552	411466	3
1323661	451515	3
1334	208435	3
1138308	511145	3
655817	511145	3
1813771	511145	3
1427342	287	3
351679	511145	3
631	511145	3
585396	511145	3
1163743	85962	3
1175631	511145	3
585034	511145	3
342451	176280	3
1195464	222523	3
1	287	3
872294	451515	3
180282	287	3
28112	431947	3
413997	511145	3
1560339	511145	3
1328	210007	3
431946	511145	3
1868135	511145	3
1343064	451515	3
1578	208435	3
299766	511145	3
1401639	400667	3
614	511145	3
1225786	511145	3
1282	122586	3
1805933	511145	3
948563	451515	3
315730	222523	3
291112	511145	3
1795630	411466	3
203492	208435	3
640131	511145	3
56	287	3
159087	287	3
1328859	511145	3
66711	511145	3
1240086	511145	3
1441627	511145	3
1286170	511145	3
104623	511145	3
1653480	411466	3
208224	511145	3
69966	176280	3
703	511145	3
1441930	511145	3
1263550	511145	3
504346	287	3
1392	176280	3
294	287	3
1134454	1091045	3
54736	511145	3
566546	511145	3
636	511145	3
666	511145	3
1330545	511145	3
1333848	511145	3
885276	511145	3
40576	511145	3
885275	511145	3
1221522	287	3
1331682	411466	3
272831	122586	3
283734	222523	3
1897729	287	3
28091	122586	3
1296536	511145	3
956149	511145	3
1163399	287	3
1648	208435	3
765963	85962	3
1159491	511145	3
217203	287	3
1392476	451515	3
1661	411466	2
320842	451515	2
1280	122586	2
465817	511145	2
392500	511145	2
1636609	511145	2
84159	511145	2
1714373	411466	2
82985	511145	2
660596	511145	2
1812935	511145	2
290847	85962	2
544404	511145	2
1203460	411466	2
1837283	287	2
546342	451515	2
2093	176280	2
762376	287	2
1306405	511145	2
146827	411466	2
1391726	85962	2
1239307	511145	2
201096	287	2
68570	411466	2
1045856	511145	2
698737	451515	2
1124962	511145	2
191292	411466	2
399739	287	2
1147148	511145	2
1261129	222523	2
1302	210007	2
204037	511145	2
1279	222523	2
55884	511145	2
1336746	208435	2
70258	176280	2
1133850	411466	2
1636204	451515	2
2048778	511145	2
561	511145	2
1685	411466	2
1321938	85962	2
33057	287	2
204773	511145	2
1239	208435	2
454169	511145	2
53444	451515	2
1051074	208435	2
29471	511145	2
1321941	85962	2
61651	511145	2
1778262	511145	2
370554	208435	2
394958	864803	2
1333849	511145	2
1437823	287	2
51669	208435	2
1578828	511145	2
543	287	2
444450	511145	2
1283	122586	2
1089444	511145	2
1649184	287	2
1129794	511145	2
1883	411466	2
554	511145	2
1010840	208435	2
129009	451515	2
1221835	400667	2
1300914	511145	2
587	511145	2
1265601	411466	2
1224163	411466	2
134287	511145	2
1208104	511145	2
2371	511145	2
226186	435590	2
123899	287	2
80840	400667	2
550540	511145	2
1095774	511145	2
1311573	85962	2
453304	411466	2
1033922	411466	2
568814	208435	2
1420917	511145	2
768493	511145	2
2051905	511145	2
1168613	451515	2
380021	287	2
632	511145	2
1658671	411466	2
1147146	511145	2
1748	411466	2
1005048	287	2
691	287	2
111015	411466	2
1855823	176280	2
301105	511145	2
727	511145	2
316385	511145	2
1391728	85962	2
50719	511145	2
425104	511145	2
768490	511145	2
1322345	511145	2
714	511145	2
935296	511145	2
1484157	511145	2
129394	287	2
1330547	511145	2
765962	85962	2
1631871	208435	2
1231725	511145	2
2033438	511145	2
743718	411466	2
512763	287	2
907240	85962	2
818	431947	2
586	511145	2
1365186	511145	2
1428	176280	2
716541	511145	2
743720	287	2
2102	208435	2
1109743	411466	2
308354	451515	2
1236	208435	2
465515	411466	2
314281	511145	2
680	511145	2
1420599	287	2
2042057	511145	2
29486	511145	2
426430	451515	2
1123863	511145	2
1005041	208435	2
1905730	511145	2
1003239	222523	2
161896	411466	2
592205	85962	2
102617	85962	2
563041	85962	2
630626	511145	2
31969	208435	2
1245474	511145	2
336810	176280	2
1154756	511145	2
1051646	511145	2
367190	511145	2
321	411466	2
1219067	287	2
798300	208435	2
1110502	287	2
635	511145	2
1423143	222523	2
1616117	411466	2
84032	287	2
186103	208435	2
0	85962	2
35703	287	2
1274814	511145	2
305	287	2
1333851	511145	2
633	511145	2
1920110	287	2
1326	208435	2
102611	85962	2
342113	287	2
218491	511145	2
1922217	511145	2
585143	451515	2
644	511145	2
1930764	222523	2
1484158	511145	2
862962	435590	2
263819	511145	2
1271863	511145	2
264445	411466	2
31533	511145	2
523796	176280	2
1930546	222523	2
1055530	85962	2
1283312	511145	1
670	511145	1
1659194	411466	1
1332264	411466	1
595593	411466	1
708126	208435	1
458033	451515	1
287	411466	1
