taxid	truth_taxid	count
1063	349101	359681
1309	210007	358630
837	431947	358017
1282	176280	350690
562	511145	144773
1520	864803	35924
287	287	34656
1280	451515	34055
1396	222523	31962
1311	208435	21873
210	85962	3599
1747	1091045	3541
1596	324831	3515
487	122586	3497
470	400667	3076
1351	474186	400
1299	243230	400
1680	367928	395
208962	511145	384
821	435590	382
1499973	511145	314
28901	511145	182
622	511145	156
564	511145	124
1898684	287	121
623	511145	86
545	511145	65
573	511145	58
1280	176280	54
52773	411466	54
67827	511145	54
550	511145	52
67825	511145	43
546	511145	43
35703	511145	39
693444	511145	33
158822	511145	32
61645	511145	29
1334193	511145	25
61647	511145	24
571	511145	23
61646	511145	23
54291	511145	22
1907578	511145	22
54736	511145	21
1702170	511145	19
1914861	511145	19
208223	511145	19
1428	222523	19
67824	511145	18
548	511145	18
283686	511145	18
1405	222523	18
470934	511145	17
413501	511145	17
1920114	511145	17
563	511145	17
1166130	511145	15
158836	511145	15
1158459	511145	15
28141	511145	14
1777064	287	14
1692238	511145	13
1805933	511145	13
1129145	287	12
69218	511145	12
554	511145	12
582	511145	12
1972431	511145	11
1396	176280	11
1163710	511145	11
47917	511145	11
703	511145	10
69220	511145	10
630	511145	10
1619313	511145	10
182337	511145	9
1314	208435	9
413497	511145	9
70775	287	9
303	287	8
1920116	511145	8
57706	511145	8
9	511145	8
351671	511145	8
1134687	511145	8
399742	511145	8
1109412	511145	8
204042	511145	8
1338	210007	8
546367	511145	8
614	511145	8
66269	511145	7
891974	511145	7
2026240	511145	7
580165	222523	7
535744	511145	7
53336	511145	7
1428	176280	7
497725	511145	7
929813	511145	7
1484158	511145	7
291112	511145	6
63612	511145	6
2066051	511145	6
413502	511145	6
552	511145	6
29486	511145	6
29471	511145	6
1392	222523	6
651	511145	6
413503	511145	6
157782	287	6
1891675	511145	6
29484	511145	6
672	511145	6
1870930	511145	6
1089444	511145	6
1450169	287	6
82985	511145	5
1307	208435	5
615	511145	5
575	511145	5
28131	431947	5
1905730	511145	5
29382	176280	5
2081702	411466	4
1486991	511145	4
674	511145	4
592316	511145	4
654	511145	4
665914	511145	4
104623	511145	4
28035	176280	4
574560	511145	4
294	287	4
70258	176280	4
569	511145	4
67780	511145	4
2042057	511145	4
40576	511145	4
29388	176280	4
316	287	4
553	511145	4
644	511145	4
1076550	511145	3
45972	176280	3
1199245	511145	3
632	511145	3
732	287	3
82996	511145	3
1423	176280	3
94624	287	3
544580	411466	3
2077147	511145	3
76853	176280	3
504346	287	3
2033438	511145	3
1334	208435	3
1338689	287	3
549	511145	3
636	511145	3
300	287	3
676	511145	3
138072	511145	3
351679	511145	3
70255	208435	3
82983	511145	3
1977566	511145	3
56	287	3
47880	287	3
1048758	511145	3
232721	287	3
1852377	411466	3
43948	511145	3
1778262	511145	3
28112	431947	3
102684	208435	3
645	511145	3
1868135	511145	3
1639108	511145	3
190721	287	3
1396	208435	3
1922217	511145	3
587	511145	3
1326	208435	3
29488	511145	3
2066049	511145	3
186490	511145	3
670	511145	2
43675	411466	2
1812935	511145	2
747	511145	2
1408	176280	2
1124597	511145	2
1311	176280	2
1405	176280	2
204038	511145	2
1280	864803	2
648	511145	2
1118153	511145	2
225848	511145	2
244366	511145	2
1392	208435	2
714	511145	2
91604	349101	2
1348	208435	2
338565	511145	2
208224	511145	2
187493	511145	2
1920107	511145	2
2077148	511145	2
271098	511145	2
1619308	411466	2
1392	176280	2
588	511145	2
712122	411466	2
1915310	511145	2
44012	511145	2
1560345	511145	2
1295	176280	2
2058136	176280	2
75612	287	2
76853	222523	2
93378	511145	2
1825069	208435	2
1280	210007	2
687	511145	2
1488	176280	2
215689	511145	2
134287	511145	2
1778540	511145	2
370405	511145	2
1834200	511145	2
1346	208435	2
29483	511145	2
1678028	287	2
1280	222523	2
