taxid	truth_taxid	count
1063	349101	359396
1309	210007	356720
837	431947	356110
1282	176280	349022
562	511145	347766
1520	864803	35830
1280	451515	35246
287	287	34718
1311	208435	31341
1396	222523	26948
210	85962	3599
1747	1091045	3541
1280	176280	3508
1596	324831	3485
487	122586	3353
470	400667	2985
28112	431947	532
1338	210007	489
1299	243230	400
1351	474186	399
29388	176280	394
1680	367928	386
821	435590	375
1307	208435	342
1314	208435	281
28131	431947	155
1282	451515	126
52773	411466	125
1898684	287	116
546	511145	69
1405	222523	63
1334	208435	56
1283	176280	39
1428	222523	39
29388	451515	38
28901	511145	37
1286	176280	35
70258	176280	32
1288	176280	26
61015	176280	24
1296	451515	18
1346	208435	18
1564681	176280	16
1352	208435	16
1348	208435	15
139871	324831	15
1283	451515	14
1290	176280	13
33010	1091045	13
85698	287	12
1304	208435	11
550	511145	10
1216932	222523	10
315405	208435	10
308354	451515	10
69966	176280	9
817	431947	9
1328	210007	9
246432	176280	9
70775	287	8
721785	287	8
246432	451515	8
95486	287	8
580165	222523	7
1482	208435	7
1897729	287	7
363555	324831	7
1290	451515	7
1796613	431947	6
1758179	287	5
1870984	208435	5
499229	222523	5
1450169	287	5
53412	287	4
48296	400667	4
157779	287	4
1129145	287	4
303	287	4
562	222523	4
1423	208435	4
1777064	287	3
123899	400667	3
294	287	3
1584	208435	3
106654	400667	3
1392	222523	3
1313	208435	3
1292	451515	3
485	122586	3
157782	287	3
2081702	411466	2
727	122586	2
730	208435	2
40214	400667	2
1072256	411466	2
28118	435590	2
28901	208435	2
1852377	411466	2
316	287	2
1349	208435	2
1328	208435	2
1280	210007	2
43675	411466	2
285	287	2
93220	287	2
208962	511145	2
39485	208435	2
486	122586	2
283734	208435	2
76860	210007	1
1283	122586	1
216816	367928	1
28095	287	1
1534	222523	1
1639	208435	1
1484158	511145	1
1308	208435	1
300	287	1
143361	208435	1
985002	451515	1
246787	435590	1
817	435590	1
1689	367928	1
795665	287	1
1305	208435	1
1094342	400667	1
745310	287	1
1811193	208435	1
1521	222523	1
1674930	451515	1
1714373	411466	1
1309	208435	1
255248	208435	1
376805	435590	1
59405	287	1
1903686	208435	1
1579	324831	1
1610493	411466	1
380021	287	1
94624	287	1
571	511145	1
1338689	287	1
256618	287	1
171437	287	1
259901	451515	1
35703	511145	1
1302	208435	1
197614	208435	1
630129	367928	1
33959	324831	1
353	287	1
544580	411466	1
400065	208435	1
2017483	176280	1
2005884	287	1
562	208435	1
28264	208435	1
1750719	208435	1
1286	451515	1
308354	176280	1
232721	287	1
11	411466	1
563	511145	1
28450	287	1
354	287	1
1649877	287	1
1230998	411466	1
