taxid	truth_taxid	count
1060	349101	359822
1301	210007	359787
1279	176280	359542
836	431947	355965
561	511145	350365
1485	864803	36000
1279	451515	35949
1386	222523	35911
1301	208435	35594
286	287	35035
1578	324831	3600
209	85962	3600
1912216	1091045	3595
482	122586	3592
469	400667	3591
195950	431947	475
1298	243230	400
1678	367928	400
1350	474186	399
816	435590	398
544	511145	227
547	511145	204
838	431947	166
642	511145	135
1654	411466	124
1485	222523	27
816	431947	25
1350	208435	17
590	511145	15
12916	287	11
222	287	11
32008	287	11
1016	431947	9
1883	411466	8
1883	287	5
165779	208435	5
517	287	4
561	222523	4
642	287	4
2745	287	4
1279	122586	3
517	400667	3
570	511145	2
84406	208435	2
1716	411466	2
33882	411466	2
32207	411466	2
590	208435	2
93217	287	2
171436	287	1
72763	411466	1
1508657	222523	1
44259	208435	1
53335	511145	1
59753	400667	1
256616	287	1
352	287	1
283	287	1
47420	287	1
613	287	1
106589	287	1
33057	287	1
33055	287	1
1663	411466	1
