taxid	truth_taxid	count
1060	349101	359826
1301	210007	359793
1279	176280	359524
836	431947	355948
561	511145	350327
1485	864803	36000
1279	451515	35951
1386	222523	35911
1301	208435	35594
286	287	35035
1578	324831	3600
209	85962	3600
1912216	1091045	3595
482	122586	3591
469	400667	3591
195950	431947	473
1298	243230	400
1678	367928	400
1350	474186	399
816	435590	398
544	511145	236
547	511145	190
838	431947	160
642	511145	148
1654	411466	127
1485	222523	27
816	431947	25
1350	208435	17
590	511145	14
222	287	11
32008	287	11
12916	287	10
1883	411466	10
1016	431947	10
165779	208435	5
2745	287	5
517	287	4
1883	287	4
561	222523	4
642	287	4
1279	122586	3
517	400667	3
84406	208435	2
1716	411466	2
32207	411466	2
590	208435	2
93217	287	2
1912215	411466	1
149698	287	1
171436	287	1
570	511145	1
72763	411466	1
1508657	222523	1
44259	208435	1
53335	511145	1
59753	400667	1
33882	411466	1
256616	287	1
283	287	1
47420	287	1
613	287	1
1663	411466	1
33057	287	1
