taxid	truth_taxid	count
836	431947	420310
1060	349101	394260
1301	210007	391137
1783272	176280	339636
131567	511145	193691
2	511145	192303
1224	511145	132058
837	431947	117164
1309	210007	113448
91061	176280	105765
0	176280	100514
2	176280	86279
0	210007	78957
2	210007	76828
0	349101	72628
31989	349101	71810
0	431947	55764
543	511145	53630
1	511145	47164
1485	864803	45563
1301	208435	45312
171549	431947	43740
131567	349101	43390
28211	349101	40758
562	511145	38543
1279	176280	37379
2	431947	33321
1063	349101	29128
91061	222523	26332
1279	451515	25695
2	222523	23164
1236	287	21893
204455	349101	20442
0	511145	19706
2	349101	16018
1282	176280	14270
976	431947	14182
1783272	210007	13654
1	287	13547
0	864803	13383
1224	349101	11834
287	287	10855
2	451515	10847
1783272	451515	10392
2	208435	9753
131567	210007	9741
624	511145	9325
186826	210007	8156
0	451515	7619
0	222523	7220
1386	222523	7096
1224	287	7018
1239	210007	6839
1	176280	6639
1385	451515	6543
1520	864803	6352
0	208435	5867
1239	176280	5855
1385	176280	5473
0	287	5082
349101	349101	4980
1224	122586	4729
1236	511145	4726
2	287	4673
131567	431947	4499
131567	176280	4497
1760	1091045	4288
1280	451515	4122
171551	431947	4084
91347	511145	4065
1	210007	3951
1578	324831	3919
1	451515	3852
209	85962	3699
1	349101	3617
200643	431947	3492
557760	349101	3358
469	400667	3274
286	287	3219
1300	210007	3194
561	511145	3161
91061	210007	3044
131567	287	2856
1311	208435	2645
210	85962	2610
1280	176280	2253
1	208435	2214
1247725	349101	2195
186802	864803	2167
86661	222523	2013
418630	349101	2013
1321822	431947	1953
83333	511145	1719
431947	431947	1694
72274	287	1662
131567	400667	1594
91061	208435	1570
1239	864803	1564
1227270	431947	1512
1	431947	1456
1596	324831	1396
1227271	431947	1393
1396	222523	1329
1195243	431947	1328
1227269	431947	1286
242619	431947	1245
1321821	431947	1222
1030843	431947	1214
2	864803	1204
111105	431947	1160
1783272	208435	1081
131567	208435	1038
91061	451515	1019
1403829	210007	1001
2	1091045	992
1297565	431947	991
1321823	431947	955
1962118	176280	945
176279	176280	935
623	511145	882
186826	208435	874
1111760	210007	846
1239	222523	837
1313	210007	799
620	511145	787
31957	1091045	730
1783272	222523	676
1404260	210007	619
487	122586	616
1403338	431947	615
0	400667	605
0	324831	598
1437447	210007	587
2	324831	576
2	474186	571
482	122586	539
1760	411466	531
511691	210007	525
525376	176280	518
2	122586	499
29388	176280	490
1125722	431947	485
1403335	431947	477
222523	222523	473
131567	222523	469
816	435590	467
1	222523	467
1239	208435	453
349102	349101	435
31979	864803	428
131567	451515	424
1311	210007	416
77133	431947	391
1678	367928	387
622	511145	381
1403935	176280	376
28901	511145	376
909768	400667	374
1298	243230	371
656410	511145	370
1155071	210007	369
0	85962	361
77133	511145	354
44252	176280	337
992186	349101	336
525378	176280	333
1299	243230	329
754093	511145	327
445629	349101	325
59201	511145	324
72274	400667	313
1432555	511145	306
1198676	210007	305
626522	431947	294
525375	176280	288
0	1091045	286
1150469	349101	280
46170	451515	280
904330	176280	277
199310	511145	276
1385	222523	276
90964	176280	274
1747	1091045	267
2	400667	265
1297564	431947	263
525374	176280	263
904323	176280	258
131567	864803	257
2033869	349101	252
1297567	431947	251
1300	208435	248
1313	176280	247
910348	511145	245
0	122586	244
1413431	176280	243
470	400667	241
904325	176280	236
816	431947	228
1	324831	228
573	511145	227
1403336	431947	225
1783272	1091045	222
550	511145	219
857145	210007	219
28035	176280	216
331111	511145	213
1386	176280	210
570	511145	198
857138	210007	197
1313	222523	196
941280	511145	195
1403947	210007	195
1783272	864803	191
1392	222523	184
1403943	511145	182
1336	210007	180
857107	210007	175
1350	210007	174
1297566	431947	172
481	122586	166
1211023	431947	165
1432547	511145	161
1236	400667	156
68336	431947	151
1248411	176280	150
544	511145	150
1341	210007	150
1344993	176280	149
1	864803	146
351016	349101	146
1581118	287	144
131567	324831	142
1	400667	140
1185650	176280	140
1449752	176280	139
36087	511145	139
1280	210007	134
364106	511145	134
1428	222523	132
497739	210007	131
857114	210007	129
46170	176280	127
381754	287	126
46503	431947	124
1768112	431947	123
1639	176280	121
1768115	431947	121
1432559	511145	120
1313	208435	119
2	367928	118
1	85962	115
1045856	511145	114
821	431947	113
979212	176280	113
186817	222523	113
439529	349101	113
269801	222523	112
1227276	431947	111
1413492	210007	109
1336	176280	109
1578	176280	109
