taxid	truth_taxid	count
837	431947	530297
1279	176280	455290
1309	210007	423163
1224	511145	330731
1063	349101	273970
1060	349101	231605
2	511145	194639
1301	210007	138873
0	176280	114879
0	210007	94896
0	431947	89627
31989	349101	85322
0	349101	81526
543	511145	77958
1385	176280	69422
0	511145	57806
1301	208435	55586
171549	431947	50014
1386	222523	47173
286	287	43241
1279	451515	40482
1485	864803	30766
836	431947	26432
28211	349101	25950
91061	176280	23991
1520	864803	23231
1282	176280	16890
91347	511145	15800
1300	210007	15768
2	176280	15333
0	864803	14512
562	511145	13724
1385	451515	13450
186826	210007	11914
2	210007	11385
1224	349101	10961
91061	210007	10327
0	451515	10167
0	222523	9848
1236	511145	9790
2	431947	9401
287	287	9007
90964	176280	8303
976	431947	8166
0	208435	7900
2	349101	7404
0	287	7348
2	222523	6873
31957	1091045	6048
1	511145	5871
176280	176280	5868
1239	210007	4737
1224	122586	4719
469	400667	4708
1578	324831	4162
1224	287	3990
135621	287	3725
209	85962	3699
1783272	210007	3370
200643	431947	3241
561	511145	3211
1783272	176280	2927
210	85962	2716
1239	176280	2657
1385	222523	2572
210007	210007	2544
1	176280	2509
1236	287	2390
1	451515	2300
198214	511145	2107
2	208435	2024
91061	451515	1809
1596	324831	1749
91061	208435	1593
1300	208435	1544
1280	451515	1153
2	287	1146
186802	864803	1112
2	451515	1108
186826	208435	1078
186817	222523	1050
585057	511145	1027
1396	222523	1016
91061	222523	1002
620	511145	966
2033869	349101	953
1239	864803	953
1239	222523	908
909768	400667	801
86661	222523	754
0	324831	752
0	400667	743
171551	431947	738
90964	451515	728
1311	208435	682
2	864803	653
0	1091045	647
0	122586	640
685038	511145	627
131567	210007	606
300267	511145	600
482	122586	598
204455	349101	555
0	85962	552
481	122586	517
816	435590	508
208962	511145	506
1	210007	506
1299	243230	487
28901	511145	475
272624	511145	446
1	287	442
1	208435	438
131567	176280	438
487	122586	411
91061	474186	386
131567	349101	369
272624	210007	358
1239	208435	347
386585	511145	342
1678	367928	337
1783272	208435	331
1133852	511145	323
68336	431947	321
29388	176280	321
131567	431947	276
544	511145	273
131567	511145	265
470	400667	263
1680	367928	262
1224	400667	236
1350	474186	235
1783270	431947	229
1783272	451515	227
1239	451515	225
1654	411466	223
52773	411466	220
0	411466	217
272624	349101	214
272624	431947	206
1338	210007	204
1	324831	204
1898684	287	196
1760	1091045	195
208435	208435	191
281309	176280	187
1811193	210007	185
272624	176280	183
573	511145	178
1298	243230	171
2	122586	167
28112	431947	158
2	400667	151
1783272	222523	146
36745	864803	145
1499973	511145	144
384	349101	132
281309	222523	126
1280	176280	120
1428	222523	118
821	435590	116
1308	210007	112
1236	400667	111
2	1091045	111
186801	864803	106
0	367928	104
1313	210007	104
33958	324831	101
1	349101	101
590	511145	98
816	431947	93
1288	176280	92
1125630	511145	90
716541	511145	90
31979	864803	89
468	400667	89
622	511145	89
1783272	864803	88
226900	222523	88
0	474186	84
28119	431947	84
147645	349101	83
131567	864803	81
45972	176280	80
186826	324831	74
171549	435590	74
308354	176280	73
82348	210007	73
1760	411466	73
213849	85962	73
759362	349101	73
0	435590	71
562	349101	71
0	243230	69
54736	511145	68
1307	210007	68
1747	1091045	68
564	511145	66
75612	287	65
272623	210007	65
1326	210007	64
67825	511145	62
131567	451515	60
93061	176280	59
1344959	511145	58
545	511145	57
485	122586	57
52227	431947	57
693444	511145	56
171101	210007	56
354276	511145	54
72274	287	53
67827	511145	53
220341	511145	52
570	511145	52
1	431947	51
295405	431947	51
1351	474186	50
28035	176280	50
400065	210007	50
243230	243230	50
838	431947	49
379	349101	49
136841	287	49
671232	210007	48
315405	210007	48
131567	208435	47
31953	367928	47
1328	210007	46
28123	431947	46
546	511145	44
550	511145	43
35806	349101	43
169679	864803	42
72293	85962	42
272624	864803	42
83654	511145	41
106592	349101	41
131567	222523	41
643214	176280	40
1335048	349101	39
85009	1091045	39
158822	511145	36
33959	324831	36
1	400667	36
1392	222523	35
35703	511145	35
267363	210007	35
1314	208435	35
260799	222523	34
29547	85962	34
1290	176280	34
891974	511145	33
1302	210007	33
1	222523	33
198094	222523	33
2	85962	33
985002	451515	33
1334193	511145	32
1354	210007	32
2015316	431947	32
1236	431947	32
712	511145	31
93061	451515	31
1307	208435	31
486	122586	31
1336	210007	31
1236	349101	30
1783272	1091045	30
272624	222523	30
1578	210007	30
1783272	367928	30
72274	400667	29
1619313	511145	29
388919	210007	28
543	287	28
1386	176280	28
1348	208435	27
91061	324831	27
1914861	511145	27
1314	210007	27
1364	210007	27
272624	208435	26
1286	176280	26
131567	287	26
89184	349101	26
271865	349101	26
2	324831	26
61647	511145	25
1813771	511145	25
817	431947	25
2066049	511145	25
1304	210007	25
208964	287	24
10699	451515	24
1719	511145	24
794846	349101	24
1903411	511145	24
195950	431947	24
511145	511145	24
1783272	324831	24
46127	176280	23
1405	222523	23
1147147	511145	23
215813	349101	23
1385	210007	23
42444	349101	23
1492	864803	23
308354	451515	23
1330545	511145	23
547	511145	23
28118	431947	22
580165	222523	22
1897729	287	22
176280	451515	22
413496	511145	22
1519999	451515	22
61646	511145	22
281309	451515	21
28131	431947	21
1208324	349101	21
201174	1091045	21
1217908	349101	20
265	349101	20
1224	431947	20
1239	324831	19
186802	210007	19
1491	864803	19
272624	451515	19
2	474186	19
76832	431947	18
67824	511145	17
82996	511145	17
170573	176280	17
28216	122586	17
413502	511145	17
69218	511145	17
186803	864803	16
1	85962	16
266	349101	16
936054	511145	16
1229727	349101	16
871585	511145	16
10239	511145	16
1295	176280	16
59201	511145	15
985002	176280	15
889453	431947	15
564886	511145	15
1812934	511145	15
399742	511145	15
33010	1091045	15
1	864803	15
186802	222523	15
49546	431947	15
1463165	511145	14
122586	122586	14
93061	210007	14
1349819	349101	14
221822	349101	14
1224	85962	14
53336	511145	14
2	411466	14
1147152	511145	14
99287	511145	13
1609966	349101	13
1102	431947	13
1849967	349101	13
186765	511145	13
1898474	176280	13
1311	210007	13
497725	511145	13
155085	176280	13
215743	349101	13
1346	208435	13
1077935	349101	12
