taxid	truth_taxid	count
1301	210007	397680
1783272	176280	388455
836	431947	387175
1060	349101	350121
2	511145	303871
131567	511145	205730
31989	349101	119696
1309	210007	110187
91061	176280	107258
837	431947	107216
0	176280	101094
0	210007	78620
0	349101	73247
2	210007	70278
0	431947	57756
171551	431947	52711
543	511145	46771
1063	349101	42025
171549	431947	39526
1	511145	39256
562	511145	35154
28211	349101	34197
204455	349101	33862
2	176280	32838
1300	208435	31377
91061	222523	29596
90964	451515	28648
1279	176280	28232
2	349101	25886
1485	864803	24014
1236	287	22227
2	431947	20982
31979	864803	20896
0	511145	20512
2	222523	19839
1783272	210007	15836
1301	208435	15543
1224	511145	15199
1783272	451515	14653
1	287	13544
0	864803	13336
976	431947	13253
1224	349101	13066
90964	176280	12361
1282	176280	12009
91347	511145	11203
131567	176280	10411
131567	210007	10262
131567	431947	10102
287	287	9613
624	511145	9447
131567	349101	8988
186826	210007	8694
1279	451515	8246
2	208435	8140
1520	864803	7881
0	451515	7624
0	222523	7336
1224	287	6599
200643	431947	6363
0	208435	5867
1239	176280	5793
1239	210007	5663
349101	349101	5627
1300	210007	5472
561	511145	5377
0	287	5336
1236	511145	5208
2	287	5183
1760	1091045	4984
1386	222523	4453
1	176280	4214
1578	324831	3931
1385	176280	3763
209	85962	3635
1280	451515	3625
1	210007	3583
557760	349101	3443
1	349101	3428
2	451515	2973
186817	222523	2768
91061	210007	2722
210	85962	2644
1	451515	2590
469	400667	2566
1311	208435	2414
1247725	349101	2396
131567	287	2357
1321822	431947	2222
482	122586	2174
1	208435	2174
186802	864803	1996
86661	222523	1941
1280	176280	1862
431947	431947	1834
83333	511145	1761
72274	287	1741
135621	287	1706
1227271	431947	1675
286	287	1671
1227270	431947	1607
1195243	431947	1517
1239	864803	1515
1	431947	1417
1030843	431947	1410
1596	324831	1394
1783272	208435	1384
1227269	431947	1355
2	122586	1341
111105	431947	1334
1321821	431947	1323
242619	431947	1293
91061	208435	1267
131567	208435	1250
1224	122586	1197
1396	222523	1177
91061	451515	1134
1321823	431947	1103
1962118	176280	1074
468	400667	1053
1403829	210007	1040
176279	176280	1021
2	864803	1014
445629	349101	945
186826	208435	922
481	122586	913
623	511145	902
1239	222523	883
131567	400667	882
1111760	210007	862
487	122586	824
1783272	222523	785
131567	451515	775
620	511145	728
1239	208435	709
1403338	431947	702
68336	431947	650
909768	400667	645
1404260	210007	622
1125722	431947	613
0	400667	608
2	474186	605
1437447	210007	598
1211023	431947	597
0	324831	594
136841	287	582
2	324831	574
1313	210007	571
131567	222523	556
1403335	431947	547
525376	176280	520
29388	176280	496
511691	210007	493
222523	222523	493
2	400667	487
349102	349101	476
31957	1091045	466
1760	411466	459
992186	349101	447
1298	243230	445
1	222523	421
622	511145	402
1311	210007	401
656410	511145	397
381754	287	393
1678	367928	382
1403935	176280	381
2	1091045	367
44252	176280	366
1155071	210007	364
0	85962	355
59201	511145	350
904330	176280	338
1432555	511145	338
525378	176280	336
816	435590	332
754093	511145	328
46170	451515	322
28901	511145	314
77133	431947	312
1403336	431947	310
1198676	210007	305
1385	451515	303
77133	511145	301
85009	1091045	301
626522	431947	297
525375	176280	294
131567	864803	284
0	1091045	281
199310	511145	276
904323	176280	274
525374	176280	268
1385	222523	268
573	511145	265
1747	1091045	261
1299	243230	254
910348	511145	251
1150469	349101	246
1313	176280	246
1403947	210007	244
0	122586	242
816	431947	241
72274	400667	236
904325	176280	236
470	400667	228
1413431	176280	226
1	324831	224
857145	210007	221
331111	511145	220
28035	176280	219
550	511145	213
1783272	864803	210
35525	431947	208
1313	222523	203
941280	511145	199
857138	210007	197
570	511145	196
1386	176280	194
1403943	511145	193
1248411	176280	189
1449752	176280	188
857107	210007	177
1336	210007	177
1350	210007	175
1432547	511145	161
1581118	287	160
364106	511145	155
131567	122586	154
1392	222523	153
131567	324831	151
351016	349101	150
1344993	176280	150
815	435590	147
46170	176280	147
590	511145	146
79885	210007	144
1783272	1091045	142
1185650	176280	141
36087	511145	140
1236	400667	138
33958	324831	136
838	431947	136
979212	176280	134
1280	210007	134
1341	210007	132
497739	210007	129
1432559	511145	129
857114	210007	127
35525	349101	126
857151	210007	125
1768112	431947	125
1	864803	124
1	400667	124
1045856	511145	122
1314	210007	122
1239	451515	122
2	367928	120
1768115	431947	119
186801	864803	117
1	85962	115
269801	222523	115
821	431947	113
1227276	431947	111
553580	176280	110
1413492	210007	109
1336	176280	109
1428	222523	109
766154	511145	107
58097	511145	106
290338	511145	106
813	431947	106
1224	400667	104
749538	511145	104
979210	176280	104
208962	511145	103
550677	511145	103
186826	176280	103
544	511145	102
393921	431947	100
46503	431947	99
35806	349101	99
556266	511145	99
857146	210007	99
553	511145	97
1294272	176280	96
1578	176280	96
679205	511145	94
857150	210007	94
128827	176280	93
93061	176280	93
1313	208435	92
1235789	431947	92
1639	210007	91
2	85962	90
904340	176280	89
201174	411466	87
36809	176280	87
904789	176280	87
796392	511145	86
109790	210007	85
550672	511145	84
457391	431947	84
85004	367928	84
749548	511145	84
1783270	431947	83
471872	210007	83
316435	511145	83
758829	511145	83
1162296	511145	81
1392	176280	81
904347	176280	80
486410	210007	80
857140	210007	79
904336	176280	79
749532	511145	78
1257041	210007	78
1422	176280	78
754084	511145	77
213849	85962	77
979202	176280	77
766150	511145	77
475609	511145	76
210007	210007	76
354276	511145	75
171549	435590	75
727	511145	75
0	367928	75
1080071	210007	75
979219	176280	75
857130	210007	74
857124	210007	74
485	122586	74
29488	511145	74
36087	210007	74
1660	411466	73
72293	85962	73
758830	511145	73
749550	511145	72
1344988	176280	72
749537	511145	72
1000590	176280	72
857127	210007	71
585054	511145	71
1286	176280	71
758831	511145	71
0	243230	69
699248	210007	69
0	411466	69
1268975	511145	68
723614	511145	68
41514	511145	68
710804	349101	68
186826	324831	66
1144303	511145	66
679207	511145	66
979222	176280	65
857117	210007	65
1212764	210007	65
857154	210007	65
857126	210007	64
1283	176280	64
1257037	210007	64
749540	511145	63
0	474186	62
2	435590	61
546	511145	61
356	349101	61
1308	210007	60
857136	210007	60
290402	864803	60
1680	367928	60
28112	431947	59
979215	176280	59
710785	349101	59
857102	210007	59
1441931	287	59
1401259	511145	58
656447	511145	58
857133	210007	58
198214	511145	58
1444065	511145	57
0	435590	57
670893	511145	57
857155	210007	57
857116	210007	56
1262663	287	56
1306165	287	56
2	411466	56
412694	222523	55
1350	176280	55
1339	210007	55
545	511145	55
766141	511145	54
315405	210007	54
1016998	511145	54
1692238	511145	53
585055	511145	53
670890	511145	53
883130	176280	53
1440052	511145	53
244319	511145	53
339854	222523	52
1048254	511145	52
1268995	511145	52
945360	511145	51
1314	208435	51
749547	511145	51
334406	222523	51
1090930	511145	51
752788	511145	51
1290	176280	50
131567	1091045	50
868172	511145	50
411477	431947	49
1269007	511145	49
340184	511145	48
45972	176280	48
749527	511145	48
1562970	431947	48
1169358	511145	48
932676	511145	48
634994	210007	48
1344991	176280	47
1428	176280	47
1339342	431947	47
511145	511145	47
656411	511145	47
670892	511145	46
186817	176280	46
1444037	511145	46
1401327	511145	46
764298	210007	46
1496	176280	46
550693	511145	46
1116114	511145	46
1268997	511145	45
1269010	511145	45
1040638	511145	44
1195457	176280	44
1444085	511145	44
82367	349101	44
1268976	511145	44
1715206	176280	44
273036	176280	44
29378	176280	44
375288	431947	44
1238231	511145	43
1892897	511145	43
1257039	210007	43
28115	431947	43
1302243	1091045	43
857120	210007	42
1639	176280	42
1268883	451515	42
36875	431947	42
979221	176280	42
869669	511145	42
1427517	511145	41
1432549	511145	41
1307	210007	40
637910	511145	40
821	435590	40
131567	435590	40
1405	222523	40
670888	511145	39
29547	85962	39
857149	210007	39
220343	349101	39
1351	474186	39
206351	122586	39
502347	511145	39
766138	511145	39
1054996	349101	39
1444050	511145	38
656444	511145	38
1433131	511145	38
656404	511145	38
669260	511145	37
90370	511145	37
1116167	511145	37
1407059	287	37
2850	349101	37
941322	511145	37
1263075	511145	37
1236	349101	37
1090926	511145	37
1005521	511145	37
77133	349101	37
1076934	210007	37
1	122586	37
41295	349101	36
1305618	431947	36
749542	511145	36
413496	511145	36
1492	864803	36
391295	210007	36
204441	349101	36
679202	511145	36
469609	210007	36
656417	511145	36
44249	176280	36
231233	210007	35
670894	511145	35
196234	511145	35
1331065	511145	35
453364	210007	35
1281002	511145	35
1432548	511145	35
1444243	511145	34
621	511145	34
279808	176280	34
35525	210007	34
1330526	511145	34
862516	176280	34
1078034	511145	34
754080	511145	34
1116044	511145	34
198215	511145	34
2759	349101	34
28144	511145	33
31953	367928	33
1263053	431947	33
981367	511145	33
909768	431947	33
