taxid	truth_taxid	count
1060	349101	239129
1309	210007	211476
837	431947	197913
1783272	176280	148612
836	431947	110637
1301	210007	108193
91061	176280	99479
1224	511145	90993
543	511145	82375
2	511145	80241
1063	349101	63792
562	511145	36657
1279	176280	32918
0	176280	31285
1301	208435	29434
0	349101	24796
0	210007	22834
1279	451515	20175
1485	864803	19595
287	287	19088
624	511145	19078
1282	176280	14088
1386	222523	13280
1520	864803	10971
171549	431947	10894
91061	222523	10612
1236	511145	10551
31989	349101	10144
1236	287	9580
91347	511145	9316
2	176280	9013
2	431947	8842
0	431947	8461
1385	176280	6680
2	222523	5236
1385	451515	4608
0	864803	4594
1239	176280	4337
349101	349101	3876
1280	451515	3385
28211	349101	3299
204455	349101	2989
210	85962	2982
0	511145	2758
1280	176280	2511
431947	431947	2460
557760	349101	2433
2	451515	2368
1596	324831	2324
2	210007	2248
1224	122586	2151
1311	208435	2041
469	400667	2030
0	451515	1926
1227270	431947	1900
286	287	1837
0	222523	1763
1321822	431947	1739
561	511145	1639
83333	511145	1597
0	287	1577
31957	1091045	1446
1247725	349101	1437
976	431947	1428
0	208435	1399
1396	222523	1342
1224	287	1309
1227271	431947	1266
1321821	431947	1258
1760	1091045	1255
1195243	431947	1175
131567	511145	1165
1227269	431947	1163
1783272	451515	1086
418630	349101	1067
1313	210007	1066
623	511145	1064
1030843	431947	1046
1239	210007	1006
86661	222523	991
2	349101	985
2	208435	966
186826	210007	965
1578	324831	960
72274	287	952
1321823	431947	876
1962118	176280	870
176279	176280	850
1224	349101	846
171551	431947	840
1	511145	808
242619	431947	779
1403829	210007	768
1403335	431947	736
111105	431947	734
1437447	210007	693
1	451515	626
620	511145	614
1300	210007	595
77133	431947	579
487	122586	578
1403338	431947	542
1111760	210007	513
77133	511145	499
909768	400667	489
91061	208435	485
222523	222523	485
2	287	483
470	400667	480
199310	511145	475
1404260	210007	456
28901	511145	442
1783272	210007	435
525375	176280	434
1432555	511145	432
622	511145	426
1311	210007	401
209	85962	400
525376	176280	382
1155071	210007	378
