taxid	truth_taxid	count
837	431947	322230
1309	210007	302793
1	176280	248643
1063	349101	229375
543	511145	149659
562	511145	122905
349101	349101	70031
1282	176280	44586
0	176280	42072
561	511145	40879
0	210007	34501
0	349101	33252
287	287	29492
0	431947	25523
1301	208435	23286
1280	451515	21421
1520	864803	19342
0	511145	17783
1386	222523	16325
1060	349101	15503
1301	210007	14490
91347	511145	10881
176280	176280	10479
1279	176280	10349
290402	864803	9399
1311	208435	7766
171549	431947	7194
31989	349101	6731
1396	222523	6693
1279	451515	5953
0	864803	5649
1	451515	4493
222523	222523	4468
86661	222523	4066
0	451515	3596
0	222523	3374
210	85962	3100
0	287	2934
1747	1091045	2701
0	208435	2607
1	511145	2312
210007	210007	2014
431947	431947	1963
1236	511145	1928
1	210007	1830
487	122586	1796
909768	400667	1754
198214	511145	1691
28901	511145	1588
1596	324831	1532
286	287	1421
482	122586	1413
28211	349101	1255
1	208435	1243
1485	864803	1127
324831	324831	969
557760	349101	862
585057	511145	810
470	400667	801
1437447	210007	757
570	511145	749
469	400667	712
300267	511145	634
1224	287	620
1403336	431947	614
28035	176280	604
1	324831	600
1280	176280	581
90964	176280	565
208962	511145	510
685038	511145	498
186826	210007	493
349102	349101	457
1300	210007	455
1224	349101	402
31957	1091045	396
620	511145	376
590	511145	374
243230	243230	363
208435	208435	359
1351	474186	334
2	511145	318
1224	511145	309
2033869	349101	306
381754	287	301
1385	176280	288
59201	511145	272
1499973	511145	271
976	431947	266
0	400667	263
386585	511145	261
1133852	511145	260
0	324831	247
209	85962	245
1030843	431947	243
1403335	431947	238
0	1091045	235
511691	210007	230
136841	287	230
91061	176280	225
1680	367928	223
1239	208435	222
435590	435590	214
91061	210007	202
52773	411466	190
272624	511145	190
573	511145	187
1578	324831	183
0	122586	176
2033435	349101	169
272624	210007	169
2	431947	168
0	85962	159
544	511145	156
1239	222523	153
622	511145	152
272624	431947	148
1912216	1091045	147
272624	176280	145
816	435590	143
2	349101	140
1198676	210007	140
1	287	138
547	511145	138
0	411466	138
135621	287	138
1898684	287	128
281309	176280	123
1239	210007	123
1307833	431947	120
1428	222523	120
545	511145	116
1449752	176280	115
1236	287	115
1155071	210007	114
28112	431947	113
836	431947	108
1125630	511145	107
200643	431947	103
1344959	511145	102
29388	176280	101
1328	210007	97
1428454	864803	95
168807	511145	94
1313	210007	91
1308	210007	83
1217984	222523	82
171551	431947	81
91061	208435	81
1077935	349101	81
1903411	511145	80
82348	210007	78
1286	176280	76
308465	176280	75
208435	210007	75
281309	222523	75
1678	367928	74
629	511145	73
295405	431947	72
272624	349101	72
2	210007	72
1405	222523	70
864803	864803	70
226900	222523	70
1091045	1091045	70
186826	208435	69
1328859	511145	69
2	176280	69
862967	210007	69
203275	431947	68
585054	511145	67
1283	176280	64
171101	210007	63
1385	222523	63
72407	511145	62
354276	511145	61
481	122586	60
147645	349101	59
2	208435	59
908937	431947	59
550	511145	58
29382	176280	58
61647	511145	57
816	431947	57
759362	349101	57
367928	367928	56
693444	511145	55
546	511145	55
1440052	511145	54
716541	511145	54
224324	210007	52
46170	451515	52
316435	511145	51
28119	431947	48
930406	511145	48
1194526	176280	47
511145	511145	47
1334193	511145	46
93061	176280	46
487316	176280	44
83333	511145	44
1208324	349101	43
90964	451515	43
186817	222523	42
184250	210007	42
67827	511145	42
76123	431947	41
817	431947	41
481145	210007	41
1328859	349101	41
1211326	431947	41
1001989	511145	40
54736	511145	40
61646	511145	40
356	349101	39
613	511145	39
45972	176280	39
1307832	431947	38
1280938	287	38
2048777	511145	37
1529068	349101	37
637910	511145	37
485	122586	36
272623	210007	35
0	474186	35
49546	431947	35
0	367928	35
1482	210007	35
1328859	176280	35
1302	210007	34
288705	431947	34
1239	864803	33
158822	511145	33
35806	349101	33
1380360	324831	33
53354	210007	32
1	222523	32
548	511145	32
1811193	210007	32
1300	208435	32
1649845	511145	32
1328859	210007	31
1446707	511145	31
93061	451515	30
630626	511145	30
1311757	511145	29
1346	210007	29
2048781	511145	29
1335048	349101	28
1239	176280	28
1288	176280	28
1892404	222523	28
160674	511145	28
1702170	511145	27
36745	864803	27
90371	511145	27
1114965	210007	27
1110693	511145	27
1055545	511145	27
1914861	511145	27
1848904	431947	27
308354	176280	26
186802	864803	26
