taxid	truth_taxid	count
1309	210007	357434
837	431947	356645
1282	176280	320103
349101	349101	298407
543	511145	203437
562	511145	144347
1063	349101	60889
1280	451515	33864
287	287	30825
176280	176280	30105
290402	864803	25021
1311	208435	21066
1396	222523	15872
222523	222523	15672
1301	208435	13594
1279	176280	9287
1520	864803	5963
1485	864803	4968
561	511145	4619
381754	287	3713
210	85962	3534
487	122586	3457
1747	1091045	3389
470	400667	3082
324831	324831	2951
1386	222523	2333
91347	511145	1953
171549	431947	1932
86661	222523	1791
431947	431947	1313
1301	210007	1247
1	451515	1021
210007	210007	962
208435	208435	904
1279	451515	874
1	511145	859
1224	511145	646
1596	324831	565
1224	287	561
0	287	496
909768	400667	483
2	511145	452
208962	511145	406
243230	243230	400
1499973	511145	338
1060	349101	328
1351	474186	323
0	411466	276
435590	435590	232
367928	367928	210
1680	367928	185
1091045	1091045	153
821	435590	150
1239	208435	145
511691	210007	139
557760	349101	133
1155071	210007	123
1	176280	118
349102	349101	117
1898684	287	116
1385	222523	109
992186	349101	106
46170	451515	105
1783272	208435	99
1344959	511145	99
544	511145	95
482	122586	93
300267	511145	91
1403336	431947	90
198214	511145	87
564	511145	81
1198676	210007	78
474186	474186	76
2	208435	74
622	511145	70
91061	176280	68
545	511145	65
1	324831	64
570	511145	62
1280938	287	62
28901	511145	61
1236	511145	59
573	511145	59
550	511145	57
354276	511145	56
168807	511145	55
547	511145	55
67827	511145	54
52773	411466	52
2	176280	52
930406	511145	48
637910	511145	48
31957	1091045	46
216592	511145	46
1385	176280	45
90964	176280	43
585054	511145	37
693444	511145	36
1449752	176280	35
546	511145	35
1280	176280	33
1261127	511145	32
1330547	511145	32
571	511145	32
91061	208435	32
158822	511145	31
439855	511145	31
869816	451515	29
286	287	29
208223	511145	29
54291	511145	28
981367	511145	28
61646	511145	28
85962	85962	28
176279	176280	26
1239	222523	26
2	451515	25
526971	222523	25
1415629	287	24
1702170	511145	23
122586	122586	23
864803	864803	23
83654	511145	23
526992	222523	22
2048777	511145	22
413496	511145	22
640513	511145	22
1334193	511145	21
696406	511145	21
1309807	208435	21
1914861	511145	21
548	511145	21
1920114	511145	20
61647	511145	20
2	222523	20
31989	349101	20
59203	511145	20
1578	324831	19
54736	511145	19
469	400667	18
816	435590	18
67824	511145	18
590	511145	17
1440052	511145	17
630626	511145	17
1	287	17
1166130	511145	17
1692238	511145	16
1907578	511145	16
523831	511145	16
1333848	511145	15
1158459	511145	15
1159613	511145	14
585397	511145	14
178339	411466	14
1050617	511145	14
273036	451515	13
59201	511145	13
331112	511145	13
1428	222523	13
69218	511145	13
301105	511145	12
160674	511145	12
1457392	287	12
46170	176280	12
497725	511145	12
1104326	511145	12
1912216	1091045	11
35703	511145	11
2027919	511145	11
941323	511145	11
481805	511145	11
2153385	511145	11
61648	511145	11
1159554	511145	10
1078034	511145	10
83334	511145	10
575	511145	10
399742	511145	10
91061	222523	10
1446746	511145	10
1073999	511145	10
929813	511145	10
758831	511145	10
879462	511145	10
693216	511145	10
1920116	511145	9
1217984	222523	9
1129145	287	9
1134687	511145	9
69220	511145	9
2048781	511145	9
1314	208435	9
70775	287	9
316435	511145	8
881260	511145	8
28141	511145	8
1405	222523	8
2026240	511145	8
2048776	511145	8
1243602	511145	8
1045010	511145	8
1074000	511145	8
745156	511145	8
941193	287	8
585057	511145	8
1236	287	8
59204	511145	8
413503	511145	8
157782	287	8
526986	222523	8
685039	451515	8
511145	511145	8
331111	511145	8
1224	122586	7
1403335	431947	7
1224	400667	7
315749	222523	7
1381115	451515	7
1343064	451515	7
290338	511145	7
491	122586	7
1427374	208435	6
1400868	287	6
1300	208435	6
83333	511145	6
1239	176280	6
28035	176280	6
2066051	511145	6
1330545	511145	6
585034	511145	6
1392	222523	6
316	287	6
57706	511145	6
1450169	287	6
1072459	511145	5
155864	511145	5
891974	511145	5
1702238	864803	5
2048778	511145	5
1710356	511145	5
1048689	511145	5
716541	511145	5
1385	451515	5
1126681	222523	5
90964	451515	5
1358422	511145	5
913091	511145	5
90371	511145	5
1338	210007	5
299766	511145	5
288681	222523	5
985006	451515	5
61645	511145	5
1678	367928	5
701347	511145	5
1030843	431947	5
1392476	451515	5
36745	864803	4
1009714	287	4
29385	176280	4
72407	511145	4
94624	287	4
1329907	511145	4
544580	411466	4
2077147	511145	4
1089456	287	4
655817	511145	4
585395	511145	4
1392858	511145	4
642	511145	4
2048780	511145	4
1977566	511145	4
374833	122586	4
1003239	222523	4
1235834	511145	4
29388	176280	4
36866	511145	4
388272	287	4
1330457	511145	4
620	511145	4
149539	511145	4
1446707	511145	4
1870930	511145	4
1055527	85962	4
504346	287	4
1290	176280	4
29382	176280	4
1428454	864803	4
1138308	511145	4
1623287	287	4
28150	511145	4
1242107	511145	4
70258	176280	4
28131	431947	3
526990	222523	3
1199245	511145	3
1307	208435	3
56	287	3
526977	222523	3
654	511145	3
1322345	511145	3
294	287	3
526972	222523	3
907240	85962	3
714962	511145	3
1915310	511145	3
1295	176280	3
186826	208435	3
1055545	511145	3
138072	511145	3
1	222523	3
1491	864803	3
1437447	210007	3
362663	511145	3
526987	222523	3
134287	511145	3
409438	511145	3
592205	85962	3
1211025	511145	3
232721	287	3
1852377	411466	3
2172103	511145	3
1382510	511145	3
102608	85962	3
1778262	511145	3
641107	864803	3
2066049	511145	3
1055532	85962	3
1412834	511145	3
585143	451515	3
2	122586	3
1326	208435	3
83655	511145	3
190721	287	3
526980	222523	3
2081702	411466	2
1311757	511145	2
1463165	511145	2
1324960	511145	2
526967	222523	2
186817	222523	2
907238	85962	2
43675	411466	2
869816	176280	2
1812935	511145	2
90370	511145	2
632	511145	2
1242108	511145	2
1147787	287	2
1328859	511145	2
1336	208435	2
1243579	511145	2
591946	511145	2
1421338	511145	2
648	511145	2
1173798	511145	2
546342	451515	2
1406863	451515	2
45972	176280	2
9	511145	2
1328324	511145	2
1920110	511145	2
351671	511145	2
1348	208435	2
208224	511145	2
703	511145	2
2077148	511145	2
1619308	411466	2
1321939	85962	2
1825069	208435	2
1812934	511145	2
102684	208435	2
712122	411466	2
981540	208435	2
1386087	122586	2
566546	511145	2
136841	287	2
502346	511145	2
300	287	2
1954351	511145	2
2	411466	2
1428	176280	2
82348	208435	2
1223571	511145	2
743720	287	2
446466	411466	2
290339	511145	2
1427342	287	2
526982	222523	2
244366	511145	2
637913	85962	2
1340851	287	2
640131	511145	2
67780	511145	2
1760	411466	2
1346	208435	2
119912	511145	2
1678028	287	2
1048758	511145	2
1042876	287	2
2083053	287	2
1134782	511145	2
1243621	511145	2
526985	222523	2
907237	85962	2
405955	511145	2
413997	511145	2
1081940	287	2
595495	511145	2
1386967	511145	2
1654	411466	2
1868135	511145	2
1274814	511145	2
1208104	511145	2
910265	287	2
1	400667	2
2077149	511145	2
108619	511145	2
582	511145	2
2	400667	2
907239	85962	2
1093787	287	2
634503	511145	2
2342	511145	2
702982	511145	2
1274359	287	2
584	511145	2
47917	511145	2
507522	511145	1
441500	411466	1
1332264	411466	1
451709	222523	1
536056	511145	1
1710	411466	1
1382922	85962	1
644968	176280	1
1636609	511145	1
2014	411466	1
439843	511145	1
523796	451515	1
1714373	411466	1
1902136	210007	1
169679	864803	1
476281	511145	1
592316	511145	1
484021	511145	1
290847	85962	1
543728	411466	1
157779	287	1
1795630	411466	1
316273	287	1
941187	511145	1
1578	451515	1
1783272	451515	1
1392877	287	1
28152	511145	1
29338	222523	1
502801	511145	1
53335	511145	1
941280	511145	1
1405	176280	1
526991	222523	1
204038	511145	1
930170	222523	1
1412619	511145	1
1505596	511145	1
663954	208435	1
395495	411466	1
29341	864803	1
1849032	411466	1
135461	222523	1
1308980	511145	1
1110693	511145	1
548473	176280	1
862966	210007	1
615	511145	1
101510	411466	1
2071623	176280	1
985002	176280	1
526969	222523	1
703339	176280	1
984237	511145	1
1441627	511145	1
1922217	511145	1
432330	176280	1
1096997	400667	1
931276	864803	1
1191061	511145	1
529122	222523	1
1892404	222523	1
526977	176280	1
1309806	208435	1
2080742	411466	1
1149133	511145	1
1796606	287	1
1236	400667	1
527027	222523	1
1484157	511145	1
1920107	511145	1
1141660	511145	1
1124917	511145	1
872	176280	1
557598	287	1
1286	176280	1
1160717	511145	1
1328	208435	1
492670	176280	1
1410916	511145	1
291112	511145	1
1069533	208435	1
1330546	511145	1
160491	208435	1
82689	511145	1
29487	511145	1
184250	208435	1
53336	511145	1
203275	431947	1
604162	122586	1
279808	176280	1
1980001	411466	1
662598	122586	1
836	431947	1
1897729	287	1
1309	208435	1
346	511145	1
1244118	511145	1
1248725	85962	1
1225522	511145	1
1368166	451515	1
214473	176280	1
1392	176280	1
935599	122586	1
1636607	511145	1
1681	411466	1
1426844	85962	1
1334	208435	1
1313	208435	1
1243620	511145	1
1382700	511145	1
1193501	287	1
303	287	1
1234380	1091045	1
864564	411466	1
54388	511145	1
1307832	431947	1
145391	176280	1
361100	222523	1
1448140	287	1
796606	222523	1
568709	511145	1
656366	411466	1
316401	511145	1
184250	210007	1
68895	287	1
359786	451515	1
572264	176280	1
1240708	511145	1
1055531	85962	1
1777064	287	1
316407	511145	1
1454593	511145	1
246432	451515	1
1005041	208435	1
135620	511145	1
75612	287	1
1327989	511145	1
134537	287	1
149698	222523	1
1423	451515	1
1136497	411466	1
1133853	511145	1
527032	222523	1
558173	411466	1
1454377	511145	1
46170	222523	1
170573	176280	1
28895	176280	1
1462996	222523	1
1283	176280	1
862967	208435	1
585396	511145	1
288	511145	1
1423720	222523	1
1471761	451515	1
1505597	511145	1
1304	208435	1
1045856	511145	1
1307833	431947	1
119602	208435	1
1488	176280	1
128827	451515	1
111015	411466	1
536227	864803	1
1005090	511145	1
938143	511145	1
314281	511145	1
204042	511145	1
572264	222523	1
1565991	222523	1
1002809	176280	1
948563	176280	1
862962	431947	1
82983	511145	1
1454584	511145	1
768494	222523	1
710421	411466	1
591365	210007	1
199310	511145	1
1276282	176280	1
1454382	222523	1
1243616	511145	1
1616117	411466	1
139871	324831	1
192	411466	1
1678	411466	1
927701	451515	1
286	511145	1
38302	411466	1
285473	411466	1
1437875	411466	1
526988	222523	1
1636606	511145	1
70258	451515	1
1813	411466	1
1028307	511145	1
1163742	85962	1
1934254	511145	1
1715860	451515	1
388919	208435	1
1492	864803	1
186802	451515	1
338	287	1
370554	208435	1
701177	511145	1
1308	208435	1
1118959	451515	1
1343064	176280	1
1243584	511145	1
1126833	222523	1
29484	511145	1
106654	400667	1
1811193	208435	1
570416	222523	1
1196094	287	1
1663591	287	1
527019	222523	1
1488	864803	1
1242102	511145	1
1203670	208435	1
593907	411466	1
286636	208435	1
28450	287	1
1070130	511145	1
1929246	511145	1
866344	85962	1
1874317	511145	1
1302	210007	1
1348662	411466	1
61015	176280	1
1288	176280	1
59202	511145	1
930170	176280	1
401619	511145	1
585035	511145	1
429009	176280	1
1423143	222523	1
357544	85962	1
1560339	511145	1
1340847	208435	1
431946	511145	1
481	122586	1
80840	287	1
1149133	287	1
991915	511145	1
1496	208435	1
876364	287	1
1300344	411466	1
1408	222523	1
633697	451515	1
628	511145	1
633	511145	1
1680	411466	1
1203670	210007	1
85698	287	1
405416	400667	1
671232	210007	1
492670	222523	1
136846	287	1
2077136	511145	1
1408	176280	1
1055529	85962	1
1883	411466	1
102611	85962	1
28216	287	1
948563	451515	1
1100841	400667	1
611	511145	1
29384	451515	1
593905	511145	1
938141	511145	1
178339	451515	1
644	511145	1
28144	511145	1
1286170	511145	1
565651	474186	1
1049565	511145	1
454169	511145	1
536227	176280	1
743718	411466	1
471	400667	1
98360	511145	1
663951	451515	1
72758	176280	1
430796	451515	1
1851395	411466	1
1271863	511145	1
349746	511145	1
862967	210007	1
1242091	511145	1
1244085	511145	1
1454627	511145	1
1309807	210007	1
605	511145	1
55080	176280	1
209	85962	1
633149	411466	1
526981	222523	1
1905288	511145	1
135735	222523	1
1055530	85962	1
590998	411466	1
90105	511145	1
