taxid	truth_taxid	count
1309	210007	357413
837	431947	356207
349101	349101	322378
1282	176280	319685
543	511145	202737
562	511145	146293
1063	349101	37124
1280	451515	33860
176280	176280	30989
287	287	30790
290402	864803	26857
1311	208435	21068
222523	222523	16917
1396	222523	15171
1301	208435	13586
1520	864803	9032
1279	176280	8815
561	511145	3914
381754	287	3726
210	85962	3523
487	122586	3462
1747	1091045	3306
470	400667	3085
324831	324831	2951
1386	222523	2399
171549	431947	1932
91347	511145	1897
431947	431947	1751
86661	222523	1383
1301	210007	1247
1	451515	1021
210007	210007	962
208435	208435	911
1279	451515	868
1	511145	862
1596	324831	565
1224	287	562
0	287	502
909768	400667	481
2	511145	437
208962	511145	410
243230	243230	400
435590	435590	382
1499973	511145	343
1351	474186	318
1060	349101	292
0	411466	283
367928	367928	277
1224	511145	242
1091045	1091045	236
511691	210007	146
1239	208435	145
585054	511145	137
1155071	210007	132
1898684	287	121
1	176280	119
1680	367928	118
1344959	511145	101
557760	349101	99
1783272	208435	99
544	511145	94
482	122586	92
1403336	431947	90
300267	511145	90
349102	349101	87
198214	511145	86
570	511145	83
1198676	210007	83
474186	474186	81
451515	451515	81
2	208435	74
1485	864803	73
622	511145	70
91061	176280	68
545	511145	67
1280938	287	65
1	324831	64
573	511145	59
1001989	511145	57
168807	511145	56
354276	511145	56
67827	511145	54
547	511145	53
52773	411466	52
28901	511145	49
637910	511145	48
550	511145	47
216592	511145	47
930406	511145	47
1385	176280	46
31957	1091045	46
90964	176280	43
1239	176280	40
1280	176280	36
693444	511145	36
1449752	176280	36
176279	176280	35
46170	451515	34
546	511145	33
1261127	511145	33
439855	511145	33
158822	511145	32
91061	208435	32
571	511145	31
61646	511145	30
54291	511145	29
869816	451515	29
85962	85962	28
1239	222523	26
1415629	287	24
83654	511145	24
1702170	511145	23
1334193	511145	23
1907578	511145	23
286	287	23
122586	122586	23
864803	864803	23
59201	511145	22
2048777	511145	22
1300165	511145	21
413496	511145	21
548	511145	21
1405	222523	21
59203	511145	21
36866	511145	21
1309807	208435	21
54736	511145	21
696406	511145	21
640513	511145	21
31989	349101	20
1914861	511145	20
61647	511145	20
1920114	511145	20
1578	324831	19
67824	511145	18
1411700	287	18
816	435590	18
1440052	511145	17
590	511145	17
1330547	511145	17
469	400667	17
1166130	511145	17
1783272	176280	17
1692238	511145	16
630626	511145	16
283686	511145	16
1333848	511145	15
1428	222523	15
1158459	511145	15
1159613	511145	15
69218	511145	14
1428454	864803	14
273036	451515	13
2	451515	13
1104326	511145	13
331112	511145	13
46170	176280	12
1446746	511145	12
497725	511145	12
301105	511145	12
331111	511145	12
1777064	287	12
160674	511145	12
1129145	287	12
1239	451515	11
1912216	1091045	11
1236	511145	11
1073999	511145	11
1078034	511145	11
941323	511145	11
481805	511145	11
35703	511145	11
1	287	10
1159554	511145	10
929813	511145	10
758831	511145	10
83334	511145	10
693216	511145	10
399742	511145	10
28141	511145	9
1920116	511145	9
1217984	222523	9
2048781	511145	9
2026240	511145	9
69220	511145	9
70775	287	9
1385	222523	9
685039	451515	8
316435	511145	8
157782	287	8
59204	511145	8
413503	511145	8
2048776	511145	8
575	511145	8
1243602	511145	8
57706	511145	8
1045010	511145	8
745156	511145	8
941193	287	8
585057	511145	8
511145	511145	8
1236	287	8
1314	208435	8
585034	511145	7
315749	222523	7
1381115	451515	7
1403335	431947	7
1224	400667	7
1074000	511145	7
1343064	451515	7
290338	511145	7
491	122586	7
1427374	208435	6
1450169	287	6
1300	208435	6
891974	511145	6
90964	451515	6
1870930	511145	6
288681	222523	6
1134687	511145	6
2066051	511145	6
83333	511145	6
1400868	287	6
716541	511145	6
642	511145	5
1072459	511145	5
1392	222523	5
985006	451515	5
1358422	511145	5
90371	511145	5
29382	176280	5
72407	511145	5
1338	210007	5
1385	451515	5
28035	176280	5
61645	511145	5
2048778	511145	5
1678	367928	5
701347	511145	5
1623287	287	5
1710356	511145	5
1048689	511145	5
1030843	431947	5
1392476	451515	5
29385	176280	4
2048780	511145	4
1977566	511145	4
316	287	4
374833	122586	4
1003239	222523	4
155864	511145	4
409438	511145	4
1235834	511145	4
1330457	511145	4
1009714	287	4
1242107	511145	4
620	511145	4
149539	511145	4
94624	287	4
1329907	511145	4
544580	411466	4
1446707	511145	4
2077147	511145	4
1055527	85962	4
299766	511145	4
70258	176280	4
1089456	287	4
504346	287	4
1138308	511145	4
655817	511145	4
28150	511145	4
585395	511145	4
2081702	411466	3
28131	431947	3
654	511145	3
186817	222523	3
362663	511145	3
1307	208435	3
1783272	451515	3
56	287	3
526977	222523	3
592205	85962	3
1042876	287	3
338	287	3
714962	511145	3
29388	176280	3
672795	511145	3
1211025	511145	3
1852377	411466	3
1382510	511145	3
102608	85962	3
765964	85962	3
1322345	511145	3
585143	451515	3
907240	85962	3
1326	208435	3
134287	511145	3
294	287	3
1208104	511145	3
1338689	287	3
1915310	511145	3
1224	122586	3
28144	511145	3
1778262	511145	3
186826	208435	3
300	287	3
1055545	511145	3
1868135	511145	3
83655	511145	3
743720	287	3
1199245	511145	3
1055532	85962	3
2066049	511145	3
1328324	511145	3
1	222523	3
190721	287	3
232721	287	3
2	122586	3
1437447	210007	3
1340851	287	2
1661	411466	2
1463165	511145	2
1324960	511145	2
67780	511145	2
866346	85962	2
907238	85962	2
1428	176280	2
869816	176280	2
1812935	511145	2
1147786	287	2
1028307	511145	2
1242108	511145	2
640131	511145	2
1760	411466	2
119912	511145	2
1678028	287	2
1406863	451515	2
446466	411466	2
1328859	511145	2
1336	208435	2
1048758	511145	2
591946	511145	2
2077149	511145	2
108619	511145	2
648	511145	2
634503	511145	2
1173798	511145	2
546342	451515	2
1134782	511145	2
82348	208435	2
1243621	511145	2
907237	85962	2
9	511145	2
1920110	511145	2
2083053	287	2
405955	511145	2
1311757	511145	2
208224	511145	2
413997	511145	2
1081940	287	2
102684	208435	2
2	176280	2
290339	511145	2
595495	511145	2
1321939	85962	2
703	511145	2
2077148	511145	2
1386967	511145	2
1619308	411466	2
1654	411466	2
1274814	511145	2
1454627	511145	2
111015	411466	2
1825069	208435	2
1812934	511145	2
1243579	511145	2
1348	208435	2
43675	411466	2
145391	176280	2
582	511145	2
712122	411466	2
1295	176280	2
316401	511145	2
981540	208435	2
1	400667	2
351671	511145	2
1386087	122586	2
45972	176280	2
1421338	511145	2
566546	511145	2
136841	287	2
866344	85962	2
2	400667	2
1954351	511145	2
907239	85962	2
1093787	287	2
1346	208435	2
2342	511145	2
1427342	287	2
90370	511145	2
119602	208435	2
637913	85962	2
702982	511145	2
910265	287	2
584	511145	2
47917	511145	2
1565991	222523	1
1002809	176280	1
1332264	411466	1
948563	176280	1
134537	287	1
862962	431947	1
82983	511145	1
1454584	511145	1
502801	511145	1
1710	411466	1
507522	511145	1
1382922	85962	1
85698	287	1
768494	222523	1
941187	511145	1
1636609	511145	1
1484157	511145	1
1813	411466	1
1308980	511145	1
139871	324831	1
2014	411466	1
199310	511145	1
1276282	176280	1
1714373	411466	1
1680	411466	1
1902136	210007	1
1454382	222523	1
591365	210007	1
1243616	511145	1
1897729	287	1
476281	511145	1
1678	411466	1
484021	511145	1
1160717	511145	1
285473	411466	1
1437875	411466	1
1663591	287	1
290847	85962	1
632	511145	1
157779	287	1
1795630	411466	1
361100	222523	1
1636606	511145	1
316273	287	1
710421	411466	1
1415784	222523	1
1005041	208435	1
536056	511145	1
360102	511145	1
29338	222523	1
349746	511145	1
53335	511145	1
703339	176280	1
1163742	85962	1
1405	176280	1
72758	176280	1
563041	85962	1
1934254	511145	1
1715860	451515	1
388919	208435	1
644	511145	1
1307832	431947	1
1505596	511145	1
557598	287	1
481	122586	1
663954	208435	1
1811193	208435	1
370554	208435	1
701177	511145	1
1118959	451515	1
585035	511145	1
1309806	208435	1
1488	176280	1
68895	287	1
29341	864803	1
1243584	511145	1
1126833	222523	1
29484	511145	1
29384	451515	1
106654	400667	1
1849032	411466	1
1286170	511145	1
570416	222523	1
1196094	287	1
471	400667	1
1110693	511145	1
1309807	210007	1
568709	511145	1
633149	411466	1
1242102	511145	1
316385	511145	1
936156	451515	1
593907	411466	1
615	511145	1
1149133	287	1
101510	411466	1
1070130	511145	1
941280	511145	1
984237	511145	1
565651	474186	1
